resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
TOS26_RU.M10.001.002,セクター：建築仕様：正社員向け 対応：D.D.第12号 2023年4月5日付で承認された省庁の標準表の平均コストを基準とする 含む： - 契約給与； - 法令および実質的に労働力にかかる負担； - 一般的な工具のレンタルと使用,Labor,Labor,ora,5117.47,5117.47,5117.47,5117.47,1,JPY,1551.5,0.3032,5533,3192,EDILIZIA CIVILE,トスカーナ州公共工事単価表（2026年版）,一般建築,解体
TOS26_RU.M10.001.004,セクター：建築仕様：正社員向け 対応：D.D.第12号 2023年4月5日付で承認された省庁の標準表の平均コストを基準とする 含む： - 契約給与； - 法令および実質的に労働力にかかる負担； - 一般的な工具のレンタルと使用,Labor,Labor,ora,4264.83,4264.83,4264.83,4264.83,1,JPY,1993.65,0.4675,2817,2620,EDILIZIA CIVILE,トスカーナ州公共工事単価表（2026年版）,一般建築,解体
TOS26_AT.N01.065.001,タイプ: 操作機械仕様: 現場納入 | 対象: ハンマー / 電動ドリルおよびアクセサリー | 打撃式ドリル、出力 450/500 W、径 5-20 mm - 1日,Equipment,General,ora,380.33,380.33,380.33,380.33,1,JPY,40.84,0.1074,1180,1180,EDILIZIA CIVILE,トスカーナ州公共工事単価表（2026年版）,一般建築,埋込設置
TOS26_RU.M11.001.004,セクター：METALMECCANICO / IMPIANTISTICO 特性：常勤従業員向け 適合：D.D.第73号（2024年11月22日付）に承認された省庁表の平均コストを基準とする 含む： - 契約給与； - 法令および実質的に労働力に課される負担金； - 賃貸料および使用料,Labor,Labor,ora,3894.18,3894.18,3894.18,3894.18,1,JPY,6292.7,1.6159,1106,1102,EDILIZIA CIVILE,トスカーナ州公共工事単価表（2026年版）,一般建築,鉄筋
TOS26_RU.M10.001.003,セクター：建築仕様：正社員向け 対応：D.D.第12号 2023年4月5日付で承認された省庁の標準表の平均コストを基準とする 含む： - 契約給与； - 法令および実質的に労働力にかかる負担； - 一般的な工具のレンタルと使用,Labor,Labor,ora,4746.83,4746.83,4746.83,4746.83,1,JPY,1732.5,0.365,1066,1030,EDILIZIA CIVILE,トスカーナ州公共工事単価表（2026年版）,一般建築,解体
TOS26_PRCAM.P09.017.001,モルタルとプラスターペースト - 混合前または事前に準備されたもの、または現場でミキサーで準備されたもの。仕上げ、床仕上げ、壁仕上げ、充填材に使用。低エネルギー消費の生産設備と廃棄物やスクラップを削減するための最適化されたプロセスを優先。,Material,General,kg,163.8,163.8,163.8,163.8,1,JPY,865.71,5.2853,850,675,EDILIZIA CIVILE,トスカーナ州公共工事単価表（2026年版）,一般建築,パネル
TOS26_RU.M11.001.003,セクター：METALMECCANICO / IMPIANTISTICO 特性：常勤従業員向け 適合：D.D.第73号（2024年11月22日付）に承認された省庁表の平均コストを基準とする 含む： - 契約給与； - 法令および実質的に労働力に課される負担金； - 賃貸料および使用料,Labor,Labor,ora,4061.21,4061.21,4061.21,4061.21,1,JPY,8956.54,2.2054,790,790,EDILIZIA CIVILE,トスカーナ州公共工事単価表（2026年版）,一般建築,埋設
TOS26_02.A07.011.010,件名：輸送 / 移動 作業場所：工事現場内。含まれる：廃棄物の積込み、輸送、認可された処理施設への排出。除外：- 排出のためのアクセス費用；- 可能な税金。 | 件名：荷降ろし,Abstract Material,General,m³,2132.41,2132.41,2132.41,2132.41,1,JPY,893.59,0.4191,774,774,EDILIZIA CIVILE,トスカーナ州公共工事単価表（2026年版）,一般建築,パネル
TOS26_PR.P18.ZZ02.002,対象: 断熱・遮音材 準拠: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005。- CEマーキング; - 性能宣言（DoP） | 対象: 断熱材用施工付属品 | 耐アルカリ性ガラス繊維メッシュ、重量155-160 g/m²,Material,General,m²,261.16,261.16,261.16,261.16,1,JPY,287.28,1.1,700,700,EDILIZIA CIVILE,トスカーナ州公共工事単価表（2026年版）,一般建築,パネル
TOS26_PRCAM.P22.034.001,床材および仕上げ材用製品 - CAM。2022年6月23日付DM 256号のCAMに準拠 | プライマー。 | 水溶性の合成結合剤。,Material,Paint & Coatings,kg,1710.62,1710.62,1710.62,1710.62,1,JPY,471.37,0.2756,675,675,EDILIZIA CIVILE,トスカーナ州公共工事単価表（2026年版）,一般建築,パネル
