resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
TOS26_RU.M10.001.002,섹션: 건축 세부사항: 정규직 직원 대상 준수: D.D. n. 12 2023년 4월 5일자 승인된 표준표의 평균 비용 포함: - 계약 임금; - 법률 및 사실상 노동력에 부과되는 비용; - 일반 공구의 임대 및 사용,Labor,Labor,ora,43031.93,43031.93,43031.93,43031.93,1,KRW,13046.33,0.3032,5533,3192,EDILIZIA CIVILE,토스카나 공공공사 단가표(2026년판),토목·건축 공사,철거
TOS26_RU.M10.001.004,섹션: 건축 세부사항: 정규직 직원 대상 준수: D.D. n. 12 2023년 4월 5일자 승인된 표준표의 평균 비용 포함: - 계약 임금; - 법률 및 사실상 노동력에 부과되는 비용; - 일반 공구의 임대 및 사용,Labor,Labor,ora,35862.17,35862.17,35862.17,35862.17,1,KRW,16764.27,0.4675,2817,2620,EDILIZIA CIVILE,토스카나 공공공사 단가표(2026년판),토목·건축 공사,철거
TOS26_AT.N01.065.001,"유형: 작업 기계 세부사항: 현장 인도 | 목적: 전기 해머 / 전기 천공기 및 부속품 | 충격 드릴, 출력 450/500 W, 5-20 mm 비트용 - 1일",Equipment,General,ora,3198.1,3198.1,3198.1,3198.1,1,KRW,343.4,0.1074,1180,1180,EDILIZIA CIVILE,토스카나 공공공사 단가표(2026년판),토목·건축 공사,내장 설치
TOS26_RU.M11.001.004,섹션: 금속기계 / 배관 공사 세부사항: 무기계약 직원에 대한 표준 비용 기준: D.D. n 73 2024년 11월 22일 승인된 정부 표준표의 평균 비용 포함: - 계약 임금; - 법률 및 실질적으로 노동력에 부과되는 비용; - 임대료 및 사용료,Labor,Labor,ora,32745.47,32745.47,32745.47,32745.47,1,KRW,52914.23,1.6159,1106,1102,EDILIZIA CIVILE,토스카나 공공공사 단가표(2026년판),토목·건축 공사,철근
TOS26_RU.M10.001.003,섹션: 건축 세부사항: 정규직 직원 대상 준수: D.D. n. 12 2023년 4월 5일자 승인된 표준표의 평균 비용 포함: - 계약 임금; - 법률 및 사실상 노동력에 부과되는 비용; - 일반 공구의 임대 및 사용,Labor,Labor,ora,39915.23,39915.23,39915.23,39915.23,1,KRW,14568.25,0.365,1066,1030,EDILIZIA CIVILE,토스카나 공공공사 단가표(2026년판),토목·건축 공사,철거
TOS26_PRCAM.P09.017.001,"몰타 및 스투키 - 혼합 또는 사전 조합 또는 현장에서 혼합기와 함께 준비된 것. 석고, 바닥재, 벽돌, 마감재 및 충전재에 적합. 저에너지 소비 생산 설비와 폐기물 및 폐기물 감소를 위한 최적화된 공정을 선호합니다. 조기 제품에 대해",Material,General,kg,1377.33,1377.33,1377.33,1377.33,1,KRW,7279.59,5.2853,850,675,EDILIZIA CIVILE,토스카나 공공공사 단가표(2026년판),토목·건축 공사,패널
TOS26_RU.M11.001.003,섹션: 금속기계 / 배관 공사 세부사항: 무기계약 직원에 대한 표준 비용 기준: D.D. n 73 2024년 11월 22일 승인된 정부 표준표의 평균 비용 포함: - 계약 임금; - 법률 및 실질적으로 노동력에 부과되는 비용; - 임대료 및 사용료,Labor,Labor,ora,34149.99,34149.99,34149.99,34149.99,1,KRW,75313.98,2.2054,790,790,EDILIZIA CIVILE,토스카나 공공공사 단가표(2026년판),토목·건축 공사,내부 설치
TOS26_02.A07.011.010,"목적: 운송 / 이동 위치: 현장 내. 포함: 폐기물의 적재, 운송 및 허가된 시설로의 하역, 재활용 또는 폐기 목적. 제외: - 폐기물 위탁을 위한 출입 비용; - 기타 세금. | 목적: 하역",Abstract Material,General,m³,17931.09,17931.09,17931.09,17931.09,1,KRW,7514.06,0.4191,774,774,EDILIZIA CIVILE,토스카나 공공공사 단가표(2026년판),토목·건축 공사,패널
TOS26_PR.P18.ZZ02.002,"목적: 열 및 음향 단열재 기준: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - CE 마킹; - 성능선언서(DoP) | 목적: 단열재 시공 부속품 | 알칼리 저항 유리섬유 메시, 중량 155-160 g/m²",Material,General,m²,2196.09,2196.09,2196.09,2196.09,1,KRW,2415.7,1.1,700,700,EDILIZIA CIVILE,토스카나 공공공사 단가표(2026년판),토목·건축 공사,패널
TOS26_PRCAM.P22.034.001,바닥재 및 마감재용 제품 - CAM. 2022년 6월 23일 DM 256호에 따른 CAM | 프라이머. | 수용액 내 결합제,Material,Paint & Coatings,kg,14384.34,14384.34,14384.34,14384.34,1,KRW,3963.68,0.2756,675,675,EDILIZIA CIVILE,토스카나 공공공사 단가표(2026년판),토목·건축 공사,패널
TOS26_PR.P18.ZZ02.031,"목적: 열 및 음향 단열재 기준: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - CE 마킹; - 성능선언서(DoP) | 목적: 단열재 시공 부속품 | 폴리에틸렌 나사식 앵커, 조적용 115 mm < 길이 < 155 mm",Material,General,cad,786.39,786.39,786.39,786.39,1,KRW,4527.23,5.757,535,535,EDILIZIA CIVILE,토스카나 공공공사 단가표(2026년판),토목·건축 공사,패널
TOS26_PRCAM.P26.090.008,"마감재료 - 페인트, 니스, 래커 및 설치 도구 - CAM 적합성: - UNI EN ISO 4618:2023; - CAM - DM 2022년 6월 23일 n. 256호의 2.5.13절에 따른 ''최소 환경 기준''",Material,General,kg,3799.81,3799.81,3799.81,3799.81,1,KRW,15337.95,4.0365,526,526,EDILIZIA CIVILE,토스카나 공공공사 단가표(2026년판),토목·건축 공사,패널
TOS26_AT.N06.016.001,"목적: 양중 장비 세부사항: 현장 인도 제외: 기타 모든 종류의 할증 | 목적: 크레인 유형: 타워크레인 | 붐 35 m, 지브 끝 하중 1000 kg. 3개월 기준",Equipment,General,ora,5414.77,5414.77,5414.77,5414.77,1,KRW,553.89,0.1023,450,450,EDILIZIA CIVILE,토스카나 공공공사 단가표(2026년판),토목·건축 공사,내장 설치
TOS26_PRCAM.P26.107.004,"마감재료 - 페인트, 니스, 래커 및 설치 도구 - CAM 적합성: - UNI EN ISO 4618:2023; - CAM - DM 2022년 6월 23일 n. 256호의 2.5.13절에 따른 ''최소 환경 기준''",Material,General,kg,15407.73,15407.73,15407.73,15407.73,1,KRW,2300.54,0.1493,435,435,EDILIZIA CIVILE,토스카나 공공공사 단가표(2026년판),토목·건축 공사,패널
TOS26_AT.N06.100.900,목적: 양중 장비 세부사항: 현장 인도 제외: 기타 모든 종류의 할증 | 목적: 연료 / 오일 소비 용도: 양중 장비용 | 유형: 126 CV 이하 디젤,Equipment,General,ora,23702.97,23702.97,23702.97,23702.97,1,KRW,9850.05,0.4156,426,383,EDILIZIA CIVILE,토스카나 공공공사 단가표(2026년판),토목·건축 공사,철근
TOS26_RU.M11.001.002,섹션: 금속기계 / 배관 공사 세부사항: 무기계약 직원에 대한 표준 비용 기준: D.D. n 73 2024년 11월 22일 승인된 정부 표준표의 평균 비용 포함: - 계약 임금; - 법률 및 실질적으로 노동력에 부과되는 비용; - 임대료 및 사용료,Labor,Labor,ora,36557.75,36557.75,36557.75,36557.75,1,KRW,17729.82,0.485,424,424,EDILIZIA CIVILE,토스카나 공공공사 단가표(2026년판),토목·건축 공사,철근
TOS26_PR.P18.ZZ02.032,"목적: 열 및 방음 단열재 준수 사항: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - CE 마크; - 성능 선언서 (DoP) | 목적: 설치 액세서리용 단열재 | 폴리에틸렌 나사못, 벽체용 175 mm < 길이 < 215 mm",Material,General,cad,1347.34,1347.34,1347.34,1347.34,1,KRW,8910.52,6.6134,313,313,EDILIZIA CIVILE,토스카나 공공공사 단가표(2026년판),토목·건축 공사,패널
TOS26_AT.N06.020.001,"목적: 양중 장비 세부사항: 현장 인도 제외: 기타 모든 종류의 할증 | 목적: 전동 호이스트 | 지브 지지대 포함, 하중 150 kg, 월 임대.",Equipment,General,ora,1734.43,1734.43,1734.43,1734.43,1,KRW,175.66,0.1013,276,274,EDILIZIA CIVILE,토스카나 공공공사 단가표(2026년판),토목·건축 공사,패널
