resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
TOS26_RU.M10.001.002,Хэсэг: БАРИЛГА Тодорхойлолт: тогтмол цагаар ажиллагчдад зориулсан Тухайн: Төсвийн дундаж зардал нь Төсөлд зөвшөөрөгдсөн Төсөлд: - гэрээний цалин; - хууль эрх зүйн болон бодит хураамжууд; - ердийн хэрэгсэл ашиглах түрээс болон ашиглалт,Labor,Labor,ora,63871.03,63871.03,63871.03,63871.03,1,MNT,19364.28,0.3032,5533,3192,EDILIZIA CIVILE,Тосканагийн ОГЛОГДОЛ/ОРЧУУЛГА/ГАРГААС гадна 2026 оны Тосканагийн Төсөл Төсөлд зо,ИРГЭДИЙН БАРИЛГА,НУРААЛТ
TOS26_RU.M10.001.004,Хэсэг: БАРИЛГА Тодорхойлолт: тогтмол цагаар ажиллагчдад зориулсан Тухайн: Төсвийн дундаж зардал нь Төсөлд зөвшөөрөгдсөн Төсөлд: - гэрээний цалин; - хууль эрх зүйн болон бодит хураамжууд; - ердийн хэрэгсэл ашиглах түрээс болон ашиглалт,Labor,Labor,ora,53229.17,53229.17,53229.17,53229.17,1,MNT,24882.72,0.4675,2817,2620,EDILIZIA CIVILE,Тосканагийн ОГЛОГДОЛ/ОРЧУУЛГА/ГАРГААС гадна 2026 оны Тосканагийн Төсөл Төсөлд зо,ИРГЭДИЙН БАРИЛГА,НУРААЛТ
TOS26_AT.N01.065.001,"Төрөл: Үйлдвэрлэгч машинүүд Тодорхойлолт: барилга дээр хүргэгдсэн | Объект: МЭРГЭН, ПЕРФОРАТОР, ЦАЦЛАГЧ, ТЭДГЭЭРИЙН ТӨРӨЛ | Цохилтот цэнэгтэй, хүчин чадал 450/500 Вт, 5-20 мм өрөмдлөгийн цорго - 1 өдөр",Equipment,General,ora,4746.85,4746.85,4746.85,4746.85,1,MNT,509.7,0.1074,1180,1180,EDILIZIA CIVILE,Тосканагийн ОГЛОГДОЛ/ОРЧУУЛГА/ГАРГААС гадна 2026 оны Тосканагийн Төсөл Төсөлд зо,ИРГЭДИЙН БАРИЛГА,Засалгаа суурилуулалт
TOS26_RU.M11.001.004,"Сектор: МЕТАЛМЕХАНІЧНИЙ / ІНЖЕНЕРНИЙ Специфікації: для працівників з постійним трудовим договором Відповідність: середня вартість за Таблицями Міністерства, затвердженими з D.D. n 73 від 22 листопада 2024 Включено: - контрактна оплата праці; - податкові та фактичні збори, що накладаються на робочу силу; - оренда та використання обладнання",Labor,Labor,ora,48603.14,48603.14,48603.14,48603.14,1,MNT,78539.04,1.6159,1106,1102,EDILIZIA CIVILE,Тосканагийн ОГЛОГДОЛ/ОРЧУУЛГА/ГАРГААС гадна 2026 оны Тосканагийн Төсөл Төсөлд зо,ИРГЭДИЙН БАРИЛГА,Арматура
TOS26_RU.M10.001.003,Хэсэг: БАРИЛГА Тодорхойлолт: тогтмол цагаар ажиллагчдад зориулсан Тухайн: Төсвийн дундаж зардал нь Төсөлд зөвшөөрөгдсөн Төсөлд: - гэрээний цалин; - хууль эрх зүйн болон бодит хураамжууд; - ердийн хэрэгсэл ашиглах түрээс болон ашиглалт,Labor,Labor,ora,59245.0,59245.0,59245.0,59245.0,1,MNT,21623.23,0.365,1066,1030,EDILIZIA CIVILE,Тосканагийн ОГЛОГДОЛ/ОРЧУУЛГА/ГАРГААС гадна 2026 оны Тосканагийн Төсөл Төсөлд зо,ИРГЭДИЙН БАРИЛГА,НУРААЛТ
TOS26_PRCAM.P09.017.001,"MALTE E STUCCHI - PREMISCELATI / PRECONFEZIONATI CAM oppure PREPARATI IN CANTIERE CON IMPASTATRICI. Per intonaci, massetti, murature rivestimenti e riempitivi. Predilezione per impianti di produzione a basso consumo energetico e processi ottimizzati per ridurre rifiuti e scarti.",Material,General,kg,2044.33,2044.33,2044.33,2044.33,1,MNT,10804.88,5.2853,850,675,EDILIZIA CIVILE,Тосканагийн ОГЛОГДОЛ/ОРЧУУЛГА/ГАРГААС гадна 2026 оны Тосканагийн Төсөл Төсөлд зо,ИРГЭДИЙН БАРИЛГА,Панели
TOS26_RU.M11.001.003,"Сектор: МЕТАЛМЕХАНІЧНИЙ / ІНЖЕНЕРНИЙ Специфікації: для працівників з постійним трудовим договором Відповідність: середня вартість за Таблицями Міністерства, затвердженими з D.D. n 73 від 22 листопада 2024 Включено: - контрактна оплата праці; - податкові та фактичні збори, що накладаються на робочу силу; - оренда та використання обладнання",Labor,Labor,ora,50687.83,50687.83,50687.83,50687.83,1,MNT,111786.33,2.2054,790,790,EDILIZIA CIVILE,Тосканагийн ОГЛОГДОЛ/ОРЧУУЛГА/ГАРГААС гадна 2026 оны Тосканагийн Төсөл Төсөлд зо,ИРГЭДИЙН БАРИЛГА,Тасалгаа
TOS26_02.A07.011.010,"Объект: ТРАНСПОРТ / ПЕРЕМЕЩЕНИЕ Местоположение: на стройплощадке. Включено: погрузка, транспортировка и разгрузка отходов на уполномоченные объекты для их переработки или утилизации. Исключено: - расходы на доступ для их сдачи; - возможные сборы. | Объект: ВЫГРУЗКА",Abstract Material,General,m³,26614.59,26614.59,26614.59,26614.59,1,MNT,11152.9,0.4191,774,774,EDILIZIA CIVILE,Тосканагийн ОГЛОГДОЛ/ОРЧУУЛГА/ГАРГААС гадна 2026 оны Тосканагийн Төсөл Төсөлд зо,ИРГЭДИЙН БАРИЛГА,Панели
TOS26_PR.P18.ZZ02.002,"Объект: ТЕПЛОИЗОЛЯЦИОННЫЕ И ЗВУКОИЗОЛЯЦИОННЫЕ МАТЕРИАЛЫ Соответствие: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - CE маркировка; - Декларация о характеристиках (DoP) | Объект: ДОПОЛНЕНИЯ К МОНТАЖУ ТЕПЛОИЗОЛЯЦИОННЫХ МАТЕРИАЛОВ | стекловолоконная сетка устойчивость к щелочам, вес 155-160 г/м²",Material,General,m²,3259.59,3259.59,3259.59,3259.59,1,MNT,3585.55,1.1,700,700,EDILIZIA CIVILE,Тосканагийн ОГЛОГДОЛ/ОРЧУУЛГА/ГАРГААС гадна 2026 оны Тосканагийн Төсөл Төсөлд зо,ИРГЭДИЙН БАРИЛГА,Панели
TOS26_PRCAM.P22.034.001,ПЛАСТИЧНИКИ ЗА ПАВИЛЬОНЫ И ОБЛИЦОВКИ - CAM. Согласовано: CAM согласно DM 23 июня 2022 г. № 256 | ГРУНТОВКА. | синтетический связующий в водном растворе,Material,Paint & Coatings,kg,21350.26,21350.26,21350.26,21350.26,1,MNT,5883.18,0.2756,675,675,EDILIZIA CIVILE,Тосканагийн ОГЛОГДОЛ/ОРЧУУЛГА/ГАРГААС гадна 2026 оны Тосканагийн Төсөл Төсөлд зо,ИРГЭДИЙН БАРИЛГА,Панели
TOS26_PR.P18.ZZ02.031,"Гарчиг: ХАЛДВАРЫН ТЭРМИК, ЧАНАРЫН ТЭРМИК БА ЧАНАРЫН ТЭРМИКТЭЙ ТЭМДЭГЛЭЛТЭЙ ХЭМЖЭЭНД ТЭРГҮҮЛЭХ | Гарчиг: ХАЛДВАРЫН ТЭРМИК, ЧАНАРЫН ТЭРМИК БА ЧАНАРЫН ТЭРМИКТЭЙ ТЭМДЭГЛЭЛТЭЙ ХЭМЖЭЭНД ТЭРГҮҮЛЭХ | Тодорхойлолт: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - CE тэмдэглэгээ; - Үйл ажиллагааны мэдэгдэл (DoP) | Гарчиг: ХАЛДВАРЫН БҮСЭЭРЭЛТЭЙ ТӨВЛӨРӨЛТӨЙ ХЭРЭГСЭЛ | Полимерээр хийсэн суулгац, хана 115 мм < урт =< 155 мм",Material,General,cad,1167.21,1167.21,1167.21,1167.21,1,MNT,6719.64,5.757,535,535,EDILIZIA CIVILE,Тосканагийн ОГЛОГДОЛ/ОРЧУУЛГА/ГАРГААС гадна 2026 оны Тосканагийн Төсөл Төсөлд зо,ИРГЭДИЙН БАРИЛГА,Панели
