resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
TOS26_RU.M10.001.002,Sector: BOUW Specificaties: voor vaste werknemers Conform: gemiddelde kost van de Ministeriële tabellen goedgekeurd met D.D. n. 12 van 5 april 2023 Inclusief: - contractuele vergoeding; - wettelijke en feitelijke lasten op het arbeidsloon; - huur en gebruik van algemeen gebruikelijke gereedschappen in bezit,Labor,Labor,ora,39.37,39.37,39.37,39.37,1,EUR,11.93,0.3032,5533,3192,EDILIZIA CIVILE,Toscana Publieke Werkkostenlijst (editie 2026),Bouwkunde,Sloopwerkzaamheden
TOS26_RU.M10.001.004,Sector: BOUW Specificaties: voor vaste werknemers Conform: gemiddelde kost van de Ministeriële tabellen goedgekeurd met D.D. n. 12 van 5 april 2023 Inclusief: - contractuele vergoeding; - wettelijke en feitelijke lasten op het arbeidsloon; - huur en gebruik van algemeen gebruikelijke gereedschappen in bezit,Labor,Labor,ora,32.81,32.81,32.81,32.81,1,EUR,15.34,0.4675,2817,2620,EDILIZIA CIVILE,Toscana Publieke Werkkostenlijst (editie 2026),Bouwkunde,Sloopwerkzaamheden
TOS26_AT.N01.065.001,"Type: MACHINES OPERATIONELE Specificaties: afgeleverd op de bouwplaats | Object: HAMERS / BOORHAMERS EN ACCESSOIRES | Klopboormachine, vermogen 450/500 W, voor boren van 5-20 mm - 1 dag",Equipment,General,ora,2.93,2.93,2.93,2.93,1,EUR,0.31,0.1074,1180,1180,EDILIZIA CIVILE,Toscana Publieke Werkkostenlijst (editie 2026),Bouwkunde,Inbouwmontage
TOS26_RU.M11.001.004,Sector: METALMECHANISCH / INSTALLATIE Specifieke eisen: voor vaste werknemers Conforme: gemiddelde kosten volgens de Ministeriële tabellen goedgekeurd met D.D. n 73 van 22 november 2024 Inclusief: - contractuele vergoeding; - wettelijke en feitelijke lasten op de arbeid; - huur en gebruik van de att,Labor,Labor,ora,29.96,29.96,29.96,29.96,1,EUR,48.41,1.6159,1106,1102,EDILIZIA CIVILE,Toscana Publieke Werkkostenlijst (editie 2026),Bouwkunde,wapening
TOS26_RU.M10.001.003,Sector: BOUW Specificaties: voor vaste werknemers Conform: gemiddelde kost van de Ministeriële tabellen goedgekeurd met D.D. n. 12 van 5 april 2023 Inclusief: - contractuele vergoeding; - wettelijke en feitelijke lasten op het arbeidsloon; - huur en gebruik van algemeen gebruikelijke gereedschappen in bezit,Labor,Labor,ora,36.51,36.51,36.51,36.51,1,EUR,13.33,0.365,1066,1030,EDILIZIA CIVILE,Toscana Publieke Werkkostenlijst (editie 2026),Bouwkunde,Sloopwerkzaamheden
TOS26_PRCAM.P09.017.001,"MORTEL EN STUCHELS - VOORGEVOEGDE / VOORVERPAKTE of OP DE WERF VOORGEPASTE MET MIXERS. Voor pleisters, dekvloeren, metselwerk, bekledingen en vulmiddelen. Voorkeur voor productie-installaties met laag energieverbruik en geoptimaliseerde processen om afval en restanten te verminderen. Voor de producten preco",Material,General,kg,1.26,1.26,1.26,1.26,1,EUR,6.66,5.2853,850,675,EDILIZIA CIVILE,Toscana Publieke Werkkostenlijst (editie 2026),Bouwkunde,panelen
TOS26_RU.M11.001.003,Sector: METALMECHANISCH / INSTALLATIE Specifieke eisen: voor vaste werknemers Conforme: gemiddelde kosten volgens de Ministeriële tabellen goedgekeurd met D.D. n 73 van 22 november 2024 Inclusief: - contractuele vergoeding; - wettelijke en feitelijke lasten op de arbeid; - huur en gebruik van de att,Labor,Labor,ora,31.24,31.24,31.24,31.24,1,EUR,68.9,2.2054,790,790,EDILIZIA CIVILE,Toscana Publieke Werkkostenlijst (editie 2026),Bouwkunde,Inbouw
TOS26_02.A07.011.010,"Onderwerp: TRANSPORT / VERPLAATSING Plaatsing: op de bouwplaats. Inbegrepen: laden, transport en lossen van afval naar de erkende installaties voor hun herstel of verwijdering. Uitgesloten: - toegangskosten voor het aanleveren; - eventuele belastingen. | Onderwerp: LOSSEN",Abstract Material,General,m³,16.4,16.4,16.4,16.4,1,EUR,6.87,0.4191,774,774,EDILIZIA CIVILE,Toscana Publieke Werkkostenlijst (editie 2026),Bouwkunde,panelen
TOS26_PR.P18.ZZ02.002,"Onderwerp: THERMISCHE EN GELUIDSISOLATIE conform: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - CE-markering; - Prestatieverklaring (DoP) | Onderwerp: INSTALLATIE-ACCESSOIRES VOOR ISOLATIE | glasvezelnetwerk met alkali-bestendige vezels, gewicht 155-160 g/m²",Material,General,m²,2.01,2.01,2.01,2.01,1,EUR,2.21,1.1,700,700,EDILIZIA CIVILE,Toscana Publieke Werkkostenlijst (editie 2026),Bouwkunde,panelen
TOS26_PRCAM.P22.034.001,PRODUCTEN VOOR VLOER- EN BEPLEISTERING - CAM. Conform: CAM zoals vermeld in DM 23 juni 2022 n. 256 | PRIMER. | synthetische bindmiddel in waterige oplossing,Material,Paint & Coatings,kg,13.16,13.16,13.16,13.16,1,EUR,3.63,0.2756,675,675,EDILIZIA CIVILE,Toscana Publieke Werkkostenlijst (editie 2026),Bouwkunde,panelen
TOS26_PR.P18.ZZ02.031,"Onderwerp: THERMISCHE EN GELUIDSISOLATIE conform: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - CE-markering; - Prestatieverklaring (DoP) | Onderwerp: INSTALLATIE-ACCESSOIRES VOOR ISOLATIE | Schroefplug in polyethyleen, voor metselwerk 115 mm < lengte < 155 mm",Material,General,cad,0.72,0.72,0.72,0.72,1,EUR,4.14,5.757,535,535,EDILIZIA CIVILE,Toscana Publieke Werkkostenlijst (editie 2026),Bouwkunde,panelen
TOS26_PRCAM.P26.090.008,"Ruwbouwmaterialen - Verf, lakken, email en gereedschap voor de toepassing ervan - CAM Conforme: - UNI EN ISO 4618:2023; - CAM - paragraaf 2.5.13 zoals vermeld in DM 23 juni 2022 n. 256, ''MINIMALE MILIEUCRITERIA voor het uitbesteden van ontwerp- en uitvoeringsdiensten van interventie- en",Material,General,kg,3.48,3.48,3.48,3.48,1,EUR,14.03,4.0365,526,526,EDILIZIA CIVILE,Toscana Publieke Werkkostenlijst (editie 2026),Bouwkunde,panelen
TOS26_AT.N06.016.001,"Onderwerp: HOGEBOUW MACHINES Specificaties: geleverd op de bouwplaats Uitgesloten: andere toeslagen van welke aard dan ook | Onderwerp: TOWERKRAN Type: A | arm 35 m, maximale hijscapaciteit 1000 kg. voor 3 maanden",Equipment,General,ora,4.95,4.95,4.95,4.95,1,EUR,0.51,0.1023,450,450,EDILIZIA CIVILE,Toscana Publieke Werkkostenlijst (editie 2026),Bouwkunde,Inbouwmontage
TOS26_PRCAM.P26.107.004,"Ruwbouwmaterialen - Verf, lakken, email en gereedschap voor de toepassing ervan - CAM Conforme: - UNI EN ISO 4618:2023; - CAM - paragraaf 2.5.13 zoals vermeld in DM 23 juni 2022 n. 256, ''MINIMALE MILIEUCRITERIA voor het uitbesteden van ontwerp- en uitvoeringsdiensten van interventie- en",Material,General,kg,14.09,14.09,14.09,14.09,1,EUR,2.1,0.1493,435,435,EDILIZIA CIVILE,Toscana Publieke Werkkostenlijst (editie 2026),Bouwkunde,panelen
TOS26_AT.N06.100.900,Onderwerp: HOGE- / LIFTMACHINES Specificaties: geleverd op de bouwplaats Uitgesloten: andere toeslagen van welke aard dan ook | Onderwerp: BRANDSTOFVERBRUIK / OLIE Gebruik: VOOR HOGE- / LIFTMACHINES | Type: diesel tot 126 CV,Equipment,General,ora,21.68,21.68,21.68,21.68,1,EUR,9.01,0.4156,426,383,EDILIZIA CIVILE,Toscana Publieke Werkkostenlijst (editie 2026),Bouwkunde,wapening
TOS26_RU.M11.001.002,Sector: METALMECHANISCH / INSTALLATIE Specifieke eisen: voor vaste werknemers Conforme: gemiddelde kosten volgens de Ministeriële tabellen goedgekeurd met D.D. n 73 van 22 november 2024 Inclusief: - contractuele vergoeding; - wettelijke en feitelijke lasten op de arbeid; - huur en gebruik van de att,Labor,Labor,ora,33.44,33.44,33.44,33.44,1,EUR,16.22,0.485,424,424,EDILIZIA CIVILE,Toscana Publieke Werkkostenlijst (editie 2026),Bouwkunde,wapening
TOS26_PR.P18.ZZ02.032,"Onderwerp: THERMISCHE EN GELUIDSISOLATIE volgens: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - CE-markering; - Prestatieverklaring (DoP) | Onderwerp: INSTALLATIEACCESSOIRES VOOR ISOLATIE | Schroefplug in polyethyleen, voor metselwerk 175 mm < lengte < 215 mm",Material,General,cad,1.23,1.23,1.23,1.23,1,EUR,8.15,6.6134,313,313,EDILIZIA CIVILE,Toscana Publieke Werkkostenlijst (editie 2026),Bouwkunde,panelen
TOS26_AT.N06.020.001,"Onderwerp: HOGE- & LIFTMACHINES Specificaties: geleverd op de bouwplaats Uitgesloten: andere toeslagen van welke aard dan ook | Onderwerp: ELEKTRISCHE KRAAN | met steunbalk, draagvermogen 150 kg, maandhuur.",Equipment,General,ora,1.59,1.59,1.59,1.59,1,EUR,0.16,0.1013,276,274,EDILIZIA CIVILE,Toscana Publieke Werkkostenlijst (editie 2026),Bouwkunde,panelen
TOS26_RU.M05.001.001,Sector: DE WATERSCHAPPELIJKE-BOSBOUW EN WATERSCHAPPELIJK-AGRARISCHE Sector Specificaties: voor vaste werknemers Conform: minimale uurkosten van de referentieverenigingen - geldig vanaf 1 januari 2016 Inclusief: - algemene kosten; - bedrijfswinst | Type: BOSWERKER | Niveau: 5e Arbeiders,Labor,Labor,ora,25.42,25.42,25.42,25.42,1,EUR,658.29,25.9014,259,228,OPERE FORESTALI CAM: no,Toscana Publieke Werkkostenlijst (editie 2026),BOSWERKZAAMHEDEN BOS: nee,Bosbouwkundige interventies
TOS26_PR.P18.ZZ02.033,"Onderwerp: THERMISCHE EN GELUIDSISOLATIE Volgens: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - CE-markering; - Prestatieverklaring (DoP) | Onderwerp: ACCESSOIRES VOOR ISOLATIE | Schroefanker in polyethyleen, voor metselwerk 235 mm < lengte < 275 mm",Material,General,cad,1.75,1.75,1.75,1.75,1,EUR,11.41,6.5138,253,253,EDILIZIA CIVILE,Toscana Publieke Werkkostenlijst (editie 2026),Bouwkunde,panelen
TOS26_RU.M05.001.002,Sector: INFRASTRUCTUUR-EN BOSBOUW EN INFRASTRUCTUUR-AGRARISCHE WATERBEHEER SPECIFICATIES: voor vaste werknemers Conform: minimale uurloon van de referentieverenigingen - geldig vanaf 1 januari 2016 Inclusief: - algemene kosten; - bedrijfswinst | Type: BOSBOUWER | Niveau: 4e Arbeider,Labor,Labor,ora,24.0,24.0,24.0,24.0,1,EUR,1709.58,71.2444,248,218,OPERE FORESTALI CAM: no,Toscana Publieke Werkkostenlijst (editie 2026),BOSWERKZAAMHEDEN BOS: nee,Bosbouwkundige interventies
TOS26_RU.M05.001.004,Sector: DE WATERBEHEER- EN BOSBOUWSECTOR Specificaties: voor vaste werknemers Conform: minimale uurloon van de referentieverenigingen - geldig vanaf 1 januari 2016 Inclusief: - algemene kosten; - bedrijfswinst | Type: BOSBOUWER | Niveau: 2e Arbeider,Labor,Labor,ora,21.57,21.57,21.57,21.57,1,EUR,1480.08,68.6074,235,220,OPERE FORESTALI CAM: no,Toscana Publieke Werkkostenlijst (editie 2026),BOSWERKZAAMHEDEN BOS: nee,Bosbouwkundige interventies
