resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
TOS26_RU.M10.001.002,Branża: BUDOWNICTWO Specyfikacja: dla pracowników na umowę o pracę na czas nieokreślony Zgodnie z: średni koszt tabel Ministerialnych zatwierdzonych decyzją D.D. nr 12 z dnia 5 kwietnia 2023 Wliczono: - wynagrodzenie kontraktowe; - składki prawne i faktyczne obciążające siłę roboczą; - wynajem i użytkowanie narzędzi powszechnego użytku w wyposażeniu,Labor,Labor,ora,103.82,103.82,103.82,103.82,1,PLN,31.48,0.3032,5533,3192,EDILIZIA CIVILE,Toskański katalog cen robót publicznych (wydanie 2026),Budownictwo ogólne,ROZBIÓRKA
TOS26_RU.M10.001.004,Branża: BUDOWNICTWO Specyfikacja: dla pracowników na umowę o pracę na czas nieokreślony Zgodnie z: średni koszt tabel Ministerialnych zatwierdzonych decyzją D.D. nr 12 z dnia 5 kwietnia 2023 Wliczono: - wynagrodzenie kontraktowe; - składki prawne i faktyczne obciążające siłę roboczą; - wynajem i użytkowanie narzędzi powszechnego użytku w wyposażeniu,Labor,Labor,ora,86.52,86.52,86.52,86.52,1,PLN,40.45,0.4675,2817,2620,EDILIZIA CIVILE,Toskański katalog cen robót publicznych (wydanie 2026),Budownictwo ogólne,ROZBIÓRKA
TOS26_AT.N01.065.001,"Typ: MASZYNY OPERATORSKIE Specyfikacja: dostarczone na plac budowy | Przedmiot: MŁOTY / WIERTEK ELEKTRYCZNE I AKCESORIA | Wiertarka z udarem, moc 450/500 W, do wierteł od 5 do 20 mm - 1 dzień",Equipment,General,ora,7.72,7.72,7.72,7.72,1,PLN,0.83,0.1074,1180,1180,EDILIZIA CIVILE,Toskański katalog cen robót publicznych (wydanie 2026),Budownictwo ogólne,Montaż sufitowy
TOS26_RU.M11.001.004,Sekcja: METALOWY / INSTALACYJNY Specyfikacje: dla pracowników na umowę o pracę na czas nieokreślony Zgodnie z: średni koszt tabel ministerialnych zatwierdzonych D.D. n 73 z dnia 22 listopada 2024 roku W skład wchodzi: - wynagrodzenie kontraktowe; - składki prawne i faktyczne obciążające siłę roboczą; - wynajem i użytkowanie sprzętu,Labor,Labor,ora,79.01,79.01,79.01,79.01,1,PLN,127.67,1.6159,1106,1102,EDILIZIA CIVILE,Toskański katalog cen robót publicznych (wydanie 2026),Budownictwo ogólne,Zbrojenie
TOS26_RU.M10.001.003,Branża: BUDOWNICTWO Specyfikacja: dla pracowników na umowę o pracę na czas nieokreślony Zgodnie z: średni koszt tabel Ministerialnych zatwierdzonych decyzją D.D. nr 12 z dnia 5 kwietnia 2023 Wliczono: - wynagrodzenie kontraktowe; - składki prawne i faktyczne obciążające siłę roboczą; - wynajem i użytkowanie narzędzi powszechnego użytku w wyposażeniu,Labor,Labor,ora,96.3,96.3,96.3,96.3,1,PLN,35.15,0.365,1066,1030,EDILIZIA CIVILE,Toskański katalog cen robót publicznych (wydanie 2026),Budownictwo ogólne,ROZBIÓRKA
TOS26_PRCAM.P09.017.001,"MALTY I GŁADZIKI - MIESZANE W POMIESZCZENIU / WSTĘPNIE ZESTAWIONE lub WSTĘPNIE PRZYGOTOWANE NA PLACU BUDOWY Z MIESZADŁAMI. Do tynków, wylewek, murów, okładzin i wypełniaczy. Preferencja dla instalacji produkcyjnych o niskim zużyciu energii i zoptymalizowanych procesów w celu ograniczenia odpadów i odpadków. Dla produktów wstępnych",Material,General,kg,3.32,3.32,3.32,3.32,1,PLN,17.56,5.2853,850,675,EDILIZIA CIVILE,Toskański katalog cen robót publicznych (wydanie 2026),Budownictwo ogólne,Panele
TOS26_RU.M11.001.003,Sekcja: METALOWY / INSTALACYJNY Specyfikacje: dla pracowników na umowę o pracę na czas nieokreślony Zgodnie z: średni koszt tabel ministerialnych zatwierdzonych D.D. n 73 z dnia 22 listopada 2024 roku W skład wchodzi: - wynagrodzenie kontraktowe; - składki prawne i faktyczne obciążające siłę roboczą; - wynajem i użytkowanie sprzętu,Labor,Labor,ora,82.39,82.39,82.39,82.39,1,PLN,181.71,2.2054,790,790,EDILIZIA CIVILE,Toskański katalog cen robót publicznych (wydanie 2026),Budownictwo ogólne,Wklejanie
TOS26_02.A07.011.010,"Przedmiot: TRANSPORT / PRZEMIESZCZANIE Pozycja: na placu budowy. W skład wchodzi: załadunek, transport i rozładunek odpadów do uprawnionych instalacji w celu ich odzysku lub unieszkodliwienia. Wyłączenia: - koszty dostępu związane z ich przekazaniem; - ewentualne opłaty. | Przedmiot: ROZŁADUNEK",Abstract Material,General,m³,43.26,43.26,43.26,43.26,1,PLN,18.13,0.4191,774,774,EDILIZIA CIVILE,Toskański katalog cen robót publicznych (wydanie 2026),Budownictwo ogólne,Panele
TOS26_PR.P18.ZZ02.002,"Temat: IZOLACJE TERMICZNE I AKUSTYCZNE Zgodnie z: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - oznakowanie CE; - Deklaracja Właściwości Użytkowych (DoP) | Temat: AKCESORIA DO UKŁADANIA IZOLACJI | siatka z włókna szklanego odporna na alkalia, waga 155-160 g/m²",Material,General,m²,5.3,5.3,5.3,5.3,1,PLN,5.83,1.1,700,700,EDILIZIA CIVILE,Toskański katalog cen robót publicznych (wydanie 2026),Budownictwo ogólne,Panele
TOS26_PRCAM.P22.034.001,PRODUKTY DO PODŁÓG I OKŁADZIN - Zgodnie z: CAM zgodnie z DM z dnia 23 czerwca 2022 r. nr 256 | PRIMER. | łącznik syntetyczny w roztworze wodnym,Material,Paint & Coatings,kg,34.71,34.71,34.71,34.71,1,PLN,9.56,0.2756,675,675,EDILIZIA CIVILE,Toskański katalog cen robót publicznych (wydanie 2026),Budownictwo ogólne,Panele
