resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
TOS26_RU.M10.001.002,Setor: CONSTRUÇÃO Especificações: para funcionários com contrato por tempo indeterminado Conforme: custo médio das Tabelas Ministeriais aprovadas com D.D. n. 12 de 5 de abril de 2023 Incluído: - remuneração contratual; - encargos legais e de fato incidentes sobre a mão de obra; - aluguel e uso de ferramentas de uso comum em dotação,Labor,Labor,ora,28.16,28.16,28.16,28.16,1,EUR,8.54,0.3032,5533,3192,EDILIZIA CIVILE,Preçário de Obras Públicas da Toscana (edição 2026),CONSTRUÇÃO CIVIL,DEMOLIÇÃO
TOS26_RU.M10.001.004,Setor: CONSTRUÇÃO Especificações: para funcionários com contrato por tempo indeterminado Conforme: custo médio das Tabelas Ministeriais aprovadas com D.D. n. 12 de 5 de abril de 2023 Incluído: - remuneração contratual; - encargos legais e de fato incidentes sobre a mão de obra; - aluguel e uso de ferramentas de uso comum em dotação,Labor,Labor,ora,23.47,23.47,23.47,23.47,1,EUR,10.97,0.4675,2817,2620,EDILIZIA CIVILE,Preçário de Obras Públicas da Toscana (edição 2026),CONSTRUÇÃO CIVIL,DEMOLIÇÃO
TOS26_AT.N01.065.001,"Tipo: MÁQUINAS OPERATRIZES Especificações: entregues no canteiro | Objeto: MARTELLOS / PERFORADORAS ELÉTRICAS E ACESSÓRIOS | Broca com percussão, potência 450/500 W, para brocas de 5-20 mm - 1 dia",Equipment,General,ora,2.09,2.09,2.09,2.09,1,EUR,0.22,0.1074,1180,1180,EDILIZIA CIVILE,Preçário de Obras Públicas da Toscana (edição 2026),CONSTRUÇÃO CIVIL,INSTALAÇÃO FIXA
TOS26_RU.M11.001.004,Setor: METALMECÂNICO / INSTALAÇÕES Especificações: para funcionários com contrato por tempo indeterminado Conformidade: custo médio das Tabelas Ministeriais aprovadas com D.D. n 73 de 22 de novembro de 2024 Incluído: - remuneração contratual; - encargos legais e de fato incidentes sobre a mão de obra; - aluguel e uso dos equipamentos,Labor,Labor,ora,21.43,21.43,21.43,21.43,1,EUR,34.63,1.6159,1106,1102,EDILIZIA CIVILE,Preçário de Obras Públicas da Toscana (edição 2026),CONSTRUÇÃO CIVIL,ARMADURA
TOS26_RU.M10.001.003,Setor: CONSTRUÇÃO Especificações: para funcionários com contrato por tempo indeterminado Conforme: custo médio das Tabelas Ministeriais aprovadas com D.D. n. 12 de 5 de abril de 2023 Incluído: - remuneração contratual; - encargos legais e de fato incidentes sobre a mão de obra; - aluguel e uso de ferramentas de uso comum em dotação,Labor,Labor,ora,26.12,26.12,26.12,26.12,1,EUR,9.53,0.365,1066,1030,EDILIZIA CIVILE,Preçário de Obras Públicas da Toscana (edição 2026),CONSTRUÇÃO CIVIL,DEMOLIÇÃO
TOS26_PRCAM.P09.017.001,"ARGAMASSADOS E ESTUQUES - CAMPO PRÉ-MISTURADO / PRÉ-FABRICADO ou PREPARADO NO LOCAL COM MISTURADORES. Para argamassas, contrapisos, alvenarias, revestimentos e enchimentos. Preferência por sistemas de produção de baixo consumo energético e processos otimizados para reduzir resíduos e desperdícios. Para produtos preco",Material,General,kg,0.9,0.9,0.9,0.9,1,EUR,4.76,5.2853,850,675,EDILIZIA CIVILE,Preçário de Obras Públicas da Toscana (edição 2026),CONSTRUÇÃO CIVIL,PAINÉIS
TOS26_RU.M11.001.003,Setor: METALMECÂNICO / INSTALAÇÕES Especificações: para funcionários com contrato por tempo indeterminado Conformidade: custo médio das Tabelas Ministeriais aprovadas com D.D. n 73 de 22 de novembro de 2024 Incluído: - remuneração contratual; - encargos legais e de fato incidentes sobre a mão de obra; - aluguel e uso dos equipamentos,Labor,Labor,ora,22.35,22.35,22.35,22.35,1,EUR,49.29,2.2054,790,790,EDILIZIA CIVILE,Preçário de Obras Públicas da Toscana (edição 2026),CONSTRUÇÃO CIVIL,Furadeira
TOS26_02.A07.011.010,"Objeto: TRANSPORTE / MOVIMENTAÇÃO Posicionamento: no âmbito do canteiro de obras. Incluído: carga, transporte e descarregamento de resíduos para instalações autorizadas para fins de recuperação ou descarte. Excluído: - custos de acesso para o seu descarregamento; - eventuais tributos.",Abstract Material,General,m³,11.73,11.73,11.73,11.73,1,EUR,4.92,0.4191,774,774,EDILIZIA CIVILE,Preçário de Obras Públicas da Toscana (edição 2026),CONSTRUÇÃO CIVIL,PAINÉIS
TOS26_PR.P18.ZZ02.002,Objeto: ISOLANTES TÉRMICOS E ACÚSTICOS Conformidade: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - marcação CE; - Declaração de Desempenho (DoP) | Objeto: ACESSÓRIOS DE INSTALAÇÃO PARA ISOLANTES | rede de fibra de vidro resistente a álcalis peso 155-160 g/m²,Material,General,m²,1.44,1.44,1.44,1.44,1,EUR,1.58,1.1,700,700,EDILIZIA CIVILE,Preçário de Obras Públicas da Toscana (edição 2026),CONSTRUÇÃO CIVIL,PAINÉIS
TOS26_PRCAM.P22.034.001,PRODUTOS PARA PAVIMENTOS E REVESTIMENTOS - CAM. Conformidade: CAM conforme DM 23 de junho de 2022 n.º 256 | PRIMER. | de ligação sintética em solução aquosa,Material,Paint & Coatings,kg,9.41,9.41,9.41,9.41,1,EUR,2.59,0.2756,675,675,EDILIZIA CIVILE,Preçário de Obras Públicas da Toscana (edição 2026),CONSTRUÇÃO CIVIL,PAINÉIS
TOS26_PR.P18.ZZ02.031,"Objeto: ISOLANTES TÉRMICOS E ACÚSTICOS Conforme: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - marcação CE; - Declaração de Desempenho (DoP) | Objeto: ACESSÓRIOS DE INSTALAÇÃO PARA ISOLANTES | Bucha de fixação por parafuso em polietileno, para alvenaria 115 mm < comprimento < 155 mm",Material,General,cad,0.51,0.51,0.51,0.51,1,EUR,2.96,5.757,535,535,EDILIZIA CIVILE,Preçário de Obras Públicas da Toscana (edição 2026),CONSTRUÇÃO CIVIL,PAINÉIS
TOS26_PRCAM.P26.090.008,"MATERIAIS DE REVESTIMENTO - TINTAS, VERNIZES, ESMALTES E INSTRUMENTOS PARA A SUA APLICAÇÃO - CAM Conforme: - UNI EN ISO 4618:2023; - CAM - parágrafo 2.5.13 de acordo com o DM 23 de junho de 2022 n.º 256, ''CRITÉRIOS AMBIENTAIS MÍNIMOS para a adjudicação do serviço de projeto e execução de intervenções e''",Material,General,kg,2.49,2.49,2.49,2.49,1,EUR,10.04,4.0365,526,526,EDILIZIA CIVILE,Preçário de Obras Públicas da Toscana (edição 2026),CONSTRUÇÃO CIVIL,PAINÉIS
TOS26_AT.N06.016.001,"Objeto: MÁQUINAS ELEVADORAS Especificações: entregues no canteiro de obras Excluído: quaisquer outros acréscimos de qualquer natureza | Objeto: GRUA Tipo: TORRE | braço 35 m, capacidade na ponta 1000 kg. por 3 meses",Equipment,General,ora,3.54,3.54,3.54,3.54,1,EUR,0.36,0.1023,450,450,EDILIZIA CIVILE,Preçário de Obras Públicas da Toscana (edição 2026),CONSTRUÇÃO CIVIL,INSTALAÇÃO FIXA
TOS26_PRCAM.P26.107.004,"MATERIAIS DE REVESTIMENTO - TINTAS, VERNIZES, ESMALTES E INSTRUMENTOS PARA A SUA APLICAÇÃO - CAM Conforme: - UNI EN ISO 4618:2023; - CAM - parágrafo 2.5.13 de acordo com o DM 23 de junho de 2022 n.º 256, ''CRITÉRIOS AMBIENTAIS MÍNIMOS para a adjudicação do serviço de projeto e execução de intervenções e''",Material,General,kg,10.08,10.08,10.08,10.08,1,EUR,1.51,0.1493,435,435,EDILIZIA CIVILE,Preçário de Obras Públicas da Toscana (edição 2026),CONSTRUÇÃO CIVIL,PAINÉIS
TOS26_AT.N06.100.900,Objeto: MÁQUINAS ELEVADORAS Especificações: entregues no canteiro de obras Excluído: outros acréscimos de qualquer natureza | Objeto: CONSUMO DE COMBUSTÍVEL / ÓLEO Uso: PARA MÁQUINAS ELEVADORAS | Tipo: diesel até 126 CV,Equipment,General,ora,15.51,15.51,15.51,15.51,1,EUR,6.45,0.4156,426,383,EDILIZIA CIVILE,Preçário de Obras Públicas da Toscana (edição 2026),CONSTRUÇÃO CIVIL,ARMADURA
TOS26_RU.M11.001.002,Setor: METALMECÂNICO / INSTALAÇÕES Especificações: para funcionários com contrato por tempo indeterminado Conformidade: custo médio das Tabelas Ministeriais aprovadas com D.D. n 73 de 22 de novembro de 2024 Incluído: - remuneração contratual; - encargos legais e de fato incidentes sobre a mão de obra; - aluguel e uso dos equipamentos,Labor,Labor,ora,23.92,23.92,23.92,23.92,1,EUR,11.6,0.485,424,424,EDILIZIA CIVILE,Preçário de Obras Públicas da Toscana (edição 2026),CONSTRUÇÃO CIVIL,ARMADURA
TOS26_PR.P18.ZZ02.032,"Objeto: ISOLANTES TÉRMICOS E ACÚSTICOS Conforme: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - marcação CE; - Declaração de Desempenho (DoP) | Objeto: ACESSÓRIOS DE INSTALAÇÃO PARA ISOLANTES | Bucha de fixação por parafuso em polietileno, para alvenaria 175 mm < comprimento < 215 mm",Material,General,cad,0.88,0.88,0.88,0.88,1,EUR,5.83,6.6134,313,313,EDILIZIA CIVILE,Preçário de Obras Públicas da Toscana (edição 2026),CONSTRUÇÃO CIVIL,PAINÉIS
TOS26_AT.N06.020.001,"Objeto: MÁQUINAS ELEVADORAS Especificações: entregues no canteiro de obras Excluído: quaisquer outros acréscimos de qualquer natureza | Objeto: MONTACARGAS ELÉTRICO | com suporte de bandeira, capacidade 150 kg, aluguel mensal.",Equipment,General,ora,1.14,1.14,1.14,1.14,1,EUR,0.11,0.1013,276,274,EDILIZIA CIVILE,Preçário de Obras Públicas da Toscana (edição 2026),CONSTRUÇÃO CIVIL,PAINÉIS
TOS26_RU.M05.001.001,Setor: DO SETOR HIDRÁULICO-FORESTAL E HIDRÁULICO-AGRÍCOLA Especificações: para funcionários com contrato por tempo indeterminado Conformidade: custo mínimo horário das associações de referência - em vigor desde 1 de janeiro de 2016 Incluído: - despesas gerais; - lucros da empresa | Tipo: OPERÁRIO FLORESTAL | Nível: 5º Operários,Labor,Labor,ora,18.18,18.18,18.18,18.18,1,EUR,470.93,25.9014,259,228,OPERE FORESTALI CAM: no,Preçário de Obras Públicas da Toscana (edição 2026),OBRAS FLORESTAIS CAM: não,INTERVENÇÕES DE UTILIZAÇÃO FLORESTAL
TOS26_PR.P18.ZZ02.033,"Objeto: ISOLANTES TÉRMICOS E ACÚSTICOS Conforme: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - marcação CE; - Declaração de Desempenho (DoP) | Objeto: ACESSÓRIOS DE INSTALAÇÃO PARA ISOLANTES | Bucha de fixação por parafuso em polietileno, para alvenaria 235 mm < comprimento < 275 mm",Material,General,cad,1.25,1.25,1.25,1.25,1,EUR,8.17,6.5138,253,253,EDILIZIA CIVILE,Preçário de Obras Públicas da Toscana (edição 2026),CONSTRUÇÃO CIVIL,PAINÉIS
