resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
TOS26_RU.M10.001.002,Sector: CONSTRUCȚII Specificații: pentru angajați cu contract pe perioadă nedeterminată Conform: costul mediu al Tabelelor Ministeriale aprobate prin D.D. nr. 12 din 5 aprilie 2023 Inclus: - salariul contractual; - contribuțiile legale și de fapt care revin forței de muncă; - închirierea și utilizarea uneltelor de uz comun în dotare,Labor,Labor,ora,104.36,104.36,104.36,104.36,1,RON,31.64,0.3032,5533,3192,EDILIZIA CIVILE,Prețul lucrărilor publice din Toscana (ediția 2026),CONSTRUCȚII CIVILE,DEMOLARE
TOS26_RU.M10.001.004,Sector: CONSTRUCȚII Specificații: pentru angajați cu contract pe perioadă nedeterminată Conform: costul mediu al Tabelelor Ministeriale aprobate prin D.D. nr. 12 din 5 aprilie 2023 Inclus: - salariul contractual; - contribuțiile legale și de fapt care revin forței de muncă; - închirierea și utilizarea uneltelor de uz comun în dotare,Labor,Labor,ora,86.97,86.97,86.97,86.97,1,RON,40.66,0.4675,2817,2620,EDILIZIA CIVILE,Prețul lucrărilor publice din Toscana (ediția 2026),CONSTRUCȚII CIVILE,DEMOLARE
TOS26_AT.N01.065.001,"Tip: MAȘINI OPERATORII Specificații: livrate pe șantier | Obiect: CIUPICI / BORMASINI ELECTRICE ȘI ACCESORII | Bormașină cu percuție, putere 450/500 W, pentru burghie de 5-20 mm - 1 zi",Equipment,General,ora,7.76,7.76,7.76,7.76,1,RON,0.83,0.1074,1180,1180,EDILIZIA CIVILE,Prețul lucrărilor publice din Toscana (ediția 2026),CONSTRUCȚII CIVILE,INSTALARE FIXĂ
TOS26_RU.M11.001.004,Sector: METALMECHANIC / INSTALLATION Specificații: pentru angajați cu contract pe perioadă nedeterminată Conform: cost mediu din tabelele Ministerului aprobate prin D.D. nr 73 din 22 noiembrie 2024 Inclus: - salariu contractual; - contribuții legale și efective asupra forței de muncă; - închiriere și utilizare a echipamentelor,Labor,Labor,ora,79.41,79.41,79.41,79.41,1,RON,128.32,1.6159,1106,1102,EDILIZIA CIVILE,Prețul lucrărilor publice din Toscana (ediția 2026),CONSTRUCȚII CIVILE,Armătură
TOS26_RU.M10.001.003,Sector: CONSTRUCȚII Specificații: pentru angajați cu contract pe perioadă nedeterminată Conform: costul mediu al Tabelelor Ministeriale aprobate prin D.D. nr. 12 din 5 aprilie 2023 Inclus: - salariul contractual; - contribuțiile legale și de fapt care revin forței de muncă; - închirierea și utilizarea uneltelor de uz comun în dotare,Labor,Labor,ora,96.8,96.8,96.8,96.8,1,RON,35.33,0.365,1066,1030,EDILIZIA CIVILE,Prețul lucrărilor publice din Toscana (ediția 2026),CONSTRUCȚII CIVILE,DEMOLARE
TOS26_PRCAM.P09.017.001,"MALTE ȘI STUCURI - CAM PREMIXATE / PRECONFECTIONATE sau PREPARATE ÎN ȘANTIER CU AMESTECĂTOARE. Pentru tencuieli, șape, zidării, finisaje și umpluturi. Preferință pentru instalații de producție cu consum redus de energie și procese optimizate pentru reducerea deșeurilor și a resturilor. Pentru produsele preco",Material,General,kg,3.34,3.34,3.34,3.34,1,RON,17.65,5.2853,850,675,EDILIZIA CIVILE,Prețul lucrărilor publice din Toscana (ediția 2026),CONSTRUCȚII CIVILE,PANOURI
TOS26_RU.M11.001.003,Sector: METALMECHANIC / INSTALLATION Specificații: pentru angajați cu contract pe perioadă nedeterminată Conform: cost mediu din tabelele Ministerului aprobate prin D.D. nr 73 din 22 noiembrie 2024 Inclus: - salariu contractual; - contribuții legale și efective asupra forței de muncă; - închiriere și utilizare a echipamentelor,Labor,Labor,ora,82.82,82.82,82.82,82.82,1,RON,182.64,2.2054,790,790,EDILIZIA CIVILE,Prețul lucrărilor publice din Toscana (ediția 2026),CONSTRUCȚII CIVILE,Îmbinare
TOS26_02.A07.011.010,"Obiect: TRANSPORT / MUTARE Poziționare: în cadrul șantierului. Inclus: încărcare, transport și descărcare a deșeurilor la instalațiile autorizate pentru recuperarea sau eliminarea lor. Excluse: - costurile de acces pentru depozitare; - eventuale taxe. | Obiect: DESCĂRCĂRI",Abstract Material,General,m³,43.48,43.48,43.48,43.48,1,RON,18.22,0.4191,774,774,EDILIZIA CIVILE,Prețul lucrărilor publice din Toscana (ediția 2026),CONSTRUCȚII CIVILE,PANOURI
TOS26_PR.P18.ZZ02.002,"Obiect: IZOLAȚII TERMICE ȘI ACUSTICE Conform: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - marcaj CE; - Declarație de Performanță (DoP) | Obiect: ACCESORII DE APLICAȚIE PENTRU IZOLAȚII | plasă din fibră de sticlă rezistentă la alcaline, greutate 155-160 g/m²",Material,General,m²,5.33,5.33,5.33,5.33,1,RON,5.86,1.1,700,700,EDILIZIA CIVILE,Prețul lucrărilor publice din Toscana (ediția 2026),CONSTRUCȚII CIVILE,PANOURI
TOS26_PRCAM.P22.034.001,PRODUSE PENTRU PAVAJAMENTE ȘI ÎNVELIȘURI - CAM. Conform: CAM conform cu DM 23 iunie 2022 nr. 256 | PRIMER. | de legătură sintetice în soluție apoasă,Material,Paint & Coatings,kg,34.88,34.88,34.88,34.88,1,RON,9.61,0.2756,675,675,EDILIZIA CIVILE,Prețul lucrărilor publice din Toscana (ediția 2026),CONSTRUCȚII CIVILE,PANOURI
TOS26_PR.P18.ZZ02.031,"Obiect: IZOLAȚII TERMICE ȘI ACUSTICE Conform: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - marcaj CE; - Declarație de Performanță (DoP) | Obiect: ACCESORII DE APLICAȚIE PENTRU IZOLAȚII | Șurub de fixare din polietilenă, pentru zidărie 115 mm < lungime < 155 mm",Material,General,cad,1.91,1.91,1.91,1.91,1,RON,10.98,5.757,535,535,EDILIZIA CIVILE,Prețul lucrărilor publice din Toscana (ediția 2026),CONSTRUCȚII CIVILE,PANOURI
TOS26_PRCAM.P26.090.008,"MATERIALE DE ÎNVELIȘ - VOPSE, VERNICE, EMAILURI ȘI UNELTE PENTRU A LE APLICĂ - CAM Conform: - UNI EN ISO 4618:2023; - CAM - paragraful 2.5.13 din DM 23 iunie 2022 nr. 256, ''CRITERII MINIME DE MEDIU pentru atribuirea serviciului de proiectare și execuție a lucrărilor de intervenție și''",Material,General,kg,9.21,9.21,9.21,9.21,1,RON,37.2,4.0365,526,526,EDILIZIA CIVILE,Prețul lucrărilor publice din Toscana (ediția 2026),CONSTRUCȚII CIVILE,PANOURI
TOS26_AT.N06.016.001,"Obiect: ELEVATOARE SPECIFICAȚII: livrate pe șantier Excluse: alte majorări de orice natură | Obiect: MACARON Tipo: CU TURN | braț 35 m, capacitate la vârf 1000 kg. pentru 3 luni",Equipment,General,ora,13.13,13.13,13.13,13.13,1,RON,1.34,0.1023,450,450,EDILIZIA CIVILE,Prețul lucrărilor publice din Toscana (ediția 2026),CONSTRUCȚII CIVILE,INSTALARE FIXĂ
TOS26_PRCAM.P26.107.004,"MATERIALE DE ÎNVELIȘ - VOPSE, VERNICE, EMAILURI ȘI UNELTE PENTRU A LE APLICĂ - CAM Conform: - UNI EN ISO 4618:2023; - CAM - paragraful 2.5.13 din DM 23 iunie 2022 nr. 256, ''CRITERII MINIME DE MEDIU pentru atribuirea serviciului de proiectare și execuție a lucrărilor de intervenție și''",Material,General,kg,37.37,37.37,37.37,37.37,1,RON,5.58,0.1493,435,435,EDILIZIA CIVILE,Prețul lucrărilor publice din Toscana (ediția 2026),CONSTRUCȚII CIVILE,PANOURI
TOS26_AT.N06.100.900,Obiect: ELEVATOARE SPECIFICAȚII: livrate pe șantier Excludere: alte majorări de orice natură | Obiect: CONSUM DE COMBUSTIBIL / ULEI Utilizare: PENTRU ELEVATOARE | Tip: motor diesel până la 126 CP,Equipment,General,ora,57.48,57.48,57.48,57.48,1,RON,23.89,0.4156,426,383,EDILIZIA CIVILE,Prețul lucrărilor publice din Toscana (ediția 2026),CONSTRUCȚII CIVILE,Armătură
TOS26_RU.M11.001.002,Sector: METALMECHANIC / INSTALLATION Specificații: pentru angajați cu contract pe perioadă nedeterminată Conform: cost mediu din tabelele Ministerului aprobate prin D.D. nr 73 din 22 noiembrie 2024 Inclus: - salariu contractual; - contribuții legale și efective asupra forței de muncă; - închiriere și utilizare a echipamentelor,Labor,Labor,ora,88.66,88.66,88.66,88.66,1,RON,43.0,0.485,424,424,EDILIZIA CIVILE,Prețul lucrărilor publice din Toscana (ediția 2026),CONSTRUCȚII CIVILE,Armătură
TOS26_PR.P18.ZZ02.032,"Obiect: IZOLAȚII TERMICE ȘI ACUSTICE Conform: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - marcaj CE; - Declarație de Performanță (DoP) | Obiect: ACCESORII DE APLICAȚIE PENTRU IZOLAȚII | Șurub de fixare din polietilenă, pentru zidărie 175 mm < lungime < 215 mm",Material,General,cad,3.27,3.27,3.27,3.27,1,RON,21.61,6.6134,313,313,EDILIZIA CIVILE,Prețul lucrărilor publice din Toscana (ediția 2026),CONSTRUCȚII CIVILE,PANOURI
TOS26_AT.N06.020.001,"Obiect: ELEVATOARE MECANICE Specificații: livrate pe șantier Excluse: alte majorări de orice natură | Obiect: ELEVATOR ELECTRIC | cu suport în formă de stea, capacitate 150 kg, chirie lunară.",Equipment,General,ora,4.21,4.21,4.21,4.21,1,RON,0.43,0.1013,276,274,EDILIZIA CIVILE,Prețul lucrărilor publice din Toscana (ediția 2026),CONSTRUCȚII CIVILE,PANOURI
TOS26_RU.M05.001.001,Sector: DIN SECTOR HIDRAULIC-FORESTAL ȘI HIDRAULIC-AGRAR Specificații: pentru angajați cu contract pe perioadă nedeterminată Conform: costul orar minim al asociațiilor de referință - în vigoare din 1 ianuarie 2016 Inclus: - cheltuieli generale; - profitul întreprinderii | Tip: MUNCITOR FORESTIER | Nivel: 5° Muncitori,Labor,Labor,ora,67.38,67.38,67.38,67.38,1,RON,1745.13,25.9014,259,228,OPERE FORESTALI CAM: no,Prețul lucrărilor publice din Toscana (ediția 2026),LUCRĂRI SILVICULTURĂ CAM: nu,INTERVENȚII DE UTILIZARE SILVICOLĂ
TOS26_PR.P18.ZZ02.033,"Obiect: IZOLAȚII TERMICI ȘI ACUSTICI Conform: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - marcaj CE; - Declarație de Performanță (DoP) | Obiect: ACCESORII DE APLICAȚIE PENTRU IZOLAȚII | Știft cu filet din polietilen, pentru zidărie 235 mm < lungime < 275 mm",Material,General,cad,4.65,4.65,4.65,4.65,1,RON,30.26,6.5138,253,253,EDILIZIA CIVILE,Prețul lucrărilor publice din Toscana (ediția 2026),CONSTRUCȚII CIVILE,PANOURI
TOS26_RU.M05.001.002,Sector: DIN SECTOR HIDROTEHNIC-FORESTIER ȘI HIDROTEHNIC-AGRICOLE Specificații: pentru angajați cu contract pe perioadă nedeterminată Conform: costul orar minim al asociațiilor de referință - în vigoare din 1 ianuarie 2016 Inclus: - cheltuieli generale; - profitul întreprinderii | Tip: MUNCITOR FORESTIER | Nivel: 4° Muncitori,Labor,Labor,ora,63.61,63.61,63.61,63.61,1,RON,4532.08,71.2444,248,218,OPERE FORESTALI CAM: no,Prețul lucrărilor publice din Toscana (ediția 2026),LUCRĂRI SILVICULTURĂ CAM: nu,INTERVENȚII DE UTILIZARE SILVICOLĂ
TOS26_RU.M05.001.004,Sector: DIN SECTOR HIDRULIC-FORESTAL ȘI HIDRULIC-AGRAR Specificații: pentru angajați cu contract pe perioadă nedeterminată Conform: costul orar minim al asociațiilor de referință - în vigoare din 1 ianuarie 2016 Inclus: - cheltuieli generale; - profitul întreprinderii | Tip: MUNCITOR FORESTAL | Nivel: 2° Muncitori,Labor,Labor,ora,57.19,57.19,57.19,57.19,1,RON,3923.67,68.6074,235,220,OPERE FORESTALI CAM: no,Prețul lucrărilor publice din Toscana (ediția 2026),LUCRĂRI SILVICULTURĂ CAM: nu,INTERVENȚII DE UTILIZARE SILVICOLĂ
TOS26_AT.N02.014.028,Obiect: VEHICULE DE TRANSPORT / MOTOARE NE-OPERATIONALE Inclusiv; - costul șoferului; - asigurări; - cheltuieli pentru materialele de consum; - orice alte cheltuieli pentru a pune vehiculul în stare de funcționare deplină. | AUTOCARURI / MOTOCARURI /TRACTOARE MTT: Greutatea totală la sol Pu: Capacitatea utilă | Tractor go,Equipment,General,ora,25.53,25.53,25.53,25.53,1,RON,135.88,5.3232,229,218,OPERE PER VERDE URBANO,Prețul lucrărilor publice din Toscana (ediția 2026),LUCRĂRI PENTRU SPAȚII VERDE URBAN,LUCRĂRI ȘI AMENAJĂRI ALE TERENULUI
TOS26_01.B04.003.001,"Obiect: TURNARE Material: din BETON Format: PREFABRICAT Tip: cu performanță garantată Inclus: - furnizare; - montaj; - descărcare; - turnare; - vibratie. Specificații: produs în instalație dotată cu un Sistem de Control al Producției, realizată conform conținutului din Liniile G",Abstract Material,Fasteners,m³,418.33,418.33,418.33,418.33,1,RON,386.51,0.9239,226,118,INFRASTRUTTURE STRADALI,Prețul lucrărilor publice din Toscana (ediția 2026),INFRACSTRUCTURI RUTIERE,SECȚIUNE
TOS26_RU.M04.002.002,Sector: AGRICULTURAL ȘI FLORICULTURAL Specificații: pentru angajați cu contract pe durată nedeterminată Conform: durata minimă a asociațiilor de referință - C.C.N.L. 24/10/2014 Inclus: - salariul contractual; - contribuțiile legale și de fapt care revin forței de muncă; - închirierea și utilizarea uneltelor de uz comun,Labor,Labor,ora,65.67,65.67,65.67,65.67,1,RON,342.75,5.219,225,151,OPERE AGRICOLE CAM: no,Prețul lucrărilor publice din Toscana (ediția 2026),LUCRĂRI AGRICOLE CAM: nu,Intervenții destinate să creeze condițiile pentru următoarea însămânțare a teren
