resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
TOS26_RU.M10.001.002,"Область: СТРОИТЕЛЬСТВО Спецификации: для сотрудников с постоянным трудовым договором Соответствие: средняя стоимость по утвержденным Министерскими таблицами с D.D. n. 12 от 5 апреля 2023 Включено: - контрактная оплата труда; - налоговые и фактические обязательства, возлагаемые на рабочую силу; - аренда и использование обычных инструментов, находящихся в распоряжении",Labor,Labor,ora,1560.98,1560.98,1560.98,1560.98,1,RUB,473.25,0.3032,5533,3192,EDILIZIA CIVILE,Государственный прейскурант работ Тосканы (издание 2026),Гражданское строительство,ДЕМОЛИРОВАНИЕ
TOS26_RU.M10.001.004,"Область: СТРОИТЕЛЬСТВО Спецификации: для сотрудников с постоянным трудовым договором Соответствие: средняя стоимость по утвержденным Министерскими таблицами с D.D. n. 12 от 5 апреля 2023 Включено: - контрактная оплата труда; - налоговые и фактические обязательства, возлагаемые на рабочую силу; - аренда и использование обычных инструментов, находящихся в распоряжении",Labor,Labor,ora,1300.9,1300.9,1300.9,1300.9,1,RUB,608.12,0.4675,2817,2620,EDILIZIA CIVILE,Государственный прейскурант работ Тосканы (издание 2026),Гражданское строительство,ДЕМОЛИРОВАНИЕ
TOS26_AT.N01.065.001,"Тип: МАШИНЫ ДЛЯ МАСТЕРСКИХ Спецификации: поставляются на стройплощадке | Объект: МОЛОТКИ / ЭЛЕКТРОДРЕЛИ И АКСЕССУАРЫ | Перфоратор с ударным механизмом, мощность 450/500 Вт, для сверл диаметром 5-20 мм - 1 день",Equipment,General,ora,116.01,116.01,116.01,116.01,1,RUB,12.46,0.1074,1180,1180,EDILIZIA CIVILE,Государственный прейскурант работ Тосканы (издание 2026),Гражданское строительство,Монтаж встроенного
TOS26_RU.M11.001.004,"Область: МЕТАЛЛМЕХАНИЧЕСКИЙ / ИНЖЕНЕРНО-МОНТАЖНЫЙ Спецификации: для сотрудников с постоянным трудовым договором Соответствие: средняя стоимость по утвержденным Министерским таблицам с D.D. n 73 от 22 ноября 2024 г. Включено: - контрактная оплата труда; - налоговые и фактические обязательства, налагаемые на рабочую силу; - аренда и использование оборудования",Labor,Labor,ora,1187.84,1187.84,1187.84,1187.84,1,RUB,1919.46,1.6159,1106,1102,EDILIZIA CIVILE,Государственный прейскурант работ Тосканы (издание 2026),Гражданское строительство,Арматура
TOS26_RU.M10.001.003,"Область: СТРОИТЕЛЬСТВО Спецификации: для сотрудников с постоянным трудовым договором Соответствие: средняя стоимость по утвержденным Министерскими таблицами с D.D. n. 12 от 5 апреля 2023 Включено: - контрактная оплата труда; - налоговые и фактические обязательства, возлагаемые на рабочую силу; - аренда и использование обычных инструментов, находящихся в распоряжении",Labor,Labor,ora,1447.92,1447.92,1447.92,1447.92,1,RUB,528.46,0.365,1066,1030,EDILIZIA CIVILE,Государственный прейскурант работ Тосканы (издание 2026),Гражданское строительство,ДЕМОЛИРОВАНИЕ
TOS26_PRCAM.P09.017.001,"ГЕРМАНИЕВАЯ ШТУКАТУРКА И ШТУКАТУРНЫЕ РАСТВОРЫ - ПРЕДМИКСОВАННЫЕ / ПРЕДФАБРИКАТНЫЕ или ПОДГОТОВЛЕННЫЕ НА СТРОЙПЛОЩАДКЕ СМЕСИТЕЛЯМИ. Для штукатурки, стяжек, кладки, облицовки и заполнителей. Предпочтение отдается производственным установкам с низким энергопотреблением и оптимизированным процессам для сокращения отходов и остатков. Для предварительно подготовленных продуктов",Material,General,kg,49.96,49.96,49.96,49.96,1,RUB,264.07,5.2853,850,675,EDILIZIA CIVILE,Государственный прейскурант работ Тосканы (издание 2026),Гражданское строительство,Панели
TOS26_RU.M11.001.003,"Область: МЕТАЛЛМЕХАНИЧЕСКИЙ / ИНЖЕНЕРНО-МОНТАЖНЫЙ Спецификации: для сотрудников с постоянным трудовым договором Соответствие: средняя стоимость по утвержденным Министерским таблицам с D.D. n 73 от 22 ноября 2024 г. Включено: - контрактная оплата труда; - налоговые и фактические обязательства, налагаемые на рабочую силу; - аренда и использование оборудования",Labor,Labor,ora,1238.79,1238.79,1238.79,1238.79,1,RUB,2732.01,2.2054,790,790,EDILIZIA CIVILE,Государственный прейскурант работ Тосканы (издание 2026),Гражданское строительство,Врезка
TOS26_02.A07.011.010,"Объект: ТРАНСПОРТ / ПЕРЕМЕЩЕНИЕ Позиционирование: в рамках строительной площадки. Включено: погрузка, транспортировка и выгрузка отходов на лицензированные объекты для их переработки или утилизации. Исключено: - расходы на доступ для их сдачи; - возможные сборы.",Abstract Material,General,m³,650.45,650.45,650.45,650.45,1,RUB,272.57,0.4191,774,774,EDILIZIA CIVILE,Государственный прейскурант работ Тосканы (издание 2026),Гражданское строительство,Панели
TOS26_PR.P18.ZZ02.002,"Объект: ТЕРМИЧЕСКИЕ И ЗВУКОИЗОЛЯЦИОННЫЕ ИЗОЛЯЦИОННЫЕ МАТЕРИАЛЫ Соответствие: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - CE-маркировка; - Декларация о характеристиках (DoP) | Объект: АКСЕССУАРЫ ДЛЯ УСТАНОВКИ ИЗОЛЯЦИОННЫХ МАТЕРИАЛОВ | сетка из стекловолокна, устойчивость к щелочам, масса 155-160 г/м²",Material,General,m²,79.66,79.66,79.66,79.66,1,RUB,87.63,1.1,700,700,EDILIZIA CIVILE,Государственный прейскурант работ Тосканы (издание 2026),Гражданское строительство,Панели
TOS26_PRCAM.P22.034.001,"ПРОДУКТЫ ДЛЯ ПОЛОВ И ОТДЕЛОК - CAM. Соответствует: CAM, согласно DM 23 июня 2022 г. № 256 | ГРУНТОВКА. | синтетический связующий грунт в водном растворе",Material,Paint & Coatings,kg,521.79,521.79,521.79,521.79,1,RUB,143.78,0.2756,675,675,EDILIZIA CIVILE,Государственный прейскурант работ Тосканы (издание 2026),Гражданское строительство,Панели
TOS26_PR.P18.ZZ02.031,Объект: ТЕРМИЧЕСКИЕ И ЗВУКОИЗОЛЯЦИОННЫЕ ИЗОЛЯЦИИ Соответствие: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - маркировка CE; - Декларация о характеристиках (DoP) | Объект: АКСЕССУАРЫ ДЛЯ УСТАНОВКИ ИЗОЛЯЦИОННЫХ МАТЕРИАЛОВ | Винтовой дюбель из полиэтилена для кладки 115 мм < длина < 155 мм,Material,General,cad,28.53,28.53,28.53,28.53,1,RUB,164.22,5.757,535,535,EDILIZIA CIVILE,Государственный прейскурант работ Тосканы (издание 2026),Гражданское строительство,Панели
TOS26_PRCAM.P26.090.008,"МАТЕРИАЛЫ ОТДЕЛОЧНЫЕ - КРАСКИ, ЛАКИ, ЭМАЛИ И ИНСТРУМЕНТЫ ДЛЯ ИХ УСТАНОВКИ - CAM Соответствие: - UNI EN ISO 4618:2023; - CAM - пункт 2.5.13 согласно DM 23 июня 2022 г. № 256, ''МИНИМАЛЬНЫЕ ЭКОЛОГИЧЕСКИЕ КРИТЕРИИ'' для заказа услуги проектирования и выполнения работ по вмешательствам и",Material,General,kg,137.84,137.84,137.84,137.84,1,RUB,556.38,4.0365,526,526,EDILIZIA CIVILE,Государственный прейскурант работ Тосканы (издание 2026),Гражданское строительство,Панели
TOS26_AT.N06.016.001,"Объект: ВЫСОТНЫЕ МАШИНЫ Спецификация: поставляются на стройплощадку Исключено: любые дополнительные надбавки | Объект: КРАН Тип: ВЕРТИКАЛЬНЫЙ | стрела 35 м, грузоподъемность на конце 1000 кг. на 3 месяца",Equipment,General,ora,196.42,196.42,196.42,196.42,1,RUB,20.09,0.1023,450,450,EDILIZIA CIVILE,Государственный прейскурант работ Тосканы (издание 2026),Гражданское строительство,Монтаж встроенного
TOS26_PRCAM.P26.107.004,"МАТЕРИАЛЫ ОТДЕЛОЧНЫЕ - КРАСКИ, ЛАКИ, ЭМАЛИ И ИНСТРУМЕНТЫ ДЛЯ ИХ УСТАНОВКИ - CAM Соответствие: - UNI EN ISO 4618:2023; - CAM - пункт 2.5.13 согласно DM 23 июня 2022 г. № 256, ''МИНИМАЛЬНЫЕ ЭКОЛОГИЧЕСКИЕ КРИТЕРИИ'' для заказа услуги проектирования и выполнения работ по вмешательствам и",Material,General,kg,558.91,558.91,558.91,558.91,1,RUB,83.45,0.1493,435,435,EDILIZIA CIVILE,Государственный прейскурант работ Тосканы (издание 2026),Гражданское строительство,Панели
TOS26_AT.N06.100.900,Объект: ВЫСОТНЫЕ МАШИНЫ Спецификация: поставляется на стройплощадку Исключено: любые дополнительные надбавки | Объект: ПОТРЕБЛЕНИЕ ТОПЛИВА / МАСЛА Использование: ДЛЯ ВЫСОТНЫХ МАШИН | Тип: дизель до 126 л.с.,Equipment,General,ora,859.82,859.82,859.82,859.82,1,RUB,357.31,0.4156,426,383,EDILIZIA CIVILE,Государственный прейскурант работ Тосканы (издание 2026),Гражданское строительство,Арматура
TOS26_RU.M11.001.002,"Область: МЕТАЛЛМЕХАНИЧЕСКИЙ / ИНЖЕНЕРНО-МОНТАЖНЫЙ Спецификации: для сотрудников с постоянным трудовым договором Соответствие: средняя стоимость по утвержденным Министерским таблицам с D.D. n 73 от 22 ноября 2024 г. Включено: - контрактная оплата труда; - налоговые и фактические обязательства, налагаемые на рабочую силу; - аренда и использование оборудования",Labor,Labor,ora,1326.13,1326.13,1326.13,1326.13,1,RUB,643.15,0.485,424,424,EDILIZIA CIVILE,Государственный прейскурант работ Тосканы (издание 2026),Гражданское строительство,Арматура
TOS26_PR.P18.ZZ02.032,Объект: ТЕРМИЧЕСКИЕ И ЗВУКОИЗОЛЯЦИОННЫЕ ИЗОЛЯЦИИ Соответствие: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - CE-маркировка; - Декларация о характеристиках (DoP) | Объект: АКСЕССУАРЫ ДЛЯ УСТАНОВКИ ИЗОЛЯЦИОННЫХ МАТЕРИАЛОВ | Винтовой дюбель из полиэтилена для кладки 175 мм < длина < 215 мм,Material,General,cad,48.87,48.87,48.87,48.87,1,RUB,323.23,6.6134,313,313,EDILIZIA CIVILE,Государственный прейскурант работ Тосканы (издание 2026),Гражданское строительство,Панели
