resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
TOS26_RU.M10.001.002,Secteur : BÂTIMENT Spécifications : pour les employés à durée indéterminée Conforme : coût moyen des Tableaux Ministériels approuvés par D.D. n. 12 du 5 avril 2023 Compris : - rémunération contractuelle ; - charges légales et de fait pesant sur la main-d'œuvre ; - location et utilisation des outils d'usage commun en dotation,Labor,Labor,ora,10975.63,10975.63,10975.63,10975.63,1,XOF,3327.57,0.3032,5533,3192,EDILIZIA CIVILE,Prix des travaux publics de la Toscane (édition 2026),CONSTRUCTION CIVILE,DÉMOLITION
TOS26_RU.M10.001.004,Secteur : BÂTIMENT Spécifications : pour les employés à durée indéterminée Conforme : coût moyen des Tableaux Ministériels approuvés par D.D. n. 12 du 5 avril 2023 Compris : - rémunération contractuelle ; - charges légales et de fait pesant sur la main-d'œuvre ; - location et utilisation des outils d'usage commun en dotation,Labor,Labor,ora,9146.92,9146.92,9146.92,9146.92,1,XOF,4275.86,0.4675,2817,2620,EDILIZIA CIVILE,Prix des travaux publics de la Toscane (édition 2026),CONSTRUCTION CIVILE,DÉMOLITION
TOS26_AT.N01.065.001,"Type : MACHINES OPÉRATRICES Spécifications : livrées sur le chantier | Objet : MARTEAUX / PERFORATEURS ÉLECTRIQUES ET ACCESSOIRES | Perceuse à percussion, puissance 450/500 W, pour forets de 5-20 mm - 1 jour",Equipment,General,ora,815.7,815.7,815.7,815.7,1,XOF,87.59,0.1074,1180,1180,EDILIZIA CIVILE,Prix des travaux publics de la Toscane (édition 2026),CONSTRUCTION CIVILE,INSTALLATION D'UN CHÂSSIS
TOS26_RU.M11.001.004,Secteur : MÉTAL MÉCANIQUE / INSTALLATIONS Spécifications : pour les employés à durée indéterminée Conforme : coût moyen des Tableaux Ministériels approuvés par D.D. n 73 du 22 novembre 2024 Compris : - rémunération contractuelle ; - charges légales et de fait pesant sur la main-d'œuvre ; - location et utilisation des att,Labor,Labor,ora,8351.98,8351.98,8351.98,8351.98,1,XOF,13496.18,1.6159,1106,1102,EDILIZIA CIVILE,Prix des travaux publics de la Toscane (édition 2026),CONSTRUCTION CIVILE,ARMATURE
TOS26_RU.M10.001.003,Secteur : BÂTIMENT Spécifications : pour les employés à durée indéterminée Conforme : coût moyen des Tableaux Ministériels approuvés par D.D. n. 12 du 5 avril 2023 Compris : - rémunération contractuelle ; - charges légales et de fait pesant sur la main-d'œuvre ; - location et utilisation des outils d'usage commun en dotation,Labor,Labor,ora,10180.69,10180.69,10180.69,10180.69,1,XOF,3715.74,0.365,1066,1030,EDILIZIA CIVILE,Prix des travaux publics de la Toscane (édition 2026),CONSTRUCTION CIVILE,DÉMOLITION
TOS26_PRCAM.P09.017.001,"MORTIERS ET STUC - PRÉMÉLANGÉS / PRÉFABRIQUÉS ou PRÉPARÉS SUR SITE AVEC DES MALAXEURS. Pour les enduits, chapes, maçonneries, revêtements et remplissages. Préférence pour les installations de production à faible consommation d'énergie et les processus optimisés pour réduire les déchets et les rebuts. Pour les produits précoces",Material,General,kg,351.3,351.3,351.3,351.3,1,XOF,1856.72,5.2853,850,675,EDILIZIA CIVILE,Prix des travaux publics de la Toscane (édition 2026),CONSTRUCTION CIVILE,PANNEAUX
TOS26_RU.M11.001.003,Secteur : MÉTAL MÉCANIQUE / INSTALLATIONS Spécifications : pour les employés à durée indéterminée Conforme : coût moyen des Tableaux Ministériels approuvés par D.D. n 73 du 22 novembre 2024 Compris : - rémunération contractuelle ; - charges légales et de fait pesant sur la main-d'œuvre ; - location et utilisation des att,Labor,Labor,ora,8710.22,8710.22,8710.22,8710.22,1,XOF,19209.41,2.2054,790,790,EDILIZIA CIVILE,Prix des travaux publics de la Toscane (édition 2026),CONSTRUCTION CIVILE,Châssis
TOS26_02.A07.011.010,"Objet : TRANSPORT / MANUTENTION Positionnement : dans le cadre du chantier. Compris : chargement, transport et déchargement des déchets vers les installations autorisées pour leur récupération ou leur élimination. Exclu : - coûts d'accès pour leur dépôt ; - éventuels impôts. | Objet : DÉROULAGE",Abstract Material,General,m³,4573.46,4573.46,4573.46,4573.46,1,XOF,1916.52,0.4191,774,774,EDILIZIA CIVILE,Prix des travaux publics de la Toscane (édition 2026),CONSTRUCTION CIVILE,PANNEAUX
TOS26_PR.P18.ZZ02.002,Objet : ISOLANTS THERMIQUES ET ACOUSTIQUES Conforme : - UNI 13172:2012 ; - UNI 13501:2009 ; - D.M. 15/03/2005. - marquage CE ; - Déclaration de Performance (DoP) | Objet : ACCESSOIRES DE POSE POUR ISOLANTS | réseau en fibre de verre résistant aux alcalis poids 155-160 g/m²,Material,General,m²,560.13,560.13,560.13,560.13,1,XOF,616.14,1.1,700,700,EDILIZIA CIVILE,Prix des travaux publics de la Toscane (édition 2026),CONSTRUCTION CIVILE,PANNEAUX
TOS26_PRCAM.P22.034.001,PRODUITS POUR SOLS ET REVÊTEMENTS - CAM. Conforme : CAM selon le DM 23 juin 2022 n. 256 | PRIMER. | d'adhésion synthétique en solution aqueuse,Material,Paint & Coatings,kg,3668.84,3668.84,3668.84,3668.84,1,XOF,1010.97,0.2756,675,675,EDILIZIA CIVILE,Prix des travaux publics de la Toscane (édition 2026),CONSTRUCTION CIVILE,PANNEAUX
