resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
TOS26_RU.M10.001.002,Sektion: BYGGNAD Specifikationer: för tillsvidareanställda Enligt: genomsnittlig kostnad enligt de godkända ministeriala tabellerna med D.D. n. 12 av 5 april 2023 Inkluderat: - kontraktsenlig lön; - lagstadgade och faktiska avgifter på arbetskraften; - hyra och användning av vanliga verktyg i bruk,Labor,Labor,ora,450.62,450.62,450.62,450.62,1,SEK,136.62,0.3032,5533,3192,EDILIZIA CIVILE,Toscana Offentliga arbeten Prislista (utgåva 2026),Byggnadsarbeten,Rivning
TOS26_RU.M10.001.004,Sektion: BYGGNAD Specifikationer: för tillsvidareanställda Enligt: genomsnittlig kostnad enligt de godkända ministeriala tabellerna med D.D. n. 12 av 5 april 2023 Inkluderat: - kontraktsenlig lön; - lagstadgade och faktiska avgifter på arbetskraften; - hyra och användning av vanliga verktyg i bruk,Labor,Labor,ora,375.54,375.54,375.54,375.54,1,SEK,175.55,0.4675,2817,2620,EDILIZIA CIVILE,Toscana Offentliga arbeten Prislista (utgåva 2026),Byggnadsarbeten,Rivning
TOS26_AT.N01.065.001,"Typ: MASKINOPERATÖRER Specifikationer: levererade på byggplats | Objekt: SLAGLJUS / ELDRIVNA BORRAR OCH TILLBEHÖR | Borr med slagfunktion, effekt 450/500 W, för borrkronor 5-20 mm - 1 dag",Equipment,General,ora,33.49,33.49,33.49,33.49,1,SEK,3.6,0.1074,1180,1180,EDILIZIA CIVILE,Toscana Offentliga arbeten Prislista (utgåva 2026),Byggnadsarbeten,Fästanläggning
TOS26_RU.M11.001.004,Sektion: METALLMEKANISKA / INSTALLATIONSSPECIFIKATIONER: för fast anställda enligt tillsvidareanställning. Enligt: genomsnittlig kostnad enligt de godkända ministeriala tabellerna med D.D. n 73 av 22 november 2024. Inkluderat: - kontraktsenlig lön; - lagstadgade och faktiska arbetskostnader; - hyra och användning av utrustning.,Labor,Labor,ora,342.91,342.91,342.91,342.91,1,SEK,554.11,1.6159,1106,1102,EDILIZIA CIVILE,Toscana Offentliga arbeten Prislista (utgåva 2026),Byggnadsarbeten,Armering
TOS26_RU.M10.001.003,Sektion: BYGGNAD Specifikationer: för tillsvidareanställda Enligt: genomsnittlig kostnad enligt de godkända ministeriala tabellerna med D.D. n. 12 av 5 april 2023 Inkluderat: - kontraktsenlig lön; - lagstadgade och faktiska avgifter på arbetskraften; - hyra och användning av vanliga verktyg i bruk,Labor,Labor,ora,417.99,417.99,417.99,417.99,1,SEK,152.56,0.365,1066,1030,EDILIZIA CIVILE,Toscana Offentliga arbeten Prislista (utgåva 2026),Byggnadsarbeten,Rivning
TOS26_PRCAM.P09.017.001,"MALMER och puts - Blandade / förpackade eller förberedda på byggarbetsplatsen med blandare. För puts, screed, murverk, beklädnader och fyllnadsmaterial. Föredrar produktionsanläggningar med låg energiförbrukning och optimerade processer för att minska avfall och spill. För de preco-produkterna",Material,General,kg,14.42,14.42,14.42,14.42,1,SEK,76.23,5.2853,850,675,EDILIZIA CIVILE,Toscana Offentliga arbeten Prislista (utgåva 2026),Byggnadsarbeten,PANNELLI
TOS26_RU.M11.001.003,Sektion: METALLMEKANISKA / INSTALLATIONSSPECIFIKATIONER: för fast anställda enligt tillsvidareanställning. Enligt: genomsnittlig kostnad enligt de godkända ministeriala tabellerna med D.D. n 73 av 22 november 2024. Inkluderat: - kontraktsenlig lön; - lagstadgade och faktiska arbetskostnader; - hyra och användning av utrustning.,Labor,Labor,ora,357.61,357.61,357.61,357.61,1,SEK,788.68,2.2054,790,790,EDILIZIA CIVILE,Toscana Offentliga arbeten Prislista (utgåva 2026),Byggnadsarbeten,Infissning
TOS26_02.A07.011.010,"Ämne: TRANSPORT / FÖRVARING Placering: på byggarbetsplatsen. Ingår: lastning, transport och lossning av avfall till godkända anläggningar för återvinning eller deponering. Exkluderat: - tillgångskostnader för avlämning; - eventuella avgifter.",Abstract Material,General,m³,187.77,187.77,187.77,187.77,1,SEK,78.69,0.4191,774,774,EDILIZIA CIVILE,Toscana Offentliga arbeten Prislista (utgåva 2026),Byggnadsarbeten,PANNELLI
TOS26_PR.P18.ZZ02.002,"Ämne: TERMISK OCH AKUSTISK ISOLERING Enligt: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - CE-märkning; - Prestandadeklaration (DoP) | Ämne: INSTALLATIONSKOMPONENTER FÖR ISOLERING | glasfiber nät mot alkaliresistens, vikt 155-160 g/m²",Material,General,m²,23.0,23.0,23.0,23.0,1,SEK,25.3,1.1,700,700,EDILIZIA CIVILE,Toscana Offentliga arbeten Prislista (utgåva 2026),Byggnadsarbeten,PANNELLI
TOS26_PRCAM.P22.034.001,PRODUKTER FÖR GOLV- OCH VÄGGBEKLÄDNADER - CAM. Enligt: CAM enligt DM 23 juni 2022 nr. 256 | PRIMER. | Syntetiskt kopplingsprimer i vattenlösning,Material,Paint & Coatings,kg,150.63,150.63,150.63,150.63,1,SEK,41.51,0.2756,675,675,EDILIZIA CIVILE,Toscana Offentliga arbeten Prislista (utgåva 2026),Byggnadsarbeten,PANNELLI
TOS26_PR.P18.ZZ02.031,"Ämne: TERMISK OCH AKUSTISK ISOLERING Enligt: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - CE-märkning; - Prestandadeklaration (DoP) | Ämne: INSTALLATIONSTILLBEHÖR FÖR ISOLERING | Skruvankare i polyeten, för murverk 115 mm < längd < 155 mm",Material,General,cad,8.23,8.23,8.23,8.23,1,SEK,47.41,5.757,535,535,EDILIZIA CIVILE,Toscana Offentliga arbeten Prislista (utgåva 2026),Byggnadsarbeten,PANNELLI
TOS26_PRCAM.P26.090.008,"RIVSÄTTNINGS-MATERIAL - MÅLNINGAR, FÄRGER, LACKER OCH VERKTYG FÖR DERAS APPLIKATION - CAM Enligt: - UNI EN ISO 4618:2023; - CAM - paragraf 2.5.13 enligt DM 23 juni 2022 n. 256, ''MINIMA MILJÖKRITERIER'' för tilldelning av tjänst för projektering och utförande av arbetsinsatser och",Material,General,kg,39.79,39.79,39.79,39.79,1,SEK,160.62,4.0365,526,526,EDILIZIA CIVILE,Toscana Offentliga arbeten Prislista (utgåva 2026),Byggnadsarbeten,PANNELLI
