resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
TOS26_RU.M10.001.002,Settore: EDILE Specifiche: per dipendenti ถึง tempo indeterminato Conforme: costo medio delle Tabelle Ministeriali approvate con D.D. n. 12 del 5 aprile 2023 Compreso: - retribuzione contrattuale; - oneri ของ legge และ ของ fatto gravanti sulla manodopera; - nolo ed uso degli attrezzi ของ uso comune ใน dota,Labor,Labor,ora,532.0,532.0,532.0,532.0,1,THB,161.29,0.3032,5533,3192,EDILIZIA CIVILE,ราคากลางงานก่อสร้างของทัสคานี (ฉบับปี 2026),EDILIZIA CIVILE,รื้อถอน
TOS26_RU.M10.001.004,Settore: EDILE Specifiche: per dipendenti ถึง tempo indeterminato Conforme: costo medio delle Tabelle Ministeriali approvate con D.D. n. 12 del 5 aprile 2023 Compreso: - retribuzione contrattuale; - oneri ของ legge และ ของ fatto gravanti sulla manodopera; - nolo ed uso degli attrezzi ของ uso comune ใน dota,Labor,Labor,ora,443.36,443.36,443.36,443.36,1,THB,207.26,0.4675,2817,2620,EDILIZIA CIVILE,ราคากลางงานก่อสร้างของทัสคานี (ฉบับปี 2026),EDILIZIA CIVILE,รื้อถอน
TOS26_AT.N01.065.001,"ประเภท: เครื่องจักรกลงานก่อสร้าง รายละเอียด: จัดส่งในไซต์งาน | รายการ: ค้อน / สว่านไฟฟ้าและอุปกรณ์เสริม | สว่านกระแทก, กำลัง 450/500 วัตต์, สำหรับดอกสว่าน 5-20 มม. - 1 วัน",Equipment,General,ora,39.54,39.54,39.54,39.54,1,THB,4.25,0.1074,1180,1180,EDILIZIA CIVILE,ราคากลางงานก่อสร้างของทัสคานี (ฉบับปี 2026),EDILIZIA CIVILE,การติดตั้งฝ้าเพดาน
TOS26_RU.M11.001.004,กลุ่ม: เมทัลแมคคานิก / ระบบเครื่องกล รายละเอียด: สำหรับพนักงานประจำ Conforme: ต้นทุนเฉลี่ยตามตารางของกระทรวงที่ได้รับอนุมัติด้วย D.D. n 73 วันที่ 22 พฤศจิกายน 2024 รวม: - ค่าจ้างตามสัญญา; - ค่าภาระทางกฎหมายและภาระที่เกิดขึ้นจริงกับแรงงาน; - ค่าขนส่งและการใช้งานของอุปกรณ์,Labor,Labor,ora,404.83,404.83,404.83,404.83,1,THB,654.18,1.6159,1106,1102,EDILIZIA CIVILE,ราคากลางงานก่อสร้างของทัสคานี (ฉบับปี 2026),EDILIZIA CIVILE,เหล็กเสริม
TOS26_RU.M10.001.003,Settore: EDILE Specifiche: per dipendenti ถึง tempo indeterminato Conforme: costo medio delle Tabelle Ministeriali approvate con D.D. n. 12 del 5 aprile 2023 Compreso: - retribuzione contrattuale; - oneri ของ legge และ ของ fatto gravanti sulla manodopera; - nolo ed uso degli attrezzi ของ uso comune ใน dota,Labor,Labor,ora,493.47,493.47,493.47,493.47,1,THB,180.11,0.365,1066,1030,EDILIZIA CIVILE,ราคากลางงานก่อสร้างของทัสคานี (ฉบับปี 2026),EDILIZIA CIVILE,รื้อถอน
TOS26_PRCAM.P09.017.001,"ปูนปลาสเตอร์และสตัคคิโอ - คอมพาวด์ผสมล่วงหน้าหรือสำเร็จรูป หรือเตรียมในไซต์งานด้วยเครื่องผสมปูน สำหรับฉาบ, เทพื้น, ก่ออิฐ, ปิดผนัง และวัสดุเติมเต็ม เลือกใช้ผลิตภัณฑ์ที่มีกำลังการผลิตต่ำและกระบวนการที่ปรับให้เหมาะสมเพื่อลดของเสียและเศษเหลือ ผลิตภัณฑ์ที่มีคุณภาพสูง",Material,General,kg,17.03,17.03,17.03,17.03,1,THB,90.0,5.2853,850,675,EDILIZIA CIVILE,ราคากลางงานก่อสร้างของทัสคานี (ฉบับปี 2026),EDILIZIA CIVILE,PANNELLI
TOS26_RU.M11.001.003,กลุ่ม: เมทัลแมคคานิก / ระบบเครื่องกล รายละเอียด: สำหรับพนักงานประจำ Conforme: ต้นทุนเฉลี่ยตามตารางของกระทรวงที่ได้รับอนุมัติด้วย D.D. n 73 วันที่ 22 พฤศจิกายน 2024 รวม: - ค่าจ้างตามสัญญา; - ค่าภาระทางกฎหมายและภาระที่เกิดขึ้นจริงกับแรงงาน; - ค่าขนส่งและการใช้งานของอุปกรณ์,Labor,Labor,ora,422.2,422.2,422.2,422.2,1,THB,931.1,2.2054,790,790,EDILIZIA CIVILE,ราคากลางงานก่อสร้างของทัสคานี (ฉบับปี 2026),EDILIZIA CIVILE,ฝัง
TOS26_02.A07.011.010,"หัวข้อ: การขนส่ง / การเคลื่อนย้าย การวางตำแหน่ง: ในบริบทของไซต์งาน รวม: การบรรทุก, การขนส่ง และการปล่อยของเสียไปยังโรงงานที่ได้รับอนุญาตเพื่อการกู้คืนหรือกำจัดของเสีย ยกเว้น: - ค่าบริการเข้าเพื่อส่งของ; - ภาษีที่อาจเกิดขึ้น",Abstract Material,General,m³,221.68,221.68,221.68,221.68,1,THB,92.9,0.4191,774,774,EDILIZIA CIVILE,ราคากลางงานก่อสร้างของทัสคานี (ฉบับปี 2026),EDILIZIA CIVILE,PANNELLI
TOS26_PR.P18.ZZ02.002,หัวข้อ: ฉนวนกันความร้อนและเสียงตามมาตรฐาน: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - เครื่องหมาย CE; - เอกสารแสดงคุณสมบัติ (DoP) | หัวข้อ: อุปกรณ์ติดตั้งสำหรับฉนวน | ตาข่ายใยแก้วทนต่อแอลคาไล น้ำหนัก 155-160 กรัม/ตร.ม.,Material,General,m²,27.15,27.15,27.15,27.15,1,THB,29.87,1.1,700,700,EDILIZIA CIVILE,ราคากลางงานก่อสร้างของทัสคานี (ฉบับปี 2026),EDILIZIA CIVILE,PANNELLI
TOS26_PRCAM.P22.034.001,ผลิตภัณฑ์สำหรับพื้นและผนัง - CAM. สอดคล้อง: CAM ตาม DM 23 มิถุนายน 2022 เลขที่ 256 | อะคริลิก. | สารเชื่อมต่อแบบสังเคราะห์ในสารละลายที่เป็นน้ำ,Material,Paint & Coatings,kg,177.83,177.83,177.83,177.83,1,THB,49.0,0.2756,675,675,EDILIZIA CIVILE,ราคากลางงานก่อสร้างของทัสคานี (ฉบับปี 2026),EDILIZIA CIVILE,PANNELLI
