resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
TOS26_RU.M10.001.002,القطاع: البناء المواصفات: للموظفين بعقود دائمة مطابق: التكلفة المتوسطة لجداول الوزارة المعتمدة بموجب القرار الإداري رقم 12 بتاريخ 5 أبريل 2023 مشمول: - الأجر التعاقدي؛ - الأعباء القانونية والواقعية المترتبة على العمالة؛ - إيجار واستخدام الأدوات الشائعة الاستخدام في العدة,Labor,Labor,ora,48.29,48.29,48.29,48.29,1,TND,14.64,0.3032,5533,3192,EDILIZIA CIVILE,قائمة أسعار الأعمال العامة في توسكانا (طبعة 2026),البناء المدني,الهدم
TOS26_RU.M10.001.004,القطاع: البناء المواصفات: للموظفين بعقود دائمة مطابق: التكلفة المتوسطة لجداول الوزارة المعتمدة بموجب القرار الإداري رقم 12 بتاريخ 5 أبريل 2023 مشمول: - الأجر التعاقدي؛ - الأعباء القانونية والواقعية المترتبة على العمالة؛ - إيجار واستخدام الأدوات الشائعة الاستخدام في العدة,Labor,Labor,ora,40.24,40.24,40.24,40.24,1,TND,18.81,0.4675,2817,2620,EDILIZIA CIVILE,قائمة أسعار الأعمال العامة في توسكانا (طبعة 2026),البناء المدني,الهدم
TOS26_AT.N01.065.001,النوع: آلات تشغيلية المواصفات: تسليمها في الموقع | الموضوع: مطارق / مثاقب كهربائية وإكسسوارات | مثقاب مع دق، قوة 450/500 واط، لقم من 5-20 mm - 1 يوم,Equipment,General,ora,3.59,3.59,3.59,3.59,1,TND,0.39,0.1074,1180,1180,EDILIZIA CIVILE,قائمة أسعار الأعمال العامة في توسكانا (طبعة 2026),البناء المدني,تركيب الإطار
TOS26_RU.M11.001.004,القطاع: الميكانيكا المعدنية / التركيبات المواصفات: للموظفين بعقود دائمة مطابق: التكلفة المتوسطة لجداول الوزارة المعتمدة بموجب القرار رقم 73 بتاريخ 22 نوفمبر 2024 مشمول: - الأجر التعاقدي؛ - الأعباء القانونية والواقعية المترتبة على العمالة؛ - إيجار واستخدام المعدات,Labor,Labor,ora,36.74,36.74,36.74,36.74,1,TND,59.38,1.6159,1106,1102,EDILIZIA CIVILE,قائمة أسعار الأعمال العامة في توسكانا (طبعة 2026),البناء المدني,التسليح
TOS26_RU.M10.001.003,القطاع: البناء المواصفات: للموظفين بعقود دائمة مطابق: التكلفة المتوسطة لجداول الوزارة المعتمدة بموجب القرار الإداري رقم 12 بتاريخ 5 أبريل 2023 مشمول: - الأجر التعاقدي؛ - الأعباء القانونية والواقعية المترتبة على العمالة؛ - إيجار واستخدام الأدوات الشائعة الاستخدام في العدة,Labor,Labor,ora,44.79,44.79,44.79,44.79,1,TND,16.35,0.365,1066,1030,EDILIZIA CIVILE,قائمة أسعار الأعمال العامة في توسكانا (طبعة 2026),البناء المدني,الهدم
TOS26_PRCAM.P09.017.001,الملاط والجبس - مواد جاهزة / مسبقة الخلط أو معدة في الموقع باستخدام خلاطات. للاستخدام في الجص، الأرضيات، البناء، التغطيات والحشوات. تفضيل لأنظمة الإنتاج منخفضة استهلاك الطاقة والعمليات المحسنة لتقليل النفايات والمخلفات. للمنتجات المسبقة,Material,General,kg,1.55,1.55,1.55,1.55,1,TND,8.17,5.2853,850,675,EDILIZIA CIVILE,قائمة أسعار الأعمال العامة في توسكانا (طبعة 2026),البناء المدني,ألواح
TOS26_RU.M11.001.003,القطاع: الميكانيكا المعدنية / التركيبات المواصفات: للموظفين بعقود دائمة مطابق: التكلفة المتوسطة لجداول الوزارة المعتمدة بموجب القرار رقم 73 بتاريخ 22 نوفمبر 2024 مشمول: - الأجر التعاقدي؛ - الأعباء القانونية والواقعية المترتبة على العمالة؛ - إيجار واستخدام المعدات,Labor,Labor,ora,38.32,38.32,38.32,38.32,1,TND,84.51,2.2054,790,790,EDILIZIA CIVILE,قائمة أسعار الأعمال العامة في توسكانا (طبعة 2026),البناء المدني,الإطار
TOS26_02.A07.011.010,الموضوع: النقل / المناولة الموقع: ضمن موقع البناء. مشمول: التحميل، النقل والتفريغ للنفايات إلى المنشآت المعتمدة لأغراض استردادها أو التخلص منها. مستثنى: - تكاليف الوصول لتسليمها؛ - الرسوم المحتملة. | الموضوع: السحب,Abstract Material,General,m³,20.12,20.12,20.12,20.12,1,TND,8.43,0.4191,774,774,EDILIZIA CIVILE,قائمة أسعار الأعمال العامة في توسكانا (طبعة 2026),البناء المدني,ألواح
TOS26_PR.P18.ZZ02.002,الموضوع: العوازل الحرارية والصوتية متوافقة مع: - UNI 13172:2012؛ - UNI 13501:2009؛ - D.M. 15/03/2005. - علامة CE؛ - إعلان الأداء (DoP) | الموضوع: ملحقات التركيب للعوازل | شبكة من ألياف الزجاج مقاومة للقلويات بوزن 155-160 جم/م²,Material,General,m²,2.46,2.46,2.46,2.46,1,TND,2.71,1.1,700,700,EDILIZIA CIVILE,قائمة أسعار الأعمال العامة في توسكانا (طبعة 2026),البناء المدني,ألواح
TOS26_PRCAM.P22.034.001,المنتجات للأرضيات والتكسية - CAM. متوافق: CAM وفقًا للمرسوم الوزاري 23 يونيو 2022 رقم 256 | PRIMER. | رابطة تركيبية في محلول مائي,Material,Paint & Coatings,kg,16.14,16.14,16.14,16.14,1,TND,4.45,0.2756,675,675,EDILIZIA CIVILE,قائمة أسعار الأعمال العامة في توسكانا (طبعة 2026),البناء المدني,ألواح
TOS26_PR.P18.ZZ02.031,الموضوع: العوازل الحرارية والصوتية مطابق لـ: - UNI 13172:2012؛ - UNI 13501:2009؛ - D.M. 15/03/2005. - علامة CE؛ - إعلان الأداء (DoP) | الموضوع: ملحقات التركيب للعوازل | مسمار لولبي من البولي إيثيلين، للجدران 115 mm < الطول < 155 mm,Material,General,cad,0.88,0.88,0.88,0.88,1,TND,5.08,5.757,535,535,EDILIZIA CIVILE,قائمة أسعار الأعمال العامة في توسكانا (طبعة 2026),البناء المدني,ألواح
TOS26_PRCAM.P26.090.008,"مَواد التَّغليف - الدهانات، الطلاءات، المينا والأدوات الخاصة بتركيبها - متوافق مع CAM: - UNI EN ISO 4618:2023؛ - CAM - الفقرة 2.5.13 من المرسوم الوزاري 23 يونيو 2022 رقم 256، ""المعايير البيئية الدنيا لتكليف خدمة تصميم وتنفيذ أعمال التدخلات و",Material,General,kg,4.26,4.26,4.26,4.26,1,TND,17.21,4.0365,526,526,EDILIZIA CIVILE,قائمة أسعار الأعمال العامة في توسكانا (طبعة 2026),البناء المدني,ألواح
TOS26_AT.N06.016.001,الموضوع: ماكينات رفع المواصفات: مسلمة إلى موقع العمل مستثنى: زيادات أخرى من أي نوع | الموضوع: رافعات النوع: برجية | ذراع 35 m، حمولة عند الطرف 1000 kg. لمدة 3 أشهر,Equipment,General,ora,6.08,6.08,6.08,6.08,1,TND,0.62,0.1023,450,450,EDILIZIA CIVILE,قائمة أسعار الأعمال العامة في توسكانا (طبعة 2026),البناء المدني,تركيب الإطار
TOS26_PRCAM.P26.107.004,"مَواد التَّغليف - الدهانات، الطلاءات، المينا والأدوات الخاصة بتركيبها - متوافق مع CAM: - UNI EN ISO 4618:2023؛ - CAM - الفقرة 2.5.13 من المرسوم الوزاري 23 يونيو 2022 رقم 256، ""المعايير البيئية الدنيا لتكليف خدمة تصميم وتنفيذ أعمال التدخلات و",Material,General,kg,17.29,17.29,17.29,17.29,1,TND,2.58,0.1493,435,435,EDILIZIA CIVILE,قائمة أسعار الأعمال العامة في توسكانا (طبعة 2026),البناء المدني,ألواح
TOS26_AT.N06.100.900,الموضوع: ماكينات الرفع المواصفات: مسلمة إلى موقع العمل مستثنى: زيادات أخرى من أي نوع | الموضوع: استهلاك الوقود / الزيت الاستخدام: لماكينات الرفع | النوع: ديزل حتى 126 حصان,Equipment,General,ora,26.6,26.6,26.6,26.6,1,TND,11.05,0.4156,426,383,EDILIZIA CIVILE,قائمة أسعار الأعمال العامة في توسكانا (طبعة 2026),البناء المدني,التسليح
