resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
TOS26_RU.M10.001.002,İnşaat: Sabit süreli çalışanlar için Özellikler: Bakanlar Kurulu onaylı Bakanlık Tablo ortalama maliyeti ile uyumlu D.D. n. 12 delik 5 Nisan 2023 dahil: - sözleşme ücreti; - yasal ve fiili yükümlülükler man- gücüne ait; - yaygın kullanılan aletlerin kiralanması ve kullanımı,Labor,Labor,ora,854.16,854.16,854.16,854.16,1,TRY,258.96,0.3032,5533,3192,EDILIZIA CIVILE,Toscana Kamu İşleri Fiyat Listesi (2026 baskısı),İNŞAAT İŞLERİ,Yıkım
TOS26_RU.M10.001.004,İnşaat: Sabit süreli çalışanlar için Özellikler: Bakanlar Kurulu onaylı Bakanlık Tablo ortalama maliyeti ile uyumlu D.D. n. 12 delik 5 Nisan 2023 dahil: - sözleşme ücreti; - yasal ve fiili yükümlülükler man- gücüne ait; - yaygın kullanılan aletlerin kiralanması ve kullanımı,Labor,Labor,ora,711.84,711.84,711.84,711.84,1,TRY,332.76,0.4675,2817,2620,EDILIZIA CIVILE,Toscana Kamu İşleri Fiyat Listesi (2026 baskısı),İNŞAAT İŞLERİ,Yıkım
TOS26_AT.N01.065.001,"Tip: İŞ MAKİNELERİ Özellikler: şantiyede teslim edilir | Madde: ÇEKİÇLER / ELEKTRİKLİ DELİCİLER VE EKİPMANLARI | Darbeli matkap, güç 450/500 W, 5-20 mm uçlar için - 1 gün",Equipment,General,ora,63.48,63.48,63.48,63.48,1,TRY,6.82,0.1074,1180,1180,EDILIZIA CIVILE,Toscana Kamu İşleri Fiyat Listesi (2026 baskısı),İNŞAAT İŞLERİ,Enjeksiyon montajı
TOS26_RU.M11.001.004,Sektör: METAL İMALAT / TESİSAT Özellikler: süresiz çalışan personel için Uygunluk: Bakanlık onaylı Tablo ortalama maliyeti ile D.D. n 73 22 Kasım 2024 tarihli Onaylı Maliyetler Dâhil: - sözleşme ücreti; - yasal ve fiili yükümlülükler man- gücü üzerinde; - kiralama ve kullanım giderleri,Labor,Labor,ora,649.98,649.98,649.98,649.98,1,TRY,1050.31,1.6159,1106,1102,EDILIZIA CIVILE,Toscana Kamu İşleri Fiyat Listesi (2026 baskısı),İNŞAAT İŞLERİ,Armatura
TOS26_RU.M10.001.003,İnşaat: Sabit süreli çalışanlar için Özellikler: Bakanlar Kurulu onaylı Bakanlık Tablo ortalama maliyeti ile uyumlu D.D. n. 12 delik 5 Nisan 2023 dahil: - sözleşme ücreti; - yasal ve fiili yükümlülükler man- gücüne ait; - yaygın kullanılan aletlerin kiralanması ve kullanımı,Labor,Labor,ora,792.29,792.29,792.29,792.29,1,TRY,289.17,0.365,1066,1030,EDILIZIA CIVILE,Toscana Kamu İşleri Fiyat Listesi (2026 baskısı),İNŞAAT İŞLERİ,Yıkım
TOS26_PRCAM.P09.017.001,"MACUNLAR VE SIVAMALAR - ÖZEL KARISIMLI / ÖN HAZIRLANMIŞ veya ŞANTİYEDEN HAZIRLANMIŞ KARIŞIMCILARLA. Sıva, şap, duvar kaplamaları ve dolgu malzemeleri için. Düşük enerji tüketimli üretim tesisleri ve atık ve fireleri azaltmaya yönelik optimize edilmiş süreçler tercih edilir. Preco ürünler için",Material,General,kg,27.34,27.34,27.34,27.34,1,TRY,144.5,5.2853,850,675,EDILIZIA CIVILE,Toscana Kamu İşleri Fiyat Listesi (2026 baskısı),İNŞAAT İŞLERİ,PANELLER
TOS26_RU.M11.001.003,Sektör: METAL İMALAT / TESİSAT Özellikler: süresiz çalışan personel için Uygunluk: Bakanlık onaylı Tablo ortalama maliyeti ile D.D. n 73 22 Kasım 2024 tarihli Onaylı Maliyetler Dâhil: - sözleşme ücreti; - yasal ve fiili yükümlülükler man- gücü üzerinde; - kiralama ve kullanım giderleri,Labor,Labor,ora,677.86,677.86,677.86,677.86,1,TRY,1494.94,2.2054,790,790,EDILIZIA CIVILE,Toscana Kamu İşleri Fiyat Listesi (2026 baskısı),İNŞAAT İŞLERİ,Dübel
TOS26_02.A07.011.010,"Konu: TAŞIMA / HAREKET Posizyon: şantiye alanında. Dahil: atıkların geri kazanım veya bertaraf amacıyla yetkili tesislere yükleme, taşıma ve boşaltma. Hariç: - teslim için erişim maliyetleri; - olası vergiler. | Konu: BOŞALTMA",Abstract Material,General,m³,355.92,355.92,355.92,355.92,1,TRY,149.15,0.4191,774,774,EDILIZIA CIVILE,Toscana Kamu İşleri Fiyat Listesi (2026 baskısı),İNŞAAT İŞLERİ,PANELLER
TOS26_PR.P18.ZZ02.002,"Konu: TERMİK VE AKUSTİK YALITIM MALZEMELERİ Uygunluk: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - CE işareti; - Performans Beyanı (DoP) | Konu: YERLEŞTİRME AKSESUARLARI İÇİN YALITIM MALZEMELERİ | cam elyaf ağ inşası, alkali dirençli, ağırlık 155-160 g/m²",Material,General,m²,43.59,43.59,43.59,43.59,1,TRY,47.95,1.1,700,700,EDILIZIA CIVILE,Toscana Kamu İşleri Fiyat Listesi (2026 baskısı),İNŞAAT İŞLERİ,PANELLER
TOS26_PRCAM.P22.034.001,ZEMİN VE KAPLAMA ÜRÜNLERİ - CAM. Uygun: 23 Haziran 2022 tarihli DM 256 sayılı CAM | AÇIKLAMA. | Su çözeltisinde sentetik bağlayıcı astar.,Material,Paint & Coatings,kg,285.52,285.52,285.52,285.52,1,TRY,78.68,0.2756,675,675,EDILIZIA CIVILE,Toscana Kamu İşleri Fiyat Listesi (2026 baskısı),İNŞAAT İŞLERİ,PANELLER
TOS26_PR.P18.ZZ02.031,"Konu: TERMİK VE AKUSTİK YALITIM MALZEMELERİ Uyumluluk: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - CE işareti; - Performans Beyanı (DoP) | Konu: YERLEŞTİRME AKSESUARLARI İÇİN YAPIŞTIRMA DÜBELİ, polietilen, duvar sıvası 115 mm < uzunluk < 155 mm",Material,General,cad,15.61,15.61,15.61,15.61,1,TRY,89.86,5.757,535,535,EDILIZIA CIVILE,Toscana Kamu İşleri Fiyat Listesi (2026 baskısı),İNŞAAT İŞLERİ,PANELLER
TOS26_PRCAM.P26.090.008,"Kaplama Malzemeleri - Boyalar, Vernikler, Emayeler ve Uygulama Aletleri - CAM Uygun: - UNI EN ISO 4618:2023; - CAM - DM 23 Haziran 2022 n. 256 sayılı yasa ile belirtilen 2.5.13 paragrafı, ''ÇEVRESEL KRİTERLER ASGARİ'' ve",Material,General,kg,75.42,75.42,75.42,75.42,1,TRY,304.45,4.0365,526,526,EDILIZIA CIVILE,Toscana Kamu İşleri Fiyat Listesi (2026 baskısı),İNŞAAT İŞLERİ,PANELLER
TOS26_AT.N06.016.001,"Nesne: KİRALIK YÜKSELTİCİ MAKİNELER Özellikler: şantiyeye teslim edilmiştir Hariç: herhangi bir nitelikte diğer ek ücretler | Nesne: VİNÇ Tür: KULE | kol 35 m, uçta taşıma kapasitesi 1000 kg. 3 ay süreyle",Equipment,General,ora,107.48,107.48,107.48,107.48,1,TRY,10.99,0.1023,450,450,EDILIZIA CIVILE,Toscana Kamu İşleri Fiyat Listesi (2026 baskısı),İNŞAAT İŞLERİ,Enjeksiyon montajı
TOS26_PRCAM.P26.107.004,"Kaplama Malzemeleri - Boyalar, Vernikler, Emayeler ve Uygulama Aletleri - CAM Uygun: - UNI EN ISO 4618:2023; - CAM - DM 23 Haziran 2022 n. 256 sayılı yasa ile belirtilen 2.5.13 paragrafı, ''ÇEVRESEL KRİTERLER ASGARİ'' ve",Material,General,kg,305.83,305.83,305.83,305.83,1,TRY,45.66,0.1493,435,435,EDILIZIA CIVILE,Toscana Kamu İşleri Fiyat Listesi (2026 baskısı),İNŞAAT İŞLERİ,PANELLER
TOS26_AT.N06.100.900,Konu: VİDALAR VE KALDIRMA MAKİNELERİ Özellikler: şantiyeye teslim edilmiştir Hariç: herhangi bir nitelikte ek ücretler | Konu: YAKIT / YAĞ YÜKLEMESİ Kullanım: VİDALAR VE KALDIRMA MAKİNELERİ için | Tür: 126 CV'ye kadar dizel,Equipment,General,ora,470.49,470.49,470.49,470.49,1,TRY,195.52,0.4156,426,383,EDILIZIA CIVILE,Toscana Kamu İşleri Fiyat Listesi (2026 baskısı),İNŞAAT İŞLERİ,Armatura
TOS26_RU.M11.001.002,Sektör: METAL İMALAT / TESİSAT Özellikler: süresiz çalışan personel için Uygunluk: Bakanlık onaylı Tablo ortalama maliyeti ile D.D. n 73 22 Kasım 2024 tarihli Onaylı Maliyetler Dâhil: - sözleşme ücreti; - yasal ve fiili yükümlülükler man- gücü üzerinde; - kiralama ve kullanım giderleri,Labor,Labor,ora,725.65,725.65,725.65,725.65,1,TRY,351.93,0.485,424,424,EDILIZIA CIVILE,Toscana Kamu İşleri Fiyat Listesi (2026 baskısı),İNŞAAT İŞLERİ,Armatura
TOS26_PR.P18.ZZ02.032,"Konu: TERMİK VE AKUSTİK YALITIM MALZEMELERİ Uygunluk: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - CE işareti; - Performans Beyanı (DoP) | Konu: YERLEŞTİRME AKSESUARLARI İÇİN YALITIM MALZEMELERİ | Polietilen vida dübeli, duvar sıvası için 175 mm < uzunluk < 215 mm",Material,General,cad,26.74,26.74,26.74,26.74,1,TRY,176.87,6.6134,313,313,EDILIZIA CIVILE,Toscana Kamu İşleri Fiyat Listesi (2026 baskısı),İNŞAAT İŞLERİ,PANELLER
TOS26_AT.N06.020.001,"Konu: YÜKSELTİCİ MAKİNELER Özellikler: şantiyeye teslim edilmiştir Hariç: herhangi bir nitelikte diğer ek ücretler | Konu: ELEKTRİKLİ YÜKLEME MAKİNESİ | bayrak desteği ile, taşıma kapasitesi 150 kg, aylık kira.",Equipment,General,ora,34.43,34.43,34.43,34.43,1,TRY,3.49,0.1013,276,274,EDILIZIA CIVILE,Toscana Kamu İşleri Fiyat Listesi (2026 baskısı),İNŞAAT İŞLERİ,PANELLER
TOS26_RU.M05.001.001,Bölüm: SU İŞLERİ-ORMAN VE SU İŞLERİ VE TARIMI Özellikler: sürekli çalışan personel için Referans birliklerin minimum saat maliyeti - 1 Ocak 2016 tarihinden itibaren geçerlidir Dâhil: - genel giderler; - işletme karları | Tür: ORMAN İŞÇİSİ | Seviye: 5. Kademe İşçiler,Labor,Labor,ora,551.47,551.47,551.47,551.47,1,TRY,14283.88,25.9014,259,228,OPERE FORESTALI CAM: no,Toscana Kamu İşleri Fiyat Listesi (2026 baskısı),ORMAN İŞLERİ CAM: hayır,ORMAN KULLANIMI ÇALIŞMALARI
TOS26_PR.P18.ZZ02.033,"Konu: TERMİK VE AKUSTİK YALITIM MALZEMELERİ Uygunluk: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - CE işareti; - Performans Beyanı (DoP) | Konu: YERLEŞTİRME AKSESUARLARI İÇİN YERLEŞTİRME DÜBELİ | Polietilen vida dübeli, duvar sıvası 235 mm < uzunluk < 275 mm",Material,General,cad,38.02,38.02,38.02,38.02,1,TRY,247.67,6.5138,253,253,EDILIZIA CIVILE,Toscana Kamu İşleri Fiyat Listesi (2026 baskısı),İNŞAAT İŞLERİ,PANELLER
TOS26_RU.M05.001.002,Bölüm: SU İDARESİ-ORMAN ve SU İDARESİ-ÇİFTÇİ Bölüm: Belirtilenler: süresiz çalışanlar için Referans birliklerin minimum saat maliyeti - 1 Ocak 2016 tarihinden itibaren geçerlidir Dâhil: - genel giderler; - işletme karları | Tür: ORMAN İŞÇİSİ | Seviye: 4. Derece İşçiler,Labor,Labor,ora,520.67,520.67,520.67,520.67,1,TRY,37094.95,71.2444,248,218,OPERE FORESTALI CAM: no,Toscana Kamu İşleri Fiyat Listesi (2026 baskısı),ORMAN İŞLERİ CAM: hayır,ORMAN KULLANIMI ÇALIŞMALARI
TOS26_RU.M05.001.004,Sektör: SU ve ORMAN İŞLERİ VE SU TARIMI İŞLERİ Özellikler: sürekli çalışan personel için Referans birliklerin minimum saat maliyeti - 1 Ocak 2016 tarihinden itibaren geçerlidir Dahil: - genel giderler; - işletme karı | Tür: ORMAN İŞÇİSİ | Seviye: 2. Kademe İşçiler,Labor,Labor,ora,468.1,468.1,468.1,468.1,1,TRY,32115.17,68.6074,235,220,OPERE FORESTALI CAM: no,Toscana Kamu İşleri Fiyat Listesi (2026 baskısı),ORMAN İŞLERİ CAM: hayır,ORMAN KULLANIMI ÇALIŞMALARI
