resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
TOS26_RU.M10.001.002,Ngành: XÂY DỰNG Đặc điểm kỹ thuật: cho nhân viên hợp đồng không thời hạn Đáp ứng: mức trung bình chi phí theo Bảng của Bộ trưởng đã được phê duyệt theo D.D. số 12 ngày 5 tháng 4 năm 2023 Bao gồm: - tiền lương hợp đồng; - các khoản phí pháp lý và thực tế phát sinh trên lao động; - thuê và sử dụng dụng cụ thông thường trong kho,Labor,Labor,ora,368516.34,368516.34,368516.34,368516.34,1,VND,111725.99,0.3032,5533,3192,EDILIZIA CIVILE,Bảng giá công trình công cộng của Toscana (phiên bản 2026),XÂY DỰNG DÂN DỤNG,Phá dỡ
TOS26_RU.M10.001.004,Ngành: XÂY DỰNG Đặc điểm kỹ thuật: cho nhân viên hợp đồng không thời hạn Đáp ứng: mức trung bình chi phí theo Bảng của Bộ trưởng đã được phê duyệt theo D.D. số 12 ngày 5 tháng 4 năm 2023 Bao gồm: - tiền lương hợp đồng; - các khoản phí pháp lý và thực tế phát sinh trên lao động; - thuê và sử dụng dụng cụ thông thường trong kho,Labor,Labor,ora,307116.04,307116.04,307116.04,307116.04,1,VND,143565.66,0.4675,2817,2620,EDILIZIA CIVILE,Bảng giá công trình công cộng của Toscana (phiên bản 2026),XÂY DỰNG DÂN DỤNG,Phá dỡ
TOS26_AT.N01.065.001,"Loại: MÁY MÓC VẬN HÀNH Đặc điểm kỹ thuật: giao hàng tại công trường | Đối tượng: BÚA / MÁY ĐỤN VÀ MÁY KHOAN ĐIỆN VÀ PHỤ KIỆN | Máy khoan có chức năng đục, công suất 450/500 W, cho mũi khoan từ 5-20 mm - 1 ngày",Equipment,General,ora,27387.86,27387.86,27387.86,27387.86,1,VND,2940.79,0.1074,1180,1180,EDILIZIA CIVILE,Bảng giá công trình công cộng của Toscana (phiên bản 2026),XÂY DỰNG DÂN DỤNG,LẮP ĐẶT TRẦN THẢ
TOS26_RU.M11.001.004,Ngành: CƠ KHÍ ĐIỆN / HỆ THỐNG CẤP NƯỚC Đặc điểm kỹ thuật: cho nhân viên làm việc lâu dài Theo: chi phí trung bình của Bảng Chính phủ phê duyệt theo D.D. n 73 ngày 22 tháng 11 năm 2024 Bao gồm: - tiền lương hợp đồng; - các khoản phí theo luật và thực tế phát sinh trên lao động; - thuê và sử dụng thiết bị,Labor,Labor,ora,280425.24,280425.24,280425.24,280425.24,1,VND,453146.27,1.6159,1106,1102,EDILIZIA CIVILE,Bảng giá công trình công cộng của Toscana (phiên bản 2026),XÂY DỰNG DÂN DỤNG,Cốt thép
TOS26_RU.M10.001.003,Ngành: XÂY DỰNG Đặc điểm kỹ thuật: cho nhân viên hợp đồng không thời hạn Đáp ứng: mức trung bình chi phí theo Bảng của Bộ trưởng đã được phê duyệt theo D.D. số 12 ngày 5 tháng 4 năm 2023 Bao gồm: - tiền lương hợp đồng; - các khoản phí pháp lý và thực tế phát sinh trên lao động; - thuê và sử dụng dụng cụ thông thường trong kho,Labor,Labor,ora,341825.54,341825.54,341825.54,341825.54,1,VND,124759.4,0.365,1066,1030,EDILIZIA CIVILE,Bảng giá công trình công cộng của Toscana (phiên bản 2026),XÂY DỰNG DÂN DỤNG,Phá dỡ
TOS26_PRCAM.P09.017.001,"VỮA VÀ TRÁT - HỘP TRỘN TRƯỚC / ĐÓNG GÓI SẴN hoặc CHUẨN BỊ TẠI CÔNG TRƯỜNG VỚI MÁY TRỘN. Dành cho trát, lớp lót, tường, lớp phủ và vật điền đầy. Ưu tiên các hệ thống sản xuất tiêu thụ năng lượng thấp và quy trình tối ưu để giảm chất thải và phế phẩm. Đối với các sản phẩm đã chuẩn bị sẵn",Material,General,kg,11795.16,11795.16,11795.16,11795.16,1,VND,62340.88,5.2853,850,675,EDILIZIA CIVILE,Bảng giá công trình công cộng của Toscana (phiên bản 2026),XÂY DỰNG DÂN DỤNG,Tấm ốp
TOS26_RU.M11.001.003,Ngành: CƠ KHÍ ĐIỆN / HỆ THỐNG CẤP NƯỚC Đặc điểm kỹ thuật: cho nhân viên làm việc lâu dài Theo: chi phí trung bình của Bảng Chính phủ phê duyệt theo D.D. n 73 ngày 22 tháng 11 năm 2024 Bao gồm: - tiền lương hợp đồng; - các khoản phí theo luật và thực tế phát sinh trên lao động; - thuê và sử dụng thiết bị,Labor,Labor,ora,292453.29,292453.29,292453.29,292453.29,1,VND,644972.96,2.2054,790,790,EDILIZIA CIVILE,Bảng giá công trình công cộng của Toscana (phiên bản 2026),XÂY DỰNG DÂN DỤNG,INFISSO
TOS26_02.A07.011.010,"Chủ đề: VẬN CHUYỂN / DI CHUYỂN Vị trí: trong phạm vi công trường. Bao gồm: xếp, vận chuyển và dỡ bỏ chất thải đến các cơ sở được phép để phục hồi hoặc xử lý. Ngoại trừ: - chi phí truy cập để giao chất thải; - các khoản phí khác.",Abstract Material,General,m³,153558.02,153558.02,153558.02,153558.02,1,VND,64348.79,0.4191,774,774,EDILIZIA CIVILE,Bảng giá công trình công cộng của Toscana (phiên bản 2026),XÂY DỰNG DÂN DỤNG,Tấm ốp
TOS26_PR.P18.ZZ02.002,Chủ đề: CÁC VẬT LIỆU Cách Nhiệt và Âm Thanh Đáp ứng: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - dán nhãn CE; - Tuyên bố Hiệu suất (DoP) | Chủ đề: PHỤ KIỆN LẮP ĐẶT CHO VẬT LIỆU Cách Nhiệt | lưới sợi thủy tinh chống kiềm trọng lượng 155-160 g/m²,Material,General,m²,18806.82,18806.82,18806.82,18806.82,1,VND,20687.55,1.1,700,700,EDILIZIA CIVILE,Bảng giá công trình công cộng của Toscana (phiên bản 2026),XÂY DỰNG DÂN DỤNG,Tấm ốp
TOS26_PRCAM.P22.034.001,SẢN PHẨM CHO SÀN VÀ VỮA - CAM. Theo: CAM theo DM 23 tháng 6 năm 2022 n. 256 | SƠN LÓT. | Liên kết tổng hợp trong dung dịch nước,Material,Paint & Coatings,kg,123184.46,123184.46,123184.46,123184.46,1,VND,33944.13,0.2756,675,675,EDILIZIA CIVILE,Bảng giá công trình công cộng của Toscana (phiên bản 2026),XÂY DỰNG DÂN DỤNG,Tấm ốp
TOS26_PR.P18.ZZ02.031,"Chủ đề: CÁC VẬT LIỆU Cách Nhiệt và Chống Ồn Phù hợp: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - dán nhãn CE; - Tuyên bố Hiệu suất (DoP) | Chủ đề: PHỤ KIỆN LẮP ĐẶT CHO VẬT LIỆU Cách Nhiệt | Trụ vít bằng polyethylene, cho tường 115 mm < chiều dài < 155 mm",Material,General,cad,6734.44,6734.44,6734.44,6734.44,1,VND,38770.26,5.757,535,535,EDILIZIA CIVILE,Bảng giá công trình công cộng của Toscana (phiên bản 2026),XÂY DỰNG DÂN DỤNG,Tấm ốp
TOS26_PRCAM.P26.090.008,"VẬT LIỆU ỐP TRANG TRÍ - SƠN, SƠN NƯỚC, SƠN MÀI VÀ DỤNG CỤ ĐỂ LẮP ĐẶT CHÚNG - CAM Phù hợp: - UNI EN ISO 4618:2023; - CAM - đoạn 2.5.13 của DM 23 tháng 6 năm 2022 số 256, ''TIÊU CHÍ MÔI TRƯỜNG TỐI THIỂU để giao nhiệm vụ thiết kế và thi công các công trình và",Material,General,kg,32540.78,32540.78,32540.78,32540.78,1,VND,131350.93,4.0365,526,526,EDILIZIA CIVILE,Bảng giá công trình công cộng của Toscana (phiên bản 2026),XÂY DỰNG DÂN DỤNG,Tấm ốp
TOS26_AT.N06.016.001,"Đối tượng: MÁY NÂNG HẠNG CẤP ĐẶC BIỆT: giao tại công trường Loại trừ: các khoản phụ phí khác bất kể loại nào | Đối tượng: CẦU HÀNG CẦU CHO TÒA NHÀ | Loại: CẦU CỘT | cần 35 m, khả năng nâng tối đa tại đầu 1000 kg trong 3 tháng",Equipment,General,ora,46370.97,46370.97,46370.97,46370.97,1,VND,4743.42,0.1023,450,450,EDILIZIA CIVILE,Bảng giá công trình công cộng của Toscana (phiên bản 2026),XÂY DỰNG DÂN DỤNG,LẮP ĐẶT TRẦN THẢ
TOS26_PRCAM.P26.107.004,"VẬT LIỆU ỐP TRANG TRÍ - SƠN, SƠN NƯỚC, SƠN MÀI VÀ DỤNG CỤ ĐỂ LẮP ĐẶT CHÚNG - CAM Phù hợp: - UNI EN ISO 4618:2023; - CAM - đoạn 2.5.13 của DM 23 tháng 6 năm 2022 số 256, ''TIÊU CHÍ MÔI TRƯỜNG TỐI THIỂU để giao nhiệm vụ thiết kế và thi công các công trình và",Material,General,kg,131948.55,131948.55,131948.55,131948.55,1,VND,19701.32,0.1493,435,435,EDILIZIA CIVILE,Bảng giá công trình công cộng của Toscana (phiên bản 2026),XÂY DỰNG DÂN DỤNG,Tấm ốp
TOS26_AT.N06.100.900,Đối tượng: MÁY NÂNG HẠNG Cụ thể: giao tại công trường Loại trừ: các khoản phụ phí khác bất kể loại nào | Đối tượng: TIÊU THỤ NHIÊN LIỆU / DẦU SỬ DỤNG: CHO MÁY NÂNG HẠNG | Loại: diesel đến 126 CV,Equipment,General,ora,202987.21,202987.21,202987.21,202987.21,1,VND,84353.76,0.4156,426,383,EDILIZIA CIVILE,Bảng giá công trình công cộng của Toscana (phiên bản 2026),XÂY DỰNG DÂN DỤNG,Cốt thép
TOS26_RU.M11.001.002,Ngành: CƠ KHÍ ĐIỆN / HỆ THỐNG CẤP NƯỚC Đặc điểm kỹ thuật: cho nhân viên làm việc lâu dài Theo: chi phí trung bình của Bảng Chính phủ phê duyệt theo D.D. n 73 ngày 22 tháng 11 năm 2024 Bao gồm: - tiền lương hợp đồng; - các khoản phí theo luật và thực tế phát sinh trên lao động; - thuê và sử dụng thiết bị,Labor,Labor,ora,313072.79,313072.79,313072.79,313072.79,1,VND,151834.4,0.485,424,424,EDILIZIA CIVILE,Bảng giá công trình công cộng của Toscana (phiên bản 2026),XÂY DỰNG DÂN DỤNG,Cốt thép
TOS26_PR.P18.ZZ02.032,"Chủ đề: CÁC VẬT LIỆU Cách Nhiệt và Chống Ồn Phù hợp: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - dán nhãn CE; - Tuyên bố Hiệu suất (DoP) | Chủ đề: PHỤ KIỆN LẮP ĐẶT CHO VẬT LIỆU Cách Nhiệt | Trụ vít bắt bằng polyethylene, cho tường 175 mm < chiều dài < 215 mm",Material,General,cad,11538.33,11538.33,11538.33,11538.33,1,VND,76307.81,6.6134,313,313,EDILIZIA CIVILE,Bảng giá công trình công cộng của Toscana (phiên bản 2026),XÂY DỰNG DÂN DỤNG,Tấm ốp
TOS26_AT.N06.020.001,"Chủ đề: MÁY NÂNG HẠNG SPECIFIC: giao tại công trường Loại trừ: các khoản phụ phí khác bất kể loại nào | Chủ đề: THANG MÁY ĐIỆN | với giá đỡ cột, tải trọng 150 kg, thuê hàng tháng.",Equipment,General,ora,14853.26,14853.26,14853.26,14853.26,1,VND,1504.32,0.1013,276,274,EDILIZIA CIVILE,Bảng giá công trình công cộng của Toscana (phiên bản 2026),XÂY DỰNG DÂN DỤNG,Tấm ốp
TOS26_RU.M05.001.001,Ngành: NGÀNH CÔNG TRÌNH THUỶ LỢI-THUỶ LỢI-ĐỊA HẠT SPECIFICATIONS: dành cho nhân viên hợp đồng không xác định thời hạn Đáp ứng: chi phí tối thiểu theo giờ của các hiệp hội tham khảo - có hiệu lực từ ngày 1 tháng 1 năm 2016 Bao gồm: - chi phí chung; - lợi nhuận của doanh nghiệp | Loại: CÔNG NHÂN LÂM NGHIỆP | Cấp độ: 5° Công nhân,Labor,Labor,ora,237926.16,237926.16,237926.16,237926.16,1,VND,6162618.48,25.9014,259,228,OPERE FORESTALI CAM: no,Bảng giá công trình công cộng của Toscana (phiên bản 2026),CÔNG TRÌNH RỪNG TRỒNG: không,CÔNG TRÌNH SỬ DỤNG RỪNG
TOS26_PR.P18.ZZ02.033,"Chủ đề: CÁC VẬT LIỆU Cách Nhiệt và Chống Ồn Phù hợp với: - UNI 13172:2012; - UNI 13501:2009; - D.M. 15/03/2005. - dán nhãn CE; - Tuyên bố Hiệu suất (DoP) | Chủ đề: PHỤ KIỆN LẮP ĐẶT CHO VẬT LIỆU Cách Nhiệt | Chốt vít bằng polyethylene, cho tường 235 mm < chiều dài < 275 mm",Material,General,cad,16404.3,16404.3,16404.3,16404.3,1,VND,106854.91,6.5138,253,253,EDILIZIA CIVILE,Bảng giá công trình công cộng của Toscana (phiên bản 2026),XÂY DỰNG DÂN DỤNG,Tấm ốp
TOS26_RU.M05.001.002,Ngành: NGÀNH CÔNG TRÌNH THUỶ LỢI-THUỶ LỢI-ĐỊA HẠ TẠI ĐỊA PHƯƠNG Đặc điểm kỹ thuật: dành cho nhân viên hợp đồng không xác định Thích hợp: chi phí tối thiểu theo giờ của các hiệp hội tham khảo - có hiệu lực từ ngày 1 tháng 1 năm 2016 Bao gồm: - chi phí chung; - lợi nhuận của doanh nghiệp | Loại: CÔNG NHÂN LÂM NGHIỆP | Cấp độ: Công nhân 4°,Labor,Labor,ora,224638.03,224638.03,224638.03,224638.03,1,VND,16004195.0,71.2444,248,218,OPERE FORESTALI CAM: no,Bảng giá công trình công cộng của Toscana (phiên bản 2026),CÔNG TRÌNH RỪNG TRỒNG: không,CÔNG TRÌNH SỬ DỤNG RỪNG
TOS26_RU.M05.001.004,Ngành: NGÀNH CÔNG TRÌNH THUỶ LỢI-THUỶ LỢI-ĐỊA HẠ TẠI ĐỊA PHƯƠNG Đặc điểm kỹ thuật: dành cho nhân viên hợp đồng không thời hạn Phù hợp: chi phí tối thiểu theo giờ của các hiệp hội tham khảo - có hiệu lực từ ngày 1 tháng 1 năm 2016 Bao gồm: - chi phí chung; - lợi nhuận của doanh nghiệp | Loại: CÔNG NHÂN RỪNG | Cấp độ: Công nhân cấp 2,Labor,Labor,ora,201956.58,201956.58,201956.58,201956.58,1,VND,13855724.18,68.6074,235,220,OPERE FORESTALI CAM: no,Bảng giá công trình công cộng của Toscana (phiên bản 2026),CÔNG TRÌNH RỪNG TRỒNG: không,CÔNG TRÌNH SỬ DỤNG RỪNG
TOS26_AT.N02.014.028,Đối tượng: PHƯƠNG TIỆN VẬN CHUYỂN / MÁY KHÔNG HOẠT ĐỘNG Bao gồm; - chi phí người lái; - bảo hiểm; - chi phí vật liệu tiêu hao; - các chi phí khác để đưa phương tiện vào trạng thái hoạt động đầy đủ hiệu quả. | XE TẢI / XE MÁY / MÁY CƠ GIỚI MTT: Trọng lượng tổng cộng trên mặt đất Pu: Tải trọng hữu ích | Máy kéo go,Equipment,General,ora,90139.76,90139.76,90139.76,90139.76,1,VND,479830.84,5.3232,229,218,OPERE PER VERDE URBANO,Bảng giá công trình công cộng của Toscana (phiên bản 2026),Công trình cây xanh đô thị,LÀM VIỆC VÀ CẢI TẠO ĐẤT
TOS26_01.B04.003.001,"Đối tượng: ĐỔ BÊ TÔNG Vật liệu: bằng BÊ TÔNG Định dạng: Đóng gói sẵn Loại: theo hiệu suất đảm bảo Bao gồm: - cung cấp; - lắp đặt; - xả; - đổ; - rung. Thông số kỹ thuật: sản phẩm được sản xuất trong nhà máy có hệ thống Kiểm soát Sản xuất, thực hiện theo nội dung trong các Hướng dẫn G",Abstract Material,Fasteners,m³,1477254.98,1477254.98,1477254.98,1477254.98,1,VND,1364898.93,0.9239,226,118,INFRASTRUTTURE STRADALI,Bảng giá công trình công cộng của Toscana (phiên bản 2026),CÔNG TRÌNH GIAO THÔNG ĐƯỜNG XÁ,MỤC
TOS26_RU.M04.002.002,Ngành: NÔNG NGHIỆP VÀ TRỒNG TRỌT Đặc điểm kỹ thuật: dành cho nhân viên hợp đồng không xác định Thỏa thuận: tối thiểu giờ làm việc của các hiệp hội tham chiếu - C.C.N.L. 24/10/2014 Bao gồm: - tiền lương hợp đồng; - các khoản phí theo luật và thực tế phát sinh trên lao động; - thuê và sử dụng dụng cụ thông thường,Labor,Labor,ora,231912.59,231912.59,231912.59,231912.59,1,VND,1210361.4,5.219,225,151,OPERE AGRICOLE CAM: no,Bảng giá công trình công cộng của Toscana (phiên bản 2026),CÔNG TRÌNH NÔNG NGHIỆP CAM: không,Các công trình nhằm tạo điều kiện cho việc trồng trọt tiếp theo của các khu đất 
TOS26_AT.N01.001.902,"Loại: MÁY MÓC VẬN HÀNH Đặc điểm: giao tại công trường | Sử dụng: ĐỂ CHUYỂN ĐỘNG ĐẤT Bao gồm: phụ kiện | chi phí tiêu thụ nhiên liệu, dầu mỡ và vật liệu khác - máy đào đất từ 10.000 kg đến 25.000 kg - từ 126 CV đến 300 CV",Equipment,General,ora,472419.74,472419.74,472419.74,472419.74,1,VND,68452.51,0.1449,218,217,EDILIZIA CIVILE,Bảng giá công trình công cộng của Toscana (phiên bản 2026),XÂY DỰNG DÂN DỤNG,Phá dỡ
TOS26_AT.N01.060.001,Loại: MÁY MÓC VẬN HÀNH Đặc điểm kỹ thuật: giao tại công trường | Đối tượng: PHỤ KIỆN Sử dụng: CHO CÁC CÔNG VIỆC KHÁC NHAU | Máy rung bê tông - 1 tháng,Equipment,General,ora,24815.8,24815.8,24815.8,24815.8,1,VND,3186.02,0.1284,217,207,EDILIZIA CIVILE,Bảng giá công trình công cộng của Toscana (phiên bản 2026),XÂY DỰNG DÂN DỤNG,LÀM ĐẬU
TOS26_AT.N06.016.006,"Đối tượng: MÁY NÂNG CẤP ĐỘNG Cơ Đặc điểm: giao hàng tại công trường Loại trừ: các khoản phụ phí khác bất kể loại nào | Đối tượng: CẦU HỎA Loại: CẦU HỎA CHO TƯỜNG | cánh tay 40-41 m, khả năng nâng tối đa 1000 kg. Thuê từ 8 đến 12 tháng",Equipment,General,ora,48250.55,48250.55,48250.55,48250.55,1,VND,2693.76,0.0558,215,214,EDILIZIA CIVILE,Bảng giá công trình công cộng của Toscana (phiên bản 2026),XÂY DỰNG DÂN DỤNG,KHUÔN ĐÀO TẠO
TOS26_04.A04.008.001,"Đối tượng: ĐÀO BỎ TRỌN GÓI: - loại bỏ các tảng đá hoặc tàn tích của tường đá lên đến 0,50 m³; - san bằng đáy đào; - điều chỉnh các mặt tường và mép; - thoát nước hoặc thoát nước của nước có thể có đến tối đa 20 cm; - nhổ bỏ gốc cây; - các công trình",Abstract Material,General,m³,46818.3,46818.3,46818.3,46818.3,1,VND,85861.25,1.8339,198,138,INFRASTRUTTURE STRADALI,Bảng giá công trình công cộng của Toscana (phiên bản 2026),CÔNG TRÌNH GIAO THÔNG ĐƯỜNG XÁ,MỤC
TOS26_PR.P19.060.001,Chủ đề: VẬT LIỆU CHỐNG THẤM / MÀNG / MÀNG CHỐNG TĨNH ĐIỆN Theo quy định: - Quy định EC 305/2011; - dấu CE; - UNI 8818:2016 | MÀNG CHỐNG TĨNH ĐIỆN NHÁM HOẶC BITUM. Được gia cố bằng một lớp màng,Material,Waterproofing,m²,76425.16,76425.16,76425.16,76425.16,1,VND,87888.91,1.15,197,197,EDILIZIA CIVILE,Bảng giá công trình công cộng của Toscana (phiên bản 2026),XÂY DỰNG DÂN DỤNG,Tấm ốp
TOS26_AT.N06.017.007,"Đối tượng: MÁY NÂNG HẠNG CẤU KIỆN Đặc điểm kỹ thuật: giao hàng tại công trường Loại trừ: các phụ phí khác bất kỳ | Đối tượng: CẦU HỎNG Loại: TỰ ĐỘNG | cần 25 m, khả năng nâng tối đa 800 kg. trong 1 tháng",Equipment,General,ora,48906.94,48906.94,48906.94,48906.94,1,VND,6504.87,0.133,194,194,EDILIZIA CIVILE,Bảng giá công trình công cộng của Toscana (phiên bản 2026),XÂY DỰNG DÂN DỤNG,DÂY CHỈNH
TOS26_PR.P19.018.017,"Chủ đề: VẬT LIỆU CHỐNG THẤM / MÀNG / MÀNG CHỐNG THẤM Đáp ứng: - Quy định EC 305/2011; - dấu CE; - UNI 8818:2016 | MÀNG CHỐNG THẤM ELASTOPLASTOMERIC CÓ HÀM LƯỢNG BITUM VÀ POLYMER CAO. ĐƯỢC CÁC VẬT LIỆU VẢI POLYESTER CÓ SỢI GỐI ĐƯỢC TĂNG CƯỜNG VỚI SỢI THÉP, KHÔNG MỐI MỐI",Material,Waterproofing,m²,74421.4,74421.4,74421.4,74421.4,1,VND,82285.53,1.1057,194,194,EDILIZIA CIVILE,Bảng giá công trình công cộng của Toscana (phiên bản 2026),XÂY DỰNG DÂN DỤNG,Chống thấm
TOS26_AT.N01.015.070,"Loại: MÁY MÓC VẬN HÀNH Đặc điểm kỹ thuật: giao tại công trường | Sử dụng: CHO CÔNG VIỆC TRÊN THẢO CƯƠNG | Máy cưa xích hoàn chỉnh với dây xích, động cơ đốt trong, với thanh dẫn dài 45 cm - 1 tháng",Equipment,General,ora,16500.53,16500.53,16500.53,16500.53,1,VND,1447003.73,87.6944,192,192,OPERE PER VERDE URBANO,Bảng giá công trình công cộng của Toscana (phiên bản 2026),Công trình cây xanh đô thị,"Cây bụi, bụi rậm, hàng rào sống, mảng cây cảnh"
