resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
TOS26_RU.M10.001.002,行业：建筑 规格：针对固定期限雇员 依据：经D.D.第12号2023年4月5日批准的部长级表格的平均成本 包含：- 合同工资；- 法律和实际施加在劳动力上的费用；- 常用工具的租赁和使用,Labor,Labor,ora,179.11,179.11,179.11,179.11,1,CNY,54.3,0.3032,5533,3192,EDILIZIA CIVILE,托斯卡纳公共工程预算（2026年版）,民用建筑,拆除
TOS26_RU.M10.001.004,行业：建筑 规格：针对固定期限雇员 依据：经D.D.第12号2023年4月5日批准的部长级表格的平均成本 包含：- 合同工资；- 法律和实际施加在劳动力上的费用；- 常用工具的租赁和使用,Labor,Labor,ora,149.26,149.26,149.26,149.26,1,CNY,69.78,0.4675,2817,2620,EDILIZIA CIVILE,托斯卡纳公共工程预算（2026年版）,民用建筑,拆除
TOS26_AT.N01.065.001,类型：操作机械 规格：工地交付 | 项目：电锤/电动冲击钻及配件 | 冲击钻，功率450/500 W，适用于5-20 mm钻头 - 1天,Equipment,General,ora,13.31,13.31,13.31,13.31,1,CNY,1.43,0.1074,1180,1180,EDILIZIA CIVILE,托斯卡纳公共工程预算（2026年版）,民用建筑,嵌入式安装
TOS26_RU.M11.001.004,行业：机电/安装 规格：适用于固定期限雇员 依据：经D.D.第73号于2024年11月22日批准的部长级表格的平均成本 包含：- 合同工资；- 法律和实际对劳动力的负担；- 租赁及使用设备,Labor,Labor,ora,136.29,136.29,136.29,136.29,1,CNY,220.24,1.6159,1106,1102,EDILIZIA CIVILE,托斯卡纳公共工程预算（2026年版）,民用建筑,钢筋骨架
TOS26_RU.M10.001.003,行业：建筑 规格：针对固定期限雇员 依据：经D.D.第12号2023年4月5日批准的部长级表格的平均成本 包含：- 合同工资；- 法律和实际施加在劳动力上的费用；- 常用工具的租赁和使用,Labor,Labor,ora,166.13,166.13,166.13,166.13,1,CNY,60.64,0.365,1066,1030,EDILIZIA CIVILE,托斯卡纳公共工程预算（2026年版）,民用建筑,拆除
TOS26_PRCAM.P09.017.001,灰泥和抹灰 - 预混/预制或在工地用搅拌机准备。用于抹灰、找平层、砌体、覆层和填充材料。优先考虑低能耗生产设备和优化工艺以减少废料和废弃物。对于预制产品,Material,General,kg,5.73,5.73,5.73,5.73,1,CNY,30.3,5.2853,850,675,EDILIZIA CIVILE,托斯卡纳公共工程预算（2026年版）,民用建筑,面板
TOS26_RU.M11.001.003,行业：机电/安装 规格：适用于固定期限雇员 依据：经D.D.第73号于2024年11月22日批准的部长级表格的平均成本 包含：- 合同工资；- 法律和实际对劳动力的负担；- 租赁及使用设备,Labor,Labor,ora,142.14,142.14,142.14,142.14,1,CNY,313.47,2.2054,790,790,EDILIZIA CIVILE,托斯卡纳公共工程预算（2026年版）,民用建筑,嵌入式
TOS26_02.A07.011.010,对象：运输/搬运 定位：工地范围内。 包含：废弃物的装载、运输和卸载至经授权的回收或处置设施。 排除： - 交付的进入费用； - 可能的税费。 | 对象：卸载,Abstract Material,General,m³,74.63,74.63,74.63,74.63,1,CNY,31.27,0.4191,774,774,EDILIZIA CIVILE,托斯卡纳公共工程预算（2026年版）,民用建筑,面板
TOS26_PR.P18.ZZ02.002,主题：隔热和隔音材料符合性： - UNI 13172:2012； - UNI 13501:2009； - 2005年3月15日的总理令（D.M. 15/03/2005）； - 欧盟CE标志； - 性能声明（DoP） | 主题：铺设配件用于隔热材料 | 玻璃纤维网，耐碱，重量155-160 g/m²,Material,General,m²,9.14,9.14,9.14,9.14,1,CNY,10.05,1.1,700,700,EDILIZIA CIVILE,托斯卡纳公共工程预算（2026年版）,民用建筑,面板
TOS26_PRCAM.P22.034.001,地面和覆盖材料 - CAM。符合：DM 2022年6月23日第256号CAM | 底漆。 | 水性合成连接底漆,Material,Paint & Coatings,kg,59.87,59.87,59.87,59.87,1,CNY,16.5,0.2756,675,675,EDILIZIA CIVILE,托斯卡纳公共工程预算（2026年版）,民用建筑,面板
