resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,مواد صغيرة,Material,General,u,1.34,1.34,1.34,1.34,1,AED,8.01,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,متفرقات
WW00300,مادة تكميلية أو قطع خاصة,Material,General,u,2.45,2.45,2.45,2.45,1,AED,31.56,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,متفرقات
TP00100,عامل خاص,Labor,Labor,h,89.7,89.7,89.7,89.7,1,AED,72.79,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,قُبب
ATC00100,طاقم بنّائين، مكوّن من عامل ماهر درجة 1 وعامل مساعد متخصص,Labor,Labor,h,184.12,184.12,184.12,184.12,1,AED,298.71,1.6224,1230,1230,CIMENTACIONES,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الأساسات,في الموقع
TO01900,فني صحي 1ª,Labor,Labor,h,94.42,94.42,94.42,94.42,1,AED,95.66,1.0131,887,887,SANEAMIENTO,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الصرف الصحي,الصرف الصحي التفريغي
TO02100,فني 1,Labor,Labor,h,94.42,94.42,94.42,94.42,1,AED,79.73,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,متفرقات
TO01800,عامل كهربائي ماهر درجة 1,Labor,Labor,h,94.42,94.42,94.42,94.42,1,AED,105.86,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,عدادات
ATC00400,طاقم مكوّن من مركّب ماهر درجة 1 ومساعد,Labor,Labor,h,185.55,185.55,185.55,185.55,1,AED,2863.37,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,تكييف الهواء
AGM00500,"مونة أسمنت M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,325.62,325.62,325.62,325.62,1,AED,21.91,0.0673,465,465,CIMENTACIONES,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الأساسات,البنايات
TO01600,عامل ماهر درجة 1 حدّاد أقفال وصفائح,Labor,Labor,h,94.42,94.42,94.42,94.42,1,AED,36.65,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,بالذراع
TO01400,عامل ماهر درجة 1 تدفئة أو ميكانيكا,Labor,Labor,h,94.42,94.42,94.42,94.42,1,AED,220.95,2.3399,365,365,INSTALACIONES,قاعدة تكاليف البناء في الأندلس (BCCA 2023),التركيبات,المعدات والعناصر المساعدة
ATC00200,فرقة بناء مكونة من حرفي بناء من الدرجة الثانية وعامل 2 خاص.,Labor,Labor,h,181.76,181.76,181.76,181.76,1,AED,113.58,0.6249,355,355,CIMENTACIONES,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الأساسات,في الموقع
TO00100,مكتب 1ª للبناء,Labor,Labor,h,94.42,94.42,94.42,94.42,1,AED,62.07,0.6574,316,316,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,خرسانة مسلحة
CH04120,خرسانة HM-20/P/40/X0، مُورَّدة,Material,General,m3,380.22,380.22,380.22,380.22,1,AED,103.25,0.2715,313,313,CIMENTACIONES,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الأساسات,بالكتلة
MK00100,شاحنة قلابة,Equipment,General,h,155.35,155.35,155.35,155.35,1,AED,20.13,0.1296,298,298,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,قُبب
RW01900,فاصل الإغلاق,Material,General,m,5.54,5.54,5.54,5.54,1,AED,18.26,3.2937,286,286,ALBAÑILERÍA,قاعدة تكاليف البناء في الأندلس (BCCA 2023),العمالة الطوبية,متفرقات
