resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,PEQUENO MATERIAL,Material,General,u,186.66,186.66,186.66,186.66,1,AOA,1111.37,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Custos da Construção da Andaluzia (BCCA 2023),DEMOLIÇÕES E TRABALHOS PREVIOS,Vários
WW00300,MATERIAL COMPLEMENTAR OU PEÇAS ESPECIAIS,Material,General,u,339.37,339.37,339.37,339.37,1,AOA,4380.79,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Custos da Construção da Andaluzia (BCCA 2023),DEMOLIÇÕES E TRABALHOS PREVIOS,Vários
TP00100,Peão Especial,Labor,Labor,h,12449.37,12449.37,12449.37,12449.37,1,AOA,10102.95,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Custos da Construção da Andaluzia (BCCA 2023),DEMOLIÇÕES E TRABALHOS PREVIOS,Bóvedas
ATC00100,"EQUIPE DE ALVENARIA, FORMADA POR OFICIAL 1ª E PEÃO ESP.",Labor,Labor,h,25554.87,25554.87,25554.87,25554.87,1,AOA,41459.04,1.6224,1230,1230,CIMENTACIONES,Base de Custos da Construção da Andaluzia (BCCA 2023),Fundações,in situ
TO01900,OF. 1ª ENCANADOR,Labor,Labor,h,13105.5,13105.5,13105.5,13105.5,1,AOA,13276.62,1.0131,887,887,SANEAMIENTO,Base de Custos da Construção da Andaluzia (BCCA 2023),SANEAMENTO,Sifônicas
TO02100,OFICIAL 1ª,Labor,Labor,h,13105.5,13105.5,13105.5,13105.5,1,AOA,11065.69,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Custos da Construção da Andaluzia (BCCA 2023),DEMOLIÇÕES E TRABALHOS PREVIOS,Vários
TO01800,ELETRICISTA 1ª,Labor,Labor,h,13105.5,13105.5,13105.5,13105.5,1,AOA,14692.42,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Custos da Construção da Andaluzia (BCCA 2023),DEMOLIÇÕES E TRABALHOS PREVIOS,Contadores
ATC00400,EQUIPA FORMADA POR OFICIAL DE 1ª INSTALADOR E AJUDANTE,Labor,Labor,h,25752.84,25752.84,25752.84,25752.84,1,AOA,397417.03,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Custos da Construção da Andaluzia (BCCA 2023),DEMOLIÇÕES E TRABALHOS PREVIOS,Ar condicionado
AGM00500,"ARGAMASSA DE CIMENTO M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,45193.32,45193.32,45193.32,45193.32,1,AOA,3041.56,0.0673,465,465,CIMENTACIONES,Base de Custos da Construção da Andaluzia (BCCA 2023),Fundações,Fábricas
TO01600,FERRO DE 1ª CERRADURA-CHAPISTA,Labor,Labor,h,13105.5,13105.5,13105.5,13105.5,1,AOA,5086.85,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Custos da Construção da Andaluzia (BCCA 2023),DEMOLIÇÕES E TRABALHOS PREVIOS,A braço
TO01400,Aquecedor ou mecânico de 1ª categoria,Labor,Labor,h,13105.5,13105.5,13105.5,13105.5,1,AOA,30665.86,2.3399,365,365,INSTALACIONES,Base de Custos da Construção da Andaluzia (BCCA 2023),INSTALAÇÕES,Equipamentos e elementos auxiliares
ATC00200,"EQUIPE DE ALVENARIA, FORMADA POR OFICIAL 2ª E PEÃO ESP.",Labor,Labor,h,25226.81,25226.81,25226.81,25226.81,1,AOA,15763.7,0.6249,355,355,CIMENTACIONES,Base de Custos da Construção da Andaluzia (BCCA 2023),Fundações,in situ
TO00100,ALVENARIA DE 1ª,Labor,Labor,h,13105.5,13105.5,13105.5,13105.5,1,AOA,8615.04,0.6574,316,316,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Custos da Construção da Andaluzia (BCCA 2023),DEMOLIÇÕES E TRABALHOS PREVIOS,Concreto armado
CH04120,"CONCRETO HM-20/P/40/X0, FORNECIDO",Material,General,m3,52772.68,52772.68,52772.68,52772.68,1,AOA,14330.23,0.2715,313,313,CIMENTACIONES,Base de Custos da Construção da Andaluzia (BCCA 2023),Fundações,Em massa
MK00100,Caminhão basculante,Equipment,General,h,21561.57,21561.57,21561.57,21561.57,1,AOA,2794.1,0.1296,298,298,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Custos da Construção da Andaluzia (BCCA 2023),DEMOLIÇÕES E TRABALHOS PREVIOS,Bóvedas
RW01900,JUNTA DE SELLADO,Material,General,m,769.25,769.25,769.25,769.25,1,AOA,2533.68,3.2937,286,286,ALBAÑILERÍA,Base de Custos da Construção da Andaluzia (BCCA 2023),ALVENARIA,Vários
TA00200,Assistente Especialista,Labor,Labor,h,12647.34,12647.34,12647.34,12647.34,1,AOA,15701.84,1.2415,236,236,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Custos da Construção da Andaluzia (BCCA 2023),DEMOLIÇÕES E TRABALHOS PREVIOS,Ar condicionado
AGL00100,"LECHADA DE CIMENTO CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,92434.2,92434.2,92434.2,92434.2,1,AOA,136.21,0.0015,209,209,REVESTIMIENTOS,Base de Custos da Construção da Andaluzia (BCCA 2023),Revestimentos,Degraus
MC00100,COMPRESSOR DE DOIS MARTELLOS,Equipment,General,h,5350.8,5350.8,5350.8,5350.8,1,AOA,4079.56,0.7624,181,181,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Custos da Construção da Andaluzia (BCCA 2023),DEMOLIÇÕES E TRABALHOS PREVIOS,Concreto armado
TO00300,OPERÁRIO DE 1ª COLOCAÇÃO,Labor,Labor,h,13105.5,13105.5,13105.5,13105.5,1,AOA,2450.73,0.187,176,176,ESTRUCTURAS,Base de Custos da Construção da Andaluzia (BCCA 2023),ESTRUTURAS,ESTRUTURAS
