resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,KLEINMATERIAL,Material,General,u,0.42,0.42,0.42,0.42,1,EUR,2.5,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Verschiedenes
WW00300,ERGÄNZENDES MATERIAL ODER SPEZIALTEILE,Material,General,u,0.76,0.76,0.76,0.76,1,EUR,9.84,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Verschiedenes
TP00100,Spezialarbeiter,Labor,Labor,h,27.96,27.96,27.96,27.96,1,EUR,22.69,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Gewölbe
ATC00100,"MAURERTRUPPE, BESTEHEND AUS 1. GESELL UND SPEZIALHILFSARBEITER.",Labor,Labor,h,57.39,57.39,57.39,57.39,1,EUR,93.11,1.6224,1230,1230,CIMENTACIONES,Baukostenbasis von Andalusien (BCCA 2023),GRÜNDUNGEN,Ortbeton
TO01900,OF. 1. KLEMPNER,Labor,Labor,h,29.43,29.43,29.43,29.43,1,EUR,29.82,1.0131,887,887,SANEAMIENTO,Baukostenbasis von Andalusien (BCCA 2023),KANALISATION,Siphonisch
TO02100,Facharbeiter 1,Labor,Labor,h,29.43,29.43,29.43,29.43,1,EUR,24.85,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Verschiedenes
TO01800,OF. 1ª ELEKTRIKER,Labor,Labor,h,29.43,29.43,29.43,29.43,1,EUR,33.0,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Zähler
ATC00400,TRUPPE BESTEHEND AUS EINEM INSTALLATEUR DER 1. KLASSE UND EINEM HELFER,Labor,Labor,h,57.84,57.84,57.84,57.84,1,EUR,892.57,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Klimaanlage
AGM00500,"ZEMENTMÖRTEL M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,101.5,101.5,101.5,101.5,1,EUR,6.83,0.0673,465,465,CIMENTACIONES,Baukostenbasis von Andalusien (BCCA 2023),GRÜNDUNGEN,Mauerwerk
TO01600,OF. 1ª SCHLOSSER-VERKLEIDER,Labor,Labor,h,29.43,29.43,29.43,29.43,1,EUR,11.42,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Mit dem Arm
TO01400,OF. 1. HEIZUNGSINSTALLATEUR ODER MECHANIKER,Labor,Labor,h,29.43,29.43,29.43,29.43,1,EUR,68.87,2.3399,365,365,INSTALACIONES,Baukostenbasis von Andalusien (BCCA 2023),INSTALLATIONEN,Hilfsgeräte und -elemente
ATC00200,"MAURERTRUPPE, BESTEHEND AUS 2. GESELL UND SPEZIALHILFSARBEITER.",Labor,Labor,h,56.66,56.66,56.66,56.66,1,EUR,35.4,0.6249,355,355,CIMENTACIONES,Baukostenbasis von Andalusien (BCCA 2023),GRÜNDUNGEN,Ortbeton
TO00100,OF. 1ª MAURERARBEIT,Labor,Labor,h,29.43,29.43,29.43,29.43,1,EUR,19.35,0.6574,316,316,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Stahlbeton
CH04120,"BETON HM-20/P/40/X0, GELIEFERT",Material,General,m3,118.52,118.52,118.52,118.52,1,EUR,32.18,0.2715,313,313,CIMENTACIONES,Baukostenbasis von Andalusien (BCCA 2023),GRÜNDUNGEN,Massiv
MK00100,KIPPER-LKW,Equipment,General,h,48.43,48.43,48.43,48.43,1,EUR,6.28,0.1296,298,298,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Gewölbe
RW01900,DICHTFUGE,Material,General,m,1.73,1.73,1.73,1.73,1,EUR,5.69,3.2937,286,286,ALBAÑILERÍA,Baukostenbasis von Andalusien (BCCA 2023),MAUERWERK,Verschiedenes
TA00200,FACHARBEITER,Labor,Labor,h,28.4,28.4,28.4,28.4,1,EUR,35.27,1.2415,236,236,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Klimaanlage
AGL00100,"ZEMENTMÖRTEL CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,207.6,207.6,207.6,207.6,1,EUR,0.31,0.0015,209,209,REVESTIMIENTOS,Baukostenbasis von Andalusien (BCCA 2023),BEKLEIDUNGEN,Stufen
MC00100,ZWEI-HAMMER-KOMPRESSOR,Equipment,General,h,12.02,12.02,12.02,12.02,1,EUR,9.16,0.7624,181,181,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Stahlbeton
TO00300,OF. 1. VERLEGER,Labor,Labor,h,29.43,29.43,29.43,29.43,1,EUR,5.5,0.187,176,176,ESTRUCTURAS,Baukostenbasis von Andalusien (BCCA 2023),STRUKTUREN,STRUKTUREN
KA01100,"VORGESCHRAUBTER RAHMEN AUS VERZINKTEM STAHLROHR, SCHWENKBAR ODER FEST",Material,General,m,4.79,4.79,4.79,4.79,1,EUR,16.42,3.4277,159,159,CARPINTERÍA Y ELEMENTOS DE SEGURIDAD Y PROTECCIÓN,Baukostenbasis von Andalusien (BCCA 2023),Tischlerei und Sicherheits- und Schutzelemente,Feststehend
ME00300,RADLADER,Equipment,General,h,45.15,45.15,45.15,45.15,1,EUR,1.66,0.0368,156,156,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Gewölbe
TO01500,OF. 1. ZIMMERERARBEIT,Labor,Labor,h,29.43,29.43,29.43,29.43,1,EUR,47.8,1.6238,154,154,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Hölzer
TO00900,OF. 1ª MONTEUR,Labor,Labor,h,29.43,29.43,29.43,29.43,1,EUR,37.32,1.268,153,153,ALBAÑILERÍA,Baukostenbasis von Andalusien (BCCA 2023),MAUERWERK,ZIEGELBÖGEN UND -GEWÖLBE
CA00320,STAHL B 500 S,Material,General,kg,1.21,1.21,1.21,1.21,1,EUR,4.89,4.0556,150,150,CIMENTACIONES,Baukostenbasis von Andalusien (BCCA 2023),GRÜNDUNGEN,Gerippte Stäbe
TO01100,OF. 1. FLIESENLEGER,Labor,Labor,h,29.43,29.43,29.43,29.43,1,EUR,8.56,0.2908,147,147,CUBIERTAS,Baukostenbasis von Andalusien (BCCA 2023),DÄCHER,Anschlüsse
TO00600,OF. 1ª BEWEHRUNGSFLECHTER,Labor,Labor,h,29.43,29.43,29.43,29.43,1,EUR,2.88,0.098,138,138,CIMENTACIONES,Baukostenbasis von Andalusien (BCCA 2023),GRÜNDUNGEN,Gerippte Stäbe
MV00100,Vibrator,Equipment,General,h,2.31,2.31,2.31,2.31,1,EUR,0.3,0.1319,128,128,CIMENTACIONES,Baukostenbasis von Andalusien (BCCA 2023),GRÜNDUNGEN,Aussteifungen
