resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,МАЛЪК МАТЕРИАЛ,Material,General,u,0.23,0.23,0.23,0.23,1,BGN,1.4,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,База на разходите за строителство на Андалусия (BCCA 2023),Демонтаж и предварителни работи,Разнообразни
WW00300,ДОПЪЛНИТЕЛЕН МАТЕРИАЛ ИЛИ СПЕЦИАЛНИ ЧАСТИ,Material,General,u,0.43,0.43,0.43,0.43,1,BGN,5.5,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,База на разходите за строителство на Андалусия (BCCA 2023),Демонтаж и предварителни работи,Разнообразни
TP00100,Специален работник,Labor,Labor,h,15.64,15.64,15.64,15.64,1,BGN,12.69,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,База на разходите за строителство на Андалусия (BCCA 2023),Демонтаж и предварителни работи,Куполи
ATC00100,"ГРУПА ЗА СТРОИТЕЛСТВО, СЪСТОЯЩА СЕ ОТ ОФИЦЕР 1-ВА И РАБОТНИК ESP.",Labor,Labor,h,32.1,32.1,32.1,32.1,1,BGN,52.08,1.6224,1230,1230,CIMENTACIONES,База на разходите за строителство на Андалусия (BCCA 2023),Фундаменти,На място
TO01900,ОФ. 1ª ВОДОПРОВОДЧИК,Labor,Labor,h,16.46,16.46,16.46,16.46,1,BGN,16.68,1.0131,887,887,SANEAMIENTO,База на разходите за строителство на Андалусия (BCCA 2023),Канализация,Вентилационни тръби
TO02100,ОФИЦИАЛ 1-ВИ,Labor,Labor,h,16.46,16.46,16.46,16.46,1,BGN,13.9,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,База на разходите за строителство на Андалусия (BCCA 2023),Демонтаж и предварителни работи,Разнообразни
TO01800,OF. 1ª ЕЛЕКТРИК,Labor,Labor,h,16.46,16.46,16.46,16.46,1,BGN,18.46,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,База на разходите за строителство на Андалусия (BCCA 2023),Демонтаж и предварителни работи,Броячи
ATC00400,"Екип, състоящ се от Официален 1-ви инсталатор и помощник",Labor,Labor,h,32.35,32.35,32.35,32.35,1,BGN,499.23,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,База на разходите за строителство на Андалусия (BCCA 2023),Демонтаж и предварителни работи,Климатизация
AGM00500,"ЦИМЕНТЕН МОРТЕР M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,56.77,56.77,56.77,56.77,1,BGN,3.82,0.0673,465,465,CIMENTACIONES,База на разходите за строителство на Андалусия (BCCA 2023),Фундаменти,Фабрики
TO01600,ОФ. 1ª СЕРЕЖИРО-ЧАПИСТА,Labor,Labor,h,16.46,16.46,16.46,16.46,1,BGN,6.39,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,База на разходите за строителство на Андалусия (BCCA 2023),Демонтаж и предварителни работи,С ръка
