resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,PEQUENO MATERIAL,Material,General,u,1.48,1.48,1.48,1.48,1,BRL,8.79,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Custos da Construção da Andaluzia (BCCA 2023),DEMOLIÇÕES E TRABALHOS PREVIOS,Vários
WW00300,MATERIAL COMPLEMENTAR OU PEÇAS ESPECIAIS,Material,General,u,2.68,2.68,2.68,2.68,1,BRL,34.65,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Custos da Construção da Andaluzia (BCCA 2023),DEMOLIÇÕES E TRABALHOS PREVIOS,Vários
TP00100,Peão Especial,Labor,Labor,h,98.46,98.46,98.46,98.46,1,BRL,79.91,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Custos da Construção da Andaluzia (BCCA 2023),DEMOLIÇÕES E TRABALHOS PREVIOS,Bóvedas
ATC00100,"EQUIPE DE ALVENARIA, FORMADA POR OFICIAL 1ª E PEÃO ESP.",Labor,Labor,h,202.12,202.12,202.12,202.12,1,BRL,327.91,1.6224,1230,1230,CIMENTACIONES,Base de Custos da Construção da Andaluzia (BCCA 2023),Fundações,in situ
TO01900,OF. 1ª ENCANADOR,Labor,Labor,h,103.65,103.65,103.65,103.65,1,BRL,105.01,1.0131,887,887,SANEAMIENTO,Base de Custos da Construção da Andaluzia (BCCA 2023),SANEAMENTO,Sifônicas
TO02100,OFICIAL 1ª,Labor,Labor,h,103.65,103.65,103.65,103.65,1,BRL,87.52,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Custos da Construção da Andaluzia (BCCA 2023),DEMOLIÇÕES E TRABALHOS PREVIOS,Vários
TO01800,ELETRICISTA 1ª,Labor,Labor,h,103.65,103.65,103.65,103.65,1,BRL,116.21,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Custos da Construção da Andaluzia (BCCA 2023),DEMOLIÇÕES E TRABALHOS PREVIOS,Contadores
ATC00400,EQUIPA FORMADA POR OFICIAL DE 1ª INSTALADOR E AJUDANTE,Labor,Labor,h,203.68,203.68,203.68,203.68,1,BRL,3143.26,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Custos da Construção da Andaluzia (BCCA 2023),DEMOLIÇÕES E TRABALHOS PREVIOS,Ar condicionado
AGM00500,"ARGAMASSA DE CIMENTO M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,357.44,357.44,357.44,357.44,1,BRL,24.06,0.0673,465,465,CIMENTACIONES,Base de Custos da Construção da Andaluzia (BCCA 2023),Fundações,Fábricas
TO01600,FERRO DE 1ª CERRADURA-CHAPISTA,Labor,Labor,h,103.65,103.65,103.65,103.65,1,BRL,40.23,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Custos da Construção da Andaluzia (BCCA 2023),DEMOLIÇÕES E TRABALHOS PREVIOS,A braço
