resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,KLEINMATERIAL,Material,General,u,0.54,0.54,0.54,0.54,1,CHF,3.2,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Verschiedenes
WW00300,ERGÄNZENDES MATERIAL ODER SPEZIALTEILE,Material,General,u,0.98,0.98,0.98,0.98,1,CHF,12.62,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Verschiedenes
TP00100,Spezialarbeiter,Labor,Labor,h,35.88,35.88,35.88,35.88,1,CHF,29.12,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Gewölbe
ATC00100,"MAURERTRUPPE, BESTEHEND AUS 1. GESELL UND SPEZIALHILFSARBEITER.",Labor,Labor,h,73.65,73.65,73.65,73.65,1,CHF,119.48,1.6224,1230,1230,CIMENTACIONES,Baukostenbasis von Andalusien (BCCA 2023),GRÜNDUNGEN,Ortbeton
TO01900,OF. 1. KLEMPNER,Labor,Labor,h,37.77,37.77,37.77,37.77,1,CHF,38.26,1.0131,887,887,SANEAMIENTO,Baukostenbasis von Andalusien (BCCA 2023),KANALISATION,Siphonisch
TO02100,Facharbeiter 1,Labor,Labor,h,37.77,37.77,37.77,37.77,1,CHF,31.89,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Verschiedenes
TO01800,OF. 1ª ELEKTRIKER,Labor,Labor,h,37.77,37.77,37.77,37.77,1,CHF,42.34,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Zähler
ATC00400,TRUPPE BESTEHEND AUS EINEM INSTALLATEUR DER 1. KLASSE UND EINEM HELFER,Labor,Labor,h,74.22,74.22,74.22,74.22,1,CHF,1145.3,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Klimaanlage
AGM00500,"ZEMENTMÖRTEL M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,130.24,130.24,130.24,130.24,1,CHF,8.77,0.0673,465,465,CIMENTACIONES,Baukostenbasis von Andalusien (BCCA 2023),GRÜNDUNGEN,Mauerwerk
TO01600,OF. 1ª SCHLOSSER-VERKLEIDER,Labor,Labor,h,37.77,37.77,37.77,37.77,1,CHF,14.66,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Mit dem Arm
TO01400,OF. 1. HEIZUNGSINSTALLATEUR ODER MECHANIKER,Labor,Labor,h,37.77,37.77,37.77,37.77,1,CHF,88.38,2.3399,365,365,INSTALACIONES,Baukostenbasis von Andalusien (BCCA 2023),INSTALLATIONEN,Hilfsgeräte und -elemente
ATC00200,"MAURERTRUPPE, BESTEHEND AUS 2. GESELL UND SPEZIALHILFSARBEITER.",Labor,Labor,h,72.7,72.7,72.7,72.7,1,CHF,45.43,0.6249,355,355,CIMENTACIONES,Baukostenbasis von Andalusien (BCCA 2023),GRÜNDUNGEN,Ortbeton
TO00100,OF. 1ª MAURERARBEIT,Labor,Labor,h,37.77,37.77,37.77,37.77,1,CHF,24.83,0.6574,316,316,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Stahlbeton
CH04120,"BETON HM-20/P/40/X0, GELIEFERT",Material,General,m3,152.08,152.08,152.08,152.08,1,CHF,41.3,0.2715,313,313,CIMENTACIONES,Baukostenbasis von Andalusien (BCCA 2023),GRÜNDUNGEN,Massiv
MK00100,KIPPER-LKW,Equipment,General,h,62.14,62.14,62.14,62.14,1,CHF,8.05,0.1296,298,298,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Gewölbe
RW01900,DICHTFUGE,Material,General,m,2.22,2.22,2.22,2.22,1,CHF,7.3,3.2937,286,286,ALBAÑILERÍA,Baukostenbasis von Andalusien (BCCA 2023),MAUERWERK,Verschiedenes
TA00200,FACHARBEITER,Labor,Labor,h,36.45,36.45,36.45,36.45,1,CHF,45.25,1.2415,236,236,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Klimaanlage
AGL00100,"ZEMENTMÖRTEL CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,266.38,266.38,266.38,266.38,1,CHF,0.39,0.0015,209,209,REVESTIMIENTOS,Baukostenbasis von Andalusien (BCCA 2023),BEKLEIDUNGEN,Stufen
MC00100,ZWEI-HAMMER-KOMPRESSOR,Equipment,General,h,15.42,15.42,15.42,15.42,1,CHF,11.76,0.7624,181,181,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Stahlbeton
TO00300,OF. 1. VERLEGER,Labor,Labor,h,37.77,37.77,37.77,37.77,1,CHF,7.06,0.187,176,176,ESTRUCTURAS,Baukostenbasis von Andalusien (BCCA 2023),STRUKTUREN,STRUKTUREN
