resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,PETIT MATÉRIAU,Material,General,u,124.96,124.96,124.96,124.96,1,XOF,744.04,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,Divers
WW00300,MATÉRIAUX COMPLÉMENTAIRES OU PIÈCES SPÉCIALES,Material,General,u,227.21,227.21,227.21,227.21,1,XOF,2932.88,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,Divers
TP00100,Ouvrier spécialisé,Labor,Labor,h,8334.69,8334.69,8334.69,8334.69,1,XOF,6763.79,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,Voûtes
ATC00100,"ÉQUIPE DE MAÇONNERIE, COMPOSÉE D'UN OUVRIER QUALIFIÉ DE 1ÈRE CLASSE ET D'UN MANŒUVRE ESP.",Labor,Labor,h,17108.64,17108.64,17108.64,17108.64,1,XOF,27756.27,1.6224,1230,1230,CIMENTACIONES,Base de Coûts de la Construction d'Andalousie (BCCA 2023),FONDATIONS,Sur site
TO01900,OF. 1ère PLOMBIER,Labor,Labor,h,8773.95,8773.95,8773.95,8773.95,1,XOF,8888.52,1.0131,887,887,SANEAMIENTO,Base de Coûts de la Construction d'Andalousie (BCCA 2023),ASSAINISSEMENT,Siphons
TO02100,OFFICIEL 1ère,Labor,Labor,h,8773.95,8773.95,8773.95,8773.95,1,XOF,7408.33,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,Divers
TO01800,OF. 1ª ÉLECTRICIEN,Labor,Labor,h,8773.95,8773.95,8773.95,8773.95,1,XOF,9836.38,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,Compteurs
ATC00400,ÉQUIPE COMPOSÉE D'UN INSTALLATEUR DE 1ÈRE CLASSE ET D'UN ASSISTANT,Labor,Labor,h,17241.18,17241.18,17241.18,17241.18,1,XOF,266065.31,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,Climatisation
AGM00500,"MORTIER DE CIMENT M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,30256.32,30256.32,30256.32,30256.32,1,XOF,2036.28,0.0673,465,465,CIMENTACIONES,Base de Coûts de la Construction d'Andalousie (BCCA 2023),FONDATIONS,Usines
TO01600,OF. 1ère SERRURIER-TOURNEUR,Labor,Labor,h,8773.95,8773.95,8773.95,8773.95,1,XOF,3405.58,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,À bras
TO01400,OF. 1ère CHAUFFAGE OU MÉCANICIEN,Labor,Labor,h,8773.95,8773.95,8773.95,8773.95,1,XOF,20530.38,2.3399,365,365,INSTALACIONES,Base de Coûts de la Construction d'Andalousie (BCCA 2023),INSTALLATIONS,Équipements et éléments auxiliaires
ATC00200,"ÉQUIPE DE MAÇONNERIE, COMPOSÉE D'UN OUVRIER QUALIFIÉ DE 2ÈME CLASSE ET D'UN MANŒUVRE ESP.",Labor,Labor,h,16889.01,16889.01,16889.01,16889.01,1,XOF,10553.58,0.6249,355,355,CIMENTACIONES,Base de Coûts de la Construction d'Andalousie (BCCA 2023),FONDATIONS,Sur site
TO00100,OF. 1ère MAÇONNERIE,Labor,Labor,h,8773.95,8773.95,8773.95,8773.95,1,XOF,5767.65,0.6574,316,316,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,Béton armé
CH04120,"BÉTON HM-20/P/40/X0, FOURNI",Material,General,m3,35330.59,35330.59,35330.59,35330.59,1,XOF,9593.89,0.2715,313,313,CIMENTACIONES,Base de Coûts de la Construction d'Andalousie (BCCA 2023),FONDATIONS,en masse
MK00100,CAMION BASCULANT,Equipment,General,h,14435.18,14435.18,14435.18,14435.18,1,XOF,1870.62,0.1296,298,298,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,Voûtes
