resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,PETIT MATÉRIAU,Material,General,u,114.61,114.61,114.61,114.61,1,XAF,682.41,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,Divers
WW00300,MATÉRIAUX COMPLÉMENTAIRES OU PIÈCES SPÉCIALES,Material,General,u,208.38,208.38,208.38,208.38,1,XAF,2689.91,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,Divers
TP00100,Ouvrier spécialisé,Labor,Labor,h,7644.23,7644.23,7644.23,7644.23,1,XAF,6203.46,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,Voûtes
ATC00100,"ÉQUIPE DE MAÇONNERIE, COMPOSÉE D'UN OUVRIER QUALIFIÉ DE 1ÈRE CLASSE ET D'UN MANŒUVRE ESP.",Labor,Labor,h,15691.34,15691.34,15691.34,15691.34,1,XAF,25456.9,1.6224,1230,1230,CIMENTACIONES,Base de Coûts de la Construction d'Andalousie (BCCA 2023),FONDATIONS,Sur site
TO01900,OF. 1ère PLOMBIER,Labor,Labor,h,8047.11,8047.11,8047.11,8047.11,1,XAF,8152.18,1.0131,887,887,SANEAMIENTO,Base de Coûts de la Construction d'Andalousie (BCCA 2023),ASSAINISSEMENT,Siphons
TO02100,OFFICIEL 1ère,Labor,Labor,h,8047.11,8047.11,8047.11,8047.11,1,XAF,6794.61,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,Divers
TO01800,OF. 1ª ÉLECTRICIEN,Labor,Labor,h,8047.11,8047.11,8047.11,8047.11,1,XAF,9021.52,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,Compteurs
ATC00400,ÉQUIPE COMPOSÉE D'UN INSTALLATEUR DE 1ÈRE CLASSE ET D'UN ASSISTANT,Labor,Labor,h,15812.89,15812.89,15812.89,15812.89,1,XAF,244024.07,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,Climatisation
AGM00500,"MORTIER DE CIMENT M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,27749.84,27749.84,27749.84,27749.84,1,XAF,1867.59,0.0673,465,465,CIMENTACIONES,Base de Coûts de la Construction d'Andalousie (BCCA 2023),FONDATIONS,Usines
TO01600,OF. 1ère SERRURIER-TOURNEUR,Labor,Labor,h,8047.11,8047.11,8047.11,8047.11,1,XAF,3123.46,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,À bras
TO01400,OF. 1ère CHAUFFAGE OU MÉCANICIEN,Labor,Labor,h,8047.11,8047.11,8047.11,8047.11,1,XAF,18829.61,2.3399,365,365,INSTALACIONES,Base de Coûts de la Construction d'Andalousie (BCCA 2023),INSTALLATIONS,Équipements et éléments auxiliaires
ATC00200,"ÉQUIPE DE MAÇONNERIE, COMPOSÉE D'UN OUVRIER QUALIFIÉ DE 2ÈME CLASSE ET D'UN MANŒUVRE ESP.",Labor,Labor,h,15489.9,15489.9,15489.9,15489.9,1,XAF,9679.31,0.6249,355,355,CIMENTACIONES,Base de Coûts de la Construction d'Andalousie (BCCA 2023),FONDATIONS,Sur site
TO00100,OF. 1ère MAÇONNERIE,Labor,Labor,h,8047.11,8047.11,8047.11,8047.11,1,XAF,5289.85,0.6574,316,316,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,Béton armé
CH04120,"BÉTON HM-20/P/40/X0, FOURNI",Material,General,m3,32403.75,32403.75,32403.75,32403.75,1,XAF,8799.12,0.2715,313,313,CIMENTACIONES,Base de Coûts de la Construction d'Andalousie (BCCA 2023),FONDATIONS,en masse
MK00100,CAMION BASCULANT,Equipment,General,h,13239.35,13239.35,13239.35,13239.35,1,XAF,1715.65,0.1296,298,298,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,Voûtes
RW01900,JOINT D'ÉTANCHÉITÉ,Material,General,m,472.34,472.34,472.34,472.34,1,XAF,1555.74,3.2937,286,286,ALBAÑILERÍA,Base de Coûts de la Construction d'Andalousie (BCCA 2023),MAÇONNERIE,Divers
TA00200,AIDE SPÉCIALISÉE,Labor,Labor,h,7765.79,7765.79,7765.79,7765.79,1,XAF,9641.32,1.2415,236,236,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,Climatisation
