resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,Malý materiál,Material,General,u,7.51,7.51,7.51,7.51,1,CZK,44.71,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,Základ nákladů na výstavbu Andalusie (BCCA 2023),DEMOLICE A PŘÍPRAVNÉ PRÁCE,Různé
WW00300,DOPLŇKOVÝ MATERIÁL NEBO ZVLÁŠTNÍ KUSY,Material,General,u,13.65,13.65,13.65,13.65,1,CZK,176.25,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,Základ nákladů na výstavbu Andalusie (BCCA 2023),DEMOLICE A PŘÍPRAVNÉ PRÁCE,Různé
TP00100,Speciální dělník,Labor,Labor,h,500.86,500.86,500.86,500.86,1,CZK,406.46,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,Základ nákladů na výstavbu Andalusie (BCCA 2023),DEMOLICE A PŘÍPRAVNÉ PRÁCE,Klenby
ATC00100,"DĚLNICKÁ ČETA, SLOŽENÁ Z OFICIÁLNÍHO 1. A POMOCNÉHO PRACOVNÍKA ESP.",Labor,Labor,h,1028.12,1028.12,1028.12,1028.12,1,CZK,1667.97,1.6224,1230,1230,CIMENTACIONES,Základ nákladů na výstavbu Andalusie (BCCA 2023),Základy,Na místě
TO01900,OF. 1ª INSTALATÉR,Labor,Labor,h,527.26,527.26,527.26,527.26,1,CZK,534.14,1.0131,887,887,SANEAMIENTO,Základ nákladů na výstavbu Andalusie (BCCA 2023),SANITACE,Sifónicas
TO02100,OFICIÁL 1.,Labor,Labor,h,527.26,527.26,527.26,527.26,1,CZK,445.19,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,Základ nákladů na výstavbu Andalusie (BCCA 2023),DEMOLICE A PŘÍPRAVNÉ PRÁCE,Různé
TO01800,OF. 1ª ELEKTRIKÁŘ,Labor,Labor,h,527.26,527.26,527.26,527.26,1,CZK,591.1,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,Základ nákladů na výstavbu Andalusie (BCCA 2023),DEMOLICE A PŘÍPRAVNÉ PRÁCE,Měřiče
ATC00400,DĚLNICKÁ ČETA S OFICIÁLNÍM INSTALATÉREM 1. A POMOCNÍKEM,Labor,Labor,h,1036.08,1036.08,1036.08,1036.08,1,CZK,15988.8,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,Základ nákladů na výstavbu Andalusie (BCCA 2023),DEMOLICE A PŘÍPRAVNÉ PRÁCE,Klimatizace
AGM00500,"MALTOVÝ CEMENT M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,1818.21,1818.21,1818.21,1818.21,1,CZK,122.37,0.0673,465,465,CIMENTACIONES,Základ nákladů na výstavbu Andalusie (BCCA 2023),Základy,Továrny
TO01600,OF. 1ª CERRAJERO-CHAPISTA,Labor,Labor,h,527.26,527.26,527.26,527.26,1,CZK,204.65,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,Základ nákladů na výstavbu Andalusie (BCCA 2023),DEMOLICE A PŘÍPRAVNÉ PRÁCE,A brazo
TO01400,OF. 1ª KALORIFIKACE NEBO MECHANIK,Labor,Labor,h,527.26,527.26,527.26,527.26,1,CZK,1233.74,2.3399,365,365,INSTALACIONES,Základ nákladů na výstavbu Andalusie (BCCA 2023),INSTALACE,Zařízení a pomocné prvky
ATC00200,"DĚLNICKÁ ČETA, SLOŽENÁ Z OFICIÁLNÍHO 2. A POMOCNÉHO PRACOVNÍKA ESP.",Labor,Labor,h,1014.92,1014.92,1014.92,1014.92,1,CZK,634.2,0.6249,355,355,CIMENTACIONES,Základ nákladů na výstavbu Andalusie (BCCA 2023),Základy,Na místě
TO00100,OF. 1. ALBAŇAŘSTVÍ,Labor,Labor,h,527.26,527.26,527.26,527.26,1,CZK,346.6,0.6574,316,316,DEMOLICIONES Y TRABAJOS PREVIOS,Základ nákladů na výstavbu Andalusie (BCCA 2023),DEMOLICE A PŘÍPRAVNÉ PRÁCE,Železobeton
CH04120,"BETON HM-20/P/40/X0, DODANÝ",Material,General,m3,2123.14,2123.14,2123.14,2123.14,1,CZK,576.53,0.2715,313,313,CIMENTACIONES,Základ nákladů na výstavbu Andalusie (BCCA 2023),Základy,Hromadně
MK00100,Sklápěč,Equipment,General,h,867.46,867.46,867.46,867.46,1,CZK,112.41,0.1296,298,298,DEMOLICIONES Y TRABAJOS PREVIOS,Základ nákladů na výstavbu Andalusie (BCCA 2023),DEMOLICE A PŘÍPRAVNÉ PRÁCE,Klenby
