resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,KLEINMATERIAL,Material,General,u,0.41,0.41,0.41,0.41,1,EUR,2.44,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Verschiedenes
WW00300,ERGÄNZENDES MATERIAL ODER SPEZIALTEILE,Material,General,u,0.75,0.75,0.75,0.75,1,EUR,9.63,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Verschiedenes
TP00100,Spezialarbeiter,Labor,Labor,h,27.37,27.37,27.37,27.37,1,EUR,22.21,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Gewölbe
ATC00100,"MAURERTRUPPE, BESTEHEND AUS 1. GESELL UND SPEZIALHILFSARBEITER.",Labor,Labor,h,56.18,56.18,56.18,56.18,1,EUR,91.14,1.6224,1230,1230,CIMENTACIONES,Baukostenbasis von Andalusien (BCCA 2023),GRÜNDUNGEN,Ortbeton
TO01900,OF. 1. KLEMPNER,Labor,Labor,h,28.81,28.81,28.81,28.81,1,EUR,29.19,1.0131,887,887,SANEAMIENTO,Baukostenbasis von Andalusien (BCCA 2023),KANALISATION,Siphonisch
TO02100,Facharbeiter 1,Labor,Labor,h,28.81,28.81,28.81,28.81,1,EUR,24.33,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Verschiedenes
TO01800,OF. 1ª ELEKTRIKER,Labor,Labor,h,28.81,28.81,28.81,28.81,1,EUR,32.3,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Zähler
ATC00400,TRUPPE BESTEHEND AUS EINEM INSTALLATEUR DER 1. KLASSE UND EINEM HELFER,Labor,Labor,h,56.61,56.61,56.61,56.61,1,EUR,873.65,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Klimaanlage
AGM00500,"ZEMENTMÖRTEL M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,99.35,99.35,99.35,99.35,1,EUR,6.69,0.0673,465,465,CIMENTACIONES,Baukostenbasis von Andalusien (BCCA 2023),GRÜNDUNGEN,Mauerwerk
TO01600,OF. 1ª SCHLOSSER-VERKLEIDER,Labor,Labor,h,28.81,28.81,28.81,28.81,1,EUR,11.18,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Mit dem Arm
TO01400,OF. 1. HEIZUNGSINSTALLATEUR ODER MECHANIKER,Labor,Labor,h,28.81,28.81,28.81,28.81,1,EUR,67.41,2.3399,365,365,INSTALACIONES,Baukostenbasis von Andalusien (BCCA 2023),INSTALLATIONEN,Hilfsgeräte und -elemente
ATC00200,"MAURERTRUPPE, BESTEHEND AUS 2. GESELL UND SPEZIALHILFSARBEITER.",Labor,Labor,h,55.46,55.46,55.46,55.46,1,EUR,34.65,0.6249,355,355,CIMENTACIONES,Baukostenbasis von Andalusien (BCCA 2023),GRÜNDUNGEN,Ortbeton
TO00100,OF. 1ª MAURERARBEIT,Labor,Labor,h,28.81,28.81,28.81,28.81,1,EUR,18.94,0.6574,316,316,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Stahlbeton
CH04120,"BETON HM-20/P/40/X0, GELIEFERT",Material,General,m3,116.01,116.01,116.01,116.01,1,EUR,31.5,0.2715,313,313,CIMENTACIONES,Baukostenbasis von Andalusien (BCCA 2023),GRÜNDUNGEN,Massiv
MK00100,KIPPER-LKW,Equipment,General,h,47.4,47.4,47.4,47.4,1,EUR,6.14,0.1296,298,298,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Gewölbe
RW01900,DICHTFUGE,Material,General,m,1.69,1.69,1.69,1.69,1,EUR,5.57,3.2937,286,286,ALBAÑILERÍA,Baukostenbasis von Andalusien (BCCA 2023),MAUERWERK,Verschiedenes
TA00200,FACHARBEITER,Labor,Labor,h,27.8,27.8,27.8,27.8,1,EUR,34.52,1.2415,236,236,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Klimaanlage
AGL00100,"ZEMENTMÖRTEL CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,203.2,203.2,203.2,203.2,1,EUR,0.3,0.0015,209,209,REVESTIMIENTOS,Baukostenbasis von Andalusien (BCCA 2023),BEKLEIDUNGEN,Stufen
MC00100,ZWEI-HAMMER-KOMPRESSOR,Equipment,General,h,11.76,11.76,11.76,11.76,1,EUR,8.97,0.7624,181,181,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Stahlbeton
TO00300,OF. 1. VERLEGER,Labor,Labor,h,28.81,28.81,28.81,28.81,1,EUR,5.39,0.187,176,176,ESTRUCTURAS,Baukostenbasis von Andalusien (BCCA 2023),STRUKTUREN,STRUKTUREN
KA01100,"VORGESCHRAUBTER RAHMEN AUS VERZINKTEM STAHLROHR, SCHWENKBAR ODER FEST",Material,General,m,4.69,4.69,4.69,4.69,1,EUR,16.07,3.4277,159,159,CARPINTERÍA Y ELEMENTOS DE SEGURIDAD Y PROTECCIÓN,Baukostenbasis von Andalusien (BCCA 2023),Tischlerei und Sicherheits- und Schutzelemente,Feststehend
ME00300,RADLADER,Equipment,General,h,44.19,44.19,44.19,44.19,1,EUR,1.63,0.0368,156,156,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Gewölbe
TO01500,OF. 1. ZIMMERERARBEIT,Labor,Labor,h,28.81,28.81,28.81,28.81,1,EUR,46.78,1.6238,154,154,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Hölzer
TO00900,OF. 1ª MONTEUR,Labor,Labor,h,28.81,28.81,28.81,28.81,1,EUR,36.53,1.268,153,153,ALBAÑILERÍA,Baukostenbasis von Andalusien (BCCA 2023),MAUERWERK,ZIEGELBÖGEN UND -GEWÖLBE
CA00320,STAHL B 500 S,Material,General,kg,1.18,1.18,1.18,1.18,1,EUR,4.79,4.0556,150,150,CIMENTACIONES,Baukostenbasis von Andalusien (BCCA 2023),GRÜNDUNGEN,Gerippte Stäbe
TO01100,OF. 1. FLIESENLEGER,Labor,Labor,h,28.81,28.81,28.81,28.81,1,EUR,8.38,0.2908,147,147,CUBIERTAS,Baukostenbasis von Andalusien (BCCA 2023),DÄCHER,Anschlüsse
TO00600,OF. 1ª BEWEHRUNGSFLECHTER,Labor,Labor,h,28.81,28.81,28.81,28.81,1,EUR,2.82,0.098,138,138,CIMENTACIONES,Baukostenbasis von Andalusien (BCCA 2023),GRÜNDUNGEN,Gerippte Stäbe
MV00100,Vibrator,Equipment,General,h,2.26,2.26,2.26,2.26,1,EUR,0.3,0.1319,128,128,CIMENTACIONES,Baukostenbasis von Andalusien (BCCA 2023),GRÜNDUNGEN,Aussteifungen
TO02000,OF. 1ª INSTALLATEUR,Labor,Labor,h,28.81,28.81,28.81,28.81,1,EUR,15.34,0.5324,125,125,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Klimaanlage
AGM01600,"MISTMÖRTEL M10 (1:0,5:4) CEM II/A-L 32,5 N UND KALK",Material,General,m3,217.34,217.34,217.34,217.34,1,EUR,5.45,0.0251,121,121,ESTRUCTURAS,Baukostenbasis von Andalusien (BCCA 2023),STRUKTUREN,STRUKTUREN
TA00100,Helfer,Labor,Labor,h,27.8,27.8,27.8,27.8,1,EUR,38.52,1.3855,118,118,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Verschiedenes
ME00400,Baggerlader,Equipment,General,h,64.77,64.77,64.77,64.77,1,EUR,20.73,0.3201,115,115,DEMOLICIONES Y TRABAJOS PREVIOS,Baukostenbasis von Andalusien (BCCA 2023),ABBRUCH- UND VORBEREITUNGSARBEITEN,Stahlbeton
