resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,مواد صغيرة,Material,General,u,4.38,4.38,4.38,4.38,1,EGP,26.1,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,متفرقات
WW00300,مادة تكميلية أو قطع خاصة,Material,General,u,7.97,7.97,7.97,7.97,1,EGP,102.87,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,متفرقات
TP00100,عامل خاص,Labor,Labor,h,292.33,292.33,292.33,292.33,1,EGP,237.23,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,قُبب
ATC00100,طاقم بنّائين، مكوّن من عامل ماهر درجة 1 وعامل مساعد متخصص,Labor,Labor,h,600.07,600.07,600.07,600.07,1,EGP,973.52,1.6224,1230,1230,CIMENTACIONES,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الأساسات,في الموقع
TO01900,فني صحي 1ª,Labor,Labor,h,307.74,307.74,307.74,307.74,1,EGP,311.75,1.0131,887,887,SANEAMIENTO,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الصرف الصحي,الصرف الصحي التفريغي
TO02100,فني 1,Labor,Labor,h,307.74,307.74,307.74,307.74,1,EGP,259.84,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,متفرقات
TO01800,عامل كهربائي ماهر درجة 1,Labor,Labor,h,307.74,307.74,307.74,307.74,1,EGP,345.0,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,عدادات
ATC00400,طاقم مكوّن من مركّب ماهر درجة 1 ومساعد,Labor,Labor,h,604.71,604.71,604.71,604.71,1,EGP,9331.93,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,تكييف الهواء
AGM00500,"مونة أسمنت M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,1061.2,1061.2,1061.2,1061.2,1,EGP,71.42,0.0673,465,465,CIMENTACIONES,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الأساسات,البنايات
TO01600,عامل ماهر درجة 1 حدّاد أقفال وصفائح,Labor,Labor,h,307.74,307.74,307.74,307.74,1,EGP,119.45,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,بالذراع
