resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,PETIT MATÉRIAU,Material,General,u,0.39,0.39,0.39,0.39,1,EUR,2.33,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,Divers
WW00300,MATÉRIAUX COMPLÉMENTAIRES OU PIÈCES SPÉCIALES,Material,General,u,0.71,0.71,0.71,0.71,1,EUR,9.19,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,Divers
TP00100,Ouvrier spécialisé,Labor,Labor,h,26.12,26.12,26.12,26.12,1,EUR,21.2,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,Voûtes
ATC00100,"ÉQUIPE DE MAÇONNERIE, COMPOSÉE D'UN OUVRIER QUALIFIÉ DE 1ÈRE CLASSE ET D'UN MANŒUVRE ESP.",Labor,Labor,h,53.62,53.62,53.62,53.62,1,EUR,86.99,1.6224,1230,1230,CIMENTACIONES,Base de Coûts de la Construction d'Andalousie (BCCA 2023),FONDATIONS,Sur site
TO01900,OF. 1ère PLOMBIER,Labor,Labor,h,27.5,27.5,27.5,27.5,1,EUR,27.86,1.0131,887,887,SANEAMIENTO,Base de Coûts de la Construction d'Andalousie (BCCA 2023),ASSAINISSEMENT,Siphons
TO02100,OFFICIEL 1ère,Labor,Labor,h,27.5,27.5,27.5,27.5,1,EUR,23.22,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,Divers
TO01800,OF. 1ª ÉLECTRICIEN,Labor,Labor,h,27.5,27.5,27.5,27.5,1,EUR,30.83,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,Compteurs
ATC00400,ÉQUIPE COMPOSÉE D'UN INSTALLATEUR DE 1ÈRE CLASSE ET D'UN ASSISTANT,Labor,Labor,h,54.03,54.03,54.03,54.03,1,EUR,833.82,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,Climatisation
AGM00500,"MORTIER DE CIMENT M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,94.82,94.82,94.82,94.82,1,EUR,6.38,0.0673,465,465,CIMENTACIONES,Base de Coûts de la Construction d'Andalousie (BCCA 2023),FONDATIONS,Usines
TO01600,OF. 1ère SERRURIER-TOURNEUR,Labor,Labor,h,27.5,27.5,27.5,27.5,1,EUR,10.67,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,À bras
TO01400,OF. 1ère CHAUFFAGE OU MÉCANICIEN,Labor,Labor,h,27.5,27.5,27.5,27.5,1,EUR,64.34,2.3399,365,365,INSTALACIONES,Base de Coûts de la Construction d'Andalousie (BCCA 2023),INSTALLATIONS,Équipements et éléments auxiliaires
ATC00200,"ÉQUIPE DE MAÇONNERIE, COMPOSÉE D'UN OUVRIER QUALIFIÉ DE 2ÈME CLASSE ET D'UN MANŒUVRE ESP.",Labor,Labor,h,52.93,52.93,52.93,52.93,1,EUR,33.07,0.6249,355,355,CIMENTACIONES,Base de Coûts de la Construction d'Andalousie (BCCA 2023),FONDATIONS,Sur site
TO00100,OF. 1ère MAÇONNERIE,Labor,Labor,h,27.5,27.5,27.5,27.5,1,EUR,18.08,0.6574,316,316,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,Béton armé
CH04120,"BÉTON HM-20/P/40/X0, FOURNI",Material,General,m3,110.72,110.72,110.72,110.72,1,EUR,30.07,0.2715,313,313,CIMENTACIONES,Base de Coûts de la Construction d'Andalousie (BCCA 2023),FONDATIONS,en masse
MK00100,CAMION BASCULANT,Equipment,General,h,45.24,45.24,45.24,45.24,1,EUR,5.86,0.1296,298,298,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,Voûtes
RW01900,JOINT D'ÉTANCHÉITÉ,Material,General,m,1.61,1.61,1.61,1.61,1,EUR,5.32,3.2937,286,286,ALBAÑILERÍA,Base de Coûts de la Construction d'Andalousie (BCCA 2023),MAÇONNERIE,Divers
TA00200,AIDE SPÉCIALISÉE,Labor,Labor,h,26.54,26.54,26.54,26.54,1,EUR,32.94,1.2415,236,236,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),DÉMOLITIONS ET TRAVAUX PRÉALABLES,Climatisation
AGL00100,"MORTIER DE CIMENT CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,193.94,193.94,193.94,193.94,1,EUR,0.29,0.0015,209,209,REVESTIMIENTOS,Base de Coûts de la Construction d'Andalousie (BCCA 2023),REVÊTEMENTS,Marches
