resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,SMALL MATERIAL,Material,General,u,0.39,0.39,0.39,0.39,1,GBP,2.33,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Miscellaneous
WW00300,SUPPLEMENTARY MATERIAL OR SPECIAL PIECES,Material,General,u,0.71,0.71,0.71,0.71,1,GBP,9.18,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Miscellaneous
TP00100,SPECIAL LABORER,Labor,Labor,h,26.1,26.1,26.1,26.1,1,GBP,21.18,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Vaults
ATC00100,"MASONRY CREW, CONSISTING OF 1ST CLASS FOREMAN AND LABORER ESP.",Labor,Labor,h,53.58,53.58,53.58,53.58,1,GBP,86.92,1.6224,1230,1230,CIMENTACIONES,Andalucia Construction Cost Base (BCCA 2023),FOUNDATIONS,In situ
TO01900,1st CLASS PLUMBER,Labor,Labor,h,27.48,27.48,27.48,27.48,1,GBP,27.84,1.0131,887,887,SANEAMIENTO,Andalucia Construction Cost Base (BCCA 2023),SANITATION,Siphonic
TO02100,1st Official,Labor,Labor,h,27.48,27.48,27.48,27.48,1,GBP,23.2,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Miscellaneous
TO01800,1st CLASS ELECTRICIAN,Labor,Labor,h,27.48,27.48,27.48,27.48,1,GBP,30.8,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Meters
ATC00400,CREW CONSISTING OF 1ST CLASS INSTALLER AND ASSISTANT,Labor,Labor,h,53.99,53.99,53.99,53.99,1,GBP,833.23,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Air conditioning
AGM00500,"M5 CEMENT MORTAR (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,94.75,94.75,94.75,94.75,1,GBP,6.38,0.0673,465,465,CIMENTACIONES,Andalucia Construction Cost Base (BCCA 2023),FOUNDATIONS,Masonry
TO01600,1st CLASS LOCKSMITH-BODYWORKER,Labor,Labor,h,27.48,27.48,27.48,27.48,1,GBP,10.67,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,By hand
TO01400,OFF. 1st HEATER OR MECHANIC,Labor,Labor,h,27.48,27.48,27.48,27.48,1,GBP,64.29,2.3399,365,365,INSTALACIONES,Andalucia Construction Cost Base (BCCA 2023),INSTALLATIONS,Auxiliary equipment and elements
ATC00200,"MASONRY CREW, CONSISTING OF 2nd CLASS FOREMAN AND LABORER ESP.",Labor,Labor,h,52.89,52.89,52.89,52.89,1,GBP,33.05,0.6249,355,355,CIMENTACIONES,Andalucia Construction Cost Base (BCCA 2023),FOUNDATIONS,In situ
TO00100,1st CLASS MASONRY,Labor,Labor,h,27.48,27.48,27.48,27.48,1,GBP,18.06,0.6574,316,316,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Reinforced concrete
CH04120,"CONCRETE HM-20/P/40/X0, SUPPLIED",Material,General,m3,110.64,110.64,110.64,110.64,1,GBP,30.04,0.2715,313,313,CIMENTACIONES,Andalucia Construction Cost Base (BCCA 2023),FOUNDATIONS,In mass
MK00100,DUMP TRUCK,Equipment,General,h,45.21,45.21,45.21,45.21,1,GBP,5.86,0.1296,298,298,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Vaults
RW01900,SEALANT JOINT,Material,General,m,1.61,1.61,1.61,1.61,1,GBP,5.31,3.2937,286,286,ALBAÑILERÍA,Andalucia Construction Cost Base (BCCA 2023),Masonry,Miscellaneous
