resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,SMALL MATERIAL,Material,General,u,2.75,2.75,2.75,2.75,1,GHS,16.35,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Miscellaneous
WW00300,SUPPLEMENTARY MATERIAL OR SPECIAL PIECES,Material,General,u,4.99,4.99,4.99,4.99,1,GHS,64.43,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Miscellaneous
TP00100,SPECIAL LABORER,Labor,Labor,h,183.1,183.1,183.1,183.1,1,GHS,148.59,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Vaults
ATC00100,"MASONRY CREW, CONSISTING OF 1ST CLASS FOREMAN AND LABORER ESP.",Labor,Labor,h,375.85,375.85,375.85,375.85,1,GHS,609.77,1.6224,1230,1230,CIMENTACIONES,Andalucia Construction Cost Base (BCCA 2023),FOUNDATIONS,In situ
TO01900,1st CLASS PLUMBER,Labor,Labor,h,192.75,192.75,192.75,192.75,1,GHS,195.27,1.0131,887,887,SANEAMIENTO,Andalucia Construction Cost Base (BCCA 2023),SANITATION,Siphonic
TO02100,1st Official,Labor,Labor,h,192.75,192.75,192.75,192.75,1,GHS,162.75,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Miscellaneous
TO01800,1st CLASS ELECTRICIAN,Labor,Labor,h,192.75,192.75,192.75,192.75,1,GHS,216.09,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Meters
ATC00400,CREW CONSISTING OF 1ST CLASS INSTALLER AND ASSISTANT,Labor,Labor,h,378.77,378.77,378.77,378.77,1,GHS,5845.09,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Air conditioning
AGM00500,"M5 CEMENT MORTAR (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,664.69,664.69,664.69,664.69,1,GHS,44.73,0.0673,465,465,CIMENTACIONES,Andalucia Construction Cost Base (BCCA 2023),FOUNDATIONS,Masonry
TO01600,1st CLASS LOCKSMITH-BODYWORKER,Labor,Labor,h,192.75,192.75,192.75,192.75,1,GHS,74.82,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,By hand
TO01400,OFF. 1st HEATER OR MECHANIC,Labor,Labor,h,192.75,192.75,192.75,192.75,1,GHS,451.02,2.3399,365,365,INSTALACIONES,Andalucia Construction Cost Base (BCCA 2023),INSTALLATIONS,Auxiliary equipment and elements
ATC00200,"MASONRY CREW, CONSISTING OF 2nd CLASS FOREMAN AND LABORER ESP.",Labor,Labor,h,371.03,371.03,371.03,371.03,1,GHS,231.85,0.6249,355,355,CIMENTACIONES,Andalucia Construction Cost Base (BCCA 2023),FOUNDATIONS,In situ
TO00100,1st CLASS MASONRY,Labor,Labor,h,192.75,192.75,192.75,192.75,1,GHS,126.71,0.6574,316,316,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Reinforced concrete
CH04120,"CONCRETE HM-20/P/40/X0, SUPPLIED",Material,General,m3,776.17,776.17,776.17,776.17,1,GHS,210.76,0.2715,313,313,CIMENTACIONES,Andalucia Construction Cost Base (BCCA 2023),FOUNDATIONS,In mass
