resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,MALI MATERIJAL,Material,General,u,0.27,0.27,0.27,0.27,1,EUR,1.62,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,Baza troškova građevine Andaluzije (BCCA 2023),RUŠENJA I PRIPREMNI RADOVI,Različiti
WW00300,DODATNI MATERIJAL ILI SPECIJALNI DIJELOVI,Material,General,u,0.49,0.49,0.49,0.49,1,EUR,6.39,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,Baza troškova građevine Andaluzije (BCCA 2023),RUŠENJA I PRIPREMNI RADOVI,Različiti
TP00100,POSEBNI RADNIK,Labor,Labor,h,18.15,18.15,18.15,18.15,1,EUR,14.73,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,Baza troškova građevine Andaluzije (BCCA 2023),RUŠENJA I PRIPREMNI RADOVI,Krovne konstrukcije
ATC00100,"GRUPA ZIDARA, SASTAVLJENA OD MAJSTORA 1. RAZREDA I POMOĆNIKA ESP.",Labor,Labor,h,37.25,37.25,37.25,37.25,1,EUR,60.44,1.6224,1230,1230,CIMENTACIONES,Baza troškova građevine Andaluzije (BCCA 2023),Temelji,Na licu mjesta
TO01900,OF. 1ª PLUMBING,Labor,Labor,h,19.1,19.1,19.1,19.1,1,EUR,19.35,1.0131,887,887,SANEAMIENTO,Baza troškova građevine Andaluzije (BCCA 2023),ODVOZ OTPADNIH VODA,Sifoničke
TO02100,OFICIAL 1ª,Labor,Labor,h,19.1,19.1,19.1,19.1,1,EUR,16.13,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,Baza troškova građevine Andaluzije (BCCA 2023),RUŠENJA I PRIPREMNI RADOVI,Različiti
TO01800,OF. 1ª ELEKTRIČAR,Labor,Labor,h,19.1,19.1,19.1,19.1,1,EUR,21.42,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,Baza troškova građevine Andaluzije (BCCA 2023),RUŠENJA I PRIPREMNI RADOVI,Brojači
ATC00400,FORMIRANA EKIPA OD PREDNJE GRAĐEVINSKE RADNIKA I POMOĆNIKA,Labor,Labor,h,37.54,37.54,37.54,37.54,1,EUR,579.35,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,Baza troškova građevine Andaluzije (BCCA 2023),RUŠENJA I PRIPREMNI RADOVI,Klimatizacija
AGM00500,"MORTAR OD CEMENTA M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,65.88,65.88,65.88,65.88,1,EUR,4.43,0.0673,465,465,CIMENTACIONES,Baza troškova građevine Andaluzije (BCCA 2023),Temelji,Fabrike
TO01600,OF. 1ª CERRAJERO-CHAPISTA,Labor,Labor,h,19.1,19.1,19.1,19.1,1,EUR,7.42,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,Baza troškova građevine Andaluzije (BCCA 2023),RUŠENJA I PRIPREMNI RADOVI,Ruka
TO01400,OF. 1ª RADIJATOR O MEHANIČAR,Labor,Labor,h,19.1,19.1,19.1,19.1,1,EUR,44.7,2.3399,365,365,INSTALACIONES,Baza troškova građevine Andaluzije (BCCA 2023),INSTALACIJE,Oprema i pomoćni elementi
ATC00200,"GRUPA ZIDARA, SASTAVLJENA OD SREDNJEG RADNIKA 2. I POMOĆNIKA ESP.",Labor,Labor,h,36.78,36.78,36.78,36.78,1,EUR,22.98,0.6249,355,355,CIMENTACIONES,Baza troškova građevine Andaluzije (BCCA 2023),Temelji,Na licu mjesta
TO00100,OF. 1ª ZIDARSKI RADOVI,Labor,Labor,h,19.1,19.1,19.1,19.1,1,EUR,12.56,0.6574,316,316,DEMOLICIONES Y TRABAJOS PREVIOS,Baza troškova građevine Andaluzije (BCCA 2023),RUŠENJA I PRIPREMNI RADOVI,Armirani beton
CH04120,"BETON HM-20/P/40/X0, ISPORUČEN",Material,General,m3,76.93,76.93,76.93,76.93,1,EUR,20.89,0.2715,313,313,CIMENTACIONES,Baza troškova građevine Andaluzije (BCCA 2023),Temelji,masa
MK00100,TOVORNI KAMION,Equipment,General,h,31.43,31.43,31.43,31.43,1,EUR,4.07,0.1296,298,298,DEMOLICIONES Y TRABAJOS PREVIOS,Baza troškova građevine Andaluzije (BCCA 2023),RUŠENJA I PRIPREMNI RADOVI,Krovne konstrukcije
RW01900,ZAPTIVNA JOINT,Material,General,m,1.12,1.12,1.12,1.12,1,EUR,3.69,3.2937,286,286,ALBAÑILERÍA,Baza troškova građevine Andaluzije (BCCA 2023),ZIDARSKI RADOVI,Različiti
TA00200,POMOĆNIK SPECIJALISTE,Labor,Labor,h,18.44,18.44,18.44,18.44,1,EUR,22.89,1.2415,236,236,DEMOLICIONES Y TRABAJOS PREVIOS,Baza troškova građevine Andaluzije (BCCA 2023),RUŠENJA I PRIPREMNI RADOVI,Klimatizacija
AGL00100,"CEMENTNA MALTA CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,134.75,134.75,134.75,134.75,1,EUR,0.2,0.0015,209,209,REVESTIMIENTOS,Baza troškova građevine Andaluzije (BCCA 2023),Obloge,Stepenice
MC00100,KOMPRESOR DVA ČEKIĆA,Equipment,General,h,7.8,7.8,7.8,7.8,1,EUR,5.95,0.7624,181,181,DEMOLICIONES Y TRABAJOS PREVIOS,Baza troškova građevine Andaluzije (BCCA 2023),RUŠENJA I PRIPREMNI RADOVI,Armirani beton
TO00300,OF. 1ª KOLOČAR,Labor,Labor,h,19.1,19.1,19.1,19.1,1,EUR,3.57,0.187,176,176,ESTRUCTURAS,Baza troškova građevine Andaluzije (BCCA 2023),Konstrukcije,Konstrukcije
KA01100,PRESEK CEV ČELIK GALVANIZIRAN PODEBLJAN ili FIKSNI,Material,General,m,3.11,3.11,3.11,3.11,1,EUR,10.66,3.4277,159,159,CARPINTERÍA Y ELEMENTOS DE SEGURIDAD Y PROTECCIÓN,Baza troškova građevine Andaluzije (BCCA 2023),STOLARIJA I ELEMENTI SIGURNOSTI I ZAŠTITE,Fiksne
ME00300,BAGER,Equipment,General,h,29.3,29.3,29.3,29.3,1,EUR,1.08,0.0368,156,156,DEMOLICIONES Y TRABAJOS PREVIOS,Baza troškova građevine Andaluzije (BCCA 2023),RUŠENJA I PRIPREMNI RADOVI,Krovne konstrukcije
TO01500,OF. 1ª CARPINTERÍA,Labor,Labor,h,19.1,19.1,19.1,19.1,1,EUR,31.02,1.6238,154,154,DEMOLICIONES Y TRABAJOS PREVIOS,Baza troškova građevine Andaluzije (BCCA 2023),RUŠENJA I PRIPREMNI RADOVI,Drvo
