resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,PICCOLI MATERIALI,Material,General,u,0.35,0.35,0.35,0.35,1,EUR,2.1,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,Base dei Costi di Costruzione dell'Andalusia (BCCA 2023),DEMOLIZIONI E LAVORI PREPARATORI,Varie
WW00300,Materiale complementare o pezzi speciali,Material,General,u,0.64,0.64,0.64,0.64,1,EUR,8.28,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,Base dei Costi di Costruzione dell'Andalusia (BCCA 2023),DEMOLIZIONI E LAVORI PREPARATORI,Varie
TP00100,Operaio specializzato,Labor,Labor,h,23.52,23.52,23.52,23.52,1,EUR,19.09,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,Base dei Costi di Costruzione dell'Andalusia (BCCA 2023),DEMOLIZIONI E LAVORI PREPARATORI,Volte
ATC00100,"Squadra di muratura, composta da caposquadra di prima categoria e manovale esp.",Labor,Labor,h,48.29,48.29,48.29,48.29,1,EUR,78.34,1.6224,1230,1230,CIMENTACIONES,Base dei Costi di Costruzione dell'Andalusia (BCCA 2023),FONDAZIONI,in situ
TO01900,ID. 1ª IDRAULICO,Labor,Labor,h,24.76,24.76,24.76,24.76,1,EUR,25.09,1.0131,887,887,SANEAMIENTO,Base dei Costi di Costruzione dell'Andalusia (BCCA 2023),SANITÀ,Sifónicas
TO02100,UFFICIALE 1ª,Labor,Labor,h,24.76,24.76,24.76,24.76,1,EUR,20.91,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,Base dei Costi di Costruzione dell'Andalusia (BCCA 2023),DEMOLIZIONI E LAVORI PREPARATORI,Varie
TO01800,ELETTRICISTA 1ª,Labor,Labor,h,24.76,24.76,24.76,24.76,1,EUR,27.76,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,Base dei Costi di Costruzione dell'Andalusia (BCCA 2023),DEMOLIZIONI E LAVORI PREPARATORI,Contatori
ATC00400,Squadra composta da ufficiale di prima installazione e aiutante,Labor,Labor,h,48.66,48.66,48.66,48.66,1,EUR,750.96,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,Base dei Costi di Costruzione dell'Andalusia (BCCA 2023),DEMOLIZIONI E LAVORI PREPARATORI,Climatizzazione
AGM00500,"Malta di cemento M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,85.4,85.4,85.4,85.4,1,EUR,5.75,0.0673,465,465,CIMENTACIONES,Base dei Costi di Costruzione dell'Andalusia (BCCA 2023),FONDAZIONI,Fabbriche
TO01600,Fornitore di serrature e carpenteria metallica di prima categoria,Labor,Labor,h,24.76,24.76,24.76,24.76,1,EUR,9.61,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,Base dei Costi di Costruzione dell'Andalusia (BCCA 2023),DEMOLIZIONI E LAVORI PREPARATORI,a braccio
TO01400,1ª CALDAIA O MECCANICO,Labor,Labor,h,24.76,24.76,24.76,24.76,1,EUR,57.95,2.3399,365,365,INSTALACIONES,Base dei Costi di Costruzione dell'Andalusia (BCCA 2023),IMPIANTISTICA,Apparecchiature e elementi ausiliari
ATC00200,"Squadra di muratura, composta da ufficiale di 2ª e manovale ESP.",Labor,Labor,h,47.67,47.67,47.67,47.67,1,EUR,29.79,0.6249,355,355,CIMENTACIONES,Base dei Costi di Costruzione dell'Andalusia (BCCA 2023),FONDAZIONI,in situ
TO00100,OP. 1ª COSTRUZIONI,Labor,Labor,h,24.76,24.76,24.76,24.76,1,EUR,16.28,0.6574,316,316,DEMOLICIONES Y TRABAJOS PREVIOS,Base dei Costi di Costruzione dell'Andalusia (BCCA 2023),DEMOLIZIONI E LAVORI PREPARATORI,Calcestruzzo armato
CH04120,"CALCESTRUZZO HM-20/P/40/X0, FORNITO",Material,General,m3,99.72,99.72,99.72,99.72,1,EUR,27.08,0.2715,313,313,CIMENTACIONES,Base dei Costi di Costruzione dell'Andalusia (BCCA 2023),FONDAZIONI,a volume
MK00100,Camion ribaltabile,Equipment,General,h,40.74,40.74,40.74,40.74,1,EUR,5.28,0.1296,298,298,DEMOLICIONES Y TRABAJOS PREVIOS,Base dei Costi di Costruzione dell'Andalusia (BCCA 2023),DEMOLIZIONI E LAVORI PREPARATORI,Volte
