resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,???,Material,General,u,56.11,56.11,56.11,56.11,1,JPY,334.06,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,???????????????BCCA 2023?,?????????,???
WW00300,???????????,Material,General,u,102.01,102.01,102.01,102.01,1,JPY,1316.82,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,???????????????BCCA 2023?,?????????,???
TP00100,?????,Labor,Labor,h,3742.15,3742.15,3742.15,3742.15,1,JPY,3036.84,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,???????????????BCCA 2023?,?????????,ヴォールト
ATC00100,1???????????????????????,Labor,Labor,h,7681.52,7681.52,7681.52,7681.52,1,JPY,12462.14,1.6224,1230,1230,CIMENTACIONES,???????????????BCCA 2023?,????,????
TO01900,1????,Labor,Labor,h,3939.37,3939.37,3939.37,3939.37,1,JPY,3990.81,1.0131,887,887,SANEAMIENTO,???????????????BCCA 2023?,??????,排水
TO02100,1???,Labor,Labor,h,3939.37,3939.37,3939.37,3939.37,1,JPY,3326.23,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,???????????????BCCA 2023?,?????????,???
TO01800,1????,Labor,Labor,h,3939.37,3939.37,3939.37,3939.37,1,JPY,4416.38,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,???????????????BCCA 2023?,?????????,????
ATC00400,1???????????????????,Labor,Labor,h,7741.02,7741.02,7741.02,7741.02,1,JPY,119459.23,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,???????????????BCCA 2023?,?????????,空調設備
AGM00500,"???????? M5?1:6?CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,13584.62,13584.62,13584.62,13584.62,1,JPY,914.26,0.0673,465,465,CIMENTACIONES,???????????????BCCA 2023?,????,工場
TO01600,1????????,Labor,Labor,h,3939.37,3939.37,3939.37,3939.37,1,JPY,1529.05,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,???????????????BCCA 2023?,?????????,?????
TO01400,1????????????,Labor,Labor,h,3939.37,3939.37,3939.37,3939.37,1,JPY,9217.82,2.3399,365,365,INSTALACIONES,???????????????BCCA 2023?,????,補助設備および要素
ATC00200,2???????????????????????,Labor,Labor,h,7582.9,7582.9,7582.9,7582.9,1,JPY,4738.4,0.6249,355,355,CIMENTACIONES,???????????????BCCA 2023?,????,????
TO00100,1????????,Labor,Labor,h,3939.37,3939.37,3939.37,3939.37,1,JPY,2589.59,0.6574,316,316,DEMOLICIONES Y TRABAJOS PREVIOS,???????????????BCCA 2023?,?????????,鉄筋コンクリート
CH04120,???????? HM-20/P/40/X0,Material,General,m3,15862.89,15862.89,15862.89,15862.89,1,JPY,4307.51,0.2715,313,313,CIMENTACIONES,???????????????BCCA 2023?,????,一括
MK00100,???????,Equipment,General,h,6481.17,6481.17,6481.17,6481.17,1,JPY,839.88,0.1296,298,298,DEMOLICIONES Y TRABAJOS PREVIOS,???????????????BCCA 2023?,?????????,ヴォールト
RW01900,シールジョイント,Material,General,m,231.23,231.23,231.23,231.23,1,JPY,761.6,3.2937,286,286,ALBAÑILERÍA,???????????????BCCA 2023?,???????,???
TA00200,???????,Labor,Labor,h,3801.65,3801.65,3801.65,3801.65,1,JPY,4719.8,1.2415,236,236,DEMOLICIONES Y TRABAJOS PREVIOS,???????????????BCCA 2023?,?????????,空調設備
AGL00100,"セメントCEM II/A-L 32,5 Nのモルタル",Material,Concrete & Cement,m3,27784.71,27784.71,27784.71,27784.71,1,JPY,40.94,0.0015,209,209,REVESTIMIENTOS,???????????????BCCA 2023?,???????,???
MC00100,コンプレッサー ドス マルティージョス,Equipment,General,h,1608.39,1608.39,1608.39,1608.39,1,JPY,1226.27,0.7624,181,181,DEMOLICIONES Y TRABAJOS PREVIOS,???????????????BCCA 2023?,?????????,鉄筋コンクリート
TO00300,1????,Labor,Labor,h,3939.37,3939.37,3939.37,3939.37,1,JPY,736.66,0.187,176,176,ESTRUCTURAS,???????????????BCCA 2023?,????,????
KA01100,プレコア 鋼鉄管 ガルバニゼーション 取り外し可能または固定,Material,General,m,640.98,640.98,640.98,640.98,1,JPY,2197.06,3.4277,159,159,CARPINTERÍA Y ELEMENTOS DE SEGURIDAD Y PROTECCIÓN,???????????????BCCA 2023?,?????????????,???
ME00300,????????,Equipment,General,h,6042.52,6042.52,6042.52,6042.52,1,JPY,222.3,0.0368,156,156,DEMOLICIONES Y TRABAJOS PREVIOS,???????????????BCCA 2023?,?????????,ヴォールト
TO01500,大工工事 1ª,Labor,Labor,h,3939.37,3939.37,3939.37,3939.37,1,JPY,6396.77,1.6238,154,154,DEMOLICIONES Y TRABAJOS PREVIOS,???????????????BCCA 2023?,?????????,木材
TO00900,第1作業員,Labor,Labor,h,3939.37,3939.37,3939.37,3939.37,1,JPY,4994.99,1.268,153,153,ALBAÑILERÍA,???????????????BCCA 2023?,???????,レンガアーチとヴォールト
CA00320,ACERO B 500 S,Material,General,kg,161.52,161.52,161.52,161.52,1,JPY,655.06,4.0556,150,150,CIMENTACIONES,???????????????BCCA 2023?,????,鉄筋
TO01100,1ª 屋根仕上げ工,Labor,Labor,h,3939.37,3939.37,3939.37,3939.37,1,JPY,1145.48,0.2908,147,147,CUBIERTAS,???????????????BCCA 2023?,????,?????
TO00600,鉄筋工 1ª,Labor,Labor,h,3939.37,3939.37,3939.37,3939.37,1,JPY,386.03,0.098,138,138,CIMENTACIONES,???????????????BCCA 2023?,????,鉄筋
MV00100,振動子,Equipment,General,h,309.44,309.44,309.44,309.44,1,JPY,40.81,0.1319,128,128,CIMENTACIONES,???????????????BCCA 2023?,????,補剛材
TO02000,第1施工者,Labor,Labor,h,3939.37,3939.37,3939.37,3939.37,1,JPY,2097.19,0.5324,125,125,DEMOLICIONES Y TRABAJOS PREVIOS,???????????????BCCA 2023?,?????????,空調設備
AGM01600,"モルタル バスタルド M10 (1:0,5:4) セム II/A-L 32,5 N Y CAL",Material,General,m3,29717.84,29717.84,29717.84,29717.84,1,JPY,745.65,0.0251,121,121,ESTRUCTURAS,???????????????BCCA 2023?,????,????
TA00100,助手,Labor,Labor,h,3801.65,3801.65,3801.65,3801.65,1,JPY,5267.26,1.3855,118,118,DEMOLICIONES Y TRABAJOS PREVIOS,???????????????BCCA 2023?,?????????,???
ME00400,バックホー,Equipment,General,h,8856.36,8856.36,8856.36,8856.36,1,JPY,2834.65,0.3201,115,115,DEMOLICIONES Y TRABAJOS PREVIOS,???????????????BCCA 2023?,?????????,鉄筋コンクリート
CM00300,パイン材の板材,Material,General,m3,75339.39,75339.39,75339.39,75339.39,1,JPY,189.67,0.0025,114,114,DEMOLICIONES Y TRABAJOS PREVIOS,???????????????BCCA 2023?,?????????,水平
