resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,소형 자재,Material,General,u,471.79,471.79,471.79,471.79,1,KRW,2809.09,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,안달루시아 건설 비용 기준 (BCCA 2023),철거 및 사전 작업,여러 가지
WW00300,보조 자재 또는 특수 부품,Material,General,u,857.8,857.8,857.8,857.8,1,KRW,11072.89,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,안달루시아 건설 비용 기준 (BCCA 2023),철거 및 사전 작업,여러 가지
TP00100,특수 인부,Labor,Labor,h,31467.06,31467.06,31467.06,31467.06,1,KRW,25536.22,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,안달루시아 건설 비용 기준 (BCCA 2023),철거 및 사전 작업,아치형 천장
ATC00100,"벽공 ALBAÑILERÍA, 1급 공식 및 ESP 인부로 구성됨.",Labor,Labor,h,64592.54,64592.54,64592.54,64592.54,1,KRW,104791.94,1.6224,1230,1230,CIMENTACIONES,안달루시아 건설 비용 기준 (BCCA 2023),기초공사,현장 시공
TO01900,배관공 1ª,Labor,Labor,h,33125.48,33125.48,33125.48,33125.48,1,KRW,33558.01,1.0131,887,887,SANEAMIENTO,안달루시아 건설 비용 기준 (BCCA 2023),위생 설비,배관용 배수구
TO02100,공식 1ª,Labor,Labor,h,33125.48,33125.48,33125.48,33125.48,1,KRW,27969.66,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,안달루시아 건설 비용 기준 (BCCA 2023),철거 및 사전 작업,여러 가지
TO01800,전기기사 1ª,Labor,Labor,h,33125.48,33125.48,33125.48,33125.48,1,KRW,37136.58,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,안달루시아 건설 비용 기준 (BCCA 2023),철거 및 사전 작업,계량기
ATC00400,팀 구성: 1급 설치공 및 보조원,Labor,Labor,h,65092.92,65092.92,65092.92,65092.92,1,KRW,1004511.9,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,안달루시아 건설 비용 기준 (BCCA 2023),철거 및 사전 작업,에어컨
AGM00500,"시멘트 모르타르 M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,114230.71,114230.71,114230.71,114230.71,1,KRW,7687.85,0.0673,465,465,CIMENTACIONES,안달루시아 건설 비용 기준 (BCCA 2023),기초공사,공장
TO01600,철문 1차 철공사,Labor,Labor,h,33125.48,33125.48,33125.48,33125.48,1,KRW,12857.54,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,안달루시아 건설 비용 기준 (BCCA 2023),철거 및 사전 작업,팔꿈치
TO01400,1ª 난방기 또는 기계식 난방기,Labor,Labor,h,33125.48,33125.48,33125.48,33125.48,1,KRW,77511.08,2.3399,365,365,INSTALACIONES,안달루시아 건설 비용 기준 (BCCA 2023),설비,보조 장비 및 요소
ATC00200,"벽돌공, 2급 공식 및 ESP 인부로 구성됨",Labor,Labor,h,63763.33,63763.33,63763.33,63763.33,1,KRW,39844.36,0.6249,355,355,CIMENTACIONES,안달루시아 건설 비용 기준 (BCCA 2023),기초공사,현장 시공
TO00100,제1차 건축공사,Labor,Labor,h,33125.48,33125.48,33125.48,33125.48,1,KRW,21775.39,0.6574,316,316,DEMOLICIONES Y TRABAJOS PREVIOS,안달루시아 건설 비용 기준 (BCCA 2023),철거 및 사전 작업,철근 콘크리트
CH04120,"콘크리트 HM-20/P/40/X0, 공급됨",Material,General,m3,133388.3,133388.3,133388.3,133388.3,1,KRW,36221.1,0.2715,313,313,CIMENTACIONES,안달루시아 건설 비용 기준 (BCCA 2023),기초공사,일반
MK00100,덤프트럭,Equipment,General,h,54499.06,54499.06,54499.06,54499.06,1,KRW,7062.38,0.1296,298,298,DEMOLICIONES Y TRABAJOS PREVIOS,안달루시아 건설 비용 기준 (BCCA 2023),철거 및 사전 작업,아치형 천장
RW01900,실링 조인트,Material,General,m,1944.35,1944.35,1944.35,1944.35,1,KRW,6404.13,3.2937,286,286,ALBAÑILERÍA,안달루시아 건설 비용 기준 (BCCA 2023),벽돌공사,여러 가지
