resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,مواد صغيرة,Material,General,u,2.27,2.27,2.27,2.27,1,MAD,13.53,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,متفرقات
WW00300,مادة تكميلية أو قطع خاصة,Material,General,u,4.13,4.13,4.13,4.13,1,MAD,53.33,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,متفرقات
TP00100,عامل خاص,Labor,Labor,h,151.56,151.56,151.56,151.56,1,MAD,122.99,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,قُبب
ATC00100,طاقم بنّائين، مكوّن من عامل ماهر درجة 1 وعامل مساعد متخصص,Labor,Labor,h,311.11,311.11,311.11,311.11,1,MAD,504.72,1.6224,1230,1230,CIMENTACIONES,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الأساسات,في الموقع
TO01900,فني صحي 1ª,Labor,Labor,h,159.55,159.55,159.55,159.55,1,MAD,161.63,1.0131,887,887,SANEAMIENTO,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الصرف الصحي,الصرف الصحي التفريغي
TO02100,فني 1,Labor,Labor,h,159.55,159.55,159.55,159.55,1,MAD,134.71,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,متفرقات
TO01800,عامل كهربائي ماهر درجة 1,Labor,Labor,h,159.55,159.55,159.55,159.55,1,MAD,178.87,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,عدادات
ATC00400,طاقم مكوّن من مركّب ماهر درجة 1 ومساعد,Labor,Labor,h,313.52,313.52,313.52,313.52,1,MAD,4838.17,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,تكييف الهواء
AGM00500,"مونة أسمنت M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,550.18,550.18,550.18,550.18,1,MAD,37.03,0.0673,465,465,CIMENTACIONES,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الأساسات,البنايات
TO01600,عامل ماهر درجة 1 حدّاد أقفال وصفائح,Labor,Labor,h,159.55,159.55,159.55,159.55,1,MAD,61.93,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,بالذراع
TO01400,عامل ماهر درجة 1 تدفئة أو ميكانيكا,Labor,Labor,h,159.55,159.55,159.55,159.55,1,MAD,373.33,2.3399,365,365,INSTALACIONES,قاعدة تكاليف البناء في الأندلس (BCCA 2023),التركيبات,المعدات والعناصر المساعدة
ATC00200,فرقة بناء مكونة من حرفي بناء من الدرجة الثانية وعامل 2 خاص.,Labor,Labor,h,307.11,307.11,307.11,307.11,1,MAD,191.91,0.6249,355,355,CIMENTACIONES,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الأساسات,في الموقع
TO00100,مكتب 1ª للبناء,Labor,Labor,h,159.55,159.55,159.55,159.55,1,MAD,104.88,0.6574,316,316,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,خرسانة مسلحة
CH04120,خرسانة HM-20/P/40/X0، مُورَّدة,Material,General,m3,642.46,642.46,642.46,642.46,1,MAD,174.46,0.2715,313,313,CIMENTACIONES,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الأساسات,بالكتلة
MK00100,شاحنة قلابة,Equipment,General,h,262.49,262.49,262.49,262.49,1,MAD,34.02,0.1296,298,298,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,قُبب
RW01900,فاصل الإغلاق,Material,General,m,9.36,9.36,9.36,9.36,1,MAD,30.85,3.2937,286,286,ALBAÑILERÍA,قاعدة تكاليف البناء في الأندلس (BCCA 2023),العمالة الطوبية,متفرقات
TA00200,مساعد متخصص,Labor,Labor,h,153.97,153.97,153.97,153.97,1,MAD,191.15,1.2415,236,236,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,تكييف الهواء
AGL00100,"ملاط أسمنت CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,1125.3,1125.3,1125.3,1125.3,1,MAD,1.66,0.0015,209,209,REVESTIMIENTOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),التشطيبات,درج
MC00100,ضاغط بمطرقتين,Equipment,General,h,65.14,65.14,65.14,65.14,1,MAD,49.66,0.7624,181,181,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,خرسانة مسلحة
TO00300,عامل تركيب ماهر درجة 1,Labor,Labor,h,159.55,159.55,159.55,159.55,1,MAD,29.84,0.187,176,176,ESTRUCTURAS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهياكل,الهياكل
KA01100,إطار مسبق من أنبوب فولاذي مجلفن قابل للطي أو ثابت,Material,General,m,25.96,25.96,25.96,25.96,1,MAD,88.98,3.4277,159,159,CARPINTERÍA Y ELEMENTOS DE SEGURIDAD Y PROTECCIÓN,قاعدة تكاليف البناء في الأندلس (BCCA 2023),النجارة وعناصر الأمان والحماية,ثابتة
ME00300,لودر,Equipment,General,h,244.73,244.73,244.73,244.73,1,MAD,9.0,0.0368,156,156,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,قُبب
TO01500,مكتب 1 نجارة,Labor,Labor,h,159.55,159.55,159.55,159.55,1,MAD,259.07,1.6238,154,154,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,الأخشاب
TO00900,عامل تجميع وتركيب ماهر درجة 1,Labor,Labor,h,159.55,159.55,159.55,159.55,1,MAD,202.3,1.268,153,153,ALBAÑILERÍA,قاعدة تكاليف البناء في الأندلس (BCCA 2023),العمالة الطوبية,الأقواس والقبو من الطوب
CA00320,فولاذ B 500 S,Material,General,kg,6.54,6.54,6.54,6.54,1,MAD,26.53,4.0556,150,150,CIMENTACIONES,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الأساسات,قضبان متموجة
