resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,БАГАА МАТЕРИАЛ,Material,General,u,700.27,700.27,700.27,700.27,1,MNT,4169.45,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),Бутлах болон урьдчилсан ажил,Өөр өөр
WW00300,Нэмэлт материал эсвэл тусгай хэсгүүд,Material,General,u,1273.21,1273.21,1273.21,1273.21,1,MNT,16435.16,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),Бутлах болон урьдчилсан ажил,Өөр өөр
TP00100,ТУСЛАХЫН АЖИЛТАН,Labor,Labor,h,46705.63,46705.63,46705.63,46705.63,1,MNT,37902.66,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),Бутлах болон урьдчилсан ажил,Бүхлүүд
ATC00100,"БАРИЛГАЧДЫН БАГ, 1-р зэрэгтэй мэргэжилтэн болон ажилчинтай.",Labor,Labor,h,95872.8,95872.8,95872.8,95872.8,1,MNT,155539.6,1.6224,1230,1230,CIMENTACIONES,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),СУУРЬ,Тусгай газар дээр
TO01900,1-р зэрэг сантехникч,Labor,Labor,h,49167.17,49167.17,49167.17,49167.17,1,MNT,49809.18,1.0131,887,887,SANEAMIENTO,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),САНИТАР,Сифоник
TO02100,1-р албан тушаал,Labor,Labor,h,49167.17,49167.17,49167.17,49167.17,1,MNT,41514.55,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),Бутлах болон урьдчилсан ажил,Өөр өөр
TO01800,1-р цахилгаанчин,Labor,Labor,h,49167.17,49167.17,49167.17,49167.17,1,MNT,55120.74,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),Бутлах болон урьдчилсан ажил,Тооцлогчид
ATC00400,1-р зэрэглэлийн суурилуулагч болон туслах ажилтнаас бүрдсэн бригад,Labor,Labor,h,96615.51,96615.51,96615.51,96615.51,1,MNT,1490967.53,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),Бутлах болон урьдчилсан ажил,Агааржуулалт
AGM00500,"ЦЕМЕНТИЙН МОРТАР M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,169549.29,169549.29,169549.29,169549.29,1,MNT,11410.85,0.0673,465,465,CIMENTACIONES,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),СУУРЬ,Үйлдвэрийн байгууламжууд
TO01600,OF. 1ª ЦЭРРЕЙРО-ЧАПИСТА,Labor,Labor,h,49167.17,49167.17,49167.17,49167.17,1,MNT,19084.07,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),Бутлах болон урьдчилсан ажил,Гармаар
TO01400,1-р анги халаагч эсвэл механик,Labor,Labor,h,49167.17,49167.17,49167.17,49167.17,1,MNT,115047.41,2.3399,365,365,INSTALACIONES,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),Суурилуулга,Төхөөрөмжүүд болон туслах элементүүд
ATC00200,"БАЙГАЛИЙН БАЙДЛЫН БАЙГУУЛАМЖ, 2-Р ЗЭРЭГИЙН МАСТЕР БА АЖИЛЧИН",Labor,Labor,h,94642.03,94642.03,94642.03,94642.03,1,MNT,59139.81,0.6249,355,355,CIMENTACIONES,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),СУУРЬ,Тусгай газар дээр
TO00100,1-р үеийн барилгын ажил,Labor,Labor,h,49167.17,49167.17,49167.17,49167.17,1,MNT,32320.57,0.6574,316,316,DEMOLICIONES Y TRABAJOS PREVIOS,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),Бутлах болон урьдчилсан ажил,Бетон арматуртай
CH04120,"HM-20/P/40/X0 бетон, НИЙЛҮҮЛЭН",Material,General,m3,197984.34,197984.34,197984.34,197984.34,1,MNT,53761.92,0.2715,313,313,CIMENTACIONES,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),СУУРЬ,Багтаамжтай
MK00100,БУЛГАН ТЭЭВЭР,Equipment,General,h,80891.35,80891.35,80891.35,80891.35,1,MNT,10482.49,0.1296,298,298,DEMOLICIONES Y TRABAJOS PREVIOS,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),Бутлах болон урьдчилсан ажил,Бүхлүүд
RW01900,СУУРЬ БҮТЭЭЦИЙН ХААЛТ,Material,General,m,2885.95,2885.95,2885.95,2885.95,1,MNT,9505.46,3.2937,286,286,ALBAÑILERÍA,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),Барилгын ажил,Өөр өөр
TA00200,ТУСЛАХЫН ТУСЛАХ АЖИЛТАН,Labor,Labor,h,47448.34,47448.34,47448.34,47448.34,1,MNT,58907.72,1.2415,236,236,DEMOLICIONES Y TRABAJOS PREVIOS,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),Бутлах болон урьдчилсан ажил,Агааржуулалт
AGL00100,"ЦЕМЕНТНЫ ХОЛБОО CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,346780.3,346780.3,346780.3,346780.3,1,MNT,511.0,0.0015,209,209,REVESTIMIENTOS,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),Доторго,Гишгүүр
MC00100,ХОЁР МАРТИЛЛЕРЫН КОМПРЕССОР,Equipment,General,h,20074.3,20074.3,20074.3,20074.3,1,MNT,15305.04,0.7624,181,181,DEMOLICIONES Y TRABAJOS PREVIOS,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),Бутлах болон урьдчилсан ажил,Бетон арматуртай
TO00300,OF. 1ª COLOCADOR,Labor,Labor,h,49167.17,49167.17,49167.17,49167.17,1,MNT,9194.27,0.187,176,176,ESTRUCTURAS,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),БҮТЭЦ,БҮТЭЦ
KA01100,"Галванжуулсан ган хоолой, хагас нугалах эсвэл тогтмол",Material,General,m,8000.01,8000.01,8000.01,8000.01,1,MNT,27421.42,3.4277,159,159,CARPINTERÍA Y ELEMENTOS DE SEGURIDAD Y PROTECCIÓN,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),"Модон хийц, аюулгүй байдал, хамгаалалтын элементүүд",Тогтмол
ME00300,ТҮГЭЭГЧ,Equipment,General,h,75416.54,75416.54,75416.54,75416.54,1,MNT,2774.46,0.0368,156,156,DEMOLICIONES Y TRABAJOS PREVIOS,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),Бутлах болон урьдчилсан ажил,Бүхлүүд
TO01500,1-р ангийн модон ажил,Labor,Labor,h,49167.17,49167.17,49167.17,49167.17,1,MNT,79837.91,1.6238,154,154,DEMOLICIONES Y TRABAJOS PREVIOS,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),Бутлах болон урьдчилсан ажил,Мод
TO00900,1-р МОНТАЖЧИН,Labor,Labor,h,49167.17,49167.17,49167.17,49167.17,1,MNT,62342.37,1.268,153,153,ALBAÑILERÍA,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),Барилгын ажил,"Блок, тоосго, чулууны арк ба бунхан"
CA00320,Б 500 S ган,Material,General,kg,2015.92,2015.92,2015.92,2015.92,1,MNT,8175.78,4.0556,150,150,CIMENTACIONES,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),СУУРЬ,Гофрированные арматурные стержни
TO01100,1-р давхарын дээвэр,Labor,Labor,h,49167.17,49167.17,49167.17,49167.17,1,MNT,14296.65,0.2908,147,147,CUBIERTAS,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),Дээврийн болон дээврийн бүрээс,Уулзварууд
TO00600,1-р ФЕРРАЛЛИСТА,Labor,Labor,h,49167.17,49167.17,49167.17,49167.17,1,MNT,4818.02,0.098,138,138,CIMENTACIONES,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),СУУРЬ,Гофрированные арматурные стержни
MV00100,ВИБРАТОР,Equipment,General,h,3862.07,3862.07,3862.07,3862.07,1,MNT,509.4,0.1319,128,128,CIMENTACIONES,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),СУУРЬ,Арриострамientos
TO02000,1-р суурь,Labor,Labor,h,49167.17,49167.17,49167.17,49167.17,1,MNT,26175.03,0.5324,125,125,DEMOLICIONES Y TRABAJOS PREVIOS,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),Бутлах болон урьдчилсан ажил,Агааржуулалт
AGM01600,"MORTERO BASTARDO M10 (1:0,5:4) CEM II/A-L 32,5 N Y CAL",Material,General,m3,370907.65,370907.65,370907.65,370907.65,1,MNT,9306.42,0.0251,121,121,ESTRUCTURAS,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),БҮТЭЦ,БҮТЭЦ
TA00100,Туслах,Labor,Labor,h,47448.34,47448.34,47448.34,47448.34,1,MNT,65740.48,1.3855,118,118,DEMOLICIONES Y TRABAJOS PREVIOS,Андалусийн Барилгын Зардлын Суурь (BCCA 2023),Бутлах болон урьдчилсан ажил,Өөр өөр
