resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,PEQUEÑO MATERIAL,Material,General,u,5.97,5.97,5.97,5.97,1,MXN,35.54,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Varios
WW00300,MATERIAL COMPLEMENTARIO O PZAS. ESPECIALES,Material,General,u,10.85,10.85,10.85,10.85,1,MXN,140.1,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Varios
TP00100,PEÓN ESPECIAL,Labor,Labor,h,398.15,398.15,398.15,398.15,1,MXN,323.11,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Bóvedas
ATC00100,"CUADRILLA ALBAÑILERÍA, FORMADA POR OFICIAL 1ª Y PEÓN ESP.",Labor,Labor,h,817.28,817.28,817.28,817.28,1,MXN,1325.92,1.6224,1230,1230,CIMENTACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),CIMENTACIONES,In situ
TO01900,OF. 1ª FONTANERO,Labor,Labor,h,419.13,419.13,419.13,419.13,1,MXN,424.61,1.0131,887,887,SANEAMIENTO,Base de Costes de la Construccion de Andalucia (BCCA 2023),SANEAMIENTO,Sifónicas
TO02100,OFICIAL 1ª,Labor,Labor,h,419.13,419.13,419.13,419.13,1,MXN,353.9,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Varios
TO01800,OF. 1ª ELECTRICISTA,Labor,Labor,h,419.13,419.13,419.13,419.13,1,MXN,469.89,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Contadores
ATC00400,CUADRILLA FORMADA POR OFICIAL 1ª INSTALADOR Y AYUDANTE,Labor,Labor,h,823.62,823.62,823.62,823.62,1,MXN,12710.01,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Aire acondicionado
AGM00500,"MORTERO DE CEMENTO M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,1445.35,1445.35,1445.35,1445.35,1,MXN,97.27,0.0673,465,465,CIMENTACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),CIMENTACIONES,Fábricas
TO01600,OF. 1ª CERRAJERO-CHAPISTA,Labor,Labor,h,419.13,419.13,419.13,419.13,1,MXN,162.69,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,A brazo
TO01400,OF. 1ª CALEFACTOR O MECÁNICO,Labor,Labor,h,419.13,419.13,419.13,419.13,1,MXN,980.74,2.3399,365,365,INSTALACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),INSTALACIONES,Equipos y elementos auxiliares
ATC00200,"CUADRILLA ALBAÑILERÍA, FORMADA POR OFICIAL 2ª Y PEÓN ESP.",Labor,Labor,h,806.79,806.79,806.79,806.79,1,MXN,504.15,0.6249,355,355,CIMENTACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),CIMENTACIONES,In situ
TO00100,OF. 1ª ALBAÑILERÍA,Labor,Labor,h,419.13,419.13,419.13,419.13,1,MXN,275.52,0.6574,316,316,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Hormigón armado
CH04120,"HORMIGÓN HM-20/P/40/X0, SUMINISTRADO",Material,General,m3,1687.75,1687.75,1687.75,1687.75,1,MXN,458.3,0.2715,313,313,CIMENTACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),CIMENTACIONES,En masa
MK00100,CAMIÓN BASCULANTE,Equipment,General,h,689.57,689.57,689.57,689.57,1,MXN,89.36,0.1296,298,298,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Bóvedas
RW01900,JUNTA DE SELLADO,Material,General,m,24.6,24.6,24.6,24.6,1,MXN,81.03,3.2937,286,286,ALBAÑILERÍA,Base de Costes de la Construccion de Andalucia (BCCA 2023),ALBAÑILERÍA,Varios
TA00200,AYUDANTE ESPECIALISTA,Labor,Labor,h,404.48,404.48,404.48,404.48,1,MXN,502.17,1.2415,236,236,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Aire acondicionado
AGL00100,"LECHADA DE CEMENTO CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,2956.19,2956.19,2956.19,2956.19,1,MXN,4.36,0.0015,209,209,REVESTIMIENTOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),REVESTIMIENTOS,Peldaños
MC00100,COMPRESOR DOS MARTILLOS,Equipment,General,h,171.13,171.13,171.13,171.13,1,MXN,130.47,0.7624,181,181,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Hormigón armado
TO00300,OF. 1ª COLOCADOR,Labor,Labor,h,419.13,419.13,419.13,419.13,1,MXN,78.38,0.187,176,176,ESTRUCTURAS,Base de Costes de la Construccion de Andalucia (BCCA 2023),ESTRUCTURAS,ESTRUCTURAS
KA01100,PRECERCO TUBO ACERO GALVANIZADO ABATIBLE O FIJO,Material,General,m,68.2,68.2,68.2,68.2,1,MXN,233.76,3.4277,159,159,CARPINTERÍA Y ELEMENTOS DE SEGURIDAD Y PROTECCIÓN,Base de Costes de la Construccion de Andalucia (BCCA 2023),CARPINTERÍA Y ELEMENTOS DE SEGURIDAD Y PROTECCIÓN,Fijas
ME00300,PALA CARGADORA,Equipment,General,h,642.9,642.9,642.9,642.9,1,MXN,23.65,0.0368,156,156,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Bóvedas
TO01500,OF. 1ª CARPINTERÍA,Labor,Labor,h,419.13,419.13,419.13,419.13,1,MXN,680.59,1.6238,154,154,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Costes de la Construccion de Andalucia (BCCA 2023),DEMOLICIONES Y TRABAJOS PREVIOS,Maderas
TO00900,OF. 1ª MONTADOR,Labor,Labor,h,419.13,419.13,419.13,419.13,1,MXN,531.45,1.268,153,153,ALBAÑILERÍA,Base de Costes de la Construccion de Andalucia (BCCA 2023),ALBAÑILERÍA,ARCOS Y BÓVEDAS DE LADRILLO
CA00320,ACERO B 500 S,Material,General,kg,17.19,17.19,17.19,17.19,1,MXN,69.7,4.0556,150,150,CIMENTACIONES,Base de Costes de la Construccion de Andalucia (BCCA 2023),CIMENTACIONES,Barras corrugadas
