resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,KLEIN MATERIAAL,Material,General,u,0.43,0.43,0.43,0.43,1,EUR,2.57,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,Kostenbasis voor de Bouw van Andalusië (BCCA 2023),Sloopwerk en voorbereidende werkzaamheden,Verschillende
WW00300,AANVULLEND MATERIAAL OF SPECIALE ONDERDELEN,Material,General,u,0.78,0.78,0.78,0.78,1,EUR,10.13,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,Kostenbasis voor de Bouw van Andalusië (BCCA 2023),Sloopwerk en voorbereidende werkzaamheden,Verschillende
TP00100,SPECIALIST,Labor,Labor,h,28.79,28.79,28.79,28.79,1,EUR,23.36,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,Kostenbasis voor de Bouw van Andalusië (BCCA 2023),Sloopwerk en voorbereidende werkzaamheden,Gewelven
ATC00100,"STEENHOUWERSPLATFORM, BESTAANDE UIT OFFICIER 1E EN ARBEIDER ESP.",Labor,Labor,h,59.09,59.09,59.09,59.09,1,EUR,95.86,1.6224,1230,1230,CIMENTACIONES,Kostenbasis voor de Bouw van Andalusië (BCCA 2023),Funderingen,In situ
TO01900,OF. 1ª Loodgieter,Labor,Labor,h,30.3,30.3,30.3,30.3,1,EUR,30.7,1.0131,887,887,SANEAMIENTO,Kostenbasis voor de Bouw van Andalusië (BCCA 2023),SANITAIRES,Sifónicas
TO02100,OFFICIEEL 1e,Labor,Labor,h,30.3,30.3,30.3,30.3,1,EUR,25.59,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,Kostenbasis voor de Bouw van Andalusië (BCCA 2023),Sloopwerk en voorbereidende werkzaamheden,Verschillende
TO01800,OF. 1ª ELECTRICISTA,Labor,Labor,h,30.3,30.3,30.3,30.3,1,EUR,33.97,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,Kostenbasis voor de Bouw van Andalusië (BCCA 2023),Sloopwerk en voorbereidende werkzaamheden,Counters
ATC00400,PLATFORM GEVORMD DOOR OFFICIER 1E INSTALLATEUR EN ASSISTENT,Labor,Labor,h,59.55,59.55,59.55,59.55,1,EUR,918.92,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,Kostenbasis voor de Bouw van Andalusië (BCCA 2023),Sloopwerk en voorbereidende werkzaamheden,Airconditioning
AGM00500,"CEMENTMORTEL M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,104.5,104.5,104.5,104.5,1,EUR,7.03,0.0673,465,465,CIMENTACIONES,Kostenbasis voor de Bouw van Andalusië (BCCA 2023),Funderingen,Fabrieken
TO01600,OF. 1ª CERRAJERO-CHAPISTA,Labor,Labor,h,30.3,30.3,30.3,30.3,1,EUR,11.76,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,Kostenbasis voor de Bouw van Andalusië (BCCA 2023),Sloopwerk en voorbereidende werkzaamheden,Met de arm
TO01400,OF. 1ª KACHEL OF MECHANISCH,Labor,Labor,h,30.3,30.3,30.3,30.3,1,EUR,70.91,2.3399,365,365,INSTALACIONES,Kostenbasis voor de Bouw van Andalusië (BCCA 2023),INSTALLATIES,Apparatuur en hulpstukken
ATC00200,"STEENHOUWERSPLATFORM, BESTAANDE UIT OFFICIEEL 2 EN ARBEIDER ESP.",Labor,Labor,h,58.33,58.33,58.33,58.33,1,EUR,36.45,0.6249,355,355,CIMENTACIONES,Kostenbasis voor de Bouw van Andalusië (BCCA 2023),Funderingen,In situ
TO00100,OF. 1ª METSELWERK,Labor,Labor,h,30.3,30.3,30.3,30.3,1,EUR,19.92,0.6574,316,316,DEMOLICIONES Y TRABAJOS PREVIOS,Kostenbasis voor de Bouw van Andalusië (BCCA 2023),Sloopwerk en voorbereidende werkzaamheden,Gewapend beton
CH04120,"BETON HM-20/P/40/X0, GELEVERD",Material,General,m3,122.02,122.02,122.02,122.02,1,EUR,33.13,0.2715,313,313,CIMENTACIONES,Kostenbasis voor de Bouw van Andalusië (BCCA 2023),Funderingen,In massa
MK00100,KIPPER,Equipment,General,h,49.86,49.86,49.86,49.86,1,EUR,6.46,0.1296,298,298,DEMOLICIONES Y TRABAJOS PREVIOS,Kostenbasis voor de Bouw van Andalusië (BCCA 2023),Sloopwerk en voorbereidende werkzaamheden,Gewelven
RW01900,AFDICHTINGSVOEG,Material,General,m,1.78,1.78,1.78,1.78,1,EUR,5.86,3.2937,286,286,ALBAÑILERÍA,Kostenbasis voor de Bouw van Andalusië (BCCA 2023),Metselwerk,Verschillende
TA00200,SPECIALISTISCHE ASSISTENT,Labor,Labor,h,29.24,29.24,29.24,29.24,1,EUR,36.31,1.2415,236,236,DEMOLICIONES Y TRABAJOS PREVIOS,Kostenbasis voor de Bouw van Andalusië (BCCA 2023),Sloopwerk en voorbereidende werkzaamheden,Airconditioning
AGL00100,"CEMENTMORTEL CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,213.73,213.73,213.73,213.73,1,EUR,0.31,0.0015,209,209,REVESTIMIENTOS,Kostenbasis voor de Bouw van Andalusië (BCCA 2023),Afwerkingen,Treden
MC00100,COMPRESSOR MET TWEE HAMERS,Equipment,General,h,12.37,12.37,12.37,12.37,1,EUR,9.43,0.7624,181,181,DEMOLICIONES Y TRABAJOS PREVIOS,Kostenbasis voor de Bouw van Andalusië (BCCA 2023),Sloopwerk en voorbereidende werkzaamheden,Gewapend beton
TO00300,OF. 1ª COLOCADOR,Labor,Labor,h,30.3,30.3,30.3,30.3,1,EUR,5.67,0.187,176,176,ESTRUCTURAS,Kostenbasis voor de Bouw van Andalusië (BCCA 2023),STRUCTURES,STRUCTURES
KA01100,VOUWBAAR OF VAST GALVANISEERD STAALBUIS,Material,General,m,4.93,4.93,4.93,4.93,1,EUR,16.9,3.4277,159,159,CARPINTERÍA Y ELEMENTOS DE SEGURIDAD Y PROTECCIÓN,Kostenbasis voor de Bouw van Andalusië (BCCA 2023),HOUTWERK EN VEILIGHEIDS- EN BESCHERMINGSELEMENTEN,Vast
ME00300,LADER,Equipment,General,h,46.48,46.48,46.48,46.48,1,EUR,1.71,0.0368,156,156,DEMOLICIONES Y TRABAJOS PREVIOS,Kostenbasis voor de Bouw van Andalusië (BCCA 2023),Sloopwerk en voorbereidende werkzaamheden,Gewelven
TO01500,OF. 1ª CARPINTERÍA,Labor,Labor,h,30.3,30.3,30.3,30.3,1,EUR,49.21,1.6238,154,154,DEMOLICIONES Y TRABAJOS PREVIOS,Kostenbasis voor de Bouw van Andalusië (BCCA 2023),Sloopwerk en voorbereidende werkzaamheden,Hout
