resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,SMALL MATERIAL,Material,General,u,0.85,0.85,0.85,0.85,1,NZD,5.07,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Miscellaneous
WW00300,SUPPLEMENTARY MATERIAL OR SPECIAL PIECES,Material,General,u,1.55,1.55,1.55,1.55,1,NZD,19.98,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Miscellaneous
TP00100,SPECIAL LABORER,Labor,Labor,h,56.78,56.78,56.78,56.78,1,NZD,46.08,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Vaults
ATC00100,"MASONRY CREW, CONSISTING OF 1ST CLASS FOREMAN AND LABORER ESP.",Labor,Labor,h,116.55,116.55,116.55,116.55,1,NZD,189.08,1.6224,1230,1230,CIMENTACIONES,Andalucia Construction Cost Base (BCCA 2023),FOUNDATIONS,In situ
TO01900,1st CLASS PLUMBER,Labor,Labor,h,59.77,59.77,59.77,59.77,1,NZD,60.55,1.0131,887,887,SANEAMIENTO,Andalucia Construction Cost Base (BCCA 2023),SANITATION,Siphonic
TO02100,1st Official,Labor,Labor,h,59.77,59.77,59.77,59.77,1,NZD,50.47,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Miscellaneous
TO01800,1st CLASS ELECTRICIAN,Labor,Labor,h,59.77,59.77,59.77,59.77,1,NZD,67.01,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Meters
ATC00400,CREW CONSISTING OF 1ST CLASS INSTALLER AND ASSISTANT,Labor,Labor,h,117.45,117.45,117.45,117.45,1,NZD,1812.51,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Air conditioning
AGM00500,"M5 CEMENT MORTAR (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,206.11,206.11,206.11,206.11,1,NZD,13.87,0.0673,465,465,CIMENTACIONES,Andalucia Construction Cost Base (BCCA 2023),FOUNDATIONS,Masonry
TO01600,1st CLASS LOCKSMITH-BODYWORKER,Labor,Labor,h,59.77,59.77,59.77,59.77,1,NZD,23.2,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,By hand
TO01400,OFF. 1st HEATER OR MECHANIC,Labor,Labor,h,59.77,59.77,59.77,59.77,1,NZD,139.86,2.3399,365,365,INSTALACIONES,Andalucia Construction Cost Base (BCCA 2023),INSTALLATIONS,Auxiliary equipment and elements
ATC00200,"MASONRY CREW, CONSISTING OF 2nd CLASS FOREMAN AND LABORER ESP.",Labor,Labor,h,115.05,115.05,115.05,115.05,1,NZD,71.89,0.6249,355,355,CIMENTACIONES,Andalucia Construction Cost Base (BCCA 2023),FOUNDATIONS,In situ
TO00100,1st CLASS MASONRY,Labor,Labor,h,59.77,59.77,59.77,59.77,1,NZD,39.29,0.6574,316,316,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Reinforced concrete
CH04120,"CONCRETE HM-20/P/40/X0, SUPPLIED",Material,General,m3,240.68,240.68,240.68,240.68,1,NZD,65.36,0.2715,313,313,CIMENTACIONES,Andalucia Construction Cost Base (BCCA 2023),FOUNDATIONS,In mass
MK00100,DUMP TRUCK,Equipment,General,h,98.34,98.34,98.34,98.34,1,NZD,12.74,0.1296,298,298,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Vaults
RW01900,SEALANT JOINT,Material,General,m,3.51,3.51,3.51,3.51,1,NZD,11.56,3.2937,286,286,ALBAÑILERÍA,Andalucia Construction Cost Base (BCCA 2023),Masonry,Miscellaneous
TA00200,SPECIALIST ASSISTANT,Labor,Labor,h,57.68,57.68,57.68,57.68,1,NZD,71.61,1.2415,236,236,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Air conditioning
AGL00100,"CEMENT GROUT CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,421.57,421.57,421.57,421.57,1,NZD,0.62,0.0015,209,209,REVESTIMIENTOS,Andalucia Construction Cost Base (BCCA 2023),COATINGS,Steps
MC00100,TWO-HAMMER COMPRESSOR,Equipment,General,h,24.4,24.4,24.4,24.4,1,NZD,18.61,0.7624,181,181,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Reinforced concrete
TO00300,1st Fixer Foreman,Labor,Labor,h,59.77,59.77,59.77,59.77,1,NZD,11.18,0.187,176,176,ESTRUCTURAS,Andalucia Construction Cost Base (BCCA 2023),STRUCTURES,STRUCTURES
KA01100,"GALVANIZED STEEL TUBE PRE-FRAME, HINGED OR FIXED",Material,General,m,9.73,9.73,9.73,9.73,1,NZD,33.34,3.4277,159,159,CARPINTERÍA Y ELEMENTOS DE SEGURIDAD Y PROTECCIÓN,Andalucia Construction Cost Base (BCCA 2023),CARPENTRY AND SECURITY AND PROTECTION ELEMENTS,Fixed
ME00300,WHEEL LOADER,Equipment,General,h,91.68,91.68,91.68,91.68,1,NZD,3.37,0.0368,156,156,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Vaults
TO01500,1st CLASS CARPENTRY,Labor,Labor,h,59.77,59.77,59.77,59.77,1,NZD,97.06,1.6238,154,154,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Timber
