resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,MAŁY MATERIAŁ,Material,General,u,1.14,1.14,1.14,1.14,1,PLN,6.78,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,Baza kosztów budownictwa w Andaluzji (BCCA 2023),DEMOLICJE I PRACE WSTĘPNE,Różne
WW00300,MATERIAŁ UZUPEŁNIAJĄCY LUB CZĘŚCI SPECJALNE,Material,General,u,2.07,2.07,2.07,2.07,1,PLN,26.72,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,Baza kosztów budownictwa w Andaluzji (BCCA 2023),DEMOLICJE I PRACE WSTĘPNE,Różne
TP00100,Specjalista,Labor,Labor,h,75.92,75.92,75.92,75.92,1,PLN,61.61,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,Baza kosztów budownictwa w Andaluzji (BCCA 2023),DEMOLICJE I PRACE WSTĘPNE,Kopuły
ATC00100,"GRUPA MURARSKA, SKŁADAJĄCA SIĘ Z OFICJALNEGO 1. I ROBOTNIKA ESP.",Labor,Labor,h,155.84,155.84,155.84,155.84,1,PLN,252.83,1.6224,1230,1230,CIMENTACIONES,Baza kosztów budownictwa w Andaluzji (BCCA 2023),Fundamenty,Na miejscu
TO01900,OF. 1ª HYDRAULIK,Labor,Labor,h,79.92,79.92,79.92,79.92,1,PLN,80.97,1.0131,887,887,SANEAMIENTO,Baza kosztów budownictwa w Andaluzji (BCCA 2023),KANALIZACJA,Sygiczne
TO02100,OFICJALNY 1. klasy,Labor,Labor,h,79.92,79.92,79.92,79.92,1,PLN,67.48,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,Baza kosztów budownictwa w Andaluzji (BCCA 2023),DEMOLICJE I PRACE WSTĘPNE,Różne
TO01800,OF. 1ª ELEKTRYK,Labor,Labor,h,79.92,79.92,79.92,79.92,1,PLN,89.6,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,Baza kosztów budownictwa w Andaluzji (BCCA 2023),DEMOLICJE I PRACE WSTĘPNE,Liczniki
ATC00400,ZAŁOGA ZAWIERAJĄCA OFICJALNEGO INSTALATORA 1. I POMOCNIKA,Labor,Labor,h,157.05,157.05,157.05,157.05,1,PLN,2423.59,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,Baza kosztów budownictwa w Andaluzji (BCCA 2023),DEMOLICJE I PRACE WSTĘPNE,Klimatyzacja
AGM00500,"MORTAR CEMENTOWY M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,275.6,275.6,275.6,275.6,1,PLN,18.55,0.0673,465,465,CIMENTACIONES,Baza kosztów budownictwa w Andaluzji (BCCA 2023),Fundamenty,Fabryki
TO01600,OF. 1ª CERRAJERO-CHAPISTA,Labor,Labor,h,79.92,79.92,79.92,79.92,1,PLN,31.02,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,Baza kosztów budownictwa w Andaluzji (BCCA 2023),DEMOLICJE I PRACE WSTĘPNE,Ręka
