resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,PEQUENO MATERIAL,Material,General,u,0.31,0.31,0.31,0.31,1,EUR,1.84,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Custos da Construção da Andaluzia (BCCA 2023),DEMOLIÇÕES E TRABALHOS PREVIOS,Vários
WW00300,MATERIAL COMPLEMENTAR OU PEÇAS ESPECIAIS,Material,General,u,0.56,0.56,0.56,0.56,1,EUR,7.25,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Custos da Construção da Andaluzia (BCCA 2023),DEMOLIÇÕES E TRABALHOS PREVIOS,Vários
TP00100,Peão Especial,Labor,Labor,h,20.59,20.59,20.59,20.59,1,EUR,16.71,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Custos da Construção da Andaluzia (BCCA 2023),DEMOLIÇÕES E TRABALHOS PREVIOS,Bóvedas
ATC00100,"EQUIPE DE ALVENARIA, FORMADA POR OFICIAL 1ª E PEÃO ESP.",Labor,Labor,h,42.27,42.27,42.27,42.27,1,EUR,68.58,1.6224,1230,1230,CIMENTACIONES,Base de Custos da Construção da Andaluzia (BCCA 2023),Fundações,in situ
TO01900,OF. 1ª ENCANADOR,Labor,Labor,h,21.68,21.68,21.68,21.68,1,EUR,21.96,1.0131,887,887,SANEAMIENTO,Base de Custos da Construção da Andaluzia (BCCA 2023),SANEAMENTO,Sifônicas
TO02100,OFICIAL 1ª,Labor,Labor,h,21.68,21.68,21.68,21.68,1,EUR,18.3,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Custos da Construção da Andaluzia (BCCA 2023),DEMOLIÇÕES E TRABALHOS PREVIOS,Vários
TO01800,ELETRICISTA 1ª,Labor,Labor,h,21.68,21.68,21.68,21.68,1,EUR,24.3,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Custos da Construção da Andaluzia (BCCA 2023),DEMOLIÇÕES E TRABALHOS PREVIOS,Contadores
ATC00400,EQUIPA FORMADA POR OFICIAL DE 1ª INSTALADOR E AJUDANTE,Labor,Labor,h,42.6,42.6,42.6,42.6,1,EUR,657.37,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Custos da Construção da Andaluzia (BCCA 2023),DEMOLIÇÕES E TRABALHOS PREVIOS,Ar condicionado
AGM00500,"ARGAMASSA DE CIMENTO M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,74.75,74.75,74.75,74.75,1,EUR,5.03,0.0673,465,465,CIMENTACIONES,Base de Custos da Construção da Andaluzia (BCCA 2023),Fundações,Fábricas
TO01600,FERRO DE 1ª CERRADURA-CHAPISTA,Labor,Labor,h,21.68,21.68,21.68,21.68,1,EUR,8.41,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,Base de Custos da Construção da Andaluzia (BCCA 2023),DEMOLIÇÕES E TRABALHOS PREVIOS,A braço
TO01400,Aquecedor ou mecânico de 1ª categoria,Labor,Labor,h,21.68,21.68,21.68,21.68,1,EUR,50.72,2.3399,365,365,INSTALACIONES,Base de Custos da Construção da Andaluzia (BCCA 2023),INSTALAÇÕES,Equipamentos e elementos auxiliares
ATC00200,"EQUIPE DE ALVENARIA, FORMADA POR OFICIAL 2ª E PEÃO ESP.",Labor,Labor,h,41.73,41.73,41.73,41.73,1,EUR,26.07,0.6249,355,355,CIMENTACIONES,Base de Custos da Construção da Andaluzia (BCCA 2023),Fundações,in situ
