resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,MATERIAL MIC,Material,General,u,1.14,1.14,1.14,1.14,1,RON,6.81,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,Baza de Costuri pentru Construcții din Andaluzia (BCCA 2023),DEMOLIȚII ȘI LUCRĂRI PRELIMINARE,Variante
WW00300,MATERIAL COMPLEMENTAR SAU PIESĂRI SPECIALE,Material,General,u,2.08,2.08,2.08,2.08,1,RON,26.85,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,Baza de Costuri pentru Construcții din Andaluzia (BCCA 2023),DEMOLIȚII ȘI LUCRĂRI PRELIMINARE,Variante
TP00100,MUNCITOR SPECIAL,Labor,Labor,h,76.31,76.31,76.31,76.31,1,RON,61.93,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,Baza de Costuri pentru Construcții din Andaluzia (BCCA 2023),DEMOLIȚII ȘI LUCRĂRI PRELIMINARE,Bóvedas
ATC00100,"Echipa de zidărie, formată din maistru 1ª și muncitor ESP.",Labor,Labor,h,156.64,156.64,156.64,156.64,1,RON,254.13,1.6224,1230,1230,CIMENTACIONES,Baza de Costuri pentru Construcții din Andaluzia (BCCA 2023),FONDATII,In situ
TO01900,OF. 1ª INSTALATOR,Labor,Labor,h,80.33,80.33,80.33,80.33,1,RON,81.38,1.0131,887,887,SANEAMIENTO,Baza de Costuri pentru Construcții din Andaluzia (BCCA 2023),SISTEM DE CANALIZARE,Sifonice
TO02100,OFICIAL 1ª,Labor,Labor,h,80.33,80.33,80.33,80.33,1,RON,67.83,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,Baza de Costuri pentru Construcții din Andaluzia (BCCA 2023),DEMOLIȚII ȘI LUCRĂRI PRELIMINARE,Variante
TO01800,OF. 1ª ELECTRICISTA,Labor,Labor,h,80.33,80.33,80.33,80.33,1,RON,90.06,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,Baza de Costuri pentru Construcții din Andaluzia (BCCA 2023),DEMOLIȚII ȘI LUCRĂRI PRELIMINARE,Contoare
ATC00400,Echipă formată din maistru instalator de nivel 1 și ajutor,Labor,Labor,h,157.86,157.86,157.86,157.86,1,RON,2436.04,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,Baza de Costuri pentru Construcții din Andaluzia (BCCA 2023),DEMOLIȚII ȘI LUCRĂRI PRELIMINARE,Aer condiționat
AGM00500,"MORTAR DE CIMENT M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,277.02,277.02,277.02,277.02,1,RON,18.64,0.0673,465,465,CIMENTACIONES,Baza de Costuri pentru Construcții din Andaluzia (BCCA 2023),FONDATII,Fabrica
TO01600,OF. 1ª CERRAJERO-CHAPISTA,Labor,Labor,h,80.33,80.33,80.33,80.33,1,RON,31.18,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,Baza de Costuri pentru Construcții din Andaluzia (BCCA 2023),DEMOLIȚII ȘI LUCRĂRI PRELIMINARE,A braț
