resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,МАЛЫЙ МАТЕРИАЛ,Material,General,u,17.11,17.11,17.11,17.11,1,RUB,101.9,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,База затрат на строительство Андалусии (BCCA 2023),ДЕМОЛИЦИЯ И ПРЕДВАРИТЕЛЬНЫЕ РАБОТЫ,Разное
WW00300,ДОПОЛНИТЕЛЬНЫЙ МАТЕРИАЛ ИЛИ СПЕЦИАЛЬНЫЕ ЧАСТИ,Material,General,u,31.12,31.12,31.12,31.12,1,RUB,401.67,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,База затрат на строительство Андалусии (BCCA 2023),ДЕМОЛИЦИЯ И ПРЕДВАРИТЕЛЬНЫЕ РАБОТЫ,Разное
TP00100,Специальный рабочий,Labor,Labor,h,1141.46,1141.46,1141.46,1141.46,1,RUB,926.32,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,База затрат на строительство Андалусии (BCCA 2023),ДЕМОЛИЦИЯ И ПРЕДВАРИТЕЛЬНЫЕ РАБОТЫ,Своды
ATC00100,"БРИГАДА КАМЕНЩИКОВ, СОСТОЯЩАЯ ИЗ МАСТЕРА 1-й КАТЕГОРИИ И ПОДСОБНОГО РАБОТНИКА.",Labor,Labor,h,2343.09,2343.09,2343.09,2343.09,1,RUB,3801.32,1.6224,1230,1230,CIMENTACIONES,База затрат на строительство Андалусии (BCCA 2023),Фундаменты,На месте
TO01900,ОФ. 1ª САНИТАР,Labor,Labor,h,1201.62,1201.62,1201.62,1201.62,1,RUB,1217.31,1.0131,887,887,SANEAMIENTO,База затрат на строительство Андалусии (BCCA 2023),Канализация,Сифоны
TO02100,ОФИЦИАЛ 1-й,Labor,Labor,h,1201.62,1201.62,1201.62,1201.62,1,RUB,1014.6,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,База затрат на строительство Андалусии (BCCA 2023),ДЕМОЛИЦИЯ И ПРЕДВАРИТЕЛЬНЫЕ РАБОТЫ,Разное
TO01800,Электрик 1-й категории,Labor,Labor,h,1201.62,1201.62,1201.62,1201.62,1,RUB,1347.13,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,База затрат на строительство Андалусии (BCCA 2023),ДЕМОЛИЦИЯ И ПРЕДВАРИТЕЛЬНЫЕ РАБОТЫ,Счетчики
ATC00400,"БРИГАДА, СОСТОЯЩАЯ ИЗ МАСТЕРА 1-Й КАТЕГОРИИ, УСТАНОВЩИКА И ПОМОЩНИКА",Labor,Labor,h,2361.24,2361.24,2361.24,2361.24,1,RUB,36438.57,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,База затрат на строительство Андалусии (BCCA 2023),ДЕМОЛИЦИЯ И ПРЕДВАРИТЕЛЬНЫЕ РАБОТЫ,Кондиционирование воздуха
AGM00500,"ЦЕМЕНТНЫЙ РАСТВОР M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,4143.71,4143.71,4143.71,4143.71,1,RUB,278.88,0.0673,465,465,CIMENTACIONES,База затрат на строительство Андалусии (BCCA 2023),Фундаменты,Фабрики
TO01600,ОФ. 1ª СЕРЕЖИ-ЧАПИСТА,Labor,Labor,h,1201.62,1201.62,1201.62,1201.62,1,RUB,466.41,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,База затрат на строительство Андалусии (BCCA 2023),ДЕМОЛИЦИЯ И ПРЕДВАРИТЕЛЬНЫЕ РАБОТЫ,На руке
TO01400,ОФ. 1ª КАЛЕФАКТОР ИЛИ МЕХАНИК,Labor,Labor,h,1201.62,1201.62,1201.62,1201.62,1,RUB,2811.71,2.3399,365,365,INSTALACIONES,База затрат на строительство Андалусии (BCCA 2023),УСТАНОВКИ,Оборудование и вспомогательные элементы
