resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,??????????????????????,Material,General,u,5.83,5.83,5.83,5.83,1,THB,34.73,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????????,?????????
WW00300,????????????????????????????,Material,General,u,10.6,10.6,10.6,10.6,1,THB,136.89,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????????,?????????
TP00100,??????????,Labor,Labor,h,389.03,389.03,389.03,389.03,1,THB,315.7,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????????,โครงสร้างอุโมงค์
ATC00100,??????????????? ?????????????????? 1 ?????????????,Labor,Labor,h,798.56,798.56,798.56,798.56,1,THB,1295.54,1.6224,1230,1230,CIMENTACIONES,??????????????????????????????????????????? (BCCA 2023),??????,?????????
TO01900,????????????? 1,Labor,Labor,h,409.53,409.53,409.53,409.53,1,THB,414.88,1.0131,887,887,SANEAMIENTO,??????????????????????????????????????????? (BCCA 2023),?????????????,ท่อระบายน้ำ
TO02100,???????? 1,Labor,Labor,h,409.53,409.53,409.53,409.53,1,THB,345.79,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????????,?????????
TO01800,????????????? 1,Labor,Labor,h,409.53,409.53,409.53,409.53,1,THB,459.12,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????????,???????
ATC00400,?????????????????????????????????? 1 ??????????,Labor,Labor,h,804.74,804.74,804.74,804.74,1,THB,12418.75,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????????,เครื่องปรับอากาศ
AGM00500,"?????????????? M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,1412.23,1412.23,1412.23,1412.23,1,THB,95.04,0.0673,465,465,CIMENTACIONES,??????????????????????????????????????????? (BCCA 2023),??????,โรงงาน
TO01600,?????????-???????????????? 1,Labor,Labor,h,409.53,409.53,409.53,409.53,1,THB,158.96,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????????,?????????
TO01400,???????????????????????????????? 1,Labor,Labor,h,409.53,409.53,409.53,409.53,1,THB,958.27,2.3399,365,365,INSTALACIONES,??????????????????????????????????????????? (BCCA 2023),????????????,อุปกรณ์และองค์ประกอบเสริม
ATC00200,??????????????? ?????????????????? 2 ?????????????,Labor,Labor,h,788.3,788.3,788.3,788.3,1,THB,492.59,0.6249,355,355,CIMENTACIONES,??????????????????????????????????????????? (BCCA 2023),??????,?????????
TO00100,?????????????? 1,Labor,Labor,h,409.53,409.53,409.53,409.53,1,THB,269.21,0.6574,316,316,DEMOLICIONES Y TRABAJOS PREVIOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????????,คอนกรีตเสริมเหล็ก
CH04120,??????? HM-20/P/40/X0 ??????????,Material,General,m3,1649.08,1649.08,1649.08,1649.08,1,THB,447.8,0.2715,313,313,CIMENTACIONES,??????????????????????????????????????????? (BCCA 2023),??????,ในปริมาณ
MK00100,??????????????,Equipment,General,h,673.77,673.77,673.77,673.77,1,THB,87.31,0.1296,298,298,DEMOLICIONES Y TRABAJOS PREVIOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????????,โครงสร้างอุโมงค์
RW01900,แผ่นปิดผนึก,Material,General,m,24.04,24.04,24.04,24.04,1,THB,79.17,3.2937,286,286,ALBAÑILERÍA,??????????????????????????????????????????? (BCCA 2023),??????????????????,?????????
TA00200,???????????????????,Labor,Labor,h,395.21,395.21,395.21,395.21,1,THB,490.66,1.2415,236,236,DEMOLICIONES Y TRABAJOS PREVIOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????????,เครื่องปรับอากาศ
AGL00100,"ปูนฉาบซีเมนต์ CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,2888.45,2888.45,2888.45,2888.45,1,THB,4.26,0.0015,209,209,REVESTIMIENTOS,??????????????????????????????????????????? (BCCA 2023),????????,?????????
MC00100,??????????????????????????????,Equipment,General,h,167.21,167.21,167.21,167.21,1,THB,127.48,0.7624,181,181,DEMOLICIONES Y TRABAJOS PREVIOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????????,คอนกรีตเสริมเหล็ก
TO00300,??????????????? 1,Labor,Labor,h,409.53,409.53,409.53,409.53,1,THB,76.58,0.187,176,176,ESTRUCTURAS,??????????????????????????????????????????? (BCCA 2023),?????????,?????????
KA01100,ท่อเหล็กชุบสังกะสีแบบเปิดหรือแบบคงที่,Material,General,m,66.63,66.63,66.63,66.63,1,THB,228.4,3.4277,159,159,CARPINTERÍA Y ELEMENTOS DE SEGURIDAD Y PROTECCIÓN,??????????????????????????????????????????? (BCCA 2023),?????? ?????????????????????????????????????????,????????????
ME00300,???????????,Equipment,General,h,628.17,628.17,628.17,628.17,1,THB,23.11,0.0368,156,156,DEMOLICIONES Y TRABAJOS PREVIOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????????,โครงสร้างอุโมงค์
TO01500,งานไม้ชิ้นที่ 1,Labor,Labor,h,409.53,409.53,409.53,409.53,1,THB,665.0,1.6238,154,154,DEMOLICIONES Y TRABAJOS PREVIOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????????,ไม้อัด
TO00900,ผู้ติดตั้งชั้น 1,Labor,Labor,h,409.53,409.53,409.53,409.53,1,THB,519.27,1.268,153,153,ALBAÑILERÍA,??????????????????????????????????????????? (BCCA 2023),??????????????????,อาร์คและโบสถ์อิฐ
CA00320,เหล็กกล้า B 500 S,Material,General,kg,16.79,16.79,16.79,16.79,1,THB,68.1,4.0556,150,150,CIMENTACIONES,??????????????????????????????????????????? (BCCA 2023),??????,เหล็กเส้นเหล็กกล้าสำหรับเสริมแรง
TO01100,ช่างปูกระเบื้องชั้น 1,Labor,Labor,h,409.53,409.53,409.53,409.53,1,THB,119.08,0.2908,147,147,CUBIERTAS,??????????????????????????????????????????? (BCCA 2023),??????,??????
TO00600,เหล็กเสริมชั้น 1,Labor,Labor,h,409.53,409.53,409.53,409.53,1,THB,40.13,0.098,138,138,CIMENTACIONES,??????????????????????????????????????????? (BCCA 2023),??????,เหล็กเส้นเหล็กกล้าสำหรับเสริมแรง
MV00100,เครื่องสั่นสะเทือน,Equipment,General,h,32.17,32.17,32.17,32.17,1,THB,4.24,0.1319,128,128,CIMENTACIONES,??????????????????????????????????????????? (BCCA 2023),??????,การค้ำยัน
TO02000,ผู้ติดตั้งชั้น 1,Labor,Labor,h,409.53,409.53,409.53,409.53,1,THB,218.02,0.5324,125,125,DEMOLICIONES Y TRABAJOS PREVIOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????????,เครื่องปรับอากาศ
AGM01600,"ปูนทราย M10 (1:0,5:4) ซีเมนต์ชนิด II/A-L 32,5 N และ คาล",Material,General,m3,3089.41,3089.41,3089.41,3089.41,1,THB,77.52,0.0251,121,121,ESTRUCTURAS,??????????????????????????????????????????? (BCCA 2023),?????????,?????????
TA00100,ผู้ช่วย,Labor,Labor,h,395.21,395.21,395.21,395.21,1,THB,547.57,1.3855,118,118,DEMOLICIONES Y TRABAJOS PREVIOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????????,?????????
ME00400,รถขุดตักย้อน,Equipment,General,h,920.69,920.69,920.69,920.69,1,THB,294.68,0.3201,115,115,DEMOLICIONES Y TRABAJOS PREVIOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????????,คอนกรีตเสริมเหล็ก
CM00300,ไม้อัดสนในแผ่น,Material,General,m3,7832.14,7832.14,7832.14,7832.14,1,THB,19.72,0.0025,114,114,DEMOLICIONES Y TRABAJOS PREVIOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????????,แนวนอน
AGM00800,"ปูนซีเมนต์ M5 (1:6) CEM II/A-L 32,5 N + พลาสติก",Material,Concrete & Cement,m3,1474.09,1474.09,1474.09,1474.09,1,THB,65.09,0.0442,109,109,DEMOLICIONES Y TRABAJOS PREVIOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????????,เครื่องปรับอากาศ
TO01700,ช่างปูพื้นกระจก 1ª,Labor,Labor,h,409.53,409.53,409.53,409.53,1,THB,327.34,0.7993,102,102,ALBAÑILERÍA,??????????????????????????????????????????? (BCCA 2023),??????????????????,ผนัง Trombe
AA00200,ทรายละเอียด,Material,General,m3,315.5,315.5,315.5,315.5,1,THB,52.36,0.166,102,102,SANEAMIENTO,??????????????????????????????????????????? (BCCA 2023),?????????????,?????????
US25006,สกรูบิคอมแรต. C/T M-16x70,Material,General,u,10.25,10.25,10.25,10.25,1,THB,193.18,18.8444,90,90,URBANIZACIONES,??????????????????????????????????????????? (BCCA 2023),???????????????????????????,???????????????
TO02200,ระดับ 2 อย่างเป็นทางการ,Labor,Labor,h,399.28,399.28,399.28,399.28,1,THB,55.28,0.1385,85,85,ACONDICIONAMIENTO DE TERRENOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????,เทน้ำทิ้ง
TO00700,ออฟ. 1ª ตัวกันซึม,Labor,Labor,h,409.53,409.53,409.53,409.53,1,THB,83.87,0.2048,80,80,ALBAÑILERÍA,??????????????????????????????????????????? (BCCA 2023),??????????????????,??????????????????
CH02920,"คอนกรีต HA-25/P/20/XC2, จัดหาให้แล้ว",Material,General,m3,1716.24,1716.24,1716.24,1716.24,1,THB,425.87,0.2481,77,77,CIMENTACIONES,??????????????????????????????????????????? (BCCA 2023),??????,????????????
CA00620,เหล็กเสริมคอนกรีต B 500 T ในตาข่าย,Material,General,kg,21.21,21.21,21.21,21.21,1,THB,24.82,1.1704,75,75,CIMENTACIONES,??????????????????????????????????????????? (BCCA 2023),??????,ตาข่ายเหล็กเสริมไฟฟ้า
KA01200,ท่อเหล็กกล้าชุบสังกะสีแบบเลื่อน,Material,General,m,76.53,76.53,76.53,76.53,1,THB,253.39,3.3108,74,74,CARPINTERÍA Y ELEMENTOS DE SEGURIDAD Y PROTECCIÓN,??????????????????????????????????????????? (BCCA 2023),?????? ?????????????????????????????????????????,????????????
TO01000,ช่างทาสี 1ª,Labor,Labor,h,409.53,409.53,409.53,409.53,1,THB,109.51,0.2674,74,74,DEMOLICIONES Y TRABAJOS PREVIOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????????,เครื่องปรับอากาศ
GW00100,น้ำดื่มใช้ได้,Material,General,m3,20.5,20.5,20.5,20.5,1,THB,4.46,0.2177,68,68,ACONDICIONAMIENTO DE TERRENOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????,คำอธิบาย
US25050,จานยางกลม Ø 80 มม,Material,General,u,22.27,22.27,22.27,22.27,1,THB,48.47,2.1765,68,68,URBANIZACIONES,??????????????????????????????????????????? (BCCA 2023),???????????????????????????,???????????????
WW00500,งานเสริม,Material,General,u,5.3,5.3,5.3,5.3,1,THB,564.16,106.3948,67,67,DEMOLICIONES Y TRABAJOS PREVIOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????????,????
GP00100,กาวอเนกประสงค์,Material,General,kg,4.07,4.07,4.07,4.07,1,THB,3.95,0.9725,65,65,REVESTIMIENTOS,??????????????????????????????????????????? (BCCA 2023),????????,พิเศษ
EW00100,ภาชนะบรรจุ 1 m3,Material,General,u,56.91,56.91,56.91,56.91,1,THB,48.24,0.8476,63,63,GESTIÓN DE RESIDUOS,??????????????????????????????????????????? (BCCA 2023),????????????????,?????????
AA00300,ทรายหยาบ,Material,General,m3,245.68,245.68,245.68,245.68,1,THB,215.47,0.877,63,63,SANEAMIENTO,??????????????????????????????????????????? (BCCA 2023),?????????????,P.V.C.
FL01300,"อิฐเซรามิกส์. ติดตั้งด้วยเทปเล็ก เจาะ, ปูพื้น 24x11,5x5 ซม.",Material,General,mu,1395.09,1395.09,1395.09,1395.09,1,THB,737.85,0.5289,63,63,DEMOLICIONES Y TRABAJOS PREVIOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????????,เครื่องปรับอากาศ
GC00100,"ซีเมนต์ขาว BL II/A-L 42,5 R ในถุง",Material,Concrete & Cement,t,5459.8,5459.8,5459.8,5459.8,1,THB,5.46,0.001,58,58,REVESTIMIENTOS,??????????????????????????????????????????? (BCCA 2023),????????,พิเศษ
IE01900,"สายไฟทองแดง 1x1,5 มม.2 H07V-K",Material,Electrical,m,10.07,10.07,10.07,10.07,1,THB,188.19,18.6793,55,55,INSTALACIONES,??????????????????????????????????????????? (BCCA 2023),????????????,?????????
TO00400,ช่างเทคนิคงานก่อสร้างชั้น 1,Labor,Labor,h,409.53,409.53,409.53,409.53,1,THB,93.59,0.2285,55,55,DEMOLICIONES Y TRABAJOS PREVIOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????????,แนวนอน
CE00200,เสาเหล็กความสูง 3 m,Material,General,u,386.55,386.55,386.55,386.55,1,THB,3.5,0.0091,54,54,DEMOLICIONES Y TRABAJOS PREVIOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????????,แนวนอน
03HMM00002,คอนกรีตหล่อในที่ HM-20/P/40/X0 สำหรับฐานราก,Material,General,m3,1960.16,1960.16,1960.16,1960.16,1,THB,1457.32,0.7435,53,53,DEMOLICIONES Y TRABAJOS PREVIOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????????,แนวตั้ง
TO00800,คนสวนคนที่ 1,Labor,Labor,h,409.53,409.53,409.53,409.53,1,THB,231.36,0.5649,49,49,DEMOLICIONES Y TRABAJOS PREVIOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????????,?????????
05HAC00010,เหล็กเส้นเหล็กเส้นลอน B400S,Material,General,kg,23.86,23.86,23.86,23.86,1,THB,1421.25,59.5633,49,49,ESTRUCTURAS,??????????????????????????????????????????? (BCCA 2023),?????????,คาน
VW01500,"โปรไฟล์ ""U"" ของโพลีไวนิลคลอไรด์",Material,General,m,7.07,7.07,7.07,7.07,1,THB,29.12,4.1184,49,49,CUBIERTAS,??????????????????????????????????????????? (BCCA 2023),??????,หลังคาโปร่งแสง
17TTT00100,การขนย้ายดินอ่อนที่ไม่เป็นพิษเป็นภัยไปยังที่ทิ้งขยะที่ได้รับอนุญาต 5 กม.,Material,General,m3,98.8,98.8,98.8,98.8,1,THB,104.63,1.0589,48,48,CIMENTACIONES,??????????????????????????????????????????? (BCCA 2023),??????,??????
MP00600,"ผลกระทบต่อการใช้งาน, การติดตั้งเครื่องจักร ฯลฯ",Equipment,General,u,165.97,165.97,165.97,165.97,1,THB,165.97,1.0,48,48,CIMENTACIONES,??????????????????????????????????????????? (BCCA 2023),??????,สำเร็จรูป
PW00100,ตัวทำละลาย,Material,General,l,34.64,34.64,34.64,34.64,1,THB,4.42,0.1275,48,48,INSTALACIONES,??????????????????????????????????????????? (BCCA 2023),????????????,พัดลมระบายอากาศ
US10750,"ม้วน BB F.D. 80x500, PN-16",Material,General,u,1040.0,1040.0,1040.0,1040.0,1,THB,1040.0,1.0,47,47,URBANIZACIONES,??????????????????????????????????????????? (BCCA 2023),???????????????????????????,???????????????
CM00200,ไม้อัดสน,Material,General,m3,7290.05,7290.05,7290.05,7290.05,1,THB,51.19,0.007,47,47,DEMOLICIONES Y TRABAJOS PREVIOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????????,?????????
CH04020,"คอนกรีต HM-20/P/20/X0, จัดหาให้แล้ว",Material,General,m3,1649.08,1649.08,1649.08,1649.08,1,THB,290.38,0.1761,47,47,CIMENTACIONES,??????????????????????????????????????????? (BCCA 2023),??????,ฐานย่อย
01TLL90100,ทำความสะอาดและรื้อถอนพื้นที่ดินด้วยเครื่องจักรกล,Material,General,m2,4.42,4.42,4.42,4.42,1,THB,104.58,23.6667,45,45,SEGURIDAD Y SALUD,??????????????????????????????????????????? (BCCA 2023),?????????????????????????,????????
02PBB00002,"เจาะบ่อดิน C. กลาง, ม. คู่มือ, ลึกสูงสุด 1,50 m",Material,General,m3,1050.42,1050.42,1050.42,1050.42,1,THB,953.88,0.9081,44,44,ACONDICIONAMIENTO DE TERRENOS,??????????????????????????????????????????? (BCCA 2023),?????????????????????,?????????
PE00200,อีซิมัลเท สินเทติก,Material,General,kg,185.59,185.59,185.59,185.59,1,THB,52.32,0.2819,44,44,INSTALACIONES,??????????????????????????????????????????? (BCCA 2023),????????????,?????????????????????
IM02131,อุปกรณ์เพิ่มความสูงของเส้นทาง (เกิน 3 m ต่อชั้น),Material,General,m,1633.17,1633.17,1633.17,1633.17,1,THB,1709.13,1.0465,43,43,INSTALACIONES,??????????????????????????????????????????? (BCCA 2023),????????????,?????
US25009,สกรูบิคอมแรต. C/T M-20x80,Material,General,u,23.33,23.33,23.33,23.33,1,THB,444.92,19.0698,43,43,URBANIZACIONES,??????????????????????????????????????????? (BCCA 2023),???????????????????????????,การเดินสายไฟและท่อระบายน้ำ
