resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,مواد صغيرة,Material,General,u,0.53,0.53,0.53,0.53,1,TND,3.15,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,متفرقات
WW00300,مادة تكميلية أو قطع خاصة,Material,General,u,0.96,0.96,0.96,0.96,1,TND,12.43,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,متفرقات
TP00100,عامل خاص,Labor,Labor,h,35.31,35.31,35.31,35.31,1,TND,28.65,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,قُبب
ATC00100,طاقم بنّائين، مكوّن من عامل ماهر درجة 1 وعامل مساعد متخصص,Labor,Labor,h,72.48,72.48,72.48,72.48,1,TND,117.59,1.6224,1230,1230,CIMENTACIONES,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الأساسات,في الموقع
TO01900,فني صحي 1ª,Labor,Labor,h,37.17,37.17,37.17,37.17,1,TND,37.66,1.0131,887,887,SANEAMIENTO,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الصرف الصحي,الصرف الصحي التفريغي
TO02100,فني 1,Labor,Labor,h,37.17,37.17,37.17,37.17,1,TND,31.39,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,متفرقات
TO01800,عامل كهربائي ماهر درجة 1,Labor,Labor,h,37.17,37.17,37.17,37.17,1,TND,41.67,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,عدادات
ATC00400,طاقم مكوّن من مركّب ماهر درجة 1 ومساعد,Labor,Labor,h,73.04,73.04,73.04,73.04,1,TND,1127.18,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,تكييف الهواء
AGM00500,"مونة أسمنت M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,128.18,128.18,128.18,128.18,1,TND,8.63,0.0673,465,465,CIMENTACIONES,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الأساسات,البنايات
TO01600,عامل ماهر درجة 1 حدّاد أقفال وصفائح,Labor,Labor,h,37.17,37.17,37.17,37.17,1,TND,14.43,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,بالذراع
TO01400,عامل ماهر درجة 1 تدفئة أو ميكانيكا,Labor,Labor,h,37.17,37.17,37.17,37.17,1,TND,86.98,2.3399,365,365,INSTALACIONES,قاعدة تكاليف البناء في الأندلس (BCCA 2023),التركيبات,المعدات والعناصر المساعدة
ATC00200,فرقة بناء مكونة من حرفي بناء من الدرجة الثانية وعامل 2 خاص.,Labor,Labor,h,71.55,71.55,71.55,71.55,1,TND,44.71,0.6249,355,355,CIMENTACIONES,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الأساسات,في الموقع
TO00100,مكتب 1ª للبناء,Labor,Labor,h,37.17,37.17,37.17,37.17,1,TND,24.43,0.6574,316,316,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,خرسانة مسلحة
CH04120,خرسانة HM-20/P/40/X0، مُورَّدة,Material,General,m3,149.68,149.68,149.68,149.68,1,TND,40.64,0.2715,313,313,CIMENTACIONES,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الأساسات,بالكتلة
MK00100,شاحنة قلابة,Equipment,General,h,61.15,61.15,61.15,61.15,1,TND,7.92,0.1296,298,298,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,قُبب
RW01900,فاصل الإغلاق,Material,General,m,2.18,2.18,2.18,2.18,1,TND,7.19,3.2937,286,286,ALBAÑILERÍA,قاعدة تكاليف البناء في الأندلس (BCCA 2023),العمالة الطوبية,متفرقات
TA00200,مساعد متخصص,Labor,Labor,h,35.87,35.87,35.87,35.87,1,TND,44.53,1.2415,236,236,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,تكييف الهواء
AGL00100,"ملاط أسمنت CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,262.17,262.17,262.17,262.17,1,TND,0.39,0.0015,209,209,REVESTIMIENTOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),التشطيبات,درج
MC00100,ضاغط بمطرقتين,Equipment,General,h,15.18,15.18,15.18,15.18,1,TND,11.57,0.7624,181,181,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,خرسانة مسلحة
TO00300,عامل تركيب ماهر درجة 1,Labor,Labor,h,37.17,37.17,37.17,37.17,1,TND,6.95,0.187,176,176,ESTRUCTURAS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهياكل,الهياكل
KA01100,إطار مسبق من أنبوب فولاذي مجلفن قابل للطي أو ثابت,Material,General,m,6.05,6.05,6.05,6.05,1,TND,20.73,3.4277,159,159,CARPINTERÍA Y ELEMENTOS DE SEGURIDAD Y PROTECCIÓN,قاعدة تكاليف البناء في الأندلس (BCCA 2023),النجارة وعناصر الأمان والحماية,ثابتة
ME00300,لودر,Equipment,General,h,57.02,57.02,57.02,57.02,1,TND,2.1,0.0368,156,156,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,قُبب
TO01500,مكتب 1 نجارة,Labor,Labor,h,37.17,37.17,37.17,37.17,1,TND,60.36,1.6238,154,154,DEMOLICIONES Y TRABAJOS PREVIOS,قاعدة تكاليف البناء في الأندلس (BCCA 2023),الهدم والأعمال التحضيرية,الأخشاب
