resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,KÜÇÜK MALZEME,Material,General,u,9.36,9.36,9.36,9.36,1,TRY,55.76,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),YIKIM VE ÖN ÇALIŞMALAR,Çeşitli
WW00300,EK BİLEŞİK MALZEME VEYA ÖZEL PARÇALAR,Material,General,u,17.03,17.03,17.03,17.03,1,TRY,219.79,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),YIKIM VE ÖN ÇALIŞMALAR,Çeşitli
TP00100,ÖZEL İŞÇİ,Labor,Labor,h,624.6,624.6,624.6,624.6,1,TRY,506.88,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),YIKIM VE ÖN ÇALIŞMALAR,Kemerler
ATC00100,"İŞÇİ GRUBU, BİRİNCİ SINIF USTA VE İŞÇİDEN OLUŞUR.",Labor,Labor,h,1282.12,1282.12,1282.12,1282.12,1,TRY,2080.05,1.6224,1230,1230,CIMENTACIONES,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),Temeller,yerinde
TO01900,1. FONTANERİ,Labor,Labor,h,657.52,657.52,657.52,657.52,1,TRY,666.11,1.0131,887,887,SANEAMIENTO,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),SİSTEMİ,Sifónicas
TO02100,Resmi 1. Sınıf,Labor,Labor,h,657.52,657.52,657.52,657.52,1,TRY,555.18,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),YIKIM VE ÖN ÇALIŞMALAR,Çeşitli
TO01800,1. Elektrikçi,Labor,Labor,h,657.52,657.52,657.52,657.52,1,TRY,737.14,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),YIKIM VE ÖN ÇALIŞMALAR,Sayaçlar
ATC00400,İŞÇİ GRUBU: BİRİNCİ SEVİYE USTASI VE YARDIMCISINDAN OLUŞUR,Labor,Labor,h,1292.05,1292.05,1292.05,1292.05,1,TRY,19938.93,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),YIKIM VE ÖN ÇALIŞMALAR,Klima
AGM00500,"ÇIMENTO HARCI M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,2267.41,2267.41,2267.41,2267.41,1,TRY,152.6,0.0673,465,465,CIMENTACIONES,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),Temeller,Fabrikalar
TO01600,1. KAPALI DEMİRDOĞRAYICI-ÇELİKÇİ,Labor,Labor,h,657.52,657.52,657.52,657.52,1,TRY,255.21,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),YIKIM VE ÖN ÇALIŞMALAR,Kolon
TO01400,1.ª KAZANCI ISITMA VEYA MEKANİK,Labor,Labor,h,657.52,657.52,657.52,657.52,1,TRY,1538.55,2.3399,365,365,INSTALACIONES,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),TESİSATLAR,Yardımcı ekipmanlar ve öğeler
ATC00200,"İŞÇİ GRUBU, 2. KAT USTASI VE ESPAÑOL ÇIRAK İLE OLUŞUR.",Labor,Labor,h,1265.66,1265.66,1265.66,1265.66,1,TRY,790.89,0.6249,355,355,CIMENTACIONES,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),Temeller,yerinde
TO00100,1. Kat yapı işleri,Labor,Labor,h,657.52,657.52,657.52,657.52,1,TRY,432.23,0.6574,316,316,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),YIKIM VE ÖN ÇALIŞMALAR,Betonarme
CH04120,"HİDROLİK BETON HM-20/P/40/X0, TEDARİK EDİLDİ",Material,General,m3,2647.67,2647.67,2647.67,2647.67,1,TRY,718.97,0.2715,313,313,CIMENTACIONES,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),Temeller,kütle halinde
MK00100,TARIMSAL KAMYON,Equipment,General,h,1081.77,1081.77,1081.77,1081.77,1,TRY,140.18,0.1296,298,298,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),YIKIM VE ÖN ÇALIŞMALAR,Kemerler
RW01900,MONTAG YAPIŞTIRMA,Material,General,m,38.59,38.59,38.59,38.59,1,TRY,127.12,3.2937,286,286,ALBAÑILERÍA,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),MİMARİ İŞLER,Çeşitli
TA00200,UZMAN ASİSTANI,Labor,Labor,h,634.53,634.53,634.53,634.53,1,TRY,787.78,1.2415,236,236,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),YIKIM VE ÖN ÇALIŞMALAR,Klima
AGL00100,"Çimento Sementi CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,4637.55,4637.55,4637.55,4637.55,1,TRY,6.83,0.0015,209,209,REVESTIMIENTOS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),Kaplamalar,Basamaklar
MC00100,İKİ AĞIR DARBELİ KOMPRESÖR,Equipment,General,h,268.46,268.46,268.46,268.46,1,TRY,204.68,0.7624,181,181,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),YIKIM VE ÖN ÇALIŞMALAR,Betonarme
TO00300,1. Katkı sağlayıcı,Labor,Labor,h,657.52,657.52,657.52,657.52,1,TRY,122.96,0.187,176,176,ESTRUCTURAS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),İNŞAAT YAPILARI,İNŞAAT YAPILARI
KA01100,GALVANİZLİ ÇELİK BORU KAPAKLI VEYA SABİT,Material,General,m,106.99,106.99,106.99,106.99,1,TRY,366.71,3.4277,159,159,CARPINTERÍA Y ELEMENTOS DE SEGURIDAD Y PROTECCIÓN,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),MÜHENDİSLİK VE GÜVENLİK VE KORUMA ELEMANLARI,Sabitler
ME00300,KARMA KALDIRMA PALA,Equipment,General,h,1008.56,1008.56,1008.56,1008.56,1,TRY,37.1,0.0368,156,156,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),YIKIM VE ÖN ÇALIŞMALAR,Kemerler
TO01500,1. Kat. Ahşap İşleri,Labor,Labor,h,657.52,657.52,657.52,657.52,1,TRY,1067.68,1.6238,154,154,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),YIKIM VE ÖN ÇALIŞMALAR,Ahşaplar
TO00900,1. montaj ustası,Labor,Labor,h,657.52,657.52,657.52,657.52,1,TRY,833.71,1.268,153,153,ALBAÑILERÍA,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),MİMARİ İŞLER,KIREÇ TUĞLA KÖŞE VE KÖŞE KAPLAMALARI
CA00320,ÇELİK B 500 S,Material,General,kg,26.96,26.96,26.96,26.96,1,TRY,109.34,4.0556,150,150,CIMENTACIONES,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),Temeller,Düzenli donatılar
TO01100,1. Kat Döşeyici,Labor,Labor,h,657.52,657.52,657.52,657.52,1,TRY,191.19,0.2908,147,147,CUBIERTAS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),Çatı Kaplamaları,Buluşmalar
TO00600,1. Katlı Demirci,Labor,Labor,h,657.52,657.52,657.52,657.52,1,TRY,64.43,0.098,138,138,CIMENTACIONES,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),Temeller,Düzenli donatılar
MV00100,VIBRATÖR,Equipment,General,h,51.65,51.65,51.65,51.65,1,TRY,6.81,0.1319,128,128,CIMENTACIONES,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),Temeller,Çerçeveleme
TO02000,1. kurulumcu,Labor,Labor,h,657.52,657.52,657.52,657.52,1,TRY,350.04,0.5324,125,125,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),YIKIM VE ÖN ÇALIŞMALAR,Klima
AGM01600,"MİKSİR M10 (1:0,5:4) CEM II/A-L 32,5 N Y CAL",Material,General,m3,4960.2,4960.2,4960.2,4960.2,1,TRY,124.46,0.0251,121,121,ESTRUCTURAS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),İNŞAAT YAPILARI,İNŞAAT YAPILARI
TA00100,Yardımcı,Labor,Labor,h,634.53,634.53,634.53,634.53,1,TRY,879.16,1.3855,118,118,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),YIKIM VE ÖN ÇALIŞMALAR,Çeşitli
ME00400,Yıkıcı kepçe,Equipment,General,h,1478.21,1478.21,1478.21,1478.21,1,TRY,473.13,0.3201,115,115,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),YIKIM VE ÖN ÇALIŞMALAR,Betonarme
CM00300,ÇAM KÖKNAR KÂĞIDI,Material,General,m3,12574.89,12574.89,12574.89,12574.89,1,TRY,31.66,0.0025,114,114,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),YIKIM VE ÖN ÇALIŞMALAR,Yataylar
AGM00800,"M5 Çimento Harcı (1:6) CEM II/A-L 32,5 N + PLAST.",Material,Concrete & Cement,m3,2366.73,2366.73,2366.73,2366.73,1,TRY,104.51,0.0442,109,109,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),YIKIM VE ÖN ÇALIŞMALAR,Klima
TO01700,1. Kristal Ustası,Labor,Labor,h,657.52,657.52,657.52,657.52,1,TRY,525.56,0.7993,102,102,ALBAÑILERÍA,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),MİMARİ İŞLER,Trombe duvarlar
AA00200,İNCE ARENA,Material,General,m3,506.55,506.55,506.55,506.55,1,TRY,84.07,0.166,102,102,SANEAMIENTO,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),SİSTEMİ,Çeşitli
US25006,BİKROMAT VİDALI VİDALI M-16x70,Material,General,u,16.46,16.46,16.46,16.46,1,TRY,310.17,18.8444,90,90,URBANIZACIONES,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),Kentsel gelişmeler,Dökmek için
TO02200,RESMİ 2.ª,Labor,Labor,h,641.06,641.06,641.06,641.06,1,TRY,88.76,0.1385,85,85,ACONDICIONAMIENTO DE TERRENOS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),Arazi düzenlemesi,Boşaltımlar
TO00700,1. IMPERMEABILIZASYON KATI,Labor,Labor,h,657.52,657.52,657.52,657.52,1,TRY,134.65,0.2048,80,80,ALBAÑILERÍA,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),MİMARİ İŞLER,MİMARİ İŞLER
CH02920,"HA-25/P/20/XC2 BETON, TEDARİK EDİLDİ",Material,General,m3,2755.51,2755.51,2755.51,2755.51,1,TRY,683.76,0.2481,77,77,CIMENTACIONES,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),Temeller,Çerçeve duvarlar
CA00620,DİKEY ÇELİK İÇ KATLANMIŞ ÇELİK ME B 500 T EN TELİ,Material,General,kg,34.05,34.05,34.05,34.05,1,TRY,39.86,1.1704,75,75,CIMENTACIONES,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),Temeller,Elektrikli kaynaklı demir fileler
KA01200,GALVANİZLİ ÇELİK BORU KAYAR,Material,General,m,122.88,122.88,122.88,122.88,1,TRY,406.82,3.3108,74,74,CARPINTERÍA Y ELEMENTOS DE SEGURIDAD Y PROTECCIÓN,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),MÜHENDİSLİK VE GÜVENLİK VE KORUMA ELEMANLARI,Kaydırıcılar
TO01000,1. Kat Boyacısı,Labor,Labor,h,657.52,657.52,657.52,657.52,1,TRY,175.82,0.2674,74,74,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),YIKIM VE ÖN ÇALIŞMALAR,Klima
GW00100,İÇME SUYU,Material,General,m3,32.92,32.92,32.92,32.92,1,TRY,7.17,0.2177,68,68,ACONDICIONAMIENTO DE TERRENOS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),Arazi düzenlemesi,Açıklamalar
US25050,JUNTA DE GOMA DİAM. 80 mm,Material,General,u,35.76,35.76,35.76,35.76,1,TRY,77.82,2.1765,68,68,URBANIZACIONES,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),Kentsel gelişmeler,Dökmek için
WW00500,EK BİLEŞİK ÇALIŞMALAR,Material,General,u,8.51,8.51,8.51,8.51,1,TRY,905.78,106.3948,67,67,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),YIKIM VE ÖN ÇALIŞMALAR,Devreler
GP00100,YAPI DÜĞÜMÜ,Material,General,kg,6.53,6.53,6.53,6.53,1,TRY,6.35,0.9725,65,65,REVESTIMIENTOS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),Kaplamalar,Özel
EW00100,1 m3 KONTEYNER,Material,General,u,91.38,91.38,91.38,91.38,1,TRY,77.45,0.8476,63,63,GESTIÓN DE RESIDUOS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),Atık Yönetimi,Çeşitli
AA00300,Kalın Dolgu Kum,Material,General,m3,394.46,394.46,394.46,394.46,1,TRY,345.94,0.877,63,63,SANEAMIENTO,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),SİSTEMİ,P.V.C.
FL01300,"SERAMİK TUĞLA. DELİKLİ KÜÇÜK KAPLAMA 24x11,5x5 cm",Material,General,mu,2239.88,2239.88,2239.88,2239.88,1,TRY,1184.65,0.5289,63,63,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucía İnşaat Maliyetleri Temel Veri Seti (BCCA 2023),YIKIM VE ÖN ÇALIŞMALAR,Klima
