resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,SMALL MATERIAL,Material,General,u,734.86,734.86,734.86,734.86,1,UGX,4375.44,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Miscellaneous
WW00300,SUPPLEMENTARY MATERIAL OR SPECIAL PIECES,Material,General,u,1336.11,1336.11,1336.11,1336.11,1,UGX,17247.14,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Miscellaneous
TP00100,SPECIAL LABORER,Labor,Labor,h,49013.12,49013.12,49013.12,49013.12,1,UGX,39775.24,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Vaults
ATC00100,"MASONRY CREW, CONSISTING OF 1ST CLASS FOREMAN AND LABORER ESP.",Labor,Labor,h,100609.4,100609.4,100609.4,100609.4,1,UGX,163224.02,1.6224,1230,1230,CIMENTACIONES,Andalucia Construction Cost Base (BCCA 2023),FOUNDATIONS,In situ
TO01900,1st CLASS PLUMBER,Labor,Labor,h,51596.28,51596.28,51596.28,51596.28,1,UGX,52270.0,1.0131,887,887,SANEAMIENTO,Andalucia Construction Cost Base (BCCA 2023),SANITATION,Siphonic
TO02100,1st Official,Labor,Labor,h,51596.28,51596.28,51596.28,51596.28,1,UGX,43565.57,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Miscellaneous
TO01800,1st CLASS ELECTRICIAN,Labor,Labor,h,51596.28,51596.28,51596.28,51596.28,1,UGX,57843.98,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Meters
ATC00400,CREW CONSISTING OF 1ST CLASS INSTALLER AND ASSISTANT,Labor,Labor,h,101388.8,101388.8,101388.8,101388.8,1,UGX,1564628.71,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Air conditioning
AGM00500,"M5 CEMENT MORTAR (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,177925.87,177925.87,177925.87,177925.87,1,UGX,11974.6,0.0673,465,465,CIMENTACIONES,Andalucia Construction Cost Base (BCCA 2023),FOUNDATIONS,Masonry
TO01600,1st CLASS LOCKSMITH-BODYWORKER,Labor,Labor,h,51596.28,51596.28,51596.28,51596.28,1,UGX,20026.91,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,By hand
TO01400,OFF. 1st HEATER OR MECHANIC,Labor,Labor,h,51596.28,51596.28,51596.28,51596.28,1,UGX,120731.33,2.3399,365,365,INSTALACIONES,Andalucia Construction Cost Base (BCCA 2023),INSTALLATIONS,Auxiliary equipment and elements
ATC00200,"MASONRY CREW, CONSISTING OF 2nd CLASS FOREMAN AND LABORER ESP.",Labor,Labor,h,99317.82,99317.82,99317.82,99317.82,1,UGX,62061.61,0.6249,355,355,CIMENTACIONES,Andalucia Construction Cost Base (BCCA 2023),FOUNDATIONS,In situ
TO00100,1st CLASS MASONRY,Labor,Labor,h,51596.28,51596.28,51596.28,51596.28,1,UGX,33917.37,0.6574,316,316,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Reinforced concrete
CH04120,"CONCRETE HM-20/P/40/X0, SUPPLIED",Material,General,m3,207765.75,207765.75,207765.75,207765.75,1,UGX,56418.03,0.2715,313,313,CIMENTACIONES,Andalucia Construction Cost Base (BCCA 2023),FOUNDATIONS,In mass
MK00100,DUMP TRUCK,Equipment,General,h,84887.79,84887.79,84887.79,84887.79,1,UGX,11000.38,0.1296,298,298,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Vaults
