resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,VẬT LIỆU NHỎ,Material,General,u,4040.32,4040.32,4040.32,4040.32,1,VND,24056.45,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Phá dỡ và các công việc chuẩn bị,Nhiều
WW00300,VẬT TƯ BỔ SUNG HOẶC CÁC MÓC ĐẶC BIỆT,Material,General,u,7346.04,7346.04,7346.04,7346.04,1,VND,94825.84,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Phá dỡ và các công việc chuẩn bị,Nhiều
TP00100,Công nhân đặc biệt,Labor,Labor,h,269477.21,269477.21,269477.21,269477.21,1,VND,218686.79,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Phá dỡ và các công việc chuẩn bị,Vòm
ATC00100,"Đội xây dựng, gồm có thợ chính 1ª và công nhân người Tây Ban Nha.",Labor,Labor,h,553156.77,553156.77,553156.77,553156.77,1,VND,897415.91,1.6224,1230,1230,CIMENTACIONES,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),CỐT MÓNG,tại chỗ
TO01900,Kỹ thuật viên ống nước 1ª,Labor,Labor,h,283679.56,283679.56,283679.56,283679.56,1,VND,287383.72,1.0131,887,887,SANEAMIENTO,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),HỆ THỐNG XỬ LÝ NƯỚC THẢI,Ống dẫn khí
TO02100,CHÍNH THỨC 1ª,Labor,Labor,h,283679.56,283679.56,283679.56,283679.56,1,VND,239526.24,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Phá dỡ và các công việc chuẩn bị,Nhiều
TO01800,Thợ điện 1ª,Labor,Labor,h,283679.56,283679.56,283679.56,283679.56,1,VND,318029.83,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Phá dỡ và các công việc chuẩn bị,Đồng hồ đo
ATC00400,Đội hình gồm có công nhân trưởng và phụ tá,Labor,Labor,h,557441.96,557441.96,557441.96,557441.96,1,VND,8602426.79,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Phá dỡ và các công việc chuẩn bị,Hệ thống điều hòa không khí
AGM00500,"Vữa xi măng M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,978247.59,978247.59,978247.59,978247.59,1,VND,65837.11,0.0673,465,465,CIMENTACIONES,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),CỐT MÓNG,Nhà máy
TO01600,"Thợ sắt, thợ hàn cửa sổ 1ª",Labor,Labor,h,283679.56,283679.56,283679.56,283679.56,1,VND,110109.23,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Phá dỡ và các công việc chuẩn bị,bước tay
TO01400,ĐẦU ĐẠO ĐIỀU HÒA HOẶC CƠ KHÍ SỐ 1,Labor,Labor,h,283679.56,283679.56,283679.56,283679.56,1,VND,663788.41,2.3399,365,365,INSTALACIONES,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),HỆ THỐNG CẮT NƯỚC,Thiết bị và các thành phần phụ trợ
ATC00200,"Đội xây dựng, gồm có thợ chính 2ª và công nhân phụ.",Labor,Labor,h,546055.6,546055.6,546055.6,546055.6,1,VND,341218.61,0.6249,355,355,CIMENTACIONES,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),CỐT MÓNG,tại chỗ
TO00100,Xây dựng tầng 1 đầu tiên,Labor,Labor,h,283679.56,283679.56,283679.56,283679.56,1,VND,186479.84,0.6574,316,316,DEMOLICIONES Y TRABAJOS PREVIOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Phá dỡ và các công việc chuẩn bị,Bê tông cốt thép
CH04120,"BÊ TÔNG HM-20/P/40/X0, CUNG CẤP",Material,General,m3,1142309.14,1142309.14,1142309.14,1142309.14,1,VND,310189.85,0.2715,313,313,CIMENTACIONES,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),CỐT MÓNG,Trong khối lượng
MK00100,XE TẢI BÁN DẦU,Equipment,General,h,466718.37,466718.37,466718.37,466718.37,1,VND,60480.75,0.1296,298,298,DEMOLICIONES Y TRABAJOS PREVIOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Phá dỡ và các công việc chuẩn bị,Vòm
RW01900,KẾT NỐI ĐẤU NỐI,Material,General,m,16651.02,16651.02,16651.02,16651.02,1,VND,54843.58,3.2937,286,286,ALBAÑILERÍA,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Xây dựng tường bao,Nhiều
TA00200,Trợ lý chuyên gia,Labor,Labor,h,273762.4,273762.4,273762.4,273762.4,1,VND,339879.51,1.2415,236,236,DEMOLICIONES Y TRABAJOS PREVIOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Phá dỡ và các công việc chuẩn bị,Hệ thống điều hòa không khí
AGL00100,"Vữa xi măng CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,2000816.28,2000816.28,2000816.28,2000816.28,1,VND,2948.33,0.0015,209,209,REVESTIMIENTOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),LÁTEX TRANG TRÍ,Bậc thang
MC00100,Máy nén khí hai búa,Equipment,General,h,115822.56,115822.56,115822.56,115822.56,1,VND,88305.41,0.7624,181,181,DEMOLICIONES Y TRABAJOS PREVIOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Phá dỡ và các công việc chuẩn bị,Bê tông cốt thép
TO00300,Thợ đặt cọc 1ª,Labor,Labor,h,283679.56,283679.56,283679.56,283679.56,1,VND,53048.11,0.187,176,176,ESTRUCTURAS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),KẾT CẤU,KẾT CẤU
KA01100,Ống thép mạ kẽm có thể mở hoặc cố định,Material,General,m,46157.61,46157.61,46157.61,46157.61,1,VND,158213.21,3.4277,159,159,CARPINTERÍA Y ELEMENTOS DE SEGURIDAD Y PROTECCIÓN,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),CÔNG TRÌNH GỖ VÀ CÁC THÀNH PHẦN AN NINH VÀ BẢO VỆ,Cố định
ME00300,XE NẠC ĐẤT,Equipment,General,h,435130.4,435130.4,435130.4,435130.4,1,VND,16007.78,0.0368,156,156,DEMOLICIONES Y TRABAJOS PREVIOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Phá dỡ và các công việc chuẩn bị,Vòm
TO01500,GỖ 1ª CẮT DỌC,Labor,Labor,h,283679.56,283679.56,283679.56,283679.56,1,VND,460640.35,1.6238,154,154,DEMOLICIONES Y TRABAJOS PREVIOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Phá dỡ và các công việc chuẩn bị,Gỗ
TO00900,Lắp đặt viên đá đầu tiên,Labor,Labor,h,283679.56,283679.56,283679.56,283679.56,1,VND,359696.41,1.268,153,153,ALBAÑILERÍA,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Xây dựng tường bao,CẦU VÀ VÒNG ĐỎ BẰNG GẠCH
CA00320,ACERO B 500 S,Material,General,kg,11631.23,11631.23,11631.23,11631.23,1,VND,47171.76,4.0556,150,150,CIMENTACIONES,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),CỐT MÓNG,Dây thép chống rỉ
TO01100,Thợ lát nền 1ª,Labor,Labor,h,283679.56,283679.56,283679.56,283679.56,1,VND,82487.3,0.2908,147,147,CUBIERTAS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Mái che,Gặp gỡ
TO00600,Thợ sắt lần 1,Labor,Labor,h,283679.56,283679.56,283679.56,283679.56,1,VND,27798.51,0.098,138,138,CIMENTACIONES,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),CỐT MÓNG,Dây thép chống rỉ
MV00100,VIBRADOR,Equipment,General,h,22282.99,22282.99,22282.99,22282.99,1,VND,2939.09,0.1319,128,128,CIMENTACIONES,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),CỐT MÓNG,Gia cố chống lật
TO02000,LẮP ĐẶT VIÊN 1ª,Labor,Labor,h,283679.56,283679.56,283679.56,283679.56,1,VND,151021.94,0.5324,125,125,DEMOLICIONES Y TRABAJOS PREVIOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Phá dỡ và các công việc chuẩn bị,Hệ thống điều hòa không khí
AGM01600,"Vữa trộn thủ công M10 (1:0,5:4) CEM II/A-L 32,5 N Y CAL",Material,General,m3,2140023.73,2140023.73,2140023.73,2140023.73,1,VND,53695.21,0.0251,121,121,ESTRUCTURAS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),KẾT CẤU,KẾT CẤU
TA00100,Hỗ trợ viên,Labor,Labor,h,273762.4,273762.4,273762.4,273762.4,1,VND,379302.46,1.3855,118,118,DEMOLICIONES Y TRABAJOS PREVIOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Phá dỡ và các công việc chuẩn bị,Nhiều
ME00400,BÀN GIAO ĐÀO ĐẤT,Equipment,General,h,637758.66,637758.66,637758.66,637758.66,1,VND,204127.15,0.3201,115,115,DEMOLICIONES Y TRABAJOS PREVIOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Phá dỡ và các công việc chuẩn bị,Bê tông cốt thép
CM00300,GỖ THÔNG PINE TRÊN BẢNG,Material,General,m3,5425295.02,5425295.02,5425295.02,5425295.02,1,VND,13658.36,0.0025,114,114,DEMOLICIONES Y TRABAJOS PREVIOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Phá dỡ và các công việc chuẩn bị,Ngang
AGM00800,"Vữa xi măng M5 (1:6) CEM II/A-L 32,5 N + PHỦ",Material,Concrete & Cement,m3,1021099.49,1021099.49,1021099.49,1021099.49,1,VND,45087.63,0.0442,109,109,DEMOLICIONES Y TRABAJOS PREVIOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Phá dỡ và các công việc chuẩn bị,Hệ thống điều hòa không khí
TO01700,OF. 1ª THỢ KÍNH CHIẾU,Labor,Labor,h,283679.56,283679.56,283679.56,283679.56,1,VND,226746.23,0.7993,102,102,ALBAÑILERÍA,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Xây dựng tường bao,Tường Trombe
AA00200,Cát cát mịn,Material,General,m3,218544.67,218544.67,218544.67,218544.67,1,VND,36269.89,0.166,102,102,SANEAMIENTO,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),HỆ THỐNG XỬ LÝ NƯỚC THẢI,Nhiều
US25006,VÍT BICROMAT. C/T M-16x70,Material,General,u,7101.17,7101.17,7101.17,7101.17,1,VND,133817.63,18.8444,90,90,URBANIZACIONES,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Khu dân cư,Đổ móng
TO02200,OFICIAL 2ª,Labor,Labor,h,276578.39,276578.39,276578.39,276578.39,1,VND,38294.72,0.1385,85,85,ACONDICIONAMIENTO DE TERRENOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),ĐẤT ĐIỀU CHỈNH,Đổ đất trồng
TO00700,OF. 1ª CHỐNG THẤM,Labor,Labor,h,283679.56,283679.56,283679.56,283679.56,1,VND,58094.01,0.2048,80,80,ALBAÑILERÍA,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Xây dựng tường bao,Xây dựng tường bao
CH02920,"BÊ TÔNG HA-25/P/20/XC2, CUNG CẤP",Material,General,m3,1188834.05,1188834.05,1188834.05,1188834.05,1,VND,295000.68,0.2481,77,77,CIMENTACIONES,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),CỐT MÓNG,Tường chắn
CA00620,Thép cường độ điện luyện me B 500 T trong lưới,Material,General,kg,14692.08,14692.08,14692.08,14692.08,1,VND,17195.61,1.1704,75,75,CIMENTACIONES,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),CỐT MÓNG,Lưới thép hàn điện
KA01200,Ống thép mạ kẽm chống rỉ sét trượt,Material,General,m,53013.92,53013.92,53013.92,53013.92,1,VND,175519.05,3.3108,74,74,CARPINTERÍA Y ELEMENTOS DE SEGURIDAD Y PROTECCIÓN,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),CÔNG TRÌNH GỖ VÀ CÁC THÀNH PHẦN AN NINH VÀ BẢO VỆ,Bản lề trượt
TO01000,Thợ sơn 1ª,Labor,Labor,h,283679.56,283679.56,283679.56,283679.56,1,VND,75857.54,0.2674,74,74,DEMOLICIONES Y TRABAJOS PREVIOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Phá dỡ và các công việc chuẩn bị,Hệ thống điều hòa không khí
GW00100,NƯỚC UỐNG,Material,General,m3,14202.34,14202.34,14202.34,14202.34,1,VND,3092.18,0.2177,68,68,ACONDICIONAMIENTO DE TERRENOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),ĐẤT ĐIỀU CHỈNH,Giải thích
US25050,GIOĂNG DÂY CHUẨN 80 mm,Material,General,u,15426.68,15426.68,15426.68,15426.68,1,VND,33575.72,2.1765,68,68,URBANIZACIONES,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Khu dân cư,Đổ móng
WW00500,Công việc bổ sung,Material,General,u,3673.02,3673.02,3673.02,3673.02,1,VND,390790.11,106.3948,67,67,DEMOLICIONES Y TRABAJOS PREVIOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Phá dỡ và các công việc chuẩn bị,Mạch điện
GP00100,Keo dán dính,Material,General,kg,2815.98,2815.98,2815.98,2815.98,1,VND,2738.42,0.9725,65,65,REVESTIMIENTOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),LÁTEX TRANG TRÍ,Đặc biệt
EW00100,Container 1 m3,Material,General,u,39423.75,39423.75,39423.75,39423.75,1,VND,33416.32,0.8476,63,63,GESTIÓN DE RESIDUOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Quản lý chất thải,Nhiều
AA00300,CÁT SỎI DẦY,Material,General,m3,170183.25,170183.25,170183.25,170183.25,1,VND,149253.41,0.877,63,63,SANEAMIENTO,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),HỆ THỐNG XỬ LÝ NƯỚC THẢI,P.V.C.
FL01300,"GẠC SERAMICA PERF. KHOAN NHỎ LỚP PHỦ 24x11,5x5 cm",Material,General,mu,966371.49,966371.49,966371.49,966371.49,1,VND,511103.28,0.5289,63,63,DEMOLICIONES Y TRABAJOS PREVIOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Phá dỡ và các công việc chuẩn bị,Hệ thống điều hòa không khí
GC00100,"BÊ TÔNG TRẮNG BL II/A-L 42,5 R TRONG BAO",Material,Concrete & Cement,t,3781985.99,3781985.99,3781985.99,3781985.99,1,VND,3781.99,0.001,58,58,REVESTIMIENTOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),LÁTEX TRANG TRÍ,Đặc biệt
IE01900,"DÂY CÁP ĐỒNG 1x1,5 mm2 H07V-K",Material,Electrical,m,6978.74,6978.74,6978.74,6978.74,1,VND,130357.74,18.6793,55,55,INSTALACIONES,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),HỆ THỐNG CẮT NƯỚC,Nhiều
TO00400,Công nhân xây dựng cột chống cố định thứ nhất,Labor,Labor,h,283679.56,283679.56,283679.56,283679.56,1,VND,64828.73,0.2285,55,55,DEMOLICIONES Y TRABAJOS PREVIOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Phá dỡ và các công việc chuẩn bị,Ngang
CE00200,Dầm thép dài 3 m,Material,General,u,267763.14,267763.14,267763.14,267763.14,1,VND,2425.08,0.0091,54,54,DEMOLICIONES Y TRABAJOS PREVIOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Phá dỡ và các công việc chuẩn bị,Ngang
03HMM00002,Bê tông khối HM-20/P/40/X0 trong móng,Material,General,m3,1357792.96,1357792.96,1357792.96,1357792.96,1,VND,1009480.64,0.7435,53,53,DEMOLICIONES Y TRABAJOS PREVIOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Phá dỡ và các công việc chuẩn bị,Dọc
TO00800,Vườn 1ª,Labor,Labor,h,283679.56,283679.56,283679.56,283679.56,1,VND,160261.55,0.5649,49,49,DEMOLICIONES Y TRABAJOS PREVIOS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Phá dỡ và các công việc chuẩn bị,Nhiều
05HAC00010,Thép trong thanh thép gợn sóng loại B400S,Material,General,kg,16528.59,16528.59,16528.59,16528.59,1,VND,984496.72,59.5633,49,49,ESTRUCTURAS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),KẾT CẤU,Dầm
VW01500,"HỒNG NGOÁI ""U"" BẰNG NEOPREN",Material,General,m,4897.36,4897.36,4897.36,4897.36,1,VND,20169.13,4.1184,49,49,CUBIERTAS,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),Mái che,Ốp mái kính
17TTT00100,Dọn dẹp đất đá vô cơ N.P. đến bãi chôn lấp được phép 5 km,Material,General,m3,68440.6,68440.6,68440.6,68440.6,1,VND,72474.24,1.0589,48,48,CIMENTACIONES,Cơ sở Dự toán Xây dựng Andalucia (BCCA 2023),CỐT MÓNG,CỐT MÓNG
