resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,SMALL MATERIAL,Material,General,u,4.29,4.29,4.29,4.29,1,ZAR,25.53,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Miscellaneous
WW00300,SUPPLEMENTARY MATERIAL OR SPECIAL PIECES,Material,General,u,7.8,7.8,7.8,7.8,1,ZAR,100.65,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Miscellaneous
TP00100,SPECIAL LABORER,Labor,Labor,h,286.03,286.03,286.03,286.03,1,ZAR,232.12,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Vaults
ATC00100,"MASONRY CREW, CONSISTING OF 1ST CLASS FOREMAN AND LABORER ESP.",Labor,Labor,h,587.14,587.14,587.14,587.14,1,ZAR,952.54,1.6224,1230,1230,CIMENTACIONES,Andalucia Construction Cost Base (BCCA 2023),FOUNDATIONS,In situ
TO01900,1st CLASS PLUMBER,Labor,Labor,h,301.11,301.11,301.11,301.11,1,ZAR,305.04,1.0131,887,887,SANEAMIENTO,Andalucia Construction Cost Base (BCCA 2023),SANITATION,Siphonic
TO02100,1st Official,Labor,Labor,h,301.11,301.11,301.11,301.11,1,ZAR,254.24,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Miscellaneous
TO01800,1st CLASS ELECTRICIAN,Labor,Labor,h,301.11,301.11,301.11,301.11,1,ZAR,337.57,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Meters
ATC00400,CREW CONSISTING OF 1ST CLASS INSTALLER AND ASSISTANT,Labor,Labor,h,591.68,591.68,591.68,591.68,1,ZAR,9130.85,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Air conditioning
AGM00500,"M5 CEMENT MORTAR (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,1038.34,1038.34,1038.34,1038.34,1,ZAR,69.88,0.0673,465,465,CIMENTACIONES,Andalucia Construction Cost Base (BCCA 2023),FOUNDATIONS,Masonry
TO01600,1st CLASS LOCKSMITH-BODYWORKER,Labor,Labor,h,301.11,301.11,301.11,301.11,1,ZAR,116.87,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,By hand
TO01400,OFF. 1st HEATER OR MECHANIC,Labor,Labor,h,301.11,301.11,301.11,301.11,1,ZAR,704.56,2.3399,365,365,INSTALACIONES,Andalucia Construction Cost Base (BCCA 2023),INSTALLATIONS,Auxiliary equipment and elements
ATC00200,"MASONRY CREW, CONSISTING OF 2nd CLASS FOREMAN AND LABORER ESP.",Labor,Labor,h,579.6,579.6,579.6,579.6,1,ZAR,362.18,0.6249,355,355,CIMENTACIONES,Andalucia Construction Cost Base (BCCA 2023),FOUNDATIONS,In situ
TO00100,1st CLASS MASONRY,Labor,Labor,h,301.11,301.11,301.11,301.11,1,ZAR,197.93,0.6574,316,316,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Reinforced concrete
CH04120,"CONCRETE HM-20/P/40/X0, SUPPLIED",Material,General,m3,1212.48,1212.48,1212.48,1212.48,1,ZAR,329.24,0.2715,313,313,CIMENTACIONES,Andalucia Construction Cost Base (BCCA 2023),FOUNDATIONS,In mass
MK00100,DUMP TRUCK,Equipment,General,h,495.39,495.39,495.39,495.39,1,ZAR,64.2,0.1296,298,298,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Vaults
RW01900,SEALANT JOINT,Material,General,m,17.67,17.67,17.67,17.67,1,ZAR,58.21,3.2937,286,286,ALBAÑILERÍA,Andalucia Construction Cost Base (BCCA 2023),Masonry,Miscellaneous
TA00200,SPECIALIST ASSISTANT,Labor,Labor,h,290.58,290.58,290.58,290.58,1,ZAR,360.76,1.2415,236,236,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Air conditioning
AGL00100,"CEMENT GROUT CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,2123.72,2123.72,2123.72,2123.72,1,ZAR,3.13,0.0015,209,209,REVESTIMIENTOS,Andalucia Construction Cost Base (BCCA 2023),COATINGS,Steps
MC00100,TWO-HAMMER COMPRESSOR,Equipment,General,h,122.94,122.94,122.94,122.94,1,ZAR,93.73,0.7624,181,181,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Reinforced concrete
TO00300,1st Fixer Foreman,Labor,Labor,h,301.11,301.11,301.11,301.11,1,ZAR,56.31,0.187,176,176,ESTRUCTURAS,Andalucia Construction Cost Base (BCCA 2023),STRUCTURES,STRUCTURES
KA01100,"GALVANIZED STEEL TUBE PRE-FRAME, HINGED OR FIXED",Material,General,m,48.99,48.99,48.99,48.99,1,ZAR,167.93,3.4277,159,159,CARPINTERÍA Y ELEMENTOS DE SEGURIDAD Y PROTECCIÓN,Andalucia Construction Cost Base (BCCA 2023),CARPENTRY AND SECURITY AND PROTECTION ELEMENTS,Fixed
ME00300,WHEEL LOADER,Equipment,General,h,461.86,461.86,461.86,461.86,1,ZAR,16.99,0.0368,156,156,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Vaults
TO01500,1st CLASS CARPENTRY,Labor,Labor,h,301.11,301.11,301.11,301.11,1,ZAR,488.94,1.6238,154,154,DEMOLICIONES Y TRABAJOS PREVIOS,Andalucia Construction Cost Base (BCCA 2023),DEMOLITION AND PRELIMINARY WORKS,Timber
