resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
WW00400,小型材料,Material,General,u,1.96,1.96,1.96,1.96,1,CNY,11.69,5.9541,3044,3044,DEMOLICIONES Y TRABAJOS PREVIOS,安达卢西亚建筑成本基础（BCCA 2023）,拆除及前期工作,多种
WW00300,补充材料或特殊件,Material,General,u,3.57,3.57,3.57,3.57,1,CNY,46.09,12.9084,2938,2938,DEMOLICIONES Y TRABAJOS PREVIOS,安达卢西亚建筑成本基础（BCCA 2023）,拆除及前期工作,多种
TP00100,特殊工人,Labor,Labor,h,130.97,130.97,130.97,130.97,1,CNY,106.29,0.8115,2534,2534,DEMOLICIONES Y TRABAJOS PREVIOS,安达卢西亚建筑成本基础（BCCA 2023）,拆除及前期工作,拱顶
ATC00100,砌筑队，由一等工长和西班牙工人组成。,Labor,Labor,h,268.84,268.84,268.84,268.84,1,CNY,436.16,1.6224,1230,1230,CIMENTACIONES,安达卢西亚建筑成本基础（BCCA 2023）,基础工程,现场
TO01900,1ª管道工,Labor,Labor,h,137.87,137.87,137.87,137.87,1,CNY,139.67,1.0131,887,887,SANEAMIENTO,安达卢西亚建筑成本基础（BCCA 2023）,排水,排水管道
TO02100,一级官方,Labor,Labor,h,137.87,137.87,137.87,137.87,1,CNY,116.41,0.8444,527,527,DEMOLICIONES Y TRABAJOS PREVIOS,安达卢西亚建筑成本基础（BCCA 2023）,拆除及前期工作,多种
TO01800,电工 1ª,Labor,Labor,h,137.87,137.87,137.87,137.87,1,CNY,154.57,1.1211,510,510,DEMOLICIONES Y TRABAJOS PREVIOS,安达卢西亚建筑成本基础（BCCA 2023）,拆除及前期工作,计数器
ATC00400,施工队由一级安装工和助手组成,Labor,Labor,h,270.93,270.93,270.93,270.93,1,CNY,4180.93,15.432,476,476,DEMOLICIONES Y TRABAJOS PREVIOS,安达卢西亚建筑成本基础（BCCA 2023）,拆除及前期工作,空调
AGM00500,"水泥砂浆 M5 (1:6) CEM II/A-L 32,5 N",Material,Concrete & Cement,m3,475.45,475.45,475.45,475.45,1,CNY,32.0,0.0673,465,465,CIMENTACIONES,安达卢西亚建筑成本基础（BCCA 2023）,基础工程,厂房
TO01600,第1号门窗工人-钣金工,Labor,Labor,h,137.87,137.87,137.87,137.87,1,CNY,53.52,0.3881,430,430,DEMOLICIONES Y TRABAJOS PREVIOS,安达卢西亚建筑成本基础（BCCA 2023）,拆除及前期工作,臂
