resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,عامل عادي,Labor,Labor,Sa,23.78,17.81,29.44,23.7,3,AED,449.11,18.8776,16092,13864,CONSTRUCTION WORK,البناء,,إنشاء جدار واجهة هيكلية مفردة بألواح الجبس (جدار مفرد C 75 بروفيل - 60 cm تباعد 
10.100.1082,فني التركيبات,Labor,Labor,Sa,35.9,35.9,35.9,35.9,1,AED,453.02,12.6182,5556,5540,EQUIPMENT INSTALLATION,التركيبات الميكانيكية,,صمام صرف بدون ذراع نحاسية طويلة
10.100.1084,مساعد فني التركيبات,Labor,Labor,Sa,26.57,26.57,26.57,26.57,1,AED,357.85,13.4696,5215,5199,EQUIPMENT INSTALLATION,التركيبات الميكانيكية,,صمام صرف بدون ذراع نحاسية طويلة
10.100.1081,فني كهرباء,Labor,Labor,Sa,35.9,35.9,35.9,35.9,1,AED,836.65,23.3038,4719,4619,EQUIPMENT INSTALLATION,التركيبات الكهربائية,,العمق لا يقل عن 400 mm
10.100.1083,مساعد كهربائي,Labor,Labor,Sa,26.57,26.57,26.57,26.57,1,AED,627.97,23.6369,4633,4633,EQUIPMENT INSTALLATION,التركيبات الكهربائية,,العمق لا يقل عن 400 mm
10.100.1055,مشغل آلة,Labor,Labor,Sa,41.12,40.93,50.98,40.93,2,AED,379.53,9.2702,3446,2481,CONSTRUCTION WORK,البناء,,خزانات مياه أسطوانية من البوليستر المقوى بالألياف الزجاجية (CTP)
01.V04,مُهَنَّسُ الْمُعَلِّمِ,Material,General,SA,50.98,50.98,50.98,50.98,1,AED,1867.39,36.6295,2675,1081,RESTORATION/HERITAGE WORK,وزارة الثقافة والسياحة (الآثار القديمة / الترميم),,
19.100.1112,رافعة شوكية,Equipment,General,Sa,98.79,98.79,98.79,98.79,1,AED,675.16,6.834,1973,1968,CONSTRUCTION WORK,البناء,,خزانات مياه البولي إيثيلين
10.100.1050,عامل أنابيب,Labor,Labor,Sa,36.41,35.9,44.52,35.9,2,AED,127.14,3.3658,1827,1827,CONSTRUCTION WORK,البناء,,
01.V06/01,العمل اليدوي لترميم الديكور,Material,General,SA,23.7,23.7,23.7,23.7,1,AED,95.02,4.0099,1687,1623,RESTORATION/HERITAGE WORK,وزارة الثقافة والسياحة (الآثار القديمة / الترميم),,
01.V05,مساعد فني مساعد الحرفي,Material,General,SA,35.18,35.18,35.18,35.18,1,AED,860.78,24.4652,1346,814,RESTORATION/HERITAGE WORK,وزارة الثقافة والسياحة (الآثار القديمة / الترميم),,
10.100.1091,خبير اختبار وضبط وتشغيل,Labor,Labor,Sa,100.52,100.52,100.52,100.52,1,AED,2996.36,29.8071,1239,1239,EQUIPMENT INSTALLATION,التركيبات الكهربائية,,مُرَحِّلَاتُ تَحَكُّمِ الطَّاقَةِ التَّكْرِيرِيَّةِ فِي الطَّورِ الْوَاحِدِ
19.100.1113,رافعة متحركة,Equipment,General,Sa,155.15,155.06,201.4,155.06,2,AED,1912.93,12.3354,1018,1013,CONSTRUCTION WORK,البناء,,خزانات مياه أسطوانية من البوليستر المقوى بالألياف الزجاجية (CTP)
10.130.9991,مياه,Material,General,m³,5.77,5.03,7.9,5.53,3,AED,0.82,0.1285,927,679,CONSTRUCTION WORK,البناء,,
19.100.1002,حفارة بيكو (125 HP),Equipment,General,Sa,285.49,285.49,285.49,285.49,1,AED,27.68,0.097,546,528,CONSTRUCTION WORK,البناء,,
10.100.1060,مقدّم العمل,Labor,Labor,Sa,51.79,51.7,63.91,51.7,2,AED,75.44,1.4311,539,398,CONSTRUCTION WORK,البناء,,صمامات انزلاقية (شيبير) وصمامات غلوب؛ من النحاس الأصفر ملولبة، مصنعة بالضغط وفقً
10.100.1063,عامل ماهر,Labor,Labor,Sa,29.74,28.72,35.9,28.72,2,AED,148.78,5.1657,507,371,CONSTRUCTION WORK,البناء,,
10.100.1068,حرفي من الدرجة الأولى,Labor,Labor,Sa,35.53,27.29,44.52,35.9,3,AED,53.2,1.3882,469,399,CONSTRUCTION WORK,البناء,,
10.100.1049,مساعد سباك,Labor,Labor,Sa,28.33,26.57,33.03,26.57,2,AED,167.39,5.4792,396,396,CONSTRUCTION WORK,البناء,,
10.100.1021,لحام,Labor,Labor,Sa,38.2,27.29,44.52,35.9,3,AED,731.18,19.5521,394,285,MACHINE RATE,الآلة (تحليل الأجر بالساعة),,
10.100.1064,متدرب,Labor,Labor,Sa,23.71,17.81,29.44,23.7,3,AED,42.49,1.7933,376,130,CONSTRUCTION WORK,البناء,,
10.100.1013,حرفي البناء,Labor,Labor,Sa,36.36,27.29,44.52,35.9,3,AED,28.81,0.7882,375,341,CONSTRUCTION WORK,البناء,,
10.420.1012,برغي ووتد بلاستيكي,Material,General,Ad,0.21,0.14,0.22,0.22,2,AED,3.29,15.2894,356,265,CONSTRUCTION WORK,البناء,,إنشاء جدار واجهة هيكلية مفردة بألواح الجبس (جدار مفرد C 75 بروفيل - 60 cm تباعد 
10.160.1035,مُرَكِّبُ الكَهْرَبَاء,Material,General,Ad,0.24,0.18,0.28,0.23,3,AED,30.13,117.7585,345,272,MACHINE RATE,الآلة (تحليل الأجر بالساعة),,
10.160.1026,ديزل,Material,General,Kg,6.61,6.3,8.14,6.3,2,AED,94.86,14.3654,331,98,MACHINE RATE,الآلة (تحليل الأجر بالساعة),,
10.300.1602,ورق صنفرة,Material,General,Ad,0.93,0.5,0.93,0.93,2,AED,13.91,14.9103,269,101,CONSTRUCTION WORK,البناء,,
10.100.1069,مساعد حرفي من الدرجة الأولى,Labor,Labor,Sa,26.35,20.1,26.57,26.57,2,AED,94.82,3.5892,265,224,CONSTRUCTION WORK,البناء,,
10.100.1015,عامل خرسانة,Labor,Labor,Sa,39.2,35.9,44.52,35.9,2,AED,189.06,5.1905,265,103,CONSTRUCTION WORK,البناء,,
10.100.1010,فني العزل,Labor,Labor,Sa,35.66,27.29,44.52,35.9,3,AED,24.27,0.6794,255,219,CONSTRUCTION WORK,البناء,,عزل بألياف زجاجية على أسطح من الصفيح مثل المخازن؛
