resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,Hilfsarbeiter,Labor,Labor,Sa,7.41,5.55,9.18,7.39,3,EUR,140.0,18.8776,16092,13864,CONSTRUCTION WORK,Bau,Bau,Herstelllung einer einlagigen Verkleidungswand mit Gipskartonplatten (Einwand C 
10.100.1082,Installateur,Labor,Labor,Sa,11.19,11.19,11.19,11.19,1,EUR,141.21,12.6182,5556,5540,EQUIPMENT INSTALLATION,Mechanische Anlagen,Mechanische Anlagen,Mit langem Auslauf und Spülkasten ohne Messingsteuerung
10.100.1084,Anlagenmonteurgehilfe,Labor,Labor,Sa,8.28,8.28,8.28,8.28,1,EUR,111.55,13.4696,5215,5199,EQUIPMENT INSTALLATION,Mechanische Anlagen,Mechanische Anlagen,Mit langem Auslauf und Spülkasten ohne Messingsteuerung
10.100.1081,Elektriker,Labor,Labor,Sa,11.19,11.19,11.19,11.19,1,EUR,260.8,23.3038,4719,4619,EQUIPMENT INSTALLATION,Elektroinstallation,Elektroinstallation,Tiefe mindestens 400 mm
10.100.1083,Elektrikerhelfer,Labor,Labor,Sa,8.28,8.28,8.28,8.28,1,EUR,195.75,23.6369,4633,4633,EQUIPMENT INSTALLATION,Elektroinstallation,Elektroinstallation,Tiefe mindestens 400 mm
10.100.1055,Maschinenführer,Labor,Labor,Sa,12.82,12.76,15.89,12.76,2,EUR,118.31,9.2702,3446,2481,CONSTRUCTION WORK,Bau,Bau,Zylindrische Wassertanks aus glasfaserverstärktem Polyester (GFK)
01.V04,Facharbeiter,Material,General,SA,15.89,15.89,15.89,15.89,1,EUR,582.1,36.6295,2675,1081,RESTORATION/HERITAGE WORK,Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),
19.100.1112,Gabelstapler,Equipment,General,Sa,30.8,30.8,30.8,30.8,1,EUR,210.46,6.834,1973,1968,CONSTRUCTION WORK,Bau,Bau,Polyethylen-Wassertanks
10.100.1050,Rohrleger,Labor,Labor,Sa,11.35,11.19,13.88,11.19,2,EUR,39.63,3.3658,1827,1827,CONSTRUCTION WORK,Bau,Bau,
01.V06/01,Restaurations-Feinarbeiter,Material,General,SA,7.39,7.39,7.39,7.39,1,EUR,29.62,4.0099,1687,1623,RESTORATION/HERITAGE WORK,Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),
01.V05,Facharbeiter Hilfskräfte,Material,General,SA,10.97,10.97,10.97,10.97,1,EUR,268.32,24.4652,1346,814,RESTORATION/HERITAGE WORK,Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),
10.100.1091,"Prüf-, Einstell- und Inbetriebnahmespezialist",Labor,Labor,Sa,31.34,31.34,31.34,31.34,1,EUR,934.02,29.8071,1239,1239,EQUIPMENT INSTALLATION,Elektroinstallation,Elektroinstallation,EINPHASIGE REAKTIVLEISTUNGSSTEUERRELAIS
19.100.1113,Mobilkran,Equipment,General,Sa,48.36,48.34,62.78,48.34,2,EUR,596.3,12.3354,1018,1013,CONSTRUCTION WORK,Bau,Bau,Zylindrische Wassertanks aus glasfaserverstärktem Polyester (GFK)
10.130.9991,Wasser,Material,General,m³,1.8,1.57,2.46,1.72,3,EUR,0.26,0.1285,927,679,CONSTRUCTION WORK,Bau,Bau,
19.100.1002,Bagger Beko (125 HP),Equipment,General,Sa,88.99,88.99,88.99,88.99,1,EUR,8.63,0.097,546,528,CONSTRUCTION WORK,Bau,Bau,
10.100.1060,Vorarbeiter,Labor,Labor,Sa,16.14,16.12,19.92,16.12,2,EUR,23.52,1.4311,539,398,CONSTRUCTION WORK,Bau,Bau,"Schieber- und Glop-Ventile; aus Messing, geschraubt, nach (TS EN 12288) gefertig"
10.100.1063,Facharbeiter,Labor,Labor,Sa,9.27,8.95,11.19,8.95,2,EUR,46.38,5.1657,507,371,CONSTRUCTION WORK,Bau,Bau,
10.100.1068,Erstklassiger Meister,Labor,Labor,Sa,11.08,8.51,13.88,11.19,3,EUR,16.58,1.3882,469,399,CONSTRUCTION WORK,Bau,Bau,
10.100.1049,Rohrleitungsbauergehilfe,Labor,Labor,Sa,8.83,8.28,10.3,8.28,2,EUR,52.18,5.4792,396,396,CONSTRUCTION WORK,Bau,Bau,
10.100.1021,Schweißfacharbeiter,Labor,Labor,Sa,11.91,8.51,13.88,11.19,3,EUR,227.92,19.5521,394,285,MACHINE RATE,Maschine (Stundenlohn-Analyse),Maschine (Stundenlohn-Analyse),
10.100.1064,Lehrling,Labor,Labor,Sa,7.39,5.55,9.18,7.39,3,EUR,13.25,1.7933,376,130,CONSTRUCTION WORK,Bau,Bau,
10.100.1013,Maurermeister,Labor,Labor,Sa,11.33,8.51,13.88,11.19,3,EUR,8.98,0.7882,375,341,CONSTRUCTION WORK,Bau,Bau,
10.420.1012,Schrauben und Kunststoffdübel,Material,General,Ad,0.07,0.04,0.07,0.07,2,EUR,1.03,15.2894,356,265,CONSTRUCTION WORK,Bau,Bau,Herstelllung einer einlagigen Verkleidungswand mit Gipskartonplatten (Einwand C 
10.160.1035,Elektrode,Material,General,Ad,0.08,0.06,0.09,0.07,3,EUR,9.39,117.7585,345,272,MACHINE RATE,Maschine (Stundenlohn-Analyse),Maschine (Stundenlohn-Analyse),
10.160.1026,Diesel,Material,General,Kg,2.06,1.96,2.54,1.96,2,EUR,29.57,14.3654,331,98,MACHINE RATE,Maschine (Stundenlohn-Analyse),Maschine (Stundenlohn-Analyse),
10.300.1602,Schleifpapier,Material,General,Ad,0.29,0.16,0.29,0.29,2,EUR,4.34,14.9103,269,101,CONSTRUCTION WORK,Bau,Bau,
10.100.1069,Erster Geselle,Labor,Labor,Sa,8.21,6.27,8.28,8.28,2,EUR,29.56,3.5892,265,224,CONSTRUCTION WORK,Bau,Bau,
10.100.1015,Betonarbeiter,Labor,Labor,Sa,12.22,11.19,13.88,11.19,2,EUR,58.93,5.1905,265,103,CONSTRUCTION WORK,Bau,Bau,
10.100.1010,Isolierermeister,Labor,Labor,Sa,11.12,8.51,13.88,11.19,3,EUR,7.57,0.6794,255,219,CONSTRUCTION WORK,Bau,Bau,Fiberglasdämmung auf Blechflächen wie Lagerräumen;
10.100.1057,Operatorhelfer,Labor,Labor,Sa,11.44,10.74,13.43,10.74,2,EUR,8.69,0.7701,241,209,MACHINE RATE,Maschine (Stundenlohn-Analyse),Maschine (Stundenlohn-Analyse),
10.100.1023,Malermeister,Labor,Labor,Sa,11.18,8.51,11.19,11.19,2,EUR,542.86,48.5073,238,122,CONSTRUCTION WORK,Bau,Bau,Rohrbeschichtung mit Sulfurlack;
10.110.1003,"Motorisierter Fahrzeugtransportkoeffizient für alle Arten und Tonnagen (0,0004xK) 0,0004 %... Die Berechnung des Unternehmergewinns und der Gemeinkosten ""a"" Koeffizient (a) Allgemeine Transportformel: (F= 0,00017xKxAxBx√¯M ) TL/Tonne Bei Staudämmen wird der Transportpreis auf m3-Basis festgelegt. Da die durchschnittliche Dichte der bei Staudammbauarbeiten transportierten Materialien mit 1,88 Tonnen/m3 angenommen wird, lautet diese Formel: F= 1,88x0,00017xKxAxBx√¯M ) TL/m3 K: Koeffizient (10.110.1003) K= Transportkoeffizient (10.110.1003) A=1,25 und bei Transport von Aushubmaterialien B=1,00 angenommen; somit: F= 1,88x0,00017xKx1,25x1x√¯M ) TL/m3 F=0,0004xKx√¯M ) TL/Tonne a=0,0004 K Transport auf der Straße",Material,General,ton,104.37,78.34,105.87,105.87,2,EUR,0.3,0.0028,223,70,WATER/DAM/IRRIGATION WORK,Staatliches Wasserwirtschaftsamt (Analysen und Tarife),Staatliches Wasserwirtschaftsamt (Analysen und Tarife),
10.100.1054,Maschinist,Labor,Labor,Sa,11.23,11.19,13.88,11.19,2,EUR,134.52,12.0168,215,116,CONSTRUCTION WORK,Bau,Bau,
10.420.1006,Nagel,Material,General,Kg,0.91,0.67,1.12,0.9,3,EUR,0.62,0.6719,212,120,CONSTRUCTION WORK,Bau,Bau,
10.100.1038,Gipskartonplatten-Gehilfe,Labor,Labor,Sa,8.28,8.28,8.28,8.28,1,EUR,11.05,1.3343,207,207,CONSTRUCTION WORK,Bau,Bau,Herstelllung einer einlagigen Verkleidungswand mit Gipskartonplatten (Einwand C 
10.100.1033,Gipskartonplattenmeister,Labor,Labor,Sa,11.19,11.19,11.19,11.19,1,EUR,14.59,1.3034,205,205,CONSTRUCTION WORK,Bau,Bau,Herstelllung einer einlagigen Verkleidungswand mit Gipskartonplatten (Einwand C 
10.200.3031,Fugendichtungsband,Material,General,m,0.03,0.03,0.03,0.03,1,EUR,0.09,2.4835,203,203,CONSTRUCTION WORK,Bau,Bau,Herstelllung einer einlagigen Verkleidungswand mit Gipskartonplatten (Einwand C 
19.100.2434,Fugenfüllmörtel vorbereiten,Material,General,m³,161.77,161.77,161.77,161.77,1,EUR,0.13,0.0008,203,203,CONSTRUCTION WORK,Bau,Bau,Herstelllung einer einlagigen Verkleidungswand mit Gipskartonplatten (Einwand C 
10.100.1005,Marmorverleger,Labor,Labor,Sa,10.9,8.51,11.19,11.19,2,EUR,26.36,2.4128,203,194,CONSTRUCTION WORK,Bau,Bau,
10.420.1013,Signalhornschraube,Material,General,Kt,6.27,6.27,6.27,6.27,1,EUR,0.21,0.0341,197,197,CONSTRUCTION WORK,Bau,Bau,Herstelllung einer einlagigen Verkleidungswand mit Gipskartonplatten (Einwand C 
01.V06,Restaurationsarbeiten für Facharbeiter,Material,General,SA,8.95,8.95,8.95,8.95,1,EUR,42.83,4.7837,196,192,RESTORATION/HERITAGE WORK,Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),
04.V39,Handschuhe,Material,General,AD,0.11,0.11,0.11,0.11,1,EUR,0.15,1.3098,192,73,RESTORATION/HERITAGE WORK,Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),
10.130.4502,Kiefernholz (Klasse II),Material,General,m³,339.14,223.83,402.89,335.74,3,EUR,27.8,0.0787,192,144,CONSTRUCTION WORK,Bau,Bau,
10.100.1008,Tischlermeister,Labor,Labor,Sa,11.19,11.19,11.19,11.19,1,EUR,32.11,2.8693,192,68,CONSTRUCTION WORK,Bau,Bau,
10.100.1009,Tischlermeister,Labor,Labor,Sa,11.25,11.19,13.88,11.19,2,EUR,2393.2,213.8008,191,31,CONSTRUCTION WORK,Bau,Bau,
10.100.1018,Heißschmiedemeister,Labor,Labor,Sa,11.46,8.51,13.88,11.19,3,EUR,1317.43,117.7104,190,72,CONSTRUCTION WORK,Bau,Bau,
V.0104/A,400 Dutzend Zementmörtelherstellung (mit grobem Sand),Abstract Material,General,M³,84.85,84.85,84.85,84.85,1,EUR,2.83,0.0334,188,188,RESTORATION/HERITAGE WORK,Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),
19.100.1062,"Stundenlohn für den Generatorblock (7,5 HP) bei 5 kW",Equipment,General,SA,27.33,27.33,27.33,27.33,1,EUR,29.0,1.083,186,184,INFRASTRUCTURE WORK,Infrastruktureinrichtungen (Wasser/Abwasser/Regenwasser),Infrastruktureinrichtungen (Wasser/Abwasser/Regenwasser),
04.V40,Pinsel,Material,General,AD,0.9,0.9,0.9,0.9,1,EUR,0.27,0.2966,180,69,RESTORATION/HERITAGE WORK,Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),
19.100.2510,"Herstellung von Mörtel mit 400 kg Zement, Sand und Kies",Material,General,m³,80.43,80.43,80.43,80.43,1,EUR,2.98,0.0371,168,168,CONSTRUCTION WORK,Bau,Bau,
10.100.1022,Glasermeister,Labor,Labor,Sa,11.17,8.51,11.19,11.19,2,EUR,4132.03,369.2235,161,63,CONSTRUCTION WORK,Bau,Bau,
Elektrische Energie,Elektrische Energie,Material,General,kWh,0.21,0.21,0.21,0.21,2,EUR,1.63,7.9239,161,143,CONSTRUCTION WORK,Bau,Bau,
10.300.2231,Fugenfüllmaterial (CG1),Material,General,Kg,0.51,0.4,0.51,0.51,2,EUR,0.27,0.522,160,160,CONSTRUCTION WORK,Bau,Bau,
40.110.3221,Dieselmotor und Generator mit kompletter Schweißmaschine (25 HP),Material,General,SA,17.3,17.3,17.3,17.3,1,EUR,82.67,4.7793,159,159,INFRASTRUCTURE WORK,Infrastruktureinrichtungen (Wasser/Abwasser/Regenwasser),Infrastruktureinrichtungen (Wasser/Abwasser/Regenwasser),
10.100.1041,Tischlergeselle Hilfskraft,Labor,Labor,Sa,8.28,6.27,10.3,8.28,3,EUR,2151.63,259.8084,158,20,CONSTRUCTION WORK,Bau,Bau,
10.100.1017,Zimmermann,Labor,Labor,Sa,11.35,8.51,13.88,11.19,3,EUR,33.23,2.8443,157,114,CONSTRUCTION WORK,Bau,Bau,
40.120.1461,Dichtheitsprüfgebühr,Material,General,MT,7.52,7.52,7.52,7.52,1,EUR,4.77,0.6349,157,157,INFRASTRUCTURE WORK,Infrastruktureinrichtungen (Wasser/Abwasser/Regenwasser),Infrastruktureinrichtungen (Wasser/Abwasser/Regenwasser),
10.100.1042,Isolierhelfer,Labor,Labor,Sa,8.27,6.27,10.3,8.28,3,EUR,12.29,0.6587,156,119,CONSTRUCTION WORK,Bau,Bau,
04.V001/1,Wasser,Material,General,M³,1.72,1.72,1.72,1.72,1,EUR,0.28,0.1618,155,155,RESTORATION/HERITAGE WORK,Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),
01.V05/6,"Fachkraft für Putz- und Fugenarbeiten, Hilfsarbeiter",Material,General,SA,10.97,10.97,10.97,10.97,1,EUR,19.48,1.776,148,120,RESTORATION/HERITAGE WORK,Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),
V.0129/A,Puzzolanbeimengung für Horosan-Wandmörtel (mit grobem Sand),Abstract Material,General,M³,216.86,216.86,216.86,216.86,1,EUR,11.7,0.054,140,140,RESTORATION/HERITAGE WORK,Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),
74.004.0007,KOMPRESSOR-RAMME (50 HP LEISTUNG),Equipment,General,SAAT,113.72,113.72,113.72,113.72,1,EUR,129.56,21.7826,123,119,PORT/MARINE WORK,AYGM Hafen- und Meeresbau,AYGM Hafen- und Meeresbau,
10.100.1056,Maschinisthelfer,Labor,Labor,Sa,11.49,9.4,11.64,11.64,2,EUR,133.43,11.4779,121,114,MACHINE RATE,Maschine (Stundenlohn-Analyse),Maschine (Stundenlohn-Analyse),
04.V42/04A13,Schleifpapier (A4-Format),Material,General,AD,0.29,0.29,0.29,0.29,1,EUR,1.72,5.9225,121,121,RESTORATION/HERITAGE WORK,Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),
10.160.1030,Elektrische Energie,Material,General,Kwh,0.62,0.18,21.51,0.21,3,EUR,3.78,16.6792,117,77,CONSTRUCTION WORK,Bau,Bau,
40.100.1001,Ingenieur,Material,General,SA,14.15,14.15,14.15,14.15,1,EUR,50.72,3.5857,114,114,GEOTECHNICAL/SURVEY WORK,"Geologische-geotechnische Untersuchung, Geophysik, Boden-/Felsmechanik Labor","Geologische-geotechnische Untersuchung, Geophysik, Boden-/Felsmechanik Labor",
V.0130/C,Hydraulischer Kalkmörtel mit Füllsand,Material,General,M³,389.07,389.07,389.07,389.07,1,EUR,15.78,0.0406,113,112,RESTORATION/HERITAGE WORK,Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),
74.005.0014,Schweißmaschine,Equipment,General,SAAT,21.88,21.88,21.88,21.88,1,EUR,268.05,16.5815,110,110,PORT/MARINE WORK,AYGM Hafen- und Meeresbau,AYGM Hafen- und Meeresbau,
04.V011/01,Kiefernholz (Arbeit 1. Klasse) Feuchtigkeitsgehalt unter 15 Grad,Material,Pipes & Fittings,M³,1342.95,1342.95,1342.95,1342.95,1,EUR,211.13,0.1572,109,72,RESTORATION/HERITAGE WORK,Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),
19.100.1028,Radlader (80 HP),Equipment,General,Sa,58.88,58.88,58.88,58.88,1,EUR,224.91,3.82,105,48,MACHINE RATE,Maschine (Stundenlohn-Analyse),Maschine (Stundenlohn-Analyse),
10.420.1305,Silikonbasierte Dichtmasse,Material,General,Kg,5.0,3.85,5.01,5.01,2,EUR,16.55,3.3004,104,16,CONSTRUCTION WORK,Bau,Bau,
01.V05/2,"Fachmann für Trägerstein, Helfer",Material,General,SA,10.97,10.97,10.97,10.97,1,EUR,76.53,6.9779,102,90,RESTORATION/HERITAGE WORK,Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),
19.100.1101,Stundensatz für die mobile Betonspritze (420 HP),Equipment,General,Sa,267.88,225.07,297.85,297.85,2,EUR,2.86,0.0108,102,59,CONSTRUCTION WORK,Bau,Bau,
10.200.3032,"Dichtungsband (3 mm Polyethylen, selbstklebend, Breite: 5 cm)",Material,General,m,0.06,0.06,0.06,0.06,1,EUR,0.08,1.448,100,100,CONSTRUCTION WORK,Bau,Bau,Herstelllung einer einlagigen Verkleidungswand mit Gipskartonplatten (Einwand C 
10.130.2790,Gasbetonkleber,Material,General,Kg,0.26,0.26,0.26,0.26,1,EUR,0.8,3.1012,99,99,CONSTRUCTION WORK,Bau,Bau,
10.420.1302,Synthetischer Klebstoff,Material,General,Kg,1.12,0.85,1.12,1.12,2,EUR,0.51,0.4535,99,61,CONSTRUCTION WORK,Bau,Bau,
10.130.1005,Sand (gesiebt und gewaschen aus grobem Zuschlag),Material,General,m³,13.58,9.27,15.22,15.22,3,EUR,5.7,0.4196,99,51,CONSTRUCTION WORK,Bau,Bau,
10.100.1045,Maurerhelfer,Labor,Labor,Sa,8.49,6.27,10.3,8.28,3,EUR,12.28,1.4149,98,74,CONSTRUCTION WORK,Bau,Bau,
40.120.1532,Synthetischer Grundierungslack,Material,General,KG,4.72,4.72,4.72,4.72,1,EUR,6.5,1.3755,98,49,INFRASTRUCTURE WORK,Infrastruktureinrichtungen (Wasser/Abwasser/Regenwasser),Infrastruktureinrichtungen (Wasser/Abwasser/Regenwasser),
10.130.1002,Kies (aus gewaschenem und gesiebtem Tuff-Splitt),Material,General,m³,13.2,12.09,15.22,12.09,2,EUR,2.57,0.1827,97,64,CONSTRUCTION WORK,Bau,Bau,
10.100.1047,Helfer des Kaltmetallarbeiters,Labor,Labor,Sa,8.2,6.27,10.3,8.28,3,EUR,73.08,8.5879,96,80,CONSTRUCTION WORK,Bau,Bau,
40.110.1513,Dienstfahrzeug (Pickup),Material,General,SA,28.29,28.29,28.29,28.29,1,EUR,48.13,1.7017,95,95,GEOTECHNICAL/SURVEY WORK,"Geologische-geotechnische Untersuchung, Geophysik, Boden-/Felsmechanik Labor","Geologische-geotechnische Untersuchung, Geophysik, Boden-/Felsmechanik Labor",
19.100.1033,Betonrüttler,Equipment,General,Sa,16.42,16.42,16.42,16.42,1,EUR,0.68,0.0412,95,87,CONSTRUCTION WORK,Bau,Bau,
10.100.1019,Kaltmetallschmied,Labor,Labor,Sa,11.4,8.51,13.88,11.19,3,EUR,75.08,6.4782,94,48,CONSTRUCTION WORK,Bau,Bau,
10.100.1059,Fettler,Labor,Labor,Sa,8.59,8.28,10.3,8.28,2,EUR,8.21,0.9591,93,68,CONSTRUCTION WORK,Bau,Bau,
V.0104/G,500 Stück Hydraulischer Kalkmörtel mit Bindemittel (Marmorstaub und Messing; Für Feinspritzmörtel),Abstract Material,General,M³,434.37,434.37,434.37,434.37,1,EUR,9.65,0.0222,93,93,RESTORATION/HERITAGE WORK,Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),
