resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,Operário comum,Labor,Labor,Sa,26.11,19.55,32.32,26.01,3,BRL,493.01,18.8776,16092,13864,CONSTRUCTION WORK,Construção,Construção,Construção de parede de revestimento com placa de gesso com estrutura única (Per
10.100.1082,Mestre de instalação,Labor,Labor,Sa,39.41,39.41,39.41,39.41,1,BRL,497.3,12.6182,5556,5540,EQUIPMENT INSTALLATION,Instalações Mecânicas,Instalações Mecânicas,Sifão com tubo longo e comando de latão sem alavanca
10.100.1084,Assistente de mestre de instalação,Labor,Labor,Sa,29.16,29.16,29.16,29.16,1,BRL,392.83,13.4696,5215,5199,EQUIPMENT INSTALLATION,Instalações Mecânicas,Instalações Mecânicas,Sifão com tubo longo e comando de latão sem alavanca
10.100.1081,Eletricista,Labor,Labor,Sa,39.41,39.41,39.41,39.41,1,BRL,918.43,23.3038,4719,4619,EQUIPMENT INSTALLATION,Instalação elétrica,Instalação elétrica,Profundidade de pelo menos 400 mm
10.100.1083,Assistente de mestre de eletricidade,Labor,Labor,Sa,29.16,29.16,29.16,29.16,1,BRL,689.35,23.6369,4633,4633,EQUIPMENT INSTALLATION,Instalação elétrica,Instalação elétrica,Profundidade de pelo menos 400 mm
10.100.1055,Operador de máquinas,Labor,Labor,Sa,45.14,44.93,55.96,44.93,2,BRL,416.63,9.2702,3446,2481,CONSTRUCTION WORK,Construção,Construção,Tanque de armazenamento de água cilíndrico com poliéster reforçado com fibra de 
01.V04,Mestre Especialista,Material,General,SA,55.96,55.96,55.96,55.96,1,BRL,2049.92,36.6295,2675,1081,RESTORATION/HERITAGE WORK,Cultura e Turismo B. (Antiguidades / Restauro),Cultura e Turismo B. (Antiguidades / Restauro),
19.100.1112,Empilhadeira,Equipment,General,Sa,108.45,108.45,108.45,108.45,1,BRL,741.15,6.834,1973,1968,CONSTRUCTION WORK,Construção,Construção,Tanques de água de polietileno
10.100.1050,Mestre de carpinteiro,Labor,Labor,Sa,39.97,39.41,48.87,39.41,2,BRL,139.56,3.3658,1827,1827,CONSTRUCTION WORK,Construção,Construção,
01.V06/01,Trabalho de reparo de restauração,Material,General,SA,26.01,26.01,26.01,26.01,1,BRL,104.3,4.0099,1687,1623,RESTORATION/HERITAGE WORK,Cultura e Turismo B. (Antiguidades / Restauro),Cultura e Turismo B. (Antiguidades / Restauro),
01.V05,Assistentes de Mestre Especialista,Material,General,SA,38.62,38.62,38.62,38.62,1,BRL,944.92,24.4652,1346,814,RESTORATION/HERITAGE WORK,Cultura e Turismo B. (Antiguidades / Restauro),Cultura e Turismo B. (Antiguidades / Restauro),
10.100.1091,"Teste, Ajuste e Especialista em Comissionamento",Labor,Labor,Sa,110.35,110.35,110.35,110.35,1,BRL,3289.25,29.8071,1239,1239,EQUIPMENT INSTALLATION,Instalação elétrica,Instalação elétrica,RELEÓGIO DE CONTROLE DE POTÊNCIA REATIVA MONOFÁSICO
19.100.1113,Guindaste móvel,Equipment,General,Sa,170.32,170.22,221.09,170.22,2,BRL,2099.91,12.3354,1018,1013,CONSTRUCTION WORK,Construção,Construção,Tanque de armazenamento de água cilíndrico com poliéster reforçado com fibra de 
