resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,General laborer,Labor,Labor,Sa,11.92,8.93,14.76,11.88,3,CAD,225.17,18.8776,16092,13864,CONSTRUCTION WORK,Construction,Construction,Construction of single-frame curtain wall with plasterboard (Single Wall C 75 pr
10.100.1082,Installation master,Labor,Labor,Sa,18.0,18.0,18.0,18.0,1,CAD,227.13,12.6182,5556,5540,EQUIPMENT INSTALLATION,Mechanical Installation,Mechanical Installation,Long spout and brass non-valve siphon
10.100.1084,Installation assistant foreman,Labor,Labor,Sa,13.32,13.32,13.32,13.32,1,CAD,179.42,13.4696,5215,5199,EQUIPMENT INSTALLATION,Mechanical Installation,Mechanical Installation,Long spout and brass non-valve siphon
10.100.1081,Electrician,Labor,Labor,Sa,18.0,18.0,18.0,18.0,1,CAD,419.48,23.3038,4719,4619,EQUIPMENT INSTALLATION,Electrical Installation,Electrical Installation,Depth at least 400 mm
10.100.1083,Electrician assistant,Labor,Labor,Sa,13.32,13.32,13.32,13.32,1,CAD,314.85,23.6369,4633,4633,EQUIPMENT INSTALLATION,Electrical Installation,Electrical Installation,Depth at least 400 mm
10.100.1055,Operator machinist,Labor,Labor,Sa,20.62,20.52,25.56,20.52,2,CAD,190.29,9.2702,3446,2481,CONSTRUCTION WORK,Construction,Construction,Fiberglass Reinforced Polyester (FRP) Cylindrical Water Tanks
01.V04,Specialist Master,Material,General,SA,25.56,25.56,25.56,25.56,1,CAD,936.27,36.6295,2675,1081,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),Ministry of Culture and Tourism (Ancient Artifact / Restoration),
19.100.1112,Forklift,Equipment,General,Sa,49.53,49.53,49.53,49.53,1,CAD,338.51,6.834,1973,1968,CONSTRUCTION WORK,Construction,Construction,Polyethylene Water Tanks
10.100.1050,Pipe fitter,Labor,Labor,Sa,18.26,18.0,22.32,18.0,2,CAD,63.74,3.3658,1827,1827,CONSTRUCTION WORK,Construction,Construction,
01.V06/01,Restoration Rough Labour,Material,General,SA,11.88,11.88,11.88,11.88,1,CAD,47.64,4.0099,1687,1623,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),Ministry of Culture and Tourism (Ancient Artifact / Restoration),
01.V05,Specialist Assistant Craftsmen,Material,General,SA,17.64,17.64,17.64,17.64,1,CAD,431.58,24.4652,1346,814,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),Ministry of Culture and Tourism (Ancient Artifact / Restoration),
10.100.1091,"Test, Adjustment and Commissioning Specialist",Labor,Labor,Sa,50.4,50.4,50.4,50.4,1,CAD,1502.31,29.8071,1239,1239,EQUIPMENT INSTALLATION,Electrical Installation,Electrical Installation,SINGLE-PHASE REACTIVE POWER CONTROL RELAYS
