resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,Hilfsarbeiter,Labor,Labor,Sa,9.51,7.12,11.78,9.48,3,CHF,179.64,18.8776,16092,13864,CONSTRUCTION WORK,Bau,Bau,Herstelllung einer einlagigen Verkleidungswand mit Gipskartonplatten (Einwand C 
10.100.1082,Installateur,Labor,Labor,Sa,14.36,14.36,14.36,14.36,1,CHF,181.2,12.6182,5556,5540,EQUIPMENT INSTALLATION,Mechanische Anlagen,Mechanische Anlagen,Mit langem Auslauf und Spülkasten ohne Messingsteuerung
10.100.1084,Anlagenmonteurgehilfe,Labor,Labor,Sa,10.63,10.63,10.63,10.63,1,CHF,143.13,13.4696,5215,5199,EQUIPMENT INSTALLATION,Mechanische Anlagen,Mechanische Anlagen,Mit langem Auslauf und Spülkasten ohne Messingsteuerung
10.100.1081,Elektriker,Labor,Labor,Sa,14.36,14.36,14.36,14.36,1,CHF,334.65,23.3038,4719,4619,EQUIPMENT INSTALLATION,Elektroinstallation,Elektroinstallation,Tiefe mindestens 400 mm
10.100.1083,Elektrikerhelfer,Labor,Labor,Sa,10.63,10.63,10.63,10.63,1,CHF,251.18,23.6369,4633,4633,EQUIPMENT INSTALLATION,Elektroinstallation,Elektroinstallation,Tiefe mindestens 400 mm
10.100.1055,Maschinenführer,Labor,Labor,Sa,16.45,16.37,20.39,16.37,2,CHF,151.81,9.2702,3446,2481,CONSTRUCTION WORK,Bau,Bau,Zylindrische Wassertanks aus glasfaserverstärktem Polyester (GFK)
01.V04,Facharbeiter,Material,General,SA,20.39,20.39,20.39,20.39,1,CHF,746.93,36.6295,2675,1081,RESTORATION/HERITAGE WORK,Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),
19.100.1112,Gabelstapler,Equipment,General,Sa,39.52,39.52,39.52,39.52,1,CHF,270.05,6.834,1973,1968,CONSTRUCTION WORK,Bau,Bau,Polyethylen-Wassertanks
10.100.1050,Rohrleger,Labor,Labor,Sa,14.56,14.36,17.81,14.36,2,CHF,50.85,3.3658,1827,1827,CONSTRUCTION WORK,Bau,Bau,
01.V06/01,Restaurations-Feinarbeiter,Material,General,SA,9.48,9.48,9.48,9.48,1,CHF,38.0,4.0099,1687,1623,RESTORATION/HERITAGE WORK,Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),
01.V05,Facharbeiter Hilfskräfte,Material,General,SA,14.07,14.07,14.07,14.07,1,CHF,344.3,24.4652,1346,814,RESTORATION/HERITAGE WORK,Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),
10.100.1091,"Prüf-, Einstell- und Inbetriebnahmespezialist",Labor,Labor,Sa,40.21,40.21,40.21,40.21,1,CHF,1198.5,29.8071,1239,1239,EQUIPMENT INSTALLATION,Elektroinstallation,Elektroinstallation,EINPHASIGE REAKTIVLEISTUNGSSTEUERRELAIS
19.100.1113,Mobilkran,Equipment,General,Sa,62.06,62.02,80.56,62.02,2,CHF,765.14,12.3354,1018,1013,CONSTRUCTION WORK,Bau,Bau,Zylindrische Wassertanks aus glasfaserverstärktem Polyester (GFK)
10.130.9991,Wasser,Material,General,m³,2.31,2.01,3.16,2.21,3,CHF,0.33,0.1285,927,679,CONSTRUCTION WORK,Bau,Bau,
19.100.1002,Bagger Beko (125 HP),Equipment,General,Sa,114.19,114.19,114.19,114.19,1,CHF,11.07,0.097,546,528,CONSTRUCTION WORK,Bau,Bau,
10.100.1060,Vorarbeiter,Labor,Labor,Sa,20.72,20.68,25.56,20.68,2,CHF,30.18,1.4311,539,398,CONSTRUCTION WORK,Bau,Bau,"Schieber- und Glop-Ventile; aus Messing, geschraubt, nach (TS EN 12288) gefertig"
10.100.1063,Facharbeiter,Labor,Labor,Sa,11.9,11.49,14.36,11.49,2,CHF,59.51,5.1657,507,371,CONSTRUCTION WORK,Bau,Bau,
10.100.1068,Erstklassiger Meister,Labor,Labor,Sa,14.21,10.91,17.81,14.36,3,CHF,21.28,1.3882,469,399,CONSTRUCTION WORK,Bau,Bau,
10.100.1049,Rohrleitungsbauergehilfe,Labor,Labor,Sa,11.33,10.63,13.21,10.63,2,CHF,66.95,5.4792,396,396,CONSTRUCTION WORK,Bau,Bau,
10.100.1021,Schweißfacharbeiter,Labor,Labor,Sa,15.28,10.91,17.81,14.36,3,CHF,292.46,19.5521,394,285,MACHINE RATE,Maschine (Stundenlohn-Analyse),Maschine (Stundenlohn-Analyse),
10.100.1064,Lehrling,Labor,Labor,Sa,9.48,7.12,11.78,9.48,3,CHF,17.0,1.7933,376,130,CONSTRUCTION WORK,Bau,Bau,
10.100.1013,Maurermeister,Labor,Labor,Sa,14.54,10.91,17.81,14.36,3,CHF,11.52,0.7882,375,341,CONSTRUCTION WORK,Bau,Bau,
