resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,Ouvrier général,Labor,Labor,Sa,2026.66,1517.58,2508.91,2019.36,3,XAF,38274.19,18.8776,16092,13864,CONSTRUCTION WORK,Construction,Construction,Construction d'un mur de revêtement à ossature unique en plaque de plâtre (Profi
10.100.1082,Technicien en installation,Labor,Labor,Sa,3059.64,3059.64,3059.64,3059.64,1,XAF,38607.2,12.6182,5556,5540,EQUIPMENT INSTALLATION,Installation mécanique,Installation mécanique,Soupape à longue portée et commande en laiton sans siphon
10.100.1084,Aide de maçon,Labor,Labor,Sa,2264.14,2264.14,2264.14,2264.14,1,XAF,30496.91,13.4696,5215,5199,EQUIPMENT INSTALLATION,Installation mécanique,Installation mécanique,Soupape à longue portée et commande en laiton sans siphon
10.100.1081,Électricien,Labor,Labor,Sa,3059.64,3059.64,3059.64,3059.64,1,XAF,71301.27,23.3038,4719,4619,EQUIPMENT INSTALLATION,Installation électrique,Installation électrique,Profondeur d'au moins 400 mm
10.100.1083,Aide électricien,Labor,Labor,Sa,2264.14,2264.14,2264.14,2264.14,1,XAF,53517.07,23.6369,4633,4633,EQUIPMENT INSTALLATION,Installation électrique,Installation électrique,Profondeur d'au moins 400 mm
10.100.1055,Opérateur de machine,Labor,Labor,Sa,3504.47,3487.99,4344.69,3487.99,2,XAF,32344.85,9.2702,3446,2481,CONSTRUCTION WORK,Construction,Construction,Réservoirs d'eau cylindriques en polyester renforcé de fibre de verre (CTP)
01.V04,Maître spécialisé,Material,General,SA,4344.69,4344.69,4344.69,4344.69,1,XAF,159143.82,36.6295,2675,1081,RESTORATION/HERITAGE WORK,Ministère de la Culture et du Tourisme (Monuments historiques / Restauration),Ministère de la Culture et du Tourisme (Monuments historiques / Restauration),
19.100.1112,Chariot élévateur,Equipment,General,Sa,8419.53,8419.53,8419.53,8419.53,1,XAF,57538.86,6.834,1973,1968,CONSTRUCTION WORK,Construction,Construction,Réservoirs d'eau en polyéthylène
10.100.1050,Maçon,Labor,Labor,Sa,3103.1,3059.64,3793.96,3059.64,2,XAF,10834.92,3.3658,1827,1827,CONSTRUCTION WORK,Construction,Construction,
01.V06/01,Travailleur de finition pour restauration,Material,General,SA,2019.36,2019.36,2019.36,2019.36,1,XAF,8097.47,4.0099,1687,1623,RESTORATION/HERITAGE WORK,Ministère de la Culture et du Tourisme (Monuments historiques / Restauration),Ministère de la Culture et du Tourisme (Monuments historiques / Restauration),
01.V05,Assistants de maître spécialisé,Material,General,SA,2998.45,2998.45,2998.45,2998.45,1,XAF,73357.82,24.4652,1346,814,RESTORATION/HERITAGE WORK,Ministère de la Culture et du Tourisme (Monuments historiques / Restauration),Ministère de la Culture et du Tourisme (Monuments historiques / Restauration),
10.100.1091,"Spécialiste des tests, des réglages et de la mise en service",Labor,Labor,Sa,8567.0,8567.0,8567.0,8567.0,1,XAF,255357.8,29.8071,1239,1239,EQUIPMENT INSTALLATION,Installation électrique,Installation électrique,RÔLES DE COMMANDE DE PUISSANCE RÉACTIVE MONOPHASÉE
19.100.1113,Grue mobile,Equipment,General,Sa,13222.6,13214.84,17163.99,13214.84,2,XAF,163025.0,12.3354,1018,1013,CONSTRUCTION WORK,Construction,Construction,Réservoirs d'eau cylindriques en polyester renforcé de fibre de verre (CTP)
10.130.9991,Eau,Material,General,m³,491.76,428.35,673.12,471.19,3,XAF,70.2,0.1285,927,679,CONSTRUCTION WORK,Construction,Construction,
19.100.1002,Excavatrice Beko (125 HP),Equipment,General,Sa,24330.4,24330.4,24330.4,24330.4,1,XAF,2359.24,0.097,546,528,CONSTRUCTION WORK,Construction,Construction,
10.100.1060,Formes,Labor,Labor,Sa,4413.69,4405.89,5446.16,4405.89,2,XAF,6429.4,1.4311,539,398,CONSTRUCTION WORK,Construction,Construction,"Vannes à glissière (à soufflet) et vannes Glop ; en laiton à vis, fabriquées sel"
10.100.1063,Ouvrier,Labor,Labor,Sa,2534.79,2447.71,3059.64,2447.71,2,XAF,12679.07,5.1657,507,371,CONSTRUCTION WORK,Construction,Construction,
10.100.1068,Maçon de première classe,Labor,Labor,Sa,3028.22,2325.33,3793.96,3059.64,3,XAF,4533.46,1.3882,469,399,CONSTRUCTION WORK,Construction,Construction,
10.100.1049,Aide de plombier,Labor,Labor,Sa,2414.72,2264.14,2814.87,2264.14,2,XAF,14265.11,5.4792,396,396,CONSTRUCTION WORK,Construction,Construction,
10.100.1021,ouvrier en approvisionnement,Labor,Labor,Sa,3255.83,2325.33,3793.96,3059.64,3,XAF,62312.68,19.5521,394,285,MACHINE RATE,Analyse des coûts horaires des machines,Analyse des coûts horaires des machines,
10.100.1064,Apprenti,Labor,Labor,Sa,2020.51,1517.58,2508.91,2019.36,3,XAF,3621.5,1.7933,376,130,CONSTRUCTION WORK,Construction,Construction,
10.100.1013,Maçon,Labor,Labor,Sa,3098.91,2325.33,3793.96,3059.64,3,XAF,2455.46,0.7882,375,341,CONSTRUCTION WORK,Construction,Construction,
10.420.1012,Vis et cheville en plastique,Material,General,Ad,18.24,12.24,18.36,18.36,2,XAF,280.43,15.2894,356,265,CONSTRUCTION WORK,Construction,Construction,Construction d'un mur de revêtement à ossature unique en plaque de plâtre (Profi
10.160.1035,Électrot,Material,General,Ad,20.8,15.42,23.5,19.58,3,XAF,2568.09,117.7585,345,272,MACHINE RATE,Analyse des coûts horaires des machines,Analyse des coûts horaires des machines,
10.160.1026,Gazole,Material,General,Kg,563.64,536.54,693.44,536.54,2,XAF,8084.42,14.3654,331,98,MACHINE RATE,Analyse des coûts horaires des machines,Analyse des coûts horaires des machines,
10.300.1602,papier de verre,Material,General,Ad,79.28,42.84,79.55,79.55,2,XAF,1185.41,14.9103,269,101,CONSTRUCTION WORK,Construction,Construction,
10.100.1069,Aide de maître de première classe,Labor,Labor,Sa,2245.93,1713.4,2264.14,2264.14,2,XAF,8080.58,3.5892,265,224,CONSTRUCTION WORK,Construction,Construction,
10.100.1015,Maçon,Labor,Labor,Sa,3340.57,3059.64,3793.96,3059.64,2,XAF,16112.4,5.1905,265,103,CONSTRUCTION WORK,Construction,Construction,
10.100.1010,Spécialiste en isolation,Labor,Labor,Sa,3039.41,2325.33,3793.96,3059.64,3,XAF,2068.51,0.6794,255,219,CONSTRUCTION WORK,Construction,Construction,Isolation en fibro-verre sur surfaces métalliques telles que des dépôts;
10.100.1057,Assistant opérateur,Labor,Labor,Sa,3126.96,2937.26,3671.57,2937.26,2,XAF,2375.81,0.7701,241,209,MACHINE RATE,Analyse des coûts horaires des machines,Analyse des coûts horaires des machines,
10.100.1023,Peintre,Labor,Labor,Sa,3056.56,2325.33,3059.64,3059.64,2,XAF,148414.33,48.5073,238,122,CONSTRUCTION WORK,Construction,Construction,"Peinture de tuyaux, avec de la peinture à l'huile;"
