resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,Obyčejný dělník,Labor,Labor,Sa,132.79,99.43,164.39,132.31,3,CZK,2507.78,18.8776,16092,13864,CONSTRUCTION WORK,Stavba,Stavba,Vytvoření obvodové stěny s jedním rámem z sádrokartonu (Jednostěnný profil C 75 
10.100.1082,Instalatér,Labor,Labor,Sa,200.47,200.47,200.47,200.47,1,CZK,2529.6,12.6182,5556,5540,EQUIPMENT INSTALLATION,Mechanické instalace,Mechanické instalace,Dlouhý kohout a mosazný bezovládací sifon
10.100.1084,Pomocník instalatéra,Labor,Labor,Sa,148.35,148.35,148.35,148.35,1,CZK,1998.2,13.4696,5215,5199,EQUIPMENT INSTALLATION,Mechanické instalace,Mechanické instalace,Dlouhý kohout a mosazný bezovládací sifon
10.100.1081,Elektrikář,Labor,Labor,Sa,200.47,200.47,200.47,200.47,1,CZK,4671.76,23.3038,4719,4619,EQUIPMENT INSTALLATION,Elektrická instalace,Elektrická instalace,Hloubka alespoň 400 mm
10.100.1083,Pomocník elektrikáře,Labor,Labor,Sa,148.35,148.35,148.35,148.35,1,CZK,3506.51,23.6369,4633,4633,EQUIPMENT INSTALLATION,Elektrická instalace,Elektrická instalace,Hloubka alespoň 400 mm
10.100.1055,Strojník,Labor,Labor,Sa,229.62,228.54,284.67,228.54,2,CZK,2119.28,9.2702,3446,2481,CONSTRUCTION WORK,Stavba,Stavba,Skleněná vlákna s polyesterovou výztuží (CTP) cylindrické zásobníky na vodu
01.V04,Odborný mistr,Material,General,SA,284.67,284.67,284.67,284.67,1,CZK,10427.33,36.6295,2675,1081,RESTORATION/HERITAGE WORK,Ministerstvo kultury a turismu (historické památky / obnova),Ministerstvo kultury a turismu (historické památky / obnova),
19.100.1112,Vysokozdvižný vozík,Equipment,General,Sa,551.66,551.66,551.66,551.66,1,CZK,3770.03,6.834,1973,1968,CONSTRUCTION WORK,Stavba,Stavba,Polyetylenové zásobníky na vodu
10.100.1050,Betonář,Labor,Labor,Sa,203.32,200.47,248.59,200.47,2,CZK,709.92,3.3658,1827,1827,CONSTRUCTION WORK,Stavba,Stavba,
01.V06/01,Restaurovací plošná práce dělníky,Material,General,SA,132.31,132.31,132.31,132.31,1,CZK,530.56,4.0099,1687,1623,RESTORATION/HERITAGE WORK,Ministerstvo kultury a turismu (historické památky / obnova),Ministerstvo kultury a turismu (historické památky / obnova),
