resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,Hilfsarbeiter,Labor,Labor,Sa,7.26,5.43,8.98,7.23,3,EUR,137.03,18.8776,16092,13864,CONSTRUCTION WORK,Bau,Bau,Herstelllung einer einlagigen Verkleidungswand mit Gipskartonplatten (Einwand C 
10.100.1082,Installateur,Labor,Labor,Sa,10.95,10.95,10.95,10.95,1,EUR,138.22,12.6182,5556,5540,EQUIPMENT INSTALLATION,Mechanische Anlagen,Mechanische Anlagen,Mit langem Auslauf und Spülkasten ohne Messingsteuerung
10.100.1084,Anlagenmonteurgehilfe,Labor,Labor,Sa,8.11,8.11,8.11,8.11,1,EUR,109.18,13.4696,5215,5199,EQUIPMENT INSTALLATION,Mechanische Anlagen,Mechanische Anlagen,Mit langem Auslauf und Spülkasten ohne Messingsteuerung
10.100.1081,Elektriker,Labor,Labor,Sa,10.95,10.95,10.95,10.95,1,EUR,255.27,23.3038,4719,4619,EQUIPMENT INSTALLATION,Elektroinstallation,Elektroinstallation,Tiefe mindestens 400 mm
10.100.1083,Elektrikerhelfer,Labor,Labor,Sa,8.11,8.11,8.11,8.11,1,EUR,191.6,23.6369,4633,4633,EQUIPMENT INSTALLATION,Elektroinstallation,Elektroinstallation,Tiefe mindestens 400 mm
10.100.1055,Maschinenführer,Labor,Labor,Sa,12.55,12.49,15.55,12.49,2,EUR,115.8,9.2702,3446,2481,CONSTRUCTION WORK,Bau,Bau,Zylindrische Wassertanks aus glasfaserverstärktem Polyester (GFK)
01.V04,Facharbeiter,Material,General,SA,15.55,15.55,15.55,15.55,1,EUR,569.76,36.6295,2675,1081,RESTORATION/HERITAGE WORK,Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),
19.100.1112,Gabelstapler,Equipment,General,Sa,30.14,30.14,30.14,30.14,1,EUR,206.0,6.834,1973,1968,CONSTRUCTION WORK,Bau,Bau,Polyethylen-Wassertanks
10.100.1050,Rohrleger,Labor,Labor,Sa,11.11,10.95,13.58,10.95,2,EUR,38.79,3.3658,1827,1827,CONSTRUCTION WORK,Bau,Bau,
01.V06/01,Restaurations-Feinarbeiter,Material,General,SA,7.23,7.23,7.23,7.23,1,EUR,28.99,4.0099,1687,1623,RESTORATION/HERITAGE WORK,Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),
01.V05,Facharbeiter Hilfskräfte,Material,General,SA,10.73,10.73,10.73,10.73,1,EUR,262.63,24.4652,1346,814,RESTORATION/HERITAGE WORK,Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),Kultur- und Tourismusministerium (Denkmalschutz / Restaurierung),
10.100.1091,"Prüf-, Einstell- und Inbetriebnahmespezialist",Labor,Labor,Sa,30.67,30.67,30.67,30.67,1,EUR,914.23,29.8071,1239,1239,EQUIPMENT INSTALLATION,Elektroinstallation,Elektroinstallation,EINPHASIGE REAKTIVLEISTUNGSSTEUERRELAIS
19.100.1113,Mobilkran,Equipment,General,Sa,47.34,47.31,61.45,47.31,2,EUR,583.66,12.3354,1018,1013,CONSTRUCTION WORK,Bau,Bau,Zylindrische Wassertanks aus glasfaserverstärktem Polyester (GFK)
10.130.9991,Wasser,Material,General,m³,1.76,1.53,2.41,1.69,3,EUR,0.25,0.1285,927,679,CONSTRUCTION WORK,Bau,Bau,
