resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,General laborer,Labor,Labor,Sa,6.92,5.18,8.57,6.9,3,GBP,130.69,18.8776,16092,13864,CONSTRUCTION WORK,Construction,,Construction of single-frame curtain wall with plasterboard (Single Wall C 75 pr
10.100.1082,Installation master,Labor,Labor,Sa,10.45,10.45,10.45,10.45,1,GBP,131.83,12.6182,5556,5540,EQUIPMENT INSTALLATION,Mechanical Installation,,Long spout and brass non-valve siphon
10.100.1084,Installation assistant foreman,Labor,Labor,Sa,7.73,7.73,7.73,7.73,1,GBP,104.13,13.4696,5215,5199,EQUIPMENT INSTALLATION,Mechanical Installation,,Long spout and brass non-valve siphon
10.100.1081,Electrician,Labor,Labor,Sa,10.45,10.45,10.45,10.45,1,GBP,243.46,23.3038,4719,4619,EQUIPMENT INSTALLATION,Electrical Installation,,Depth at least 400 mm
10.100.1083,Electrician assistant,Labor,Labor,Sa,7.73,7.73,7.73,7.73,1,GBP,182.74,23.6369,4633,4633,EQUIPMENT INSTALLATION,Electrical Installation,,Depth at least 400 mm
10.100.1055,Operator machinist,Labor,Labor,Sa,11.97,11.91,14.84,11.91,2,GBP,110.44,9.2702,3446,2481,CONSTRUCTION WORK,Construction,,Fiberglass Reinforced Polyester (FRP) Cylindrical Water Tanks
01.V04,Specialist Master,Material,General,SA,14.84,14.84,14.84,14.84,1,GBP,543.4,36.6295,2675,1081,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),,
19.100.1112,Forklift,Equipment,General,Sa,28.75,28.75,28.75,28.75,1,GBP,196.47,6.834,1973,1968,CONSTRUCTION WORK,Construction,,Polyethylene Water Tanks
10.100.1050,Pipe fitter,Labor,Labor,Sa,10.6,10.45,12.95,10.45,2,GBP,37.0,3.3658,1827,1827,CONSTRUCTION WORK,Construction,,
01.V06/01,Restoration Rough Labour,Material,General,SA,6.9,6.9,6.9,6.9,1,GBP,27.65,4.0099,1687,1623,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),,
01.V05,Specialist Assistant Craftsmen,Material,General,SA,10.24,10.24,10.24,10.24,1,GBP,250.48,24.4652,1346,814,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),,
10.100.1091,"Test, Adjustment and Commissioning Specialist",Labor,Labor,Sa,29.25,29.25,29.25,29.25,1,GBP,871.93,29.8071,1239,1239,EQUIPMENT INSTALLATION,Electrical Installation,,SINGLE-PHASE REACTIVE POWER CONTROL RELAYS
19.100.1113,Mobile crane,Equipment,General,Sa,45.15,45.12,58.61,45.12,2,GBP,556.65,12.3354,1018,1013,CONSTRUCTION WORK,Construction,,Fiberglass Reinforced Polyester (FRP) Cylindrical Water Tanks
10.130.9991,Water,Material,General,m³,1.68,1.46,2.3,1.61,3,GBP,0.24,0.1285,927,679,CONSTRUCTION WORK,Construction,,
19.100.1002,Excavator Beko (125 HP),Equipment,General,Sa,83.08,83.08,83.08,83.08,1,GBP,8.06,0.097,546,528,CONSTRUCTION WORK,Construction,,
10.100.1060,Foreman,Labor,Labor,Sa,15.07,15.04,18.6,15.04,2,GBP,21.95,1.4311,539,398,CONSTRUCTION WORK,Construction,,"Sliding (gate) and Glop Valves; brass threaded, manufactured by pressing accordi"
10.100.1063,Skilled laborer,Labor,Labor,Sa,8.66,8.36,10.45,8.36,2,GBP,43.29,5.1657,507,371,CONSTRUCTION WORK,Construction,,
10.100.1068,First-class master craftsman,Labor,Labor,Sa,10.34,7.94,12.95,10.45,3,GBP,15.48,1.3882,469,399,CONSTRUCTION WORK,Construction,,
10.100.1049,Pipefitter assistant,Labor,Labor,Sa,8.25,7.73,9.61,7.73,2,GBP,48.71,5.4792,396,396,CONSTRUCTION WORK,Construction,,
10.100.1021,Welder,Labor,Labor,Sa,11.12,7.94,12.95,10.45,3,GBP,212.77,19.5521,394,285,MACHINE RATE,Machinery (Hourly Rate Analysis),,
10.100.1064,Apprentice,Labor,Labor,Sa,6.9,5.18,8.57,6.9,3,GBP,12.37,1.7933,376,130,CONSTRUCTION WORK,Construction,,
10.100.1013,Bricklayer,Labor,Labor,Sa,10.58,7.94,12.95,10.45,3,GBP,8.38,0.7882,375,341,CONSTRUCTION WORK,Construction,,
10.420.1012,Screw and plastic dowel,Material,General,Ad,0.06,0.04,0.06,0.06,2,GBP,0.96,15.2894,356,265,CONSTRUCTION WORK,Construction,,Construction of single-frame curtain wall with plasterboard (Single Wall C 75 pr
10.160.1035,Electrode,Material,General,Ad,0.07,0.05,0.08,0.07,3,GBP,8.77,117.7585,345,272,MACHINE RATE,Machinery (Hourly Rate Analysis),,
