resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,General laborer,Labor,Labor,Sa,48.54,36.35,60.1,48.37,3,GHS,916.78,18.8776,16092,13864,CONSTRUCTION WORK,Construction,,Construction of single-frame curtain wall with plasterboard (Single Wall C 75 pr
10.100.1082,Installation master,Labor,Labor,Sa,73.29,73.29,73.29,73.29,1,GHS,924.76,12.6182,5556,5540,EQUIPMENT INSTALLATION,Mechanical Installation,,Long spout and brass non-valve siphon
10.100.1084,Installation assistant foreman,Labor,Labor,Sa,54.23,54.23,54.23,54.23,1,GHS,730.49,13.4696,5215,5199,EQUIPMENT INSTALLATION,Mechanical Installation,,Long spout and brass non-valve siphon
10.100.1081,Electrician,Labor,Labor,Sa,73.29,73.29,73.29,73.29,1,GHS,1707.88,23.3038,4719,4619,EQUIPMENT INSTALLATION,Electrical Installation,,Depth at least 400 mm
10.100.1083,Electrician assistant,Labor,Labor,Sa,54.23,54.23,54.23,54.23,1,GHS,1281.89,23.6369,4633,4633,EQUIPMENT INSTALLATION,Electrical Installation,,Depth at least 400 mm
10.100.1055,Operator machinist,Labor,Labor,Sa,83.94,83.55,104.07,83.55,2,GHS,774.75,9.2702,3446,2481,CONSTRUCTION WORK,Construction,,Fiberglass Reinforced Polyester (FRP) Cylindrical Water Tanks
01.V04,Specialist Master,Material,General,SA,104.07,104.07,104.07,104.07,1,GHS,3811.96,36.6295,2675,1081,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),,
19.100.1112,Forklift,Equipment,General,Sa,201.67,201.67,201.67,201.67,1,GHS,1378.22,6.834,1973,1968,CONSTRUCTION WORK,Construction,,Polyethylene Water Tanks
10.100.1050,Pipe fitter,Labor,Labor,Sa,74.33,73.29,90.88,73.29,2,GHS,259.53,3.3658,1827,1827,CONSTRUCTION WORK,Construction,,
01.V06/01,Restoration Rough Labour,Material,General,SA,48.37,48.37,48.37,48.37,1,GHS,193.96,4.0099,1687,1623,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),,
01.V05,Specialist Assistant Craftsmen,Material,General,SA,71.82,71.82,71.82,71.82,1,GHS,1757.14,24.4652,1346,814,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),,
10.100.1091,"Test, Adjustment and Commissioning Specialist",Labor,Labor,Sa,205.2,205.2,205.2,205.2,1,GHS,6116.57,29.8071,1239,1239,EQUIPMENT INSTALLATION,Electrical Installation,,SINGLE-PHASE REACTIVE POWER CONTROL RELAYS
19.100.1113,Mobile crane,Equipment,General,Sa,316.72,316.53,411.13,316.53,2,GHS,3904.93,12.3354,1018,1013,CONSTRUCTION WORK,Construction,,Fiberglass Reinforced Polyester (FRP) Cylindrical Water Tanks
10.130.9991,Water,Material,General,m³,11.78,10.26,16.12,11.29,3,GHS,1.68,0.1285,927,679,CONSTRUCTION WORK,Construction,,
