resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,Obični radnik,Labor,Labor,Sa,4.81,3.6,5.96,4.79,3,EUR,90.87,18.8776,16092,13864,CONSTRUCTION WORK,Građevina,Građevina,Izrada obloge zida s jednim okvirom od gipsane ploče (Jednostrani zid C 75 profi
10.100.1082,Majstor za instalacije,Labor,Labor,Sa,7.26,7.26,7.26,7.26,1,EUR,91.66,12.6182,5556,5540,EQUIPMENT INSTALLATION,Mehanička instalacija,Mehanička instalacija,Dugačka slavina i miješalica od mesinga bez upravljača
10.100.1084,Pomoćnik majstora za instalacije,Labor,Labor,Sa,5.38,5.38,5.38,5.38,1,EUR,72.4,13.4696,5215,5199,EQUIPMENT INSTALLATION,Mehanička instalacija,Mehanička instalacija,Dugačka slavina i miješalica od mesinga bez upravljača
10.100.1081,Električar,Labor,Labor,Sa,7.26,7.26,7.26,7.26,1,EUR,169.28,23.3038,4719,4619,EQUIPMENT INSTALLATION,Električni instalacijski radovi,Električni instalacijski radovi,Dubina najmanje 400 mm
10.100.1083,Pomoćnik električara,Labor,Labor,Sa,5.38,5.38,5.38,5.38,1,EUR,127.06,23.6369,4633,4633,EQUIPMENT INSTALLATION,Električni instalacijski radovi,Električni instalacijski radovi,Dubina najmanje 400 mm
10.100.1055,Operater,Labor,Labor,Sa,8.32,8.28,10.31,8.28,2,EUR,76.79,9.2702,3446,2481,CONSTRUCTION WORK,Građevina,Građevina,Staklena vlakna ojačani poliester (CTP) cilindrični spremnici za vodu
01.V04,Stručni majstor,Material,General,SA,10.31,10.31,10.31,10.31,1,EUR,377.83,36.6295,2675,1081,RESTORATION/HERITAGE WORK,Ministarstvo kulture i turizma (Stari spomenik / Restauracija),Ministarstvo kulture i turizma (Stari spomenik / Restauracija),
19.100.1112,Viličar,Equipment,General,Sa,19.99,19.99,19.99,19.99,1,EUR,136.61,6.834,1973,1968,CONSTRUCTION WORK,Građevina,Građevina,Polietilenski spremnici za vodu
10.100.1050,Betonski majstor,Labor,Labor,Sa,7.37,7.26,9.01,7.26,2,EUR,25.72,3.3658,1827,1827,CONSTRUCTION WORK,Građevina,Građevina,
01.V06/01,Restauratorski ravni radnik,Material,General,SA,4.79,4.79,4.79,4.79,1,EUR,19.22,4.0099,1687,1623,RESTORATION/HERITAGE WORK,Ministarstvo kulture i turizma (Stari spomenik / Restauracija),Ministarstvo kulture i turizma (Stari spomenik / Restauracija),
01.V05,Stručni pomoćnici majstora,Material,General,SA,7.12,7.12,7.12,7.12,1,EUR,174.16,24.4652,1346,814,RESTORATION/HERITAGE WORK,Ministarstvo kulture i turizma (Stari spomenik / Restauracija),Ministarstvo kulture i turizma (Stari spomenik / Restauracija),
10.100.1091,"Stručnjak za testiranje, podešavanje i puštanje u rad",Labor,Labor,Sa,20.34,20.34,20.34,20.34,1,EUR,606.25,29.8071,1239,1239,EQUIPMENT INSTALLATION,Električni instalacijski radovi,Električni instalacijski radovi,TEK FAZNI REAKTIVNI SNAGA KONTROLNE ROLNE
19.100.1113,Mobil dizalica,Equipment,General,Sa,31.39,31.37,40.75,31.37,2,EUR,387.04,12.3354,1018,1013,CONSTRUCTION WORK,Građevina,Građevina,Staklena vlakna ojačani poliester (CTP) cilindrični spremnici za vodu
10.130.9991,Voda,Material,General,m³,1.17,1.02,1.6,1.12,3,EUR,0.17,0.1285,927,679,CONSTRUCTION WORK,Građevina,Građevina,
19.100.1002,Ekskavator Beko (125 HP),Equipment,General,Sa,57.76,57.76,57.76,57.76,1,EUR,5.6,0.097,546,528,CONSTRUCTION WORK,Građevina,Građevina,
10.100.1060,Oblikovanje,Labor,Labor,Sa,10.48,10.46,12.93,10.46,2,EUR,15.26,1.4311,539,398,CONSTRUCTION WORK,Građevina,Građevina,"Sklopivi (šiber) i Glop ventili; mesingani vijčani, izrađeni prešom (TS EN 12288"
10.100.1063,Radnik,Labor,Labor,Sa,6.02,5.81,7.26,5.81,2,EUR,30.1,5.1657,507,371,CONSTRUCTION WORK,Građevina,Građevina,
10.100.1068,Prvoklasni majstor,Labor,Labor,Sa,7.19,5.52,9.01,7.26,3,EUR,10.76,1.3882,469,399,CONSTRUCTION WORK,Građevina,Građevina,
10.100.1049,Pomoćnik vodoinstalatera,Labor,Labor,Sa,5.73,5.38,6.68,5.38,2,EUR,33.87,5.4792,396,396,CONSTRUCTION WORK,Građevina,Građevina,
10.100.1021,Izvorni majstor,Labor,Labor,Sa,7.73,5.52,9.01,7.26,3,EUR,147.94,19.5521,394,285,MACHINE RATE,Analiza satničnih troškova za strojeve,Analiza satničnih troškova za strojeve,
10.100.1064,Čirak,Labor,Labor,Sa,4.8,3.6,5.96,4.79,3,EUR,8.6,1.7933,376,130,CONSTRUCTION WORK,Građevina,Građevina,
10.100.1013,Zidar,Labor,Labor,Sa,7.36,5.52,9.01,7.26,3,EUR,5.83,0.7882,375,341,CONSTRUCTION WORK,Građevina,Građevina,
10.420.1012,Vijak i plastična tiple,Material,General,Ad,0.04,0.03,0.04,0.04,2,EUR,0.67,15.2894,356,265,CONSTRUCTION WORK,Građevina,Građevina,Izrada obloge zida s jednim okvirom od gipsane ploče (Jednostrani zid C 75 profi
10.160.1035,Elektrod,Material,General,Ad,0.05,0.04,0.06,0.05,3,EUR,6.1,117.7585,345,272,MACHINE RATE,Analiza satničnih troškova za strojeve,Analiza satničnih troškova za strojeve,
10.160.1026,Dizel,Material,General,Kg,1.34,1.27,1.65,1.27,2,EUR,19.19,14.3654,331,98,MACHINE RATE,Analiza satničnih troškova za strojeve,Analiza satničnih troškova za strojeve,
10.300.1602,Šmirgl papir,Material,General,Ad,0.19,0.1,0.19,0.19,2,EUR,2.81,14.9103,269,101,CONSTRUCTION WORK,Građevina,Građevina,
10.100.1069,Prvi razred pomoćnika majstora,Labor,Labor,Sa,5.33,4.07,5.38,5.38,2,EUR,19.18,3.5892,265,224,CONSTRUCTION WORK,Građevina,Građevina,
10.100.1015,Betonirac,Labor,Labor,Sa,7.93,7.26,9.01,7.26,2,EUR,38.25,5.1905,265,103,CONSTRUCTION WORK,Građevina,Građevina,
10.100.1010,Majstor za izolaciju,Labor,Labor,Sa,7.22,5.52,9.01,7.26,3,EUR,4.91,0.6794,255,219,CONSTRUCTION WORK,Građevina,Građevina,Izolacija od fibro stakla na metalnim površinama poput skladišta;
10.100.1057,Pomoćnik operatera,Labor,Labor,Sa,7.42,6.97,8.72,6.97,2,EUR,5.64,0.7701,241,209,MACHINE RATE,Analiza satničnih troškova za strojeve,Analiza satničnih troškova za strojeve,
10.100.1023,Majstor za bojanje,Labor,Labor,Sa,7.26,5.52,7.26,7.26,2,EUR,352.36,48.5073,238,122,CONSTRUCTION WORK,Građevina,Građevina,"Boru boyanması, sülyen boya ile;"
10.110.1003,"Koeficijent za prijevoz motornim vozilima svih vrsta i tonaža (0,0004xK) 0,0004 %... Troškovi poduzeća i opći troškovi ""a"" koeficijent (a) se računaju prema općem formulu prijevoza: (F= 0,00017xKxA x B x √¯M) HRK/tonu. Cijena prijevoza u brdskim akumulacijama određuje se na temelju m3. S obzirom na prosječnu gustoću materijala za iskop u građevinarstvu od 1,88 tona/m3, ova formula je: F= 1,88x0,00017xKxA x B x √¯M HRK/m3. K: Koeficijent (10.110.1003). K= koeficijent prijevoza (10.110.1003). A=1,25 i za prijevoz iskopnih materijala B=1,00, pa je: F= 1,88x0,00017xKx1,25x1x√¯M HRK/m3. F=0,0004xKx√¯M HRK/tonu. a=0,0004 K. Prijevoz cestama.",Material,General,ton,67.74,50.85,68.72,68.72,2,EUR,0.19,0.0028,223,70,WATER/DAM/IRRIGATION WORK,Državne vodne usluge (Analize i tarife),Državne vodne usluge (Analize i tarife),
10.100.1054,Operater,Labor,Labor,Sa,7.29,7.26,9.01,7.26,2,EUR,87.31,12.0168,215,116,CONSTRUCTION WORK,Građevina,Građevina,
10.420.1006,Vijak,Material,General,Kg,0.59,0.44,0.73,0.58,3,EUR,0.4,0.6719,212,120,CONSTRUCTION WORK,Građevina,Građevina,
10.100.1038,Pomoćnik majstora za gipsane ploče,Labor,Labor,Sa,5.38,5.38,5.38,5.38,1,EUR,7.17,1.3343,207,207,CONSTRUCTION WORK,Građevina,Građevina,Izrada obloge zida s jednim okvirom od gipsane ploče (Jednostrani zid C 75 profi
10.100.1033,Majstor za gipsane ploče,Labor,Labor,Sa,7.26,7.26,7.26,7.26,1,EUR,9.47,1.3034,205,205,CONSTRUCTION WORK,Građevina,Građevina,Izrada obloge zida s jednim okvirom od gipsane ploče (Jednostrani zid C 75 profi
10.200.3031,Traka za fugiranje,Material,General,m,0.02,0.02,0.02,0.02,1,EUR,0.06,2.4835,203,203,CONSTRUCTION WORK,Građevina,Građevina,Izrada obloge zida s jednim okvirom od gipsane ploče (Jednostrani zid C 75 profi
19.100.2434,Priprema morta za žbukanje spojeva,Material,General,m³,105.0,105.0,105.0,105.0,1,EUR,0.09,0.0008,203,203,CONSTRUCTION WORK,Građevina,Građevina,Izrada obloge zida s jednim okvirom od gipsane ploče (Jednostrani zid C 75 profi
10.100.1005,Majstor za mramorne obloge,Labor,Labor,Sa,7.08,5.52,7.26,7.26,2,EUR,17.11,2.4128,203,194,CONSTRUCTION WORK,Građevina,Građevina,
10.420.1013,Vijak s prstenom,Material,General,Kt,4.07,4.07,4.07,4.07,1,EUR,0.14,0.0341,197,197,CONSTRUCTION WORK,Građevina,Građevina,Izrada obloge zida s jednim okvirom od gipsane ploče (Jednostrani zid C 75 profi
01.V06,Radovi na restauraciji i očuvanju radnika,Material,General,SA,5.81,5.81,5.81,5.81,1,EUR,27.8,4.7837,196,192,RESTORATION/HERITAGE WORK,Ministarstvo kulture i turizma (Stari spomenik / Restauracija),Ministarstvo kulture i turizma (Stari spomenik / Restauracija),
04.V39,rukavice,Material,General,AD,0.07,0.07,0.07,0.07,1,EUR,0.1,1.3098,192,73,RESTORATION/HERITAGE WORK,Ministarstvo kulture i turizma (Stari spomenik / Restauracija),Ministarstvo kulture i turizma (Stari spomenik / Restauracija),
10.130.4502,Smrčevina od jele (II. razred),Material,General,m³,220.13,145.28,261.5,217.92,3,EUR,18.04,0.0787,192,144,CONSTRUCTION WORK,Građevina,Građevina,
10.100.1008,Stolar,Labor,Labor,Sa,7.26,7.26,7.26,7.26,1,EUR,20.84,2.8693,192,68,CONSTRUCTION WORK,Građevina,Građevina,
10.100.1009,stolar,Labor,Labor,Sa,7.3,7.26,9.01,7.26,2,EUR,1553.37,213.8008,191,31,CONSTRUCTION WORK,Građevina,Građevina,
10.100.1018,Majstor za vruće željezo,Labor,Labor,Sa,7.44,5.52,9.01,7.26,3,EUR,855.11,117.7104,190,72,CONSTRUCTION WORK,Građevina,Građevina,
V.0104/A,400 Komada cementnog maltera za izradu (s grubim pijeskom),Abstract Material,General,M³,55.08,55.08,55.08,55.08,1,EUR,1.84,0.0334,188,188,RESTORATION/HERITAGE WORK,Ministarstvo kulture i turizma (Stari spomenik / Restauracija),Ministarstvo kulture i turizma (Stari spomenik / Restauracija),
19.100.1062,Cijena za 1 sat GENERATORA GRUPE (7.5 HP) od 5 KW.,Equipment,General,SA,17.74,17.74,17.74,17.74,1,EUR,18.82,1.083,186,184,INFRASTRUCTURE WORK,Infrastrukturni objekti (voda/kanalizacija/odvodnja kišnice),Infrastrukturni objekti (voda/kanalizacija/odvodnja kišnice),
04.V40,Četka,Material,General,AD,0.58,0.58,0.58,0.58,1,EUR,0.17,0.2966,180,69,RESTORATION/HERITAGE WORK,Ministarstvo kulture i turizma (Stari spomenik / Restauracija),Ministarstvo kulture i turizma (Stari spomenik / Restauracija),
19.100.2510,Izmiješati mort s 400 Kg cementa s pijeskom i krupnim šljunkom,Material,General,m³,52.2,52.2,52.2,52.2,1,EUR,1.94,0.0371,168,168,CONSTRUCTION WORK,Građevina,Građevina,
10.100.1022,Stolar,Labor,Labor,Sa,7.25,5.52,7.26,7.26,2,EUR,2682.01,369.2235,161,63,CONSTRUCTION WORK,Građevina,Građevina,
Električna energija,Električna energija,Material,General,kWh,0.13,0.13,0.13,0.13,2,EUR,1.06,7.9239,161,143,CONSTRUCTION WORK,Građevina,Građevina,
10.300.2231,Materijal za punjenje fuga (CG1),Material,General,Kg,0.33,0.26,0.33,0.33,2,EUR,0.17,0.522,160,160,CONSTRUCTION WORK,Građevina,Građevina,
40.110.3221,Dizelski motor i generator s kompletnom zavarivačkom mašinom (25 HP),Material,General,SA,11.23,11.23,11.23,11.23,1,EUR,53.66,4.7793,159,159,INFRASTRUCTURE WORK,Infrastrukturni objekti (voda/kanalizacija/odvodnja kišnice),Infrastrukturni objekti (voda/kanalizacija/odvodnja kišnice),
10.100.1041,Pomoćnik stolaru,Labor,Labor,Sa,5.38,4.07,6.68,5.38,3,EUR,1396.57,259.8084,158,20,CONSTRUCTION WORK,Građevina,Građevina,
10.100.1017,Stolar,Labor,Labor,Sa,7.36,5.52,9.01,7.26,3,EUR,21.57,2.8443,157,114,CONSTRUCTION WORK,Građevina,Građevina,
40.120.1461,Cijena testa nepropusnosti,Material,General,MT,4.88,4.88,4.88,4.88,1,EUR,3.1,0.6349,157,157,INFRASTRUCTURE WORK,Infrastrukturni objekti (voda/kanalizacija/odvodnja kišnice),Infrastrukturni objekti (voda/kanalizacija/odvodnja kišnice),
10.100.1042,Pomoćnik majstora za izolaciju,Labor,Labor,Sa,5.37,4.07,6.68,5.38,3,EUR,7.98,0.6587,156,119,CONSTRUCTION WORK,Građevina,Građevina,
04.V001/1,Voda,Material,General,M³,1.12,1.12,1.12,1.12,1,EUR,0.18,0.1618,155,155,RESTORATION/HERITAGE WORK,Ministarstvo kulture i turizma (Stari spomenik / Restauracija),Ministarstvo kulture i turizma (Stari spomenik / Restauracija),
01.V05/6,Pomoćnik majstora za radove na žbuci i fugama stručnog izvođača,Material,General,SA,7.12,7.12,7.12,7.12,1,EUR,12.64,1.776,148,120,RESTORATION/HERITAGE WORK,Ministarstvo kulture i turizma (Stari spomenik / Restauracija),Ministarstvo kulture i turizma (Stari spomenik / Restauracija),
V.0129/A,Puzolanski dodatak za Horosanov zidni mort (s grubim pijeskom),Abstract Material,General,M³,140.76,140.76,140.76,140.76,1,EUR,7.59,0.054,140,140,RESTORATION/HERITAGE WORK,Ministarstvo kulture i turizma (Stari spomenik / Restauracija),Ministarstvo kulture i turizma (Stari spomenik / Restauracija),
74.004.0007,KOMPRESORSKI ŠAHMERDAN (50 HP),Equipment,General,SAAT,73.81,73.81,73.81,73.81,1,EUR,84.09,21.7826,123,119,PORT/MARINE WORK,AYGM Luka i pomorska gradnja,AYGM Luka i pomorska gradnja,
10.100.1056,Asistent strojnika,Labor,Labor,Sa,7.46,6.1,7.55,7.55,2,EUR,86.61,11.4779,121,114,MACHINE RATE,Analiza satničnih troškova za strojeve,Analiza satničnih troškova za strojeve,
04.V42/04A13,Brusni papir (A4 format),Material,General,AD,0.19,0.19,0.19,0.19,1,EUR,1.12,5.9225,121,121,RESTORATION/HERITAGE WORK,Ministarstvo kulture i turizma (Stari spomenik / Restauracija),Ministarstvo kulture i turizma (Stari spomenik / Restauracija),
10.160.1030,Električna energija,Material,General,Kwh,0.4,0.12,13.96,0.13,3,EUR,2.45,16.6792,117,77,CONSTRUCTION WORK,Građevina,Građevina,
40.100.1001,Inženjer,Material,General,SA,9.18,9.18,9.18,9.18,1,EUR,32.92,3.5857,114,114,GEOTECHNICAL/SURVEY WORK,"Geološko-geoekničko istraživanje, geofizika, laboratorij mehanike tla/stijena.","Geološko-geoekničko istraživanje, geofizika, laboratorij mehanike tla/stijena.",
V.0130/C,Hidraulični vapneni vezivni punila za žbukanje,Material,General,M³,252.53,252.53,252.53,252.53,1,EUR,10.24,0.0406,113,112,RESTORATION/HERITAGE WORK,Ministarstvo kulture i turizma (Stari spomenik / Restauracija),Ministarstvo kulture i turizma (Stari spomenik / Restauracija),
