resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,Pekerja biasa,Labor,Labor,Sa,48247.12,36127.94,59727.65,48073.47,3,IDR,911164.53,18.8776,16092,13864,CONSTRUCTION WORK,Konstruksi,Konstruksi,Pemasangan dinding pelapis dengan papan gipsum dengan rangka tunggal (Profil C 7
10.100.1082,Montir instalasi,Labor,Labor,Sa,72838.6,72838.6,72838.6,72838.6,1,IDR,919092.18,12.6182,5556,5540,EQUIPMENT INSTALLATION,Instalasi Mekanik,Instalasi Mekanik,Sifon tanpa pegangan tembaga dengan keran panjang dan keran tanpa pegangan
10.100.1084,Asisten ahli instalasi,Labor,Labor,Sa,53900.56,53900.56,53900.56,53900.56,1,IDR,726016.69,13.4696,5215,5199,EQUIPMENT INSTALLATION,Instalasi Mekanik,Instalasi Mekanik,Sifon tanpa pegangan tembaga dengan keran panjang dan keran tanpa pegangan
10.100.1081,Montir listrik,Labor,Labor,Sa,72838.6,72838.6,72838.6,72838.6,1,IDR,1697415.12,23.3038,4719,4619,EQUIPMENT INSTALLATION,Instalasi Listrik,Instalasi Listrik,Kedalaman minimal 400 mm
10.100.1083,Asisten ahli listrik,Labor,Labor,Sa,53900.56,53900.56,53900.56,53900.56,1,IDR,1274040.34,23.6369,4633,4633,EQUIPMENT INSTALLATION,Instalasi Listrik,Instalasi Listrik,Kedalaman minimal 400 mm
10.100.1055,Operator mesin,Labor,Labor,Sa,83428.32,83036.0,103430.81,83036.0,2,IDR,770009.22,9.2702,3446,2481,CONSTRUCTION WORK,Konstruksi,Konstruksi,Polyester Berpenguat Serat Kaca (CTP) Tangki air silinder
01.V04,Mekanik Ahçı,Material,General,SA,103430.81,103430.81,103430.81,103430.81,1,IDR,3788616.13,36.6295,2675,1081,RESTORATION/HERITAGE WORK,Kementerian Kebudayaan dan Pariwisata (Cagar Budaya / Restorasi),Kementerian Kebudayaan dan Pariwisata (Cagar Budaya / Restorasi),
19.100.1112,Forklift,Equipment,General,Sa,200437.25,200437.25,200437.25,200437.25,1,IDR,1369783.89,6.834,1973,1968,CONSTRUCTION WORK,Konstruksi,Konstruksi,Tangki Air Polietilen
10.100.1050,Montir boru ustası,Labor,Labor,Sa,73873.1,72838.6,90319.86,72838.6,2,IDR,257938.6,3.3658,1827,1827,CONSTRUCTION WORK,Konstruksi,Konstruksi,
01.V06/01,Pekerjaan Pemulihan Restorasi,Material,General,SA,48073.47,48073.47,48073.47,48073.47,1,IDR,192770.3,4.0099,1687,1623,RESTORATION/HERITAGE WORK,Kementerian Kebudayaan dan Pariwisata (Cagar Budaya / Restorasi),Kementerian Kebudayaan dan Pariwisata (Cagar Budaya / Restorasi),
