resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,General laborer,Labor,Labor,Sa,205.3,153.73,254.15,204.56,3,INR,3877.16,18.8776,16092,13864,CONSTRUCTION WORK,Construction,Construction,Construction of single-frame curtain wall with plasterboard (Single Wall C 75 pr
10.100.1082,Installation master,Labor,Labor,Sa,309.94,309.94,309.94,309.94,1,INR,3910.89,12.6182,5556,5540,EQUIPMENT INSTALLATION,Mechanical Installation,Mechanical Installation,Long spout and brass non-valve siphon
10.100.1084,Installation assistant foreman,Labor,Labor,Sa,229.36,229.36,229.36,229.36,1,INR,3089.32,13.4696,5215,5199,EQUIPMENT INSTALLATION,Mechanical Installation,Mechanical Installation,Long spout and brass non-valve siphon
10.100.1081,Electrician,Labor,Labor,Sa,309.94,309.94,309.94,309.94,1,INR,7222.78,23.3038,4719,4619,EQUIPMENT INSTALLATION,Electrical Installation,Electrical Installation,Depth at least 400 mm
10.100.1083,Electrician assistant,Labor,Labor,Sa,229.36,229.36,229.36,229.36,1,INR,5421.25,23.6369,4633,4633,EQUIPMENT INSTALLATION,Electrical Installation,Electrical Installation,Depth at least 400 mm
10.100.1055,Operator machinist,Labor,Labor,Sa,355.0,353.33,440.12,353.33,2,INR,3276.52,9.2702,3446,2481,CONSTRUCTION WORK,Construction,Construction,Fiberglass Reinforced Polyester (FRP) Cylindrical Water Tanks
01.V04,Specialist Master,Material,General,SA,440.12,440.12,440.12,440.12,1,INR,16121.19,36.6295,2675,1081,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),Ministry of Culture and Tourism (Ancient Artifact / Restoration),
19.100.1112,Forklift,Equipment,General,Sa,852.89,852.89,852.89,852.89,1,INR,5828.66,6.834,1973,1968,CONSTRUCTION WORK,Construction,Construction,Polyethylene Water Tanks
10.100.1050,Pipe fitter,Labor,Labor,Sa,314.34,309.94,384.33,309.94,2,INR,1097.57,3.3658,1827,1827,CONSTRUCTION WORK,Construction,Construction,
01.V06/01,Restoration Rough Labour,Material,General,SA,204.56,204.56,204.56,204.56,1,INR,820.27,4.0099,1687,1623,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),Ministry of Culture and Tourism (Ancient Artifact / Restoration),
01.V05,Specialist Assistant Craftsmen,Material,General,SA,303.74,303.74,303.74,303.74,1,INR,7431.11,24.4652,1346,814,RESTORATION/HERITAGE WORK,Ministry of Culture and Tourism (Ancient Artifact / Restoration),Ministry of Culture and Tourism (Ancient Artifact / Restoration),
10.100.1091,"Test, Adjustment and Commissioning Specialist",Labor,Labor,Sa,867.83,867.83,867.83,867.83,1,INR,25867.62,29.8071,1239,1239,EQUIPMENT INSTALLATION,Electrical Installation,Electrical Installation,SINGLE-PHASE REACTIVE POWER CONTROL RELAYS
19.100.1113,Mobile crane,Equipment,General,Sa,1339.44,1338.66,1738.7,1338.66,2,INR,16514.35,12.3354,1018,1013,CONSTRUCTION WORK,Construction,Construction,Fiberglass Reinforced Polyester (FRP) Cylindrical Water Tanks
