resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,Operaio semplice,Labor,Labor,Sa,6.24,4.67,7.72,6.21,3,EUR,117.78,18.8776,16092,13864,CONSTRUCTION WORK,Costruzione,Costruzione,Realizzazione di parete rivestita con cartongesso a struttura singola (Profilo C
10.100.1082,Muratore impianti,Labor,Labor,Sa,9.42,9.42,9.42,9.42,1,EUR,118.81,12.6182,5556,5540,EQUIPMENT INSTALLATION,Impianti meccanici,Impianti meccanici,Scarico a lunga canna e comando in ottone senza sifone
10.100.1084,Assistente del caposquadra installazioni,Labor,Labor,Sa,6.97,6.97,6.97,6.97,1,EUR,93.85,13.4696,5215,5199,EQUIPMENT INSTALLATION,Impianti meccanici,Impianti meccanici,Scarico a lunga canna e comando in ottone senza sifone
10.100.1081,Muratore elettrico,Labor,Labor,Sa,9.42,9.42,9.42,9.42,1,EUR,219.42,23.3038,4719,4619,EQUIPMENT INSTALLATION,Impianto elettrico,Impianto elettrico,Profondità almeno 400 mm
10.100.1083,Assistente di elettricista,Labor,Labor,Sa,6.97,6.97,6.97,6.97,1,EUR,164.69,23.6369,4633,4633,EQUIPMENT INSTALLATION,Impianto elettrico,Impianto elettrico,Profondità almeno 400 mm
10.100.1055,Operatore di macchine,Labor,Labor,Sa,10.78,10.73,13.37,10.73,2,EUR,99.54,9.2702,3446,2481,CONSTRUCTION WORK,Costruzione,Costruzione,Isolamento termico e acustico in poliestere rinforzato con fibra di vetro (CTP) 
01.V04,Maestro specializzato,Material,General,SA,13.37,13.37,13.37,13.37,1,EUR,489.75,36.6295,2675,1081,RESTORATION/HERITAGE WORK,Cultura e Turismo B. (Antichi Esercizi / Restauro),Cultura e Turismo B. (Antichi Esercizi / Restauro),
19.100.1112,Carrello elevatore,Equipment,General,Sa,25.91,25.91,25.91,25.91,1,EUR,177.07,6.834,1973,1968,CONSTRUCTION WORK,Costruzione,Costruzione,Serbatoi d'acqua in polietilene
10.100.1050,Maestro muratore,Labor,Labor,Sa,9.55,9.42,11.68,9.42,2,EUR,33.34,3.3658,1827,1827,CONSTRUCTION WORK,Costruzione,Costruzione,
01.V06/01,Lavoratore di ripristino di livello semplice,Material,General,SA,6.21,6.21,6.21,6.21,1,EUR,24.92,4.0099,1687,1623,RESTORATION/HERITAGE WORK,Cultura e Turismo B. (Antichi Esercizi / Restauro),Cultura e Turismo B. (Antichi Esercizi / Restauro),
01.V05,Assistenti di maestro specializzato,Material,General,SA,9.23,9.23,9.23,9.23,1,EUR,225.75,24.4652,1346,814,RESTORATION/HERITAGE WORK,Cultura e Turismo B. (Antichi Esercizi / Restauro),Cultura e Turismo B. (Antichi Esercizi / Restauro),
10.100.1091,"Test, Regolazione e Messa in Marcia Specialista",Labor,Labor,Sa,26.36,26.36,26.36,26.36,1,EUR,785.84,29.8071,1239,1239,EQUIPMENT INSTALLATION,Impianto elettrico,Impianto elettrico,RILEVATORI DI POTENZA REATTIVA MONOFASE
