resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section
10.100.1062,普通作業員,Labor,Labor,Sa,992.13,742.92,1228.21,988.56,3,JPY,18736.7,18.8776,16092,13864,CONSTRUCTION WORK,建築工事,建築工事,石膏ボードを用いた単一骨組みの仕上げ壁の施工（単一壁 C 75 プロファイル - 60 cm 軸間隔） (15
10.100.1082,設備工,Labor,Labor,Sa,1497.81,1497.81,1497.81,1497.81,1,JPY,18899.72,12.6182,5556,5540,EQUIPMENT INSTALLATION,機械設備,機械設備,長い蛇口と真鍮のコマンドレス排水弁
10.100.1084,設備工補助者,Labor,Labor,Sa,1108.38,1108.38,1108.38,1108.38,1,JPY,14929.42,13.4696,5215,5199,EQUIPMENT INSTALLATION,機械設備,機械設備,長い蛇口と真鍮のコマンドレス排水弁
10.100.1081,電気工,Labor,Labor,Sa,1497.81,1497.81,1497.81,1497.81,1,JPY,34904.73,23.3038,4719,4619,EQUIPMENT INSTALLATION,電気設備,電気設備,深さは少なくとも400 mm
10.100.1083,電気工補助者,Labor,Labor,Sa,1108.38,1108.38,1108.38,1108.38,1,JPY,26198.68,23.6369,4633,4633,EQUIPMENT INSTALLATION,電気設備,電気設備,深さは少なくとも400 mm
10.100.1055,オペレーター兼機械運転手,Labor,Labor,Sa,1715.58,1707.51,2126.9,1707.51,2,JPY,15834.05,9.2702,3446,2481,CONSTRUCTION WORK,建築工事,建築工事,ガラス繊維強化ポリエステル（CTP）円筒形水槽
01.V04,専門職の熟練工,Material,General,SA,2126.9,2126.9,2126.9,2126.9,1,JPY,77907.06,36.6295,2675,1081,RESTORATION/HERITAGE WORK,文化観光省（歴史的建造物／修復）,文化観光省（歴史的建造物／修復）,
19.100.1112,フォークリフト,Equipment,General,Sa,4121.68,4121.68,4121.68,4121.68,1,JPY,28167.5,6.834,1973,1968,CONSTRUCTION WORK,建築工事,建築工事,ポリエチレン水槽
10.100.1050,配管工,Labor,Labor,Sa,1519.09,1497.81,1857.29,1497.81,2,JPY,5304.11,3.3658,1827,1827,CONSTRUCTION WORK,建築工事,建築工事,
01.V06/01,修復平坦作業員,Material,General,SA,988.56,988.56,988.56,988.56,1,JPY,3964.02,4.0099,1687,1623,RESTORATION/HERITAGE WORK,文化観光省（歴史的建造物／修復）,文化観光省（歴史的建造物／修復）,
01.V05,専門技術者補助者,Material,General,SA,1467.86,1467.86,1467.86,1467.86,1,JPY,35911.49,24.4652,1346,814,RESTORATION/HERITAGE WORK,文化観光省（歴史的建造物／修復）,文化観光省（歴史的建造物／修復）,
10.100.1091,試験・調整・試運転専門員,Labor,Labor,Sa,4193.88,4193.88,4193.88,4193.88,1,JPY,125007.53,29.8071,1239,1239,EQUIPMENT INSTALLATION,電気設備,電気設備,単相リアクティブ電力制御リレー
19.100.1113,移動式クレーン,Equipment,General,Sa,6472.98,6469.18,8402.44,6469.18,2,JPY,79807.05,12.3354,1018,1013,CONSTRUCTION WORK,建築工事,建築工事,ガラス繊維強化ポリエステル（CTP）円筒形水槽
10.130.9991,水,Material,General,m³,240.73,209.69,329.52,230.66,3,JPY,34.37,0.1285,927,679,CONSTRUCTION WORK,建築工事,建築工事,
19.100.1002,ショベルローダー Beko (125 HP),Equipment,General,Sa,11910.67,11910.67,11910.67,11910.67,1,JPY,1154.94,0.097,546,528,CONSTRUCTION WORK,建築工事,建築工事,
10.100.1060,職長,Labor,Labor,Sa,2160.67,2156.85,2666.11,2156.85,2,JPY,3147.44,1.4311,539,398,CONSTRUCTION WORK,建築工事,建築工事,引き戸（シバー）およびグロップバルブ；真鍮ねじ、プレス成形（TS EN 12288）に準拠
10.100.1063,熟練作業員,Labor,Labor,Sa,1240.88,1198.25,1497.81,1198.25,2,JPY,6206.9,5.1657,507,371,CONSTRUCTION WORK,建築工事,建築工事,
10.100.1068,一級職人,Labor,Labor,Sa,1482.43,1138.34,1857.29,1497.81,3,JPY,2219.31,1.3882,469,399,CONSTRUCTION WORK,建築工事,建築工事,
10.100.1049,配管工補助者,Labor,Labor,Sa,1182.1,1108.38,1377.99,1108.38,2,JPY,6983.32,5.4792,396,396,CONSTRUCTION WORK,建築工事,建築工事,
10.100.1021,溶接工,Labor,Labor,Sa,1593.86,1138.34,1857.29,1497.81,3,JPY,30504.47,19.5521,394,285,MACHINE RATE,機械（時間単価分析）,機械（時間単価分析）,
10.100.1064,見習い,Labor,Labor,Sa,989.12,742.92,1228.21,988.56,3,JPY,1772.87,1.7933,376,130,CONSTRUCTION WORK,建築工事,建築工事,
10.100.1013,れんが・ブロック積み職人,Labor,Labor,Sa,1517.04,1138.34,1857.29,1497.81,3,JPY,1202.04,0.7882,375,341,CONSTRUCTION WORK,建築工事,建築工事,
10.420.1012,ねじおよびプラスチックアンカー,Material,General,Ad,8.93,5.99,8.99,8.99,2,JPY,137.28,15.2894,356,265,CONSTRUCTION WORK,建築工事,建築工事,石膏ボードを用いた単一骨組みの仕上げ壁の施工（単一壁 C 75 プロファイル - 60 cm 軸間隔） (15
10.160.1035,エレクトロット,Material,General,Ad,10.18,7.55,11.5,9.59,3,JPY,1257.18,117.7585,345,272,MACHINE RATE,機械（時間単価分析）,機械（時間単価分析）,
10.160.1026,ディーゼル,Material,General,Kg,275.92,262.66,339.46,262.66,2,JPY,3957.64,14.3654,331,98,MACHINE RATE,機械（時間単価分析）,機械（時間単価分析）,
10.300.1602,サンドペーパー,Material,General,Ad,38.81,20.97,38.94,38.94,2,JPY,580.31,14.9103,269,101,CONSTRUCTION WORK,建築工事,建築工事,
